x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2742550,1182635,2024,1,3,0,4910,2742-1182
2567780,1108608,2021,1,1,0,4910,2567-1108
2596500,1126500,2021,1,1,0,4910,2596-1126
2654500,1138500,2024,1,2,0,4910,2654-1138
2589500,1113500,2024,1,2,0,4910,2589-1113
2654500,1138500,2021,1,1,0,4910,2654-1138
2722160,1086829,2024,1,6,0,4910,2722-1086
2613660.71031603,1138539.55652576,2024,1,1,0,4910,2613-1138
2578876,1096993,2021,1,2,0,4910,2578-1096
2739500,1191500,2024,1,1,0,4910,2739-1191
2690630,1154029,2023,1,4,0,4910,2690-1154
2771815,1172086,2025,1,1,0,4910,2771-1172
2827563,1166264,2025,1,1,0,4910,2827-1166
2621843,1159704,2025,1,1,0,4910,2621-1159
2702527,1150491,2024,1,3,0,4910,2702-1150
2596099.29557193,1114299.78976294,2021,1,2,0,4910,2596-1114
2613660.71031603,1138539.55652576,2023,1,2,0,4910,2613-1138
2615500,1129500,2022,1,5,0,4910,2615-1129
2618193,1129084,2025,1,2,0,4910,2618-1129
2632727,1124497,2023,1,1,0,4910,2632-1124
2555500,1113500,2021,1,7,0,4910,2555-1113
2618394,1149518,2021,1,3,0,4910,2618-1149
2638500,1186500,2021,1,2,0,4910,2638-1186
2758320,1149491,2025,1,1,0,4910,2758-1149
2758320,1149491,2025,1,5,0,4910,2758-1149
2613637,1123312,2025,1,4,0,4910,2613-1123
2613100,1123096,2025,1,1,0,4910,2613-1123
2601285,1107737,2025,1,2,0,4910,2601-1107
2613716,1138580,2025,1,4,0,4910,2613-1138
2600111,1117733,2021,1,3,0,4910,2600-1117
2614352,1142313,2025,1,2,0,4910,2614-1142
2707890,1168200,2024,1,4,0,4910,2707-1168
2663321.97700114,1148723.31349332,2024,1,3,0,4910,2663-1148
2663321.97700114,1148723.31349333,2021,1,1,0,4910,2663-1148
2618500,1171500,2023,7,2,0,4910,2618-1171
2602421,1111132,2025,7,4,0,4910,2602-1111
2602293,1111264,2025,7,7,0,4910,2602-1111
2733872,1165450,2021,7,2,0,4910,2733-1165
2745243,1179317,2024,7,4,0,4910,2745-1179
2613716,1138564,2025,1,3,0,4910,2613-1138
2679435,1212108,2025,7,3,0,4910,2679-1212
2618195,1129146,2025,1,2,0,4910,2618-1129
2625429.79281712,1140450.45927962,2025,7,5,0,4910,2625-1140
2618161,1128535,2022,1,1,0,4910,2618-1128
2751032,1213443,2022,7,2,0,4910,2751-1213
2565525,1107449,2025,7,2,0,4910,2565-1107
2647820.89170481,1137707.34815003,2021,1,2,0,4910,2647-1137
2600413,1115066,2025,7,3,0,4910,2600-1115
2635003,1163304,2025,7,1,0,4910,2635-1163
2635020,1163189,2025,7,3,0,4910,2635-1163
2776310,1190782,2021,1,1,0,4910,2776-1190
2614153,1129766,2022,7,3,0,4910,2614-1129
2715358,1158646,2021,1,1,0,4910,2715-1158
2739782,1191099,2024,1,1,0,4910,2739-1191
2716958,1105180,2022,1,4,0,4910,2716-1105
2724559,1215853,2021,1,1,0,4910,2724-1215
2728258,1172413,2025,1,3,0,4910,2728-1172
2566554,1120478,2023,7,20,0,4910,2566-1120
2697555,1122629,2021,1,1,0,4910,2697-1122
2728170,1172393,2025,1,2,0,4910,2728-1172
2778026,1176405,2022,7,2,0,4910,2778-1176
2654099.92309997,1138799.33144418,2022,7,3,0,4910,2654-1138
2612127,1118789,2024,12,2,0,4910,2612-1118
2665176,1202057,2025,12,1,0,4910,2665-1202
2690697,1154097,2022,12,3,0,4910,2690-1154
2709500,1171500,2025,12,1,0,4910,2709-1171
2632464,1130381,2025,7,1,0,4910,2632-1130
2631763,1129289,2025,7,1,0,4910,2631-1129
2767949,1205868,2022,7,3,0,4910,2767-1205
2663321.97700114,1148723.31349333,2021,7,1,0,4910,2663-1148
2613595,1138493,2024,7,3,0,4910,2613-1138
2760048,1203826,2025,12,1,0,4910,2760-1203
2639971,1159436,2024,12,2,0,4910,2639-1159
2726235,1109642,2025,19,5,0,4910,2726-1109
2571667,1132696,2022,7,2,0,4910,2571-1132
2626641.5044197,1092468.60622528,2022,12,1,0,4910,2626-1092
2654099.92309997,1138799.33144418,2023,19,1,0,4910,2654-1138
2599452,1117702,2023,7,1,0,4910,2599-1117
2745500,1171500,2021,19,1,0,4910,2745-1171
2679484,1212151,2023,19,1,0,4910,2679-1212
2679478,1212150,2023,19,1,0,4910,2679-1212
2720500,1089500,2022,12,9,0,4910,2720-1089
2720615,1089380,2025,12,6,0,4910,2720-1089
2774457,1152742,2021,19,4,0,4910,2774-1152
2786500,1193500,2022,19,2,0,4910,2786-1193
2632362.77739857,1114455.23727273,2022,12,1,0,4910,2632-1114
2610595,1114303,2021,19,2,0,4910,2610-1114
2615500,1129500,2024,19,1,0,4910,2615-1129
2619667,1129635,2025,12,1,0,4910,2619-1129
2776500,1187500,2023,19,3,0,4910,2776-1187
2551836,1114731,2025,12,2,0,4910,2551-1114
2718500,1200500,2025,19,1,0,4910,2718-1200
2625500,1138500,2023,19,2,0,4910,2625-1138
2778012,1176422,2022,19,2,0,4910,2778-1176
2601698,1157280,2025,19,6,0,4910,2601-1157
2709151,1206809,2025,19,1,0,4910,2709-1206
2626201,1129068,2024,19,10,0,4910,2626-1129
2639122,1185203,2025,25,4,3,4910,2639-1185
2658500,1176500,2023,19,1,0,4910,2658-1176
2615519.72794132,1139263.53927552,2025,19,5,0,4910,2615-1139
2679816,1211827,2023,19,1,0,4910,2679-1211
2752198,1201272,2025,25,1,3,4910,2752-1201
2639873,1185547,2025,25,1,3,4910,2639-1185
2600730,1158277,2025,19,1,0,4910,2600-1158
2601543,1157831,2025,19,4,0,4910,2601-1157
