x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2618500,1133500,2021,49,9,0,3770,2618-1133
2618538,1134153,2022,49,6,0,3770,2618-1134
2575500.0933311,1115447.09174663,2025,43,4,13,3770,2575-1115
2628103,1096067,2025,37,6,13,3770,2628-1096
2618505,1134635,2021,37,4,1,3770,2618-1134
2627500,1096500,2023,31,2,2,3770,2627-1096
2627428,1133151,2025,37,5,14,3770,2627-1133
2575580.11300247,1116545.087053,2022,43,2,13,3770,2575-1116
2575429,1113585,2025,37,1,2,3770,2575-1113
2613748,1138603,2023,7,2,0,3770,2613-1138
2613660.71031603,1138539.55652576,2024,1,1,0,3770,2613-1138
2575745,1113571,2023,1,2,0,3770,2575-1113
2579034,1136118,2021,37,2,4,3770,2579-1136
2617906,1134885,2023,56,2,0,3770,2617-1134
2613663,1138534,2022,1,1,0,3770,2613-1138
2613779,1138645,2023,56,5,0,3770,2613-1138
2575547,1113543,2022,37,6,13,3770,2575-1113
2574559,1116044,2024,44,5,13,3770,2574-1116
2613360,1138783,2023,56,2,0,3770,2613-1138
2613671,1138558,2025,19,1,1,3770,2613-1138
2618676,1134910,2024,56,2,0,3770,2618-1134
2613899,1138298,2022,31,1,2,3770,2613-1138
2613906,1138253,2022,31,1,2,3770,2613-1138
2618500,1134500,2021,56,5,0,3770,2618-1134
2575497,1113563,2025,62,2,0,3770,2575-1113
2613715,1138631,2025,1,2,0,3770,2613-1138
2613660.71031603,1138539.55652576,2023,8,4,0,3770,2613-1138
2575663,1113692,2023,26,2,4,3770,2575-1113
2613660.71031603,1138539.55652576,2025,32,1,2,3770,2613-1138
2579500,1136500,2025,38,5,13,3770,2579-1136
2575397,1115942,2025,38,6,13,3770,2575-1115
2575758,1115462,2025,38,2,7,3770,2575-1115
2618441,1133893,2021,44,2,2,3770,2618-1133
2618027,1134499,2021,44,17,2,3770,2618-1134
2617953,1134668,2021,44,17,2,3770,2617-1134
2618621,1133338,2021,44,2,2,3770,2618-1133
2618290,1133665,2025,50,6,0,3770,2618-1133
2575555,1113722,2025,50,2,0,3770,2575-1113
2575555,1113722,2025,50,2,0,3770,2575-1113
2575555,1113722,2025,50,2,0,3770,2575-1113
2583195.24379996,1120011.9550558,2023,44,10,13,3770,2583-1120
2613500,1138500,2022,56,2,0,3770,2613-1138
2617500,1134500,2022,50,2,0,3770,2617-1134
2613724,1138608,2022,56,2,0,3770,2613-1138
2618524,1133283,2021,44,4,2,3770,2618-1133
2618605,1134399,2021,44,5,2,3770,2618-1134
2613706,1138574,2021,8,5,0,3770,2613-1138
2613660.71031603,1138539.55652576,2021,8,5,0,3770,2613-1138
2613657,1138536,2021,8,5,0,3770,2613-1138
2613706,1138580,2021,8,1,0,3770,2613-1138
2575112,1113334,2023,26,2,7,3770,2575-1113
2621500,1133500,2022,32,2,2,3770,2621-1133
2613660.71031603,1138539.55652576,2022,14,1,0,3770,2613-1138
2579318,1136161,2025,32,1,1,3770,2579-1136
2570612,1116959,2024,44,3,2,3770,2570-1116
2627500,1096500,2021,44,2,2,3770,2627-1096
2617354.69634664,1134430.52591562,2022,44,6,13,3770,2617-1134
2613257,1138935,2023,56,4,0,3770,2613-1138
2575198.05861815,1113620.102793,2021,62,2,0,3770,2575-1113
2613664,1138534,2022,62,1,0,3770,2613-1138
2575732,1113604,2023,57,1,0,3770,2575-1113
2590556,1130686,2023,38,2,2,3770,2590-1130
2575351,1113579,2023,32,2,4,3770,2575-1113
2627500,1096500,2024,38,2,2,3770,2627-1096
2613714,1138558,2021,50,2,0,3770,2613-1138
2649500,1129500,2023,38,10,2,3770,2649-1129
2613894,1138788,2025,20,1,1,3770,2613-1138
2627490,1096335,2022,38,5,13,3770,2627-1096
2575362,1113447,2024,26,2,4,3770,2575-1113
