x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2570125,1203735,2023,1,1,0,1670,2570-1203
2569796,1203403,2025,1,1,0,1670,2569-1203
2569681,1203402,2025,1,1,0,1670,2569-1203
2569159,1196657,2025,1,2,0,1670,2569-1196
2659901,1270613,2023,1,1,0,1670,2659-1270
2679915,1254200,2023,1,3,0,1670,2679-1254
2570362,1203823,2023,1,1,0,1670,2570-1203
2679899,1254215,2024,1,2,0,1670,2679-1254
2489895,1115135,2022,1,1,0,1670,2489-1115
2693669.58830464,1275579.76362145,2025,1,1,0,1670,2693-1275
2489791,1115021,2024,1,4,0,1670,2489-1115
2570171.55826185,1203620.27005927,2024,1,1,0,1670,2570-1203
2570171.55826185,1203620.27005927,2025,1,2,0,1670,2570-1203
2547501.44417012,1183750.64391287,2021,1,1,0,1670,2547-1183
2547501.44417012,1183750.64391287,2023,1,1,0,1670,2547-1183
2539046.23780685,1182645.82975201,2025,1,3,0,1670,2539-1182
2660500,1270500,2023,1,5,0,1670,2660-1270
2539046.23780685,1182645.82975201,2024,1,2,0,1670,2539-1182
2660500,1270500,2021,1,4,0,1670,2660-1270
2559500,1138500,2022,1,3,0,1670,2559-1138
2679578.93494353,1254052.6237002,2025,1,1,0,1670,2679-1254
2678743.88625199,1261738.64812515,2025,1,1,0,1670,2678-1261
2559964.39202934,1138353.33392529,2021,1,1,0,1670,2559-1138
2569500,1203500,2023,1,2,0,1670,2569-1203
2559996.39143369,1138313.33332478,2024,1,4,0,1670,2559-1138
2578667.51943261,1203746.12803837,2021,1,1,0,1670,2578-1203
2679578.93494353,1254052.6237002,2025,1,3,0,1670,2679-1254
2679578.93494353,1254052.6237002,2024,1,4,0,1670,2679-1254
2559964.39202934,1138353.33392528,2024,1,1,0,1670,2559-1138
2569500,1203500,2023,1,1,0,1670,2569-1203
2679500,1254500,2024,1,1,0,1670,2679-1254
2660500,1270500,2021,1,3,0,1670,2660-1270
2660500,1270500,2023,1,10,0,1670,2660-1270
2660500,1270500,2021,1,,0,1670,2660-1270
2660500,1270500,2025,1,3,0,1670,2660-1270
2670500,1242500,2021,1,1,0,1670,2670-1242
2540869.22048315,1181909.78682461,2025,1,2,0,1670,2540-1181
