x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2611259,1177408,2021,25,2,0,4090,2611-1177
2716727,1229951,2022,25,1,0,4090,2716-1229
2611310,1177451,2021,25,2,0,4090,2611-1177
2716696,1230151,2025,25,1,0,4090,2716-1230
2665436,1149894,2023,25,4,0,4090,2665-1149
2716662,1229721,2023,25,1,0,4090,2716-1229
2717693,1229135,2022,25,4,0,4090,2717-1229
2717268,1229619,2023,25,8,0,4090,2717-1229
2716614,1229818,2023,25,1,0,4090,2716-1229
2716500,1230500,2022,25,2,0,4090,2716-1230
2717156,1229787,2022,25,2,0,4090,2717-1229
2788504,1158529,2022,25,1,0,4090,2788-1158
2717500,1230500,2023,25,4,0,4090,2717-1230
2729682,1275645,2024,25,1,0,4090,2729-1275
2729716,1275515,2024,25,2,0,4090,2729-1275
2729738,1275559,2021,25,1,0,4090,2729-1275
2716909,1230028,2024,25,1,3,4090,2716-1230
2717500,1230500,2023,25,7,0,4090,2717-1230
2788437,1158514,2024,31,1,2,4090,2788-1158
2604042,1102958,2021,31,1,3,4090,2604-1102
2716500,1230500,2023,25,2,0,4090,2716-1230
2745290,1243515,2024,25,2,4,4090,2745-1243
2745207,1243505,2024,25,1,2,4090,2745-1243
2604442,1104342,2025,31,1,3,4090,2604-1104
2717041,1230681,2023,25,2,0,4090,2717-1230
2663192,1148287,2023,25,10,0,4090,2663-1148
2605377,1106863,2024,31,9,2,4090,2605-1106
2605613,1106560,2024,31,1,3,4090,2605-1106
2717207,1230040,2022,25,1,0,4090,2717-1230
2603893,1103380,2021,31,1,3,4090,2603-1103
2603909,1103137,2021,31,1,3,4090,2603-1103
2604082,1104880,2025,31,2,4,4090,2604-1104
2604147,1104718,2025,31,2,4,4090,2604-1104
2694500,1219500,2022,25,1,0,4090,2694-1219
2709879,1155010,2021,31,1,3,4090,2709-1155
2717513,1230476,2024,25,1,0,4090,2717-1230
2717308,1230054,2022,25,1,0,4090,2717-1230
2717500,1229500,2022,25,6,0,4090,2717-1229
2618171,1128112,2022,25,7,0,4090,2618-1128
2694148,1219641,2022,25,1,0,4090,2694-1219
2618251,1128110,2025,25,3,0,4090,2618-1128
2716781,1229792,2023,25,1,0,4090,2716-1229
2798506,1170503,2022,31,1,1,4090,2798-1170
2729500,1275500,2022,25,1,0,4090,2729-1275
2546256,1204574,2025,31,2,5,4090,2546-1204
2681858,1161727,2023,31,1,3,4090,2681-1161
2693700,1219927,2022,25,3,0,4090,2693-1219
2693679,1219899,2022,25,3,0,4090,2693-1219
2565751,1146376,2024,31,2,4,4090,2565-1146
2683612,1162507,2024,31,2,4,4090,2683-1162
2507117,1161521,2024,31,,2,4090,2507-1161
2507131,1161061,2024,31,1,3,4090,2507-1161
2507137,1161625,2024,31,1,3,4090,2507-1161
2716500,1230500,2021,25,15,0,4090,2716-1230
2744925,1157890,2024,31,1,2,4090,2744-1157
2685500,1163500,2023,31,1,3,4090,2685-1163
2665091,1149726,2022,31,1,3,4090,2665-1149
2665173,1149790,2022,31,1,3,4090,2665-1149
2665415,1149930,2022,31,6,3,4090,2665-1149
2618670.65278626,1128170.52219959,2021,25,3,0,4090,2618-1128
2683500,1162500,2023,31,1,3,4090,2683-1162
2788500,1158500,2021,31,,1,4090,2788-1158
2621500,1095500,2023,31,1,1,4090,2621-1095
2686500,1164500,2023,31,4,4,4090,2686-1164
2698500,1155500,2023,31,1,3,4090,2698-1155
2506525,1160579,2025,31,1,3,4090,2506-1160
2506274,1160303,2024,31,1,3,4090,2506-1160
2506622,1160995,2024,31,1,3,4090,2506-1160
2682500,1161500,2023,31,3,4,4090,2682-1161
2745423,1243892,2024,25,1,3,4090,2745-1243
2693500,1219500,2023,31,1,3,4090,2693-1219
2788232,1157944,2025,31,2,2,4090,2788-1157
2546500,1204500,2022,31,1,2,4090,2546-1204
2581118,1154912,2024,31,1,3,4090,2581-1154
2788012,1157569,2025,31,1,3,4090,2788-1157
2788054,1157596,2025,31,1,3,4090,2788-1157
2787886,1157541,2025,31,1,3,4090,2787-1157
2687500,1165500,2023,31,3,4,4090,2687-1165
2697921,1155961,2025,31,2,4,4090,2697-1155
2697864,1155977,2025,31,2,4,4090,2697-1155
2697223,1155976,2025,31,4,4,4090,2697-1155
2697034,1155942,2023,31,2,4,4090,2697-1155
2697864,1155977,2025,31,2,4,4090,2697-1155
