x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2582294,1207508,2024,1,135,0,700,2582-1207
2582754,1207874,2024,1,45,0,700,2582-1207
2539313,1182353,2021,1,5,0,700,2539-1182
2738581,1275666,2023,1,2,0,700,2738-1275
2582663,1207804,2024,1,135,0,700,2582-1207
2659776,1270594,2024,1,30,0,700,2659-1270
2730895,1279469,2025,1,25,0,700,2730-1279
2539094,1182855,2024,1,27,0,700,2539-1182
2658803,1271984,2023,1,10,0,700,2658-1271
2659829,1270746,2023,1,28,0,700,2659-1270
2658986,1271734,2025,1,12,0,700,2658-1271
2658843,1271726,2025,1,8,0,700,2658-1271
2659179,1271323,2023,1,10,0,700,2659-1271
2614489,1269830,2023,1,2,0,700,2614-1269
2614460,1269839,2023,1,2,0,700,2614-1269
2539046.23780685,1182645.82975201,2024,1,14,0,700,2539-1182
2539046.23780685,1182645.82975201,2025,1,13,0,700,2539-1182
2539405.23201617,1182388.82094444,2025,1,6,0,700,2539-1182
2539046.23780685,1182645.82975201,2025,1,13,0,700,2539-1182
2539405.23201617,1182388.82094444,2025,1,6,0,700,2539-1182
2582895.56656368,1208228.07668853,2024,1,142,0,700,2582-1208
2539405.23201616,1182388.82094445,2021,1,5,0,700,2539-1182
2547501.44417012,1183750.64391287,2021,1,9,0,700,2547-1183
2729099.48039105,1275600.06245772,2022,1,6,0,700,2729-1275
2729099.48039105,1275600.06245772,2024,1,66,0,700,2729-1275
2729099.48039105,1275600.06245772,2024,1,51,0,700,2729-1275
2570171.55826185,1203620.27005927,2024,1,,0,700,2570-1203
2731500,1279500,2025,1,25,0,700,2731-1279
2660500,1270500,2025,1,,0,700,2660-1270
2729500,1275500,2022,1,7,0,700,2729-1275
2659500,1270500,2023,1,12,0,700,2659-1270
2570500,1203500,2021,1,12,0,700,2570-1203
2729500,1275500,2024,1,18,0,700,2729-1275
2703979.95543801,1230925.61467333,2025,1,1,0,700,2703-1230
2703979.95543801,1230925.61467334,2022,1,2,0,700,2703-1230
2703979.95543801,1230925.61467333,2025,1,1,0,700,2703-1230
2703979.95543801,1230925.61467333,2025,1,1,0,700,2703-1230
2578667.51943261,1203746.12803837,2023,1,19,0,700,2578-1203
2569857.55231118,1203193.27414936,2023,1,2,0,700,2569-1203
2725500,1280500,2025,1,300,0,700,2725-1280
2595500,1201500,2021,1,2,0,700,2595-1201
2569500,1203500,2021,1,2,0,700,2569-1203
2580450,1212551,2023,1,,0,700,2580-1212
2704500,1280500,2024,1,4,0,700,2704-1280
2580365,1212512,2023,1,2,0,700,2580-1212
2580548,1212630,2023,1,2,0,700,2580-1212
2707697.43489666,1278958.87957617,2021,1,2,0,700,2707-1278
2569500,1203500,2025,1,8,0,700,2569-1203
2738581,1275666,2023,1,2,0,700,2738-1275
2579908,1212440,2023,1,2,0,700,2579-1212
2725599.35466561,1281400.06347737,2022,1,6,0,700,2725-1281
2713845,1230811,2023,1,3,0,700,2713-1230
2703979.95543801,1230925.61467334,2022,1,2,0,700,2703-1230
2703979.95543801,1230925.61467333,2025,1,1,0,700,2703-1230
2580500,1212500,2023,1,2,0,700,2580-1212
2613500,1267629,2021,1,1,0,700,2613-1267
2746500,1268500,2021,1,2,0,700,2746-1268
2725511,1281112,2022,1,,0,700,2725-1281
2725599.35466561,1281400.06347737,2023,1,11,0,700,2725-1281
2580500,1212500,2023,1,2,0,700,2580-1212
2594656,1201678,2023,1,2,0,700,2594-1201
2570500,1203500,2023,1,2,0,700,2570-1203
2660500,1270500,2021,1,13,0,700,2660-1270
2739500,1275500,2025,1,1,0,700,2739-1275
2547125,1183919,2021,1,9,0,700,2547-1183
2739721,1275204,2025,1,10,0,700,2739-1275
2660500,1270500,2025,1,,0,700,2660-1270
2579969,1212196,2023,1,1,0,700,2579-1212
2539115,1182697,2023,1,33,0,700,2539-1182
2725689,1280923,2022,1,21,0,700,2725-1280
2725596,1281038,2023,1,10,0,700,2725-1281
2725934,1280922,2022,1,1,0,700,2725-1280
2731215,1279558,2025,1,25,0,700,2731-1279
2579932,1212253,2023,1,4,0,700,2579-1212
2707697.43489667,1278958.87957616,2024,1,2,0,700,2707-1278
2580090.6502114,1212497.13430467,2023,1,2,0,700,2580-1212
2723711,1281771,2025,1,,0,700,2723-1281
2724326,1281482,2025,1,,0,700,2724-1281
2726100,1280842,2021,1,20,0,700,2726-1280
2725500,1281500,2021,1,20,0,700,2725-1281
2580373,1212780,2023,1,2,0,700,2580-1212
2569525.56262002,1203696.28167077,2024,1,33,0,700,2569-1203
2725589,1280852,2025,1,15,0,700,2725-1280
2739689,1275226,2025,1,10,0,700,2739-1275
2725599.35466561,1281400.06347737,2023,1,,0,700,2725-1281
2570500,1203500,2024,1,7,0,700,2570-1203
2725396,1280942,2025,1,15,0,700,2725-1280
2660500,1270500,2023,1,,0,700,2660-1270
2568901,1203430,2021,1,,0,700,2568-1203
2568888,1203098,2023,1,2,0,700,2568-1203
2739500,1275500,2021,1,200,0,700,2739-1275
2569500,1203500,2023,1,5,0,700,2569-1203
2660500,1270500,2025,1,130,0,700,2660-1270
2569692,1203060,2024,1,40,0,700,2569-1203
2659179,1271323,2023,1,3,0,700,2659-1271
2660070,1270382,2023,1,,0,700,2660-1270
2630102,1270117,2023,1,8,0,700,2630-1270
2571101,1202844,2023,1,2,0,700,2571-1202
2659828,1270478,2025,1,75,0,700,2659-1270
2659551,1271119,2024,1,,0,700,2659-1271
2571042,1202732,2025,1,3,0,700,2571-1202
2704500,1231500,2025,1,1,0,700,2704-1231
2569500,1203500,2024,1,8,0,700,2569-1203
2660500,1270500,2021,1,30,0,700,2660-1270
2570154,1195101,2021,1,30,0,700,2570-1195
2659810,1270777,2023,1,23,0,700,2659-1270
2659979,1270612,2024,1,70,0,700,2659-1270
2658648,1272002,2023,1,7,0,700,2658-1272
2704500,1231500,2022,1,2,0,700,2704-1231
2660500,1270500,2021,1,,0,700,2660-1270
2660500,1270500,2021,1,30,0,700,2660-1270
2539405.23201616,1182388.82094445,2021,1,5,0,700,2539-1182
2593500,1201500,2021,1,2,0,700,2593-1201
2580500,1212500,2023,1,2,0,700,2580-1212
2575313.48974961,1258076.3403946,2024,1,3,0,700,2575-1258
2660500,1270500,2024,1,,0,700,2660-1270
2569153,1202540,2025,1,15,0,700,2569-1202
2703500,1230500,2025,1,1,0,700,2703-1230
2659500,1270500,2023,1,12,0,700,2659-1270
