x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2785500,1196500,2022,12,1,0,1500,2785-1196
2515053,1161689,2025,7,1,0,1500,2515-1161
2699817,1212532,2022,12,,0,1500,2699-1212
2770531,1170251,2025,19,,2,1500,2770-1170
2699634,1212543,2022,12,,0,1500,2699-1212
2622500,1163500,2021,12,1,0,1500,2622-1163
2694694,1224220,2022,12,,0,1500,2694-1224
2694694,1224220,2022,12,,0,1500,2694-1224
2699820,1212541,2022,12,,0,1500,2699-1212
2699643,1212549,2022,12,,0,1500,2699-1212
2699630,1212550,2022,12,,0,1500,2699-1212
2699838,1212535,2022,12,,0,1500,2699-1212
2699630,1212550,2022,12,,0,1500,2699-1212
2699820,1212541,2022,12,,0,1500,2699-1212
2699643,1212549,2022,12,,0,1500,2699-1212
2699817,1212532,2022,12,,0,1500,2699-1212
2657375,1200720,2023,19,2,3,1500,2657-1200
2699634,1212543,2022,12,,0,1500,2699-1212
2699838,1212535,2022,12,,0,1500,2699-1212
2770002,1169901,2025,19,,2,1500,2770-1169
2770749,1169773,2025,19,1,2,1500,2770-1169
2740870,1186041,2024,25,3,3,1500,2740-1186
2512740,1161673,2022,25,2,4,1500,2512-1161
2632483,1179409,2023,25,,2,1500,2632-1179
2501553,1161119,2023,25,1,2,1500,2501-1161
2728500,1231500,2022,19,1,3,1500,2728-1231
2632750,1179719,2023,25,,2,1500,2632-1179
2767395,1163112,2025,25,1,2,1500,2767-1163
2632459,1179614,2023,25,,2,1500,2632-1179
2632770,1179874,2023,25,,2,1500,2632-1179
2632707,1179959,2023,25,,2,1500,2632-1179
2632546,1179857,2023,25,,2,1500,2632-1179
2632410,1179379,2023,25,,2,1500,2632-1179
2632325,1179553,2023,25,,2,1500,2632-1179
2757583,1202136,2022,25,1,3,1500,2757-1202
2504153,1154740,2021,25,1,2,1500,2504-1154
2632276,1179566,2023,25,,2,1500,2632-1179
2632295,1179526,2023,25,,2,1500,2632-1179
2632789,1179911,2023,25,,2,1500,2632-1179
2727031,1184821,2023,25,2,2,1500,2727-1184
2701750,1214012,2021,31,1,2,1500,2701-1214
2523030,1177600,2021,25,1,2,1500,2523-1177
2751341,1168385,2025,25,1,2,1500,2751-1168
2746518,1210875,2025,25,3,3,1500,2746-1210
2706888,1168944,2025,25,1,1,1500,2706-1168
2785100,1190096,2025,25,1,1,1500,2785-1190
2632351,1179580,2023,25,,2,1500,2632-1179
2631824,1178545,2021,31,,2,1500,2631-1178
2787500,1191500,2023,31,1,2,1500,2787-1191
2822220,1186607,2025,31,1,1,1500,2822-1186
2632291,1179572,2023,25,1,2,1500,2632-1179
2753701,1206887,2021,37,1,2,1500,2753-1206
2632382,1179723,2023,25,,2,1500,2632-1179
2632779,1179945,2023,25,,2,1500,2632-1179
2632342,1179557,2023,25,,2,1500,2632-1179
2632444,1179487,2023,25,,2,1500,2632-1179
2632568,1179851,2023,25,,2,1500,2632-1179
2632355,1179612,2023,25,,2,1500,2632-1179
2632387,1179584,2023,25,,2,1500,2632-1179
2632717,1179848,2023,25,,2,1500,2632-1179
2632279,1179559,2023,25,,2,1500,2632-1179
2650789,1189094,2021,31,1,2,1500,2650-1189
2740441,1185888,2024,43,1,2,1500,2740-1185
2726486,1231588,2022,55,1,0,1500,2726-1231
2797243,1166333,2024,61,1,0,1500,2797-1166
2787401,1151217,2022,61,1,0,1500,2787-1151
2758142,1201731,2025,49,1,0,1500,2758-1201
2631595,1179037,2022,43,5,13,1500,2631-1179
2515661,1161537,2024,67,1,0,1500,2515-1161
2631682,1179343,2022,43,2,2,1500,2631-1179
2631777,1179609,2022,43,1,2,1500,2631-1179
2743078,1187861,2021,13,1,0,1500,2743-1187
2738004,1174655,2022,49,1,0,1500,2738-1174
2512513,1161893,2021,19,2,1,1500,2512-1161
2504055,1155526,2022,25,1,2,1500,2504-1155
2505652,1155532,2021,25,1,2,1500,2505-1155
2505652,1155532,2021,25,1,2,1500,2505-1155
2505652,1155532,2021,25,1,2,1500,2505-1155
2506500,1153500,2022,1,1,0,1500,2506-1153
2506928,1153607,2021,61,1,0,1500,2506-1153
2741179,1185899,2024,13,2,0,1500,2741-1185
2826194,1204778,2025,25,1,1,1500,2826-1204
2746500,1210500,2022,25,1,1,1500,2746-1210
2503417,1153835,2025,25,2,2,1500,2503-1153
2830091,1194483,2022,25,1,1,1500,2830-1194
2608947,1167549,2025,25,1,1,1500,2608-1167
2810031,1171993,2021,7,1,0,1500,2810-1171
2809949,1172248,2021,7,1,0,1500,2809-1172
2800618,1171277,2023,31,4,6,1500,2800-1171
2643301,1184723,2021,37,2,2,1500,2643-1184
2741248,1186018,2024,13,1,0,1500,2741-1186
2740500,1185500,2024,13,1,0,1500,2740-1185
2622617,1163689,2022,25,1,2,1500,2622-1163
2773469,1170760,2025,43,1,1,1500,2773-1170
