x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2669294,1204134,2025,1,1,0,3960,2669-1204
2665799,1211873,2024,1,1,0,3960,2665-1211
2813807,1186208,2025,1,1,0,3960,2813-1186
2594242,1120174,2021,1,1,0,3960,2594-1120
2682728,1202500,2024,1,1,0,3960,2682-1202
2614500,1211500,2022,1,1,0,3960,2614-1211
2545350.55291974,1198300.73955352,2024,1,1,0,3960,2545-1198
2742500,1251500,2024,1,1,0,3960,2742-1251
2545345,1198590,2024,1,1,0,3960,2545-1198
2584553.21416007,1117209.94172944,2021,1,2,0,3960,2584-1117
2617900,1128530,2022,1,1,0,3960,2617-1128
2617575,1128826,2022,1,1,0,3960,2617-1128
2545339,1198576,2024,1,1,0,3960,2545-1198
2626500,1170500,2021,1,1,0,3960,2626-1170
2742500,1251500,2023,1,1,0,3960,2742-1251
2613500,1255500,2025,1,1,0,3960,2613-1255
2709683,1113740,2024,1,1,0,3960,2709-1113
2626500,1170500,2021,1,1,0,3960,2626-1170
2613566,1168871,2023,1,1,0,3960,2613-1168
2578560.21720574,1184511.07025402,2023,1,1,0,3960,2578-1184
2618573.65776178,1128861.5219693,2023,1,1,0,3960,2618-1128
2579206.20689275,1183917.0583193,2022,1,1,0,3960,2579-1183
2614875,1211899,2023,1,1,0,3960,2614-1211
2584500,1117500,2025,1,1,0,3960,2584-1117
2578527.22247828,1246056.26048365,2022,1,1,0,3960,2578-1246
2757699,1150074,2025,1,1,0,3960,2757-1150
2759231,1148961,2024,1,1,0,3960,2759-1148
2722178,1086793,2024,1,1,0,3960,2722-1086
2576532,1162431,2023,1,1,0,3960,2576-1162
2578460,1246031,2022,1,1,0,3960,2578-1246
2578527.22247828,1246056.26048365,2022,1,1,0,3960,2578-1246
2745316,1179168,2024,7,1,0,3960,2745-1179
2608500,1233500,2022,1,1,0,3960,2608-1233
2733448,1164538,2024,7,1,0,3960,2733-1164
2738500,1183500,2021,7,1,0,3960,2738-1183
2618183,1129095,2025,1,1,0,3960,2618-1129
2618198,1129130,2023,1,1,0,3960,2618-1129
2618192,1129133,2025,1,1,0,3960,2618-1129
2557542,1130665,2023,1,1,0,3960,2557-1130
2584920,1117276,2021,1,2,0,3960,2584-1117
2584822,1117170,2025,1,1,0,3960,2584-1117
2578549,1184524,2024,1,1,0,3960,2578-1184
2579251,1183210,2021,1,1,0,3960,2579-1183
2584553.21416007,1117209.94172944,2021,12,1,0,3960,2584-1117
2750589,1255905,2023,1,2,0,3960,2750-1255
2556348.87376336,1113784.45789615,2023,7,1,0,3960,2556-1113
2729911,1171592,2025,1,1,0,3960,2729-1171
2729811,1171618,2025,1,1,0,3960,2729-1171
2578560,1246278,2024,12,1,0,3960,2578-1246
2762831,1146324,2024,7,1,0,3960,2762-1146
2530433,1183023,2025,7,1,0,3960,2530-1183
2615032,1185663,2021,12,1,0,3960,2615-1185
2619638,1257251,2024,12,1,0,3960,2619-1257
2611571,1255833,2022,12,1,0,3960,2611-1255
2669220,1204009,2025,12,1,0,3960,2669-1204
2579500,1246500,2024,12,1,0,3960,2579-1246
2529896,1183091,2022,12,1,0,3960,2529-1183
2617917,1128559,2025,12,1,0,3960,2617-1128
2556935,1207348,2024,12,1,0,3960,2556-1207
2563500,1232500,2022,12,1,0,3960,2563-1232
2557530,1130672,2023,7,1,0,3960,2557-1130
2709500,1171500,2025,12,1,0,3960,2709-1171
