x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2496982,1112016,2022,1,2,0,3070,2496-1112
2610500,1259500,2025,1,1,0,3070,2610-1259
2610497,1189047,2024,1,1,0,3070,2610-1189
2572276,1203854,2023,1,1,0,3070,2572-1203
2616848,1227087,2023,7,1,0,3070,2616-1227
2488378,1112118,2024,7,1,0,3070,2488-1112
2598401,1202843,2024,12,1,0,3070,2598-1202
2506372,1122445,2023,12,1,0,3070,2506-1122
2488365,1112115,2023,12,1,0,3070,2488-1112
2570723,1202729,2021,19,1,3,3070,2570-1202
2496766,1112255,2021,19,1,2,3070,2496-1112
2598397,1202870,2025,25,1,3,3070,2598-1202
2656901,1269809,2024,25,6,19,3070,2656-1269
2639478,1248795,2023,25,6,19,3070,2639-1248
2570500,1203500,2024,25,1,7,3070,2570-1203
2570500,1202500,2024,25,1,7,3070,2570-1202
2572615.54203675,1203345.22684924,2021,19,1,2,3070,2572-1203
2650074,1226712,2025,31,7,19,3070,2650-1226
2677123,1252109,2024,25,1,14,3070,2677-1252
2677122,1252108,2024,25,1,14,3070,2677-1252
2570500,1203500,2022,25,1,1,3070,2570-1203
2572306,1203836,2022,31,1,2,3070,2572-1203
2581949,1206837,2023,37,5,19,3070,2581-1206
2576095,1259996,2024,31,4,19,3070,2576-1259
2572291,1203811,2023,37,1,2,3070,2572-1203
2657164,1244220,2023,43,10,19,3070,2657-1244
2616997.53316224,1227529.72548886,2025,43,1,2,3070,2616-1227
2493288.53347994,1113405.09595169,2024,31,6,19,3070,2493-1113
2493288.53347994,1113405.09595169,2024,31,6,19,3070,2493-1113
2496765,1112308,2024,31,2,19,3070,2496-1112
2670736,1266447,2022,31,4,19,3070,2670-1266
2598442,1202901,2025,37,1,2,3070,2598-1202
2677165,1271964,2024,37,9,19,3070,2677-1271
2646500,1242500,2021,37,1,13,3070,2646-1242
2642457,1223175,2022,37,5,19,3070,2642-1223
2737268,1274943,2025,37,1,1,3070,2737-1274
2642436,1223178,2022,37,5,19,3070,2642-1223
2688395,1268789,2025,55,1,0,3070,2688-1268
2572288,1203819,2022,55,2,0,3070,2572-1203
2572291,1203833,2022,55,1,0,3070,2572-1203
2572295,1203839,2022,55,1,0,3070,2572-1203
2572269,1203803,2022,55,1,0,3070,2572-1203
2572235,1203659,2022,55,2,0,3070,2572-1203
2644864,1223671,2025,31,1,2,3070,2644-1223
2503445,1132034,2024,31,3,19,3070,2503-1132
2737268,1274943,2025,43,1,1,3070,2737-1274
2707413,1231500,2021,49,1,0,3070,2707-1231
2591273,1203550,2022,49,4,13,3070,2591-1203
2737268,1274943,2025,49,1,0,3070,2737-1274
2705500,1273500,2025,43,1,3,3070,2705-1273
2705500,1273500,2025,37,1,3,3070,2705-1273
2646353,1242077,2021,37,1,19,3070,2646-1242
2572615.54203675,1203345.22684924,2023,37,1,2,3070,2572-1203
2572281,1203823,2023,7,1,0,3070,2572-1203
2572286,1203839,2024,7,1,0,3070,2572-1203
2705500,1273500,2025,43,1,3,3070,2705-1273
2522585,1149752,2024,19,1,7,3070,2522-1149
2717500,1229500,2023,49,1,0,3070,2717-1229
2717724,1229953,2023,49,1,0,3070,2717-1229
2578427,1195747,2022,61,1,0,3070,2578-1195
2555854,1174501,2023,67,1,0,3070,2555-1174
2622840,1236161,2022,61,1,0,3070,2622-1236
