x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2717170,1114120,2024,19,1,0,3360,2717-1114
2617500,1129500,2021,19,2,0,3360,2617-1129
2715500,1114500,2022,25,1,1,3360,2715-1114
2717500,1114500,2025,19,2,0,3360,2717-1114
2490674,1111056,2022,25,1,7,3360,2490-1111
2762315,1199963,2024,25,1,2,3360,2762-1199
2578152,1111835,2021,19,1,0,3360,2578-1111
2617774,1129357,2021,19,1,3,3360,2617-1129
2599493,1121672,2021,25,2,1,3360,2599-1121
2616126.64712991,1129791.54153697,2021,19,1,0,3360,2616-1129
2618701.65692841,1128642.52123247,2024,19,1,0,3360,2618-1128
2759092,1209389,2025,19,1,0,3360,2759-1209
2490164,1116427,2025,25,1,16,3360,2490-1116
2716410.0839195,1113823.61702929,2022,25,1,2,3360,2716-1113
2717849,1114076,2023,25,1,1,3360,2717-1114
2716595,1114013,2022,25,1,3,3360,2716-1114
2717362,1114275,2023,25,1,2,3360,2717-1114
2716252,1113453,2023,25,1,2,3360,2716-1113
2542077,1188167,2023,25,2,4,3360,2542-1188
2489882,1115461,2025,25,1,3,3360,2489-1115
2542351,1188320,2022,25,2,7,3360,2542-1188
2713500,1113500,2023,25,1,3,3360,2713-1113
2762500,1205500,2021,25,1,3,3360,2762-1205
2514012,1147129,2023,25,2,4,3360,2514-1147
2751242,1175425,2023,25,2,2,3360,2751-1175
2636367,1127266,2022,19,1,0,3360,2636-1127
2716500,1113500,2023,25,1,2,3360,2716-1113
2488542,1116980,2025,25,2,3,3360,2488-1116
2490732,1116842,2023,25,1,3,3360,2490-1116
2579500,1112500,2025,19,1,0,3360,2579-1112
2716500,1113500,2023,25,2,2,3360,2716-1113
2713343,1115029,2025,25,1,3,3360,2713-1115
2713427,1115259,2022,25,1,2,3360,2713-1115
2752043,1189372,2021,25,2,4,3360,2752-1189
2815375,1184429,2021,25,1,1,3360,2815-1184
2815370,1184435,2021,25,1,1,3360,2815-1184
2599500,1121500,2021,25,1,3,3360,2599-1121
2716500,1113500,2023,25,1,2,3360,2716-1113
2716827,1114134,2024,31,1,1,3360,2716-1114
2490025,1115858,2025,25,1,14,3360,2490-1115
2749500,1186500,2023,19,2,0,3360,2749-1186
2582385,1113914,2025,19,2,0,3360,2582-1113
2517789.48317206,1148934.29472865,2025,31,1,2,3360,2517-1148
2490226.59713488,1115528.17473354,2021,31,1,3,3360,2490-1115
2490500,1116500,2023,25,1,3,3360,2490-1116
2489886,1115725,2025,25,1,3,3360,2489-1115
2716677,1113938,2022,25,1,3,3360,2716-1113
2760223,1193201,2024,31,1,16,3360,2760-1193
2760339,1193136,2024,31,1,1,3360,2760-1193
2715500,1113500,2023,25,1,2,3360,2715-1113
2713167,1115123,2022,25,1,3,3360,2713-1115
2713344,1115027,2024,25,1,2,3360,2713-1115
2541709,1187885,2025,25,1,3,3360,2541-1187
2581281,1111929,2023,31,1,2,3360,2581-1111
2616110,1129645,2022,25,1,3,3360,2616-1129
2716317,1113571,2023,25,1,3,3360,2716-1113
2716873,1113606,2023,25,2,2,3360,2716-1113
2716290,1113670,2023,25,1,2,3360,2716-1113
2716559,1113804,2022,25,1,3,3360,2716-1113
2489934,1116306,2022,25,2,3,3360,2489-1116
2716190,1113418,2023,25,2,2,3360,2716-1113
2716488,1113707,2022,25,3,3,3360,2716-1113
2758138,1209636,2024,25,1,2,3360,2758-1209
2752787,1188587,2022,25,1,3,3360,2752-1188
2752783,1188589,2022,25,1,3,3360,2752-1188
2583752,1196828,2022,25,1,3,3360,2583-1196
2615601,1129673,2024,31,1,3,3360,2615-1129
2619046,1130177,2021,31,1,3,3360,2619-1130
2490517,1116738,2023,31,1,16,3360,2490-1116
2615856,1129759,2021,31,2,2,3360,2615-1129
2714427,1114488,2022,25,1,3,3360,2714-1114
2716500,1113500,2023,25,1,2,3360,2716-1113
2759056,1209335,2024,25,1,3,3360,2759-1209
2759027,1209137,2024,25,3,3,3360,2759-1209
2815528,1184619,2022,25,1,1,3360,2815-1184
2759330,1208771,2022,25,1,3,3360,2759-1208
2749500,1186500,2021,31,1,3,3360,2749-1186
2616126.64712991,1129791.54153697,2022,25,1,3,3360,2616-1129
2824641,1191310,2021,25,2,4,3360,2824-1191
2816954,1185588,2021,25,1,1,3360,2816-1185
2711500,1112500,2023,25,1,2,3360,2711-1112
2488810.59777532,1115499.21811315,2021,31,1,2,3360,2488-1115
2715500,1114500,2021,31,1,1,3360,2715-1114
2760500,1133500,2021,31,1,3,3360,2760-1133
2617707,1130503,2025,31,1,2,3360,2617-1130
2582479,1113483,2023,31,2,7,3360,2582-1113
2753500,1176500,2021,31,1,3,3360,2753-1176
2617633,1130491,2025,31,1,2,3360,2617-1130
2581832,1113618,2023,31,1,14,3360,2581-1113
2542225,1188350,2024,31,1,3,3360,2542-1188
2542224,1188201,2024,31,1,16,3360,2542-1188
2617843,1129262,2024,25,1,2,3360,2617-1129
2758588,1209588,2024,25,1,2,3360,2758-1209
2758814,1209512,2024,25,1,2,3360,2758-1209
2758999,1209314,2024,25,3,2,3360,2758-1209
2627290,1129540,2024,37,1,2,3360,2627-1129
2542109,1188255,2021,31,2,4,3360,2542-1188
2490338,1116003,2025,37,1,1,3360,2490-1116
2490158,1116445,2022,37,1,16,3360,2490-1116
2490272,1116461,2021,37,2,4,3360,2490-1116
2582539,1113697,2023,37,1,14,3360,2582-1113
2489827,1115404,2021,37,1,2,3360,2489-1115
2582435,1113751,2023,37,1,2,3360,2582-1113
2581840,1113529,2023,37,1,2,3360,2581-1113
2581705,1112810,2023,37,1,2,3360,2581-1112
2490500,1114500,2022,31,1,1,3360,2490-1114
2754500,1175500,2022,31,1,3,3360,2754-1175
2715970,1114375,2021,31,1,1,3360,2715-1114
2542179,1188443,2023,43,2,4,3360,2542-1188
2490500,1114500,2022,43,1,0,3360,2490-1114
2713513,1114989,2024,31,1,1,3360,2713-1114
2604219.49677809,1124457.66807756,2023,31,1,1,3360,2604-1124
2714046,1114347,2025,31,1,3,3360,2714-1114
2617916,1129339,2025,31,2,16,3360,2617-1129
2617724,1129276,2025,31,2,3,3360,2617-1129
2617749,1129290,2025,31,2,3,3360,2617-1129
2777018,1198868,2021,37,4,13,3360,2777-1198
2777083,1198872,2021,37,3,2,3360,2777-1198
2577471,1204120,2022,37,2,13,3360,2577-1204
2716617,1113367,2022,31,1,1,3360,2716-1113
2761582,1196019,2024,37,1,3,3360,2761-1196
2617599,1130408,2023,37,2,4,3360,2617-1130
2637210.78735459,1127606.40335831,2022,31,1,7,3360,2637-1127
2759765,1193605,2024,37,3,13,3360,2759-1193
2577053,1202957,2023,31,1,3,3360,2577-1202
2616500,1129500,2023,37,1,2,3360,2616-1129
2754450,1175791,2022,43,1,2,3360,2754-1175
2824568,1191174,2025,31,1,3,3360,2824-1191
2824391,1191163,2025,31,1,18,3360,2824-1191
2490871.61497338,1116162.15102031,2023,31,1,1,3360,2490-1116
2816250,1185110,2023,31,1,2,3360,2816-1185
2512529,1146658,2022,31,2,3,3360,2512-1146
2512516,1146606,2022,31,4,19,3360,2512-1146
2758500,1235500,2022,43,1,0,3360,2758-1235
2616500,1129500,2023,31,1,2,3360,2616-1129
2490634,1111065,2022,37,1,5,3360,2490-1111
2628384,1129565,2024,37,1,3,3360,2628-1129
2520266,1150314,2022,37,1,2,3360,2520-1150
2490028,1111240,2022,37,1,2,3360,2490-1111
2749500,1186500,2021,37,1,16,3360,2749-1186
2714756,1114826,2024,37,3,16,3360,2714-1114
2716500,1114500,2023,31,1,3,3360,2716-1114
2637210.78735459,1127606.40335831,2025,37,1,2,3360,2637-1127
2636819.78510714,1127711.40501098,2023,37,1,19,3360,2636-1127
2490028,1115760,2023,37,4,13,3360,2490-1115
2490077,1115564,2022,37,1,18,3360,2490-1115
2488937,1116532,2024,37,1,2,3360,2488-1116
2615824,1129315,2021,31,1,2,3360,2615-1129
2617743,1129318,2021,31,4,6,3360,2617-1129
2520239,1150337,2025,43,1,0,3360,2520-1150
2628993,1128356,2021,43,1,0,3360,2628-1128
2716410.0839195,1113823.61702929,2023,43,1,0,3360,2716-1113
2759462,1208922,2022,43,1,0,3360,2759-1208
2752098,1174062,2024,31,1,3,3360,2752-1174
2617724,1129345,2024,31,1,3,3360,2617-1129
2619418,1129759,2025,31,1,3,3360,2619-1129
2619168,1129636,2021,31,1,3,3360,2619-1129
2616325,1129706,2025,31,1,3,3360,2616-1129
2713979,1114664,2025,31,2,4,3360,2713-1114
2619462,1129770,2025,31,1,3,3360,2619-1129
2618913,1128889,2023,37,1,2,3360,2618-1128
2490030,1115625,2021,37,1,2,3360,2490-1115
2751500,1189500,2021,37,6,2,3360,2751-1189
2816237,1185176,2023,37,2,4,3360,2816-1185
2749472,1186463,2021,37,1,2,3360,2749-1186
2616148.64347324,1129356.54192996,2023,37,1,2,3360,2616-1129
2616148.64347324,1129356.54192996,2023,37,1,2,3360,2616-1129
2627519,1129543,2024,37,1,2,3360,2627-1129
2632321.75582839,1128237.42744769,2022,43,1,0,3360,2632-1128
2754428,1174740,2022,43,1,2,3360,2754-1174
2697304,1122707,2024,43,1,0,3360,2697-1122
2637392,1127615,2021,43,4,0,3360,2637-1127
2520351.51878233,1150309.22860984,2023,49,1,0,3360,2520-1150
2512500,1146500,2021,19,1,0,3360,2512-1146
2490188,1115364,2022,19,1,0,3360,2490-1115
2542019,1188630,2025,19,1,0,3360,2542-1188
2542203,1188553,2023,19,1,0,3360,2542-1188
2542186,1188313,2023,19,1,0,3360,2542-1188
2752808,1188585,2025,19,1,0,3360,2752-1188
2490492,1116383,2021,19,2,0,3360,2490-1116
2717862,1114614,2024,19,1,0,3360,2717-1114
2717710,1114461,2024,19,1,0,3360,2717-1114
2717647,1114428,2024,19,2,0,3360,2717-1114
2490657,1111035,2021,25,2,6,3360,2490-1111
2757273,1190662,2025,25,1,10,3360,2757-1190
2617940,1128434,2021,25,1,2,3360,2617-1128
2542019.35919869,1188630.78092902,2025,25,1,16,3360,2542-1188
2542068,1188129,2025,25,1,3,3360,2542-1188
2542062,1188234,2021,25,1,3,3360,2542-1188
2720244,1126299,2021,25,1,2,3360,2720-1126
2490649,1116186,2021,25,1,3,3360,2490-1116
2489153,1115743,2025,19,1,0,3360,2489-1115
2752245,1174305,2024,19,1,0,3360,2752-1174
2617674,1129023,2025,19,1,0,3360,2617-1129
2715675,1113719,2023,19,1,0,3360,2715-1113
2715619,1114998,2025,19,2,0,3360,2715-1114
2715491,1114957,2023,19,1,0,3360,2715-1114
2577989,1203207,2023,31,2,4,3360,2577-1203
2490126,1114916,2021,31,1,1,3360,2490-1114
2490341,1114273,2021,31,1,2,3360,2490-1114
2516999,1147971,2025,31,1,18,3360,2516-1147
2756812,1189542,2024,31,1,2,3360,2756-1189
2713500,1113500,2024,31,4,13,3360,2713-1113
2542549,1188029,2023,31,1,2,3360,2542-1188
2542165,1188257,2023,31,1,3,3360,2542-1188
2579356,1112022,2024,19,1,3,3360,2579-1112
2719160,1178375,2023,19,1,0,3360,2719-1178
2542019.35919869,1188630.78092902,2024,31,1,1,3360,2542-1188
2761500,1201500,2021,31,1,16,3360,2761-1201
2490226.59713488,1115528.17473354,2022,19,1,0,3360,2490-1115
2519161,1148902,2025,31,3,19,3360,2519-1148
2716200,1114356,2024,31,1,1,3360,2716-1114
2713500,1115500,2025,31,1,3,3360,2713-1115
2728956,1182257,2023,19,1,0,3360,2728-1182
2490708,1116623,2023,31,1,3,3360,2490-1116
2490451,1116938,2023,31,1,1,3360,2490-1116
2603952,1124306,2021,37,1,2,3360,2603-1124
2603731,1124401,2021,37,1,13,3360,2603-1124
2603947,1124339,2021,37,4,13,3360,2603-1124
2583895,1196459,2022,37,1,2,3360,2583-1196
2576366,1110327,2022,37,2,14,3360,2576-1110
2517000,1147971,2025,37,3,19,3360,2517-1147
2542876,1188761,2025,37,1,3,3360,2542-1188
2542911,1188845,2021,37,1,18,3360,2542-1188
2542438,1188184,2025,37,1,2,3360,2542-1188
2756500,1191500,2023,25,1,2,3360,2756-1191
2713500,1113500,2024,25,2,2,3360,2713-1113
2617500,1129500,2022,37,5,2,3360,2617-1129
2759500,1209500,2025,25,1,3,3360,2759-1209
2615955,1129702,2021,25,2,3,3360,2615-1129
2615839,1129742,2021,25,1,2,3360,2615-1129
2615803,1129682,2021,25,2,2,3360,2615-1129
2711880,1112746,2021,25,1,2,3360,2711-1112
2713036,1113825,2024,25,2,2,3360,2713-1113
2752388,1173480,2024,25,1,3,3360,2752-1173
2489789,1115036,2021,25,1,2,3360,2489-1115
2599589,1122624,2025,25,1,3,3360,2599-1122
2754500,1175500,2024,43,2,19,3360,2754-1175
2715964,1113967,2021,25,1,3,3360,2715-1113
2716793,1113818,2021,25,1,3,3360,2716-1113
2715540,1114870,2023,25,1,3,3360,2715-1114
2715544,1113964,2021,25,1,1,3360,2715-1113
2755971,1190418,2023,25,1,1,3360,2755-1190
2713339,1115020,2022,25,1,3,3360,2713-1115
2605760,1124372,2025,49,1,0,3360,2605-1124
2761962,1196278,2024,25,1,1,3360,2761-1196
2715423,1113386,2025,49,1,0,3360,2715-1113
2715500,1114500,2024,19,1,0,3360,2715-1114
2749500,1186500,2023,19,3,0,3360,2749-1186
2711500,1112500,2023,25,1,3,3360,2711-1112
2617487,1130346,2025,31,2,7,3360,2617-1130
2617344,1130178,2025,31,2,16,3360,2617-1130
2617896,1130549,2025,31,1,2,3360,2617-1130
2541770,1188070,2023,31,1,3,3360,2541-1188
2541752,1187942,2023,31,6,19,3360,2541-1187
2617961,1129230,2021,31,2,16,3360,2617-1129
2619785,1130218,2023,31,1,3,3360,2619-1130
2519725,1150524,2025,31,1,18,3360,2519-1150
2519771,1150437,2025,31,1,19,3360,2519-1150
2754370,1176166,2024,31,1,2,3360,2754-1176
2716934,1113878,2021,25,1,3,3360,2716-1113
2716214,1113820,2021,25,1,2,3360,2716-1113
2752071,1174343,2024,19,1,0,3360,2752-1174
2612398,1128513,2021,19,1,0,3360,2612-1128
2753759,1176780,2021,25,1,3,3360,2753-1176
2760500,1207500,2021,37,5,19,3360,2760-1207
2542500,1188500,2025,25,2,1,3360,2542-1188
2618225,1129058,2022,37,1,2,3360,2618-1129
2760370,1207413,2021,37,4,19,3360,2760-1207
2541740,1187965,2025,25,2,7,3360,2541-1187
2759765,1193605,2024,37,3,13,3360,2759-1193
2490226.59713488,1115528.17473354,2021,25,1,2,3360,2490-1115
2617854.65410395,1129080.52765926,2021,19,1,0,3360,2617-1129
2752782,1179598,2021,19,1,0,3360,2752-1179
2489071,1116169,2021,25,1,3,3360,2489-1116
2698980,1115327,2023,37,1,16,3360,2698-1115
2716224,1113504,2021,25,1,1,3360,2716-1113
2822413,1190180,2024,37,3,19,3360,2822-1190
2822666,1190414,2024,37,3,19,3360,2822-1190
2577669,1202627,2022,25,2,4,3360,2577-1202
2760500,1193500,2024,19,1,0,3360,2760-1193
2715666,1114632,2022,43,1,0,3360,2715-1114
2759381,1194389,2024,43,2,0,3360,2759-1194
2615054,1129777,2021,43,1,0,3360,2615-1129
2824164,1191116,2024,19,1,0,3360,2824-1191
2824766,1191304,2024,19,1,0,3360,2824-1191
2599490,1121649,2021,19,1,0,3360,2599-1121
2717968,1178209,2023,43,4,13,3360,2717-1178
2824814,1191252,2024,19,1,0,3360,2824-1191
2824151,1191195,2024,19,1,0,3360,2824-1191
2490500,1114500,2022,31,1,1,3360,2490-1114
2762500,1200500,2021,31,2,4,3360,2762-1200
2754385,1175811,2024,43,2,13,3360,2754-1175
2617585.6635559,1130431.52811999,2025,31,1,2,3360,2617-1130
2599446.42076127,1121642.72893809,2021,31,1,1,3360,2599-1121
2582500,1112500,2022,31,2,12,3360,2582-1112
2520692,1149612,2025,31,2,19,3360,2520-1149
