x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2707174,1231518,2023,1,2,0,704,2707-1231
2569753,1203439,2025,1,6,0,704,2569-1203
2608117,1186693,2023,1,2,0,704,2608-1186
2706790,1230869,2025,1,2,0,704,2706-1230
2582294,1207508,2024,1,18,0,704,2582-1207
2569373,1197024,2025,1,2,0,704,2569-1197
2659364,1271468,2023,1,8,0,704,2659-1271
2663290,1272739,2024,1,2,0,704,2663-1272
2660070,1270382,2023,1,2,0,704,2660-1270
2582754,1207874,2024,1,4,0,704,2582-1207
2582760,1207725,2024,1,19,0,704,2582-1207
2659987,1270562,2023,1,2,0,704,2659-1270
2572045,1204393,2021,1,3,0,704,2572-1204
2570244,1203120,2025,1,1,0,704,2570-1203
2616840,1227356,2025,1,3,0,704,2616-1227
2658561,1271894,2023,1,7,0,704,2658-1271
2660114,1270365,2023,1,2,0,704,2660-1270
2658990,1271558,2025,1,2,0,704,2658-1271
2694737,1281507,2025,1,2,0,704,2694-1281
2614180,1269499,2022,1,2,0,704,2614-1269
2648030,1224990,2021,1,2,0,704,2648-1224
2613579,1264450,2024,1,2,0,704,2613-1264
2614000,1268899,2025,1,2,0,704,2614-1268
2614460,1269839,2021,1,3,0,704,2614-1269
2614460,1269839,2025,1,2,0,704,2614-1269
2539405.23201617,1182388.82094444,2025,1,9,0,704,2539-1182
2539046.23780685,1182645.82975201,2025,1,3,0,704,2539-1182
2559193.25591355,1131523.35576515,2021,1,3,0,704,2559-1131
2559257.26317684,1131875.35402401,2021,1,3,0,704,2559-1131
2539046.23780685,1182645.82975201,2025,1,3,0,704,2539-1182
2539405.23201617,1182388.82094444,2025,1,9,0,704,2539-1182
2570171.55826185,1203620.27005927,2024,1,,0,704,2570-1203
2705491.19607987,1274260.38802228,2023,1,2,0,704,2705-1274
2582895.56656368,1208228.07668853,2024,1,20,0,704,2582-1208
2729099.48039105,1275600.06245772,2024,1,2,0,704,2729-1275
2648500,1224500,2022,1,2,0,704,2648-1224
2610500,1266500,2025,1,2,0,704,2610-1266
2539405.23201617,1182388.82094444,2024,1,7,0,704,2539-1182
