x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2643710,1248152,2022,1,4,0,810,2643-1248
2603250.31646241,1196949.76871533,2023,1,3,0,810,2603-1196
2581500,1211500,2021,1,5,0,810,2581-1211
2635717,1246066,2025,1,5,0,810,2635-1246
2684001,1245443,2021,1,1,0,810,2684-1245
2657929,1233808,2023,1,2,0,810,2657-1233
2657890,1233834,2023,1,2,0,810,2657-1233
2616997.53316224,1227529.72548886,2025,1,2,0,810,2616-1227
2648369,1224747,2021,1,1,0,810,2648-1224
2616997.53316224,1227529.72548886,2025,1,2,0,810,2616-1227
2610045.62313111,1229799.79847376,2023,1,1,0,810,2610-1229
2684500,1237500,2023,1,6,0,810,2684-1237
2630037,1270064,2025,7,1,0,810,2630-1270
2759999.99367169,1263000.27822094,2021,7,1,0,810,2759-1263
2625500,1233500,2021,1,6,0,810,2625-1233
2695290,1242322,2025,1,1,0,810,2695-1242
2656788,1258262,2025,7,1,3,810,2656-1258
2616997.53316224,1227529.72548886,2025,7,2,0,810,2616-1227
2609312.57247774,1224063.78871366,2021,12,1,0,810,2609-1224
2639500,1246500,2025,12,3,0,810,2639-1246
2595500,1197500,2023,7,2,0,810,2595-1197
2527500,1151396,2024,1,1,0,810,2527-1151
2614699,1211696,2025,7,1,0,810,2614-1211
2569121,1196713,2025,12,4,0,810,2569-1196
2658500,1237500,2021,12,1,0,810,2658-1237
2581625,1211659,2021,12,2,0,810,2581-1211
2646117,1241087,2021,12,5,0,810,2646-1241
2651663,1251280,2025,12,2,0,810,2651-1251
2581500,1211500,2021,12,2,0,810,2581-1211
2502074,1117988,2024,19,1,0,810,2502-1117
2646926,1250485,2025,7,4,0,810,2646-1250
2688500,1210500,2021,7,1,0,810,2688-1210
2660300.10620835,1261399.61997048,2025,12,1,0,810,2660-1261
2496661.57455985,1114794.98550101,2021,19,2,0,810,2496-1114
2495318,1116600,2024,12,2,0,810,2495-1116
2721500,1258500,2021,19,1,0,810,2721-1258
2605500,1195500,2021,12,3,0,810,2605-1195
2607551,1192328,2023,19,2,0,810,2607-1192
2707880,1228707,2025,12,1,0,810,2707-1228
2500398,1115869,2025,19,1,0,810,2500-1115
2502040,1117981,2024,19,2,0,810,2502-1117
2733418,1278341,2023,12,1,0,810,2733-1278
2665238,1211873,2023,19,1,0,810,2665-1211
2498147,1115548,2025,19,2,4,810,2498-1115
2664496,1212143,2023,19,1,0,810,2664-1212
2530999,1151158,2021,19,1,0,810,2530-1151
2636261,1246579,2025,12,3,0,810,2636-1246
2572500,1206500,2024,25,1,1,810,2572-1206
2609889,1181540,2023,19,2,0,810,2609-1181
2581792,1210850,2021,19,1,0,810,2581-1210
2582290,1210572,2021,19,1,0,810,2582-1210
2582226,1210667,2021,19,1,0,810,2582-1210
2648637,1251598,2024,25,5,1,810,2648-1251
2611437,1214062,2024,25,1,2,810,2611-1214
2595320,1201024,2021,19,1,0,810,2595-1201
2603919,1196890,2022,25,1,2,810,2603-1196
2605534,1195291,2022,25,4,4,810,2605-1195
2572646,1206201,2024,25,1,2,810,2572-1206
2603593,1197086,2021,25,3,1,810,2603-1197
2642670,1247897,2025,25,1,1,810,2642-1247
2591677,1193571,2024,25,3,1,810,2591-1193
2501770.67202193,1118055.81597943,2024,25,1,2,810,2501-1118
2502188,1118585,2024,31,5,13,810,2502-1118
2647161,1250581,2024,25,1,2,810,2647-1250
2506237,1121646,2023,25,1,2,810,2506-1121
2646976,1250562,2025,31,5,13,810,2646-1250
2586079,1203815,2022,37,4,2,810,2586-1203
