x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2643710,1248152,2022,1,4,0,810,2643-1248
2603250.31646241,1196949.76871533,2023,1,3,0,810,2603-1196
2581500,1211500,2021,1,5,0,810,2581-1211
2657929,1233808,2023,1,2,0,810,2657-1233
2657890,1233834,2023,1,2,0,810,2657-1233
2610045.62313111,1229799.79847376,2023,1,1,0,810,2610-1229
2625500,1233500,2021,1,6,0,810,2625-1233
2609312.57247774,1224063.78871366,2021,12,1,0,810,2609-1224
2595500,1197500,2023,7,2,0,810,2595-1197
2581625,1211659,2021,12,2,0,810,2581-1211
2651663,1251280,2025,12,2,0,810,2651-1251
2581500,1211500,2021,12,2,0,810,2581-1211
2646926,1250485,2025,7,4,0,810,2646-1250
2496661.57455985,1114794.98550101,2021,19,2,0,810,2496-1114
2495318,1116600,2024,12,2,0,810,2495-1116
2605500,1195500,2021,12,3,0,810,2605-1195
2498147,1115548,2025,19,2,4,810,2498-1115
2530999,1151158,2021,19,1,0,810,2530-1151
2648637,1251598,2024,25,5,1,810,2648-1251
2603919,1196890,2022,25,1,2,810,2603-1196
2605534,1195291,2022,25,4,4,810,2605-1195
2603593,1197086,2021,25,3,1,810,2603-1197
2501770.67202193,1118055.81597943,2024,25,1,2,810,2501-1118
2502188,1118585,2024,31,5,13,810,2502-1118
2647161,1250581,2024,25,1,2,810,2647-1250
2646976,1250562,2025,31,5,13,810,2646-1250
2502098.6885961,1118632.8033728,2023,43,4,0,810,2502-1118
2609312.57247774,1224063.78871366,2024,49,2,0,810,2609-1224
2609312.57247774,1224063.78871366,2025,49,2,0,810,2609-1224
2684705,1235980,2023,37,6,13,810,2684-1235
2501401.67697745,1118248.82566905,2023,55,1,0,810,2501-1118
2648550,1251162,2024,43,1,0,810,2648-1251
2495282,1116627,2025,37,1,2,810,2495-1116
2502098.6885961,1118632.8033728,2025,37,1,2,810,2502-1118
2502098.6885961,1118632.8033728,2023,49,2,0,810,2502-1118
2604500,1196500,2021,67,9,0,810,2604-1196
2604000.3049866,1196199.75784522,2022,43,4,0,810,2604-1196
2604664,1196316,2023,49,1,0,810,2604-1196
2530712.55498419,1151132.97165397,2021,7,1,6,810,2530-1151
2594500,1201500,2025,61,1,0,810,2594-1201
2646441,1250548,2024,49,1,0,810,2646-1250
2646933,1249991,2024,7,2,0,810,2646-1249
2504617,1118240,2021,67,9,0,810,2504-1118
2757571,1207566,2024,67,30,0,810,2757-1207
2647150.29848629,1250799.61297727,2025,13,7,2,810,2647-1250
2646985,1249994,2024,1,5,0,810,2646-1249
2501770.67202193,1118055.81597943,2025,13,2,4,810,2501-1118
2604872,1196006,2023,13,3,0,810,2604-1196
2633564,1240160,2024,61,1,0,810,2633-1240
2652123,1251392,2022,1,2,0,810,2652-1251
2652063,1251367,2022,1,3,0,810,2652-1251
2652788,1251448,2022,1,2,0,810,2652-1251
2502098.6885961,1118632.8033728,2024,7,1,0,810,2502-1118
2501950,1118496,2025,19,2,0,810,2501-1118
2607351,1193433,2025,7,2,0,810,2607-1193
2605505,1195413,2025,7,2,0,810,2605-1195
2646154,1246169,2023,7,2,4,810,2646-1246
2707048,1233390,2024,7,5,0,810,2707-1233
2595599,1197820,2022,61,4,0,810,2595-1197
2693500,1231500,2023,13,2,0,810,2693-1231
2686854,1241364,2021,31,3,2,810,2686-1241
2502098.6885961,1118632.8033728,2024,31,5,13,810,2502-1118
2643500,1248500,2022,1,2,0,810,2643-1248
2609213,1182596,2024,19,2,0,810,2609-1182
