x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2561117,1195091,2022,1,1,0,3320,2561-1195
2569274,1196237,2025,1,1,0,3320,2569-1196
2590190,1209970,2024,1,2,0,3320,2590-1209
2502210,1126959,2023,1,1,0,3320,2502-1126
2630599,1239438,2024,1,1,0,3320,2630-1239
2654565,1243506,2021,1,1,0,3320,2654-1243
2539012,1182683,2025,1,2,0,3320,2539-1182
2539197,1182668,2021,1,1,0,3320,2539-1182
2539108,1182614,2021,1,1,0,3320,2539-1182
2584785,1205551,2023,1,2,0,3320,2584-1205
2661175,1269699,2024,1,1,0,3320,2661-1269
2730914,1279374,2024,1,1,0,3320,2730-1279
2659551,1271615,2022,1,1,0,3320,2659-1271
2660055,1270884,2023,1,1,0,3320,2660-1270
2682494,1249107,2025,1,1,0,3320,2682-1249
2659196,1271839,2023,1,1,0,3320,2659-1271
2582527,1200318,2021,1,1,0,3320,2582-1200
2741491,1221523,2024,1,1,0,3320,2741-1221
2686720,1210411,2021,1,1,0,3320,2686-1210
2682692,1247434,2023,1,1,0,3320,2682-1247
2617211,1227680,2023,1,2,0,3320,2617-1227
2659014,1271476,2023,1,1,0,3320,2659-1271
2540966,1181920,2021,1,1,0,3320,2540-1181
2539352,1182432,2024,1,1,0,3320,2539-1182
2578726,1203705,2022,1,1,0,3320,2578-1203
2660222,1269917,2025,1,1,0,3320,2660-1269
2658904,1271685,2025,1,1,0,3320,2658-1271
2681688,1243334,2023,1,1,0,3320,2681-1243
2660695,1269696,2022,1,1,0,3320,2660-1269
2658723,1271957,2023,1,1,0,3320,2658-1271
2570197,1203627,2023,1,1,0,3320,2570-1203
2582946,1194170,2025,1,1,0,3320,2582-1194
2703035,1248006,2024,1,1,0,3320,2703-1248
2534105,1152169,2025,1,1,0,3320,2534-1152
2740571,1219952,2024,1,1,0,3320,2740-1219
2654621,1256052,2022,1,1,0,3320,2654-1256
2659342,1271130,2023,1,1,0,3320,2659-1271
2702136,1244401,2025,1,1,0,3320,2702-1244
2647086,1250619,2025,1,1,0,3320,2647-1250
2695011,1282608,2023,1,1,0,3320,2695-1282
2716467,1113775,2024,1,1,0,3320,2716-1113
2570666,1202859,2025,1,1,0,3320,2570-1202
2539046.23780685,1182645.82975201,2024,1,1,0,3320,2539-1182
2539046.23780685,1182645.82975202,2021,1,1,0,3320,2539-1182
2539046.23780685,1182645.82975201,2025,1,1,0,3320,2539-1182
2539046.23780685,1182645.82975202,2021,1,3,0,3320,2539-1182
2547501.44417012,1183750.64391287,2021,1,1,0,3320,2547-1183
2569147.44266037,1196706.26540992,2025,1,1,0,3320,2569-1196
2729099.48039105,1275600.06245772,2024,1,1,0,3320,2729-1275
2569147.44266037,1196706.26540992,2024,1,1,0,3320,2569-1196
2570171.55826185,1203620.27005927,2025,1,1,0,3320,2570-1203
2691500,1234500,2025,1,2,0,3320,2691-1234
2725500,1280500,2023,1,1,0,3320,2725-1280
2743500,1272500,2023,1,1,0,3320,2743-1272
2507500,1120500,2025,1,1,0,3320,2507-1120
2701500,1229500,2025,1,1,0,3320,2701-1229
2679500,1254500,2024,1,1,0,3320,2679-1254
2608500,1228500,2025,1,1,0,3320,2608-1228
2673500,1231500,2021,1,1,0,3320,2673-1231
2660500,1270500,2024,1,4,0,3320,2660-1270
2701500,1229500,2025,1,1,0,3320,2701-1229
2679500,1254500,2024,1,1,0,3320,2679-1254
2580500,1212500,2025,1,1,0,3320,2580-1212
2595500,1201500,2021,1,1,0,3320,2595-1201
2659500,1270500,2025,1,1,0,3320,2659-1270
2660500,1270500,2023,1,3,0,3320,2660-1270
2593500,1201500,2021,1,1,0,3320,2593-1201
2644500,1249500,2024,1,1,0,3320,2644-1249
2679578.93494353,1254052.6237002,2025,1,1,0,3320,2679-1254
2528983.57136562,1152009.01368687,2025,1,1,0,3320,2528-1152
2559996.39143369,1138313.33332478,2024,1,1,0,3320,2559-1138
2579063.53544362,1204880.12543813,2022,1,1,0,3320,2579-1204
2613433.89138407,1264452.84084704,2022,1,1,0,3320,2613-1264
2580500,1212500,2022,1,1,0,3320,2580-1212
2576762.45290813,1199055.14355953,2021,1,1,0,3320,2576-1199
