x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2622376.70086227,1130734.48927672,2021,12,5,0,1560,2622-1130
2617993,1129183,2025,12,2,0,1560,2617-1129
2615722,1130025,2021,12,1,0,1560,2615-1130
2577520,1113988,2021,19,1,2,1560,2577-1113
2725525,1109641,2025,19,2,2,1560,2725-1109
2577329,1113605,2021,19,2,2,1560,2577-1113
2576326,1154827,2025,25,1,3,1560,2576-1154
2597888,1169564,2023,31,3,6,1560,2597-1169
2603438,1105015,2025,31,2,4,1560,2603-1105
2565512,1146672,2024,31,1,3,1560,2565-1146
2615452,1129848,2021,31,2,1,1560,2615-1129
2743209,1157731,2025,31,2,4,1560,2743-1157
2647279,1167961,2025,25,1,4,1560,2647-1167
2598787,1169466,2023,31,2,6,1560,2598-1169
2598215,1169702,2023,31,1,3,1560,2598-1169
2598409,1169571,2023,31,1,3,1560,2598-1169
2696659,1156265,2021,31,1,3,1560,2696-1156
2696413,1156422,2021,31,1,3,1560,2696-1156
2696877,1156410,2021,31,2,3,1560,2696-1156
2566115,1134330,2025,31,1,3,1560,2566-1134
2565221.5690095,1146600.23294518,2021,31,5,4,1560,2565-1146
2685242,1154209,2022,49,1,0,1560,2685-1154
2726209,1171231,2021,31,1,2,1560,2726-1171
2602335,1172638,2023,31,1,3,1560,2602-1172
2700004,1156242,2023,37,2,4,1560,2700-1156
2696457,1156319,2021,31,2,3,1560,2696-1156
2597074,1169362,2023,31,1,3,1560,2597-1169
2579374,1154259,2024,31,2,4,1560,2579-1154
2579624,1154330,2024,31,2,3,1560,2579-1154
2669667,1181321,2022,43,1,1,1560,2669-1181
2615500,1129500,2025,55,1,0,1560,2615-1129
2591700,1129368,2023,37,1,2,1560,2591-1129
2591335,1129921,2023,37,3,2,1560,2591-1129
2729924,1207764,2024,55,2,0,1560,2729-1207
2550387,1110347,2024,49,6,13,1560,2550-1110
2593499,1150697,2022,49,5,0,1560,2593-1150
2595363,1121647,2021,1,2,0,1560,2595-1121
2579129,1154775,2025,55,10,0,1560,2579-1154
2595525,1121701,2023,7,4,0,1560,2595-1121
2722094,1107683,2022,25,1,3,1560,2722-1107
2617527,1129101,2023,67,1,3,1560,2617-1129
2602433.35757164,1113632.71544032,2022,1,,0,1560,2602-1113
2698700,1156436,2021,31,1,3,1560,2698-1156
2587500,1164500,2022,31,1,1,1560,2587-1164
2622376.70086227,1130734.48927672,2022,7,2,0,1560,2622-1130
2567500,1150500,2022,37,1,1,1560,2567-1150
2615775,1129954,2021,25,1,3,1560,2615-1129
2615749,1129888,2021,25,2,3,1560,2615-1129
2615788,1129961,2021,25,1,2,1560,2615-1129
2615781,1129962,2021,25,1,2,1560,2615-1129
2615607,1129873,2023,25,2,2,1560,2615-1129
2608500,1115500,2021,37,1,3,1560,2608-1115
2550351.74133704,1110293.59993234,2025,43,1,3,1560,2550-1110
2669298,1182692,2021,43,5,1,1560,2669-1182
2709954,1102540,2023,25,1,3,1560,2709-1102
2709898,1102857,2023,25,2,4,1560,2709-1102
2617359,1132439,2025,25,1,2,1560,2617-1132
2578770,1154662,2021,43,1,3,1560,2578-1154
2617645,1132434,2025,25,2,2,1560,2617-1132
2618047,1132569,2025,25,1,3,1560,2618-1132
2618433,1132918,2025,25,1,3,1560,2618-1132
2618047,1132569,2025,25,1,3,1560,2618-1132
2617444,1132420,2025,25,1,2,1560,2617-1132
2615881,1131226,2024,31,1,3,1560,2615-1131
2615500,1129500,2022,19,1,3,1560,2615-1129
2743320,1159023,2025,55,4,0,1560,2743-1159
2653994,1118512,2023,25,1,3,1560,2653-1118
2653232,1118088,2023,25,2,2,1560,2653-1118
2602232,1172724,2021,37,1,2,1560,2602-1172
2602215,1172731,2021,37,1,2,1560,2602-1172
2696267,1168484,2025,43,7,13,1560,2696-1168
2667826,1180821,2023,31,3,4,1560,2667-1180
2584107,1158032,2023,31,1,2,1560,2584-1158
2698500,1156500,2024,37,1,3,1560,2698-1156
2615500,1129500,2025,7,1,0,1560,2615-1129
2627221,1132680,2025,37,3,8,1560,2627-1132
2602998,1172353,2022,37,2,13,1560,2602-1172
2602068,1172774,2021,37,1,3,1560,2602-1172
2731459,1178567,2021,37,1,3,1560,2731-1178
2615789,1129731,2021,55,3,0,1560,2615-1129
2600681.53917151,1172503.24935838,2023,31,2,4,1560,2600-1172
2579064,1154738,2022,49,6,13,1560,2579-1154
2617725,1129260,2025,31,2,2,1560,2617-1129
2615898,1131320,2023,31,1,2,1560,2615-1131
2615929,1131142,2023,31,2,2,1560,2615-1131
2726450,1211256,2023,31,3,3,1560,2726-1211
2726762,1211202,2023,37,2,3,1560,2726-1211
2576898,1150496,2025,37,1,3,1560,2576-1150
2601701,1172787,2021,37,1,3,1560,2601-1172
2603587,1111672,2024,25,2,4,1560,2603-1111
2753505,1205695,2024,43,1,13,1560,2753-1205
2551666,1131103,2023,25,1,3,1560,2551-1131
2580288,1084074,2023,49,5,13,1560,2580-1084
2731946,1178443,2021,31,1,3,1560,2731-1178
2731421,1178490,2021,31,2,4,1560,2731-1178
2604102,1094765,2025,31,1,3,1560,2604-1094
2604416,1094219,2025,31,2,4,1560,2604-1094
2605019,1143283,2023,31,2,6,1560,2605-1143
2567021,1150518,2023,31,2,4,1560,2567-1150
2731580,1178451,2022,37,5,2,1560,2731-1178
2801266,1164854,2023,37,2,8,1560,2801-1164
2577397,1113082,2024,7,2,0,1560,2577-1113
