x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2644100,1224766,2021,1,1,0,1110,2644-1224
2684743.4349278,1291838.75239682,2022,1,1,0,1110,2684-1291
2709628.1002368,1113293.57333526,2025,1,1,0,1110,2709-1113
2602500,1223500,2023,1,1,0,1110,2602-1223
2709497,1113284,2025,1,1,0,1110,2709-1113
2533399,1174711,2025,7,1,0,1110,2533-1174
2554960,1156740,2021,7,1,0,1110,2554-1156
2623500,1214500,2022,12,1,0,1110,2623-1214
2488635,1119391,2022,12,1,2,1110,2488-1119
2554533,1157107,2022,19,2,7,1110,2554-1157
2620500,1256500,2024,12,1,0,1110,2620-1256
2709599,1113324,2022,19,2,4,1110,2709-1113
2709603,1113342,2023,19,1,1,1110,2709-1113
2603709,1187631,2021,19,1,2,1110,2603-1187
2597613,1201587,2025,19,1,14,1110,2597-1201
2615500,1129500,2024,19,2,6,1110,2615-1129
2699055,1278384,2023,19,1,18,1110,2699-1278
2699078,1278350,2023,19,1,2,1110,2699-1278
2489470,1119791,2021,19,1,3,1110,2489-1119
2500908,1128656,2022,25,2,4,1110,2500-1128
2685500,1286500,2023,25,2,18,1110,2685-1286
2709598,1113343,2025,25,1,1,1110,2709-1113
2676500,1286500,2023,25,1,18,1110,2676-1286
2704983,1281804,2025,31,1,2,1110,2704-1281
2579500,1256500,2023,25,2,6,1110,2579-1256
2615500,1129500,2025,25,1,1,1110,2615-1129
2697649,1248565,2022,37,3,13,1110,2697-1248
2619622,1130699,2021,31,1,2,1110,2619-1130
2709628.1002368,1113293.57333526,2024,49,1,0,1110,2709-1113
2670557,1258591,2024,31,1,12,1110,2670-1258
2670557,1258591,2025,31,1,14,1110,2670-1258
2709628.1002368,1113293.57333526,2023,43,1,0,1110,2709-1113
2619686,1168368,2023,43,1,13,1110,2619-1168
2620500,1256500,2021,55,1,0,1110,2620-1256
2562918,1209055,2025,43,1,0,1110,2562-1209
2615500,1129500,2023,49,1,0,1110,2615-1129
2533248.07368523,1174778.94299175,2022,61,1,0,1110,2533-1174
2597868,1201400,2023,37,2,13,1110,2597-1201
2623500,1214500,2025,55,1,0,1110,2623-1214
2717500,1230500,2022,43,1,0,1110,2717-1230
2623500,1214500,2024,13,1,0,1110,2623-1214
2687005,1272410,2024,49,1,0,1110,2687-1272
2644268,1224676,2023,13,1,0,1110,2644-1224
2704966,1281720,2024,13,1,0,1110,2704-1281
2709628.1002368,1113293.57333526,2023,49,2,0,1110,2709-1113
2709628.1002368,1113293.57333526,2024,49,1,0,1110,2709-1113
2644022.27881142,1224716.54437009,2022,1,1,0,1110,2644-1224
2620324,1256810,2022,55,1,0,1110,2620-1256
2677223,1287088,2025,19,1,7,1110,2677-1287
2606232,1105897,2021,19,1,8,1110,2606-1105
2613331,1174491,2022,19,2,6,1110,2613-1174
2773308,1141387,2022,55,1,0,1110,2773-1141
2709628.1002368,1113293.57333526,2021,55,1,0,1110,2709-1113
2619550.67493726,1130056.51230342,2023,55,1,0,1110,2619-1130
2644120,1224677,2023,1,1,0,1110,2644-1224
2562914,1209080,2022,1,1,0,1110,2562-1209
2709603,1113342,2024,13,1,0,1110,2709-1113
2709524,1113123,2022,13,1,0,1110,2709-1113
2540150.56194561,1198000.85332784,2023,25,1,2,1110,2540-1198
2778473,1176256,2021,19,2,4,1110,2778-1176
2689756,1259407,2025,7,1,0,1110,2689-1259
2689689,1259515,2025,7,1,2,1110,2689-1259
2562915,1209086,2021,13,1,0,1110,2562-1209
2678430,1238742,2025,13,1,0,1110,2678-1238
2615500,1129500,2023,13,2,0,1110,2615-1129
2709294,1113677,2023,49,1,0,1110,2709-1113
2540200.57039914,1198400.85358925,2024,49,1,0,1110,2540-1198
2680167,1265189,2025,13,2,4,1110,2680-1265
2680167,1265189,2025,13,1,5,1110,2680-1265
2715500,1246500,2023,19,2,4,1110,2715-1246
2670557,1258591,2023,19,2,6,1110,2670-1258
2709628.1002368,1113293.57333526,2023,13,1,0,1110,2709-1113
2684886,1233982,2025,37,1,13,1110,2684-1233
2615500,1129500,2021,68,1,0,1110,2615-1129
2644258,1224589,2022,68,1,0,1110,2644-1224
2620500,1256500,2022,43,1,0,1110,2620-1256
2597601,1201575,2025,19,1,7,1110,2597-1201
2717500,1230500,2022,31,1,1,1110,2717-1230
2709628.1002368,1113293.57333526,2022,19,1,1,1110,2709-1113
2717500,1230500,2023,49,1,0,1110,2717-1230
2709540,1113381,2023,49,1,0,1110,2709-1113
2597625,1201568,2023,13,2,0,1110,2597-1201
2609500,1253500,2023,31,2,19,1110,2609-1253
2805737,1183702,2025,19,1,9,1110,2805-1183
2597541,1201449,2024,31,1,12,1110,2597-1201
2687780,1285104,2024,37,1,2,1110,2687-1285
2533207,1174979,2024,68,1,0,1110,2533-1174
2680167,1265189,2025,37,2,13,1110,2680-1265
2615500,1129500,2025,55,1,0,1110,2615-1129
2685763,1286681,2023,55,2,0,1110,2685-1286
2709628,1113293,2022,25,2,1,1110,2709-1113
2709602,1113343,2022,25,1,1,1110,2709-1113
2615500,1129500,2025,25,1,1,1110,2615-1129
2717500,1230500,2023,49,1,0,1110,2717-1230
2615500,1129500,2025,49,1,0,1110,2615-1129
2717500,1230500,2023,49,1,0,1110,2717-1230
2709628.1002368,1113293.57333526,2024,49,1,0,1110,2709-1113
2623500,1214500,2025,7,1,0,1110,2623-1214
2620358,1256802,2022,55,1,0,1110,2620-1256
2554508,1157101,2022,19,2,4,1110,2554-1157
2615500,1129500,2024,7,2,0,1110,2615-1129
2709640,1113239,2024,1,1,0,1110,2709-1113
2705028,1281788,2025,1,1,0,1110,2705-1281
2644022.27881142,1224716.54437009,2022,1,1,0,1110,2644-1224
2644022.27881142,1224716.54437008,2023,25,1,2,1110,2644-1224
2709500,1113500,2022,19,1,1,1110,2709-1113
2709500,1113500,2022,19,1,2,1110,2709-1113
2709628.1002368,1113293.57333526,2022,25,1,2,1110,2709-1113
2709500,1113500,2022,25,1,1,1110,2709-1113
2595500,1126500,2023,25,2,4,1110,2595-1126
2488626,1119324,2022,25,1,2,1110,2488-1119
2597531,1201438,2025,13,1,3,1110,2597-1201
2709551,1113207,2022,25,1,1,1110,2709-1113
2685752,1286584,2024,37,2,13,1110,2685-1286
2615717,1228065,2025,37,1,8,1110,2615-1228
2709628.1002368,1113293.57333526,2022,19,1,1,1110,2709-1113
2717500,1230500,2023,7,1,0,1110,2717-1230
2689743,1259495,2023,25,1,18,1110,2689-1259
2689749,1259487,2023,25,1,18,1110,2689-1259
2689701,1259505,2025,25,2,18,1110,2689-1259
2670713,1258531,2023,25,2,14,1110,2670-1258
2533482,1174710,2025,19,1,2,1110,2533-1174
2561157,1206467,2025,19,1,2,1110,2561-1206
2709952,1113029,2023,19,1,2,1110,2709-1113
