x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2717500,1114500,2021,1,1,0,3130,2717-1114
2490387,1112859,2021,12,1,0,3130,2490-1112
2570500,1259500,2023,12,1,3,3130,2570-1259
2569500,1259500,2023,12,1,3,3130,2569-1259
2718500,1114500,2022,12,1,0,3130,2718-1114
2574500,1255500,2021,12,1,0,3130,2574-1255
2574500,1255500,2023,12,1,3,3130,2574-1255
2508430,1122786,2023,19,1,2,3130,2508-1122
2716500,1113500,2021,12,1,0,3130,2716-1113
2490152,1112208,2021,19,1,3,3130,2490-1112
2578111,1258834,2023,19,2,7,3130,2578-1258
2490393,1113083,2021,19,2,3,3130,2490-1113
2575500,1256500,2023,12,1,3,3130,2575-1256
2574500,1254500,2023,12,1,3,3130,2574-1254
2491854,1112178,2021,19,1,3,3130,2491-1112
2492274,1112313,2021,19,3,4,3130,2492-1112
2491601,1110877,2021,19,1,3,3130,2491-1110
2490127,1112834,2025,19,1,3,3130,2490-1112
2718280,1114039,2023,25,1,2,3130,2718-1114
2718283,1114035,2023,25,1,2,3130,2718-1114
2718282,1114037,2023,25,1,2,3130,2718-1114
2718278,1114042,2023,25,1,2,3130,2718-1114
2717740,1114317,2022,25,1,2,3130,2717-1114
2717745,1114306,2023,25,1,2,3130,2717-1114
2717691,1113829,2023,25,1,1,3130,2717-1113
2489500,1112500,2023,19,1,2,3130,2489-1112
2579500,1203500,2021,19,1,3,3130,2579-1203
2718500,1114500,2023,25,1,2,3130,2718-1114
2578596,1203108,2021,19,1,2,3130,2578-1203
2719518,1114552,2022,25,1,2,3130,2719-1114
2717093,1113803,2022,25,2,4,3130,2717-1113
2488968,1115816,2023,31,1,2,3130,2488-1115
2490755,1112445,2023,25,1,2,3130,2490-1112
2578743,1203136,2021,25,1,2,3130,2578-1203
2578976,1202354,2024,25,1,3,3130,2578-1202
2718500,1114500,2023,25,1,2,3130,2718-1114
2578600,1203104,2022,25,1,7,3130,2578-1203
2507110,1121529,2021,37,1,2,3130,2507-1121
2574500,1258500,2021,31,2,19,3130,2574-1258
2563500,1253500,2023,31,1,19,3130,2563-1253
2564500,1250500,2023,31,1,19,3130,2564-1250
2575500,1256500,2024,31,1,7,3130,2575-1256
2492027,1111304,2023,49,1,0,3130,2492-1111
2570151,1251133,2023,37,2,7,3130,2570-1251
2498645,1111912,2022,37,1,2,3130,2498-1111
2508184,1119921,2025,37,1,2,3130,2508-1119
2490755,1112445,2021,43,1,2,3130,2490-1112
2496946,1111935,2025,43,1,2,3130,2496-1111
2712584,1113899,2021,61,1,0,3130,2712-1113
2498666,1116972,2022,37,1,1,3130,2498-1116
2574652,1258502,2023,49,1,0,3130,2574-1258
2575500,1255500,2023,49,1,0,3130,2575-1255
2507415,1122891,2025,43,1,3,3130,2507-1122
2607950,1260160,2021,61,1,0,3130,2607-1260
2607113,1260122,2021,61,1,0,3130,2607-1260
2620824,1256931,2025,43,1,2,3130,2620-1256
2569500,1259500,2023,13,1,3,3130,2569-1259
2607097,1260111,2021,61,1,0,3130,2607-1260
2657237,1220712,2022,61,1,0,3130,2657-1220
2717375,1113964,2025,7,2,0,3130,2717-1113
2490067,1116521,2025,19,1,3,3130,2490-1116
2579318,1203061,2025,55,1,0,3130,2579-1203
2569500,1258500,2023,13,1,3,3130,2569-1258
2718500,1114500,2021,25,1,2,3130,2718-1114
2490755.50618846,1112445.17970938,2021,25,1,2,3130,2490-1112
2578500,1258500,2022,25,2,7,3130,2578-1258
2490755.50618846,1112445.17970937,2023,13,1,0,3130,2490-1112
2718312,1114025,2024,25,1,2,3130,2718-1114
2718271,1114035,2021,25,1,2,3130,2718-1114
2718278,1114039,2021,25,1,2,3130,2718-1114
2718275,1114031,2023,25,1,1,3130,2718-1114
2716152,1114011,2021,25,1,2,3130,2716-1114
2718278,1114032,2021,25,1,2,3130,2718-1114
2718290,1114035,2023,25,1,2,3130,2718-1114
2718275,1114050,2021,25,1,1,3130,2718-1114
2718275,1114050,2021,25,1,1,3130,2718-1114
2717405,1113974,2021,19,1,2,3130,2717-1113
2488954,1115683,2025,19,1,3,3130,2488-1115
2506245,1119682,2025,31,3,19,3130,2506-1119
2506245,1119682,2025,31,3,19,3130,2506-1119
2507295,1122789,2021,7,1,0,3130,2507-1122
2578500,1203500,2023,7,2,0,3130,2578-1203
2578612,1203114,2021,1,1,0,3130,2578-1203
2574500,1255500,2021,13,1,2,3130,2574-1255
2494527,1113908,2024,13,1,0,3130,2494-1113
