x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2736787,1212422,2021,1,1,0,1540,2736-1212
2702500,1156500,2023,7,3,0,1540,2702-1156
2742500,1224500,2025,12,6,0,1540,2742-1224
2736002,1192071,2025,12,1,0,1540,2736-1192
2727140,1212314,2025,7,5,0,1540,2727-1212
2727269,1211688,2025,7,2,0,1540,2727-1211
2613726,1138551,2021,12,2,0,1540,2613-1138
2788864,1186752,2025,12,2,0,1540,2788-1186
2639209,1184893,2025,25,1,2,1540,2639-1184
2601698,1157283,2025,19,2,4,1540,2601-1157
2732308,1151131,2022,31,1,3,1540,2732-1151
2732068,1151291,2022,31,2,4,1540,2732-1151
2601691,1157388,2025,19,4,3,1540,2601-1157
2603332,1105134,2025,31,2,4,1540,2603-1105
2607025,1159052,2025,31,2,4,1540,2607-1159
2674529,1182392,2021,31,1,1,1540,2674-1182
2674361,1182429,2021,31,1,1,1540,2674-1182
2674385,1182387,2021,31,1,1,1540,2674-1182
2674587,1182409,2021,31,1,1,1540,2674-1182
2616378,1166143,2025,31,2,1,1540,2616-1166
2732500,1205500,2023,31,2,4,1540,2732-1205
2786425,1175630,2021,31,2,4,1540,2786-1175
2727761,1209051,2023,31,2,4,1540,2727-1209
2826454,1169406,2023,37,1,3,1540,2826-1169
2703927,1174123,2025,37,1,2,1540,2703-1174
2726312,1211933,2025,25,2,1,1540,2726-1211
2726996,1211813,2025,25,2,4,1540,2726-1211
2722130,1182857,2021,31,2,4,1540,2722-1182
2715324,1164486,2024,43,1,3,1540,2715-1164
2599654,1172152,2024,43,1,1,1540,2599-1172
2597188,1134567,2025,43,1,8,1540,2597-1134
2742386,1234099,2021,31,1,1,1540,2742-1234
2742798,1234407,2021,31,1,1,1540,2742-1234
2742720,1234538,2021,31,1,1,1540,2742-1234
2742444,1234230,2021,31,1,1,1540,2742-1234
2742581,1234246,2021,31,1,1,1540,2742-1234
2742481,1234208,2021,31,1,1,1540,2742-1234
2725471,1171343,2021,31,6,4,1540,2725-1171
2724362,1171300,2021,31,2,4,1540,2724-1171
2726551,1171696,2021,31,2,4,1540,2726-1171
2603921,1164066,2021,31,1,2,1540,2603-1164
2741659,1224331,2025,37,5,13,1540,2741-1224
2597507,1169316,2023,31,2,3,1540,2597-1169
2741500,1224500,2023,55,1,0,1540,2741-1224
2603500,1164500,2021,31,1,3,1540,2603-1164
2732531,1150975,2021,31,2,6,1540,2732-1150
2790768,1154677,2022,37,2,4,1540,2790-1154
2662196.12069274,1203446.42408906,2022,61,5,0,1540,2662-1203
2742161.06163084,1224347.80636981,2024,61,2,0,1540,2742-1224
2662195,1203488,2023,49,1,0,1540,2662-1203
2682500,1157500,2024,43,1,2,1540,2682-1157
2597090,1134391,2025,43,3,13,1540,2597-1134
2812858,1170225,2022,43,8,2,1540,2812-1170
2812760,1170086,2022,43,8,2,1540,2812-1170
2742272,1224460,2023,55,3,0,1540,2742-1224
2795500,1194500,2021,31,2,4,1540,2795-1194
2764686,1209198,2023,55,3,0,1540,2764-1209
2586811,1130221,2021,49,5,13,1540,2586-1130
2606686,1112571,2024,49,1,0,1540,2606-1112
2741778,1224307,2025,37,5,13,1540,2741-1224
2741934,1224538,2024,61,2,0,1540,2741-1224
2616396,1166161,2022,61,3,0,1540,2616-1166
2616213,1165998,2024,61,7,0,1540,2616-1165
2741500,1224500,2023,55,1,0,1540,2741-1224
2616282,1166078,2022,43,1,3,1540,2616-1166
2711500,1205500,2023,49,3,0,1540,2711-1205
2738915,1193762,2021,49,1,0,1540,2738-1193
2646500,1181500,2021,49,13,0,1540,2646-1181
2585720,1128771,2021,49,1,0,1540,2585-1128
2741496,1224477,2023,55,5,0,1540,2741-1224
2742372,1224477,2023,55,1,0,1540,2742-1224
2733341,1160813,2025,7,1,0,1540,2733-1160
2751266,1220776,2025,19,2,4,1540,2751-1220
2727175,1212153,2024,61,10,0,1540,2727-1212
2727011,1212028,2025,61,5,0,1540,2727-1212
2578883.27446899,1124405.0133109,2025,61,1,0,1540,2578-1124
2744254,1234946,2022,61,1,0,1540,2744-1234
2727171,1211743,2025,67,1,0,1540,2727-1211
2727031,1172761,2021,19,3,4,1540,2727-1172
2726203,1173705,2021,19,1,2,1540,2726-1173
2725718,1172160,2021,19,3,2,1540,2725-1172
2599757,1172038,2023,31,1,3,1540,2599-1172
2599958,1172091,2023,31,1,3,1540,2599-1172
2741533,1224189,2023,1,1,0,1540,2741-1224
2727500,1212500,2022,1,2,0,1540,2727-1212
2641086,1158616,2022,31,2,2,1540,2641-1158
2641569,1158597,2023,31,2,3,1540,2641-1158
2641655,1158866,2023,31,1,3,1540,2641-1158
2616235,1165938,2023,31,1,2,1540,2616-1165
2639850,1185050,2023,37,1,2,1540,2639-1185
2727448,1212950,2022,1,2,0,1540,2727-1212
2727169,1212239,2025,1,4,0,1540,2727-1212
2665710,1181397,2023,37,2,4,1540,2665-1181
2639948,1185117,2023,37,1,2,1540,2639-1185
2665762,1181436,2023,37,2,4,1540,2665-1181
2665685,1181450,2023,37,2,2,1540,2665-1181
2793389,1167449,2024,37,1,2,1540,2793-1167
2793264,1167673,2024,37,2,4,1540,2793-1167
2613660.71031603,1138539.55652576,2023,1,2,0,1540,2613-1138
2599570,1171964,2024,43,1,1,1540,2599-1171
2792408,1179778,2023,43,4,2,1540,2792-1179
2792311,1179533,2023,43,1,2,1540,2792-1179
2792365,1179876,2023,43,4,13,1540,2792-1179
2722320,1183010,2025,25,2,4,1540,2722-1183
2627154,1174484,2025,13,1,0,1540,2627-1174
2741664,1224253,2023,49,4,0,1540,2741-1224
2790500,1145500,2021,19,2,4,1540,2790-1145
2748230,1207949,2025,13,1,0,1540,2748-1207
2662106,1203500,2025,55,1,0,1540,2662-1203
2584113,1158103,2025,25,1,1,1540,2584-1158
2577376,1122407,2022,37,3,13,1540,2577-1122
2632306,1132952,2024,37,1,2,1540,2632-1132
2741472,1224192,2025,37,5,13,1540,2741-1224
2741472,1224192,2025,37,4,3,1540,2741-1224
2622986,1140108,2025,25,3,5,1540,2622-1140
2646264,1182002,2021,37,7,1,1540,2646-1182
2785500,1198500,2022,37,4,4,1540,2785-1198
2809354,1187596,2021,37,1,3,1540,2809-1187
2809124,1187741,2022,43,3,2,1540,2809-1187
2679889,1161503,2025,31,1,2,1540,2679-1161
2729412,1158903,2023,31,1,2,1540,2729-1158
2584030,1158130,2023,31,2,4,1540,2584-1158
2742316,1224621,2023,49,7,0,1540,2742-1224
2741500,1224324,2023,49,2,0,1540,2741-1224
2741789,1224290,2023,49,5,0,1540,2741-1224
2625595.04577246,1173329.4938655,2024,49,2,0,1540,2625-1173
2742227,1224578,2023,49,7,0,1540,2742-1224
2641211,1158477,2025,7,1,0,1540,2641-1158
2662196.12069274,1203446.42408905,2023,55,2,0,1540,2662-1203
2664500,1155500,2021,37,1,2,1540,2664-1155
2664500,1155500,2021,37,1,2,1540,2664-1155
2640111,1184945,2025,25,2,4,1540,2640-1184
2576967,1151958,2024,37,1,2,1540,2576-1151
2788942,1196931,2025,7,1,0,1540,2788-1196
2608312,1115407,2021,37,2,4,1540,2608-1115
2726867,1211823,2023,31,2,4,1540,2726-1211
2726512,1211753,2023,31,1,2,1540,2726-1211
2616380,1166135,2023,31,1,3,1540,2616-1166
2710243,1205554,2023,49,6,0,1540,2710-1205
2710875,1205367,2023,49,1,0,1540,2710-1205
2710875,1205367,2023,49,4,0,1540,2710-1205
2711243,1205826,2022,49,11,0,1540,2711-1205
2711451,1205941,2022,49,5,0,1540,2711-1205
2666500,1182500,2023,55,2,0,1540,2666-1182
2812182.69183558,1169735.83000529,2021,55,12,0,1540,2812-1169
2599708,1172261,2021,19,2,1,1540,2599-1172
2812357,1169899,2021,55,7,0,1540,2812-1169
2812452,1169832,2021,55,7,0,1540,2812-1169
2812648,1169827,2021,55,5,0,1540,2812-1169
2741512,1224212,2023,49,2,0,1540,2741-1224
2741589,1224220,2023,49,4,0,1540,2741-1224
2741721,1224332,2023,49,5,0,1540,2741-1224
2749355,1223135,2021,1,2,0,1540,2749-1223
2579037,1089064,2023,49,1,0,1540,2579-1089
2747703,1233528,2023,49,2,0,1540,2747-1233
2641533,1158544,2023,31,1,3,1540,2641-1158
2641696,1158647,2023,31,1,3,1540,2641-1158
2641678,1158922,2023,31,1,3,1540,2641-1158
2812823,1169022,2023,31,2,4,1540,2812-1169
2744030,1234907,2024,62,5,0,1540,2744-1234
2744517,1234534,2024,62,1,0,1540,2744-1234
2744098,1234728,2024,62,14,0,1540,2744-1234
2744121,1234893,2024,62,20,0,1540,2744-1234
2638821,1121657,2025,37,3,13,1540,2638-1121
2803386,1171670,2023,37,2,5,1540,2803-1171
2757160,1186054,2022,37,6,13,1540,2757-1186
2757167,1186052,2022,37,6,13,1540,2757-1186
2747625,1165560,2022,68,,3,1540,2747-1165
2780500,1191500,2025,7,4,0,1540,2780-1191
2666501,1182151,2024,43,10,13,1540,2666-1182
2665658,1181264,2023,50,1,0,1540,2665-1181
2666574,1182070,2024,50,15,0,1540,2666-1182
2666430,1182097,2023,50,6,0,1540,2666-1182
2616364.97876014,1166132.55454562,2024,50,3,0,1540,2616-1166
2598206,1109991,2021,25,1,4,1540,2598-1109
2603106,1113042,2024,25,2,2,1540,2603-1113
2662196.12069274,1203446.42408906,2022,62,5,0,1540,2662-1203
2627380.05556946,1174629.48395264,2025,25,2,4,1540,2627-1174
2593500,1166500,2023,31,1,2,1540,2593-1166
2773063,1193150,2023,31,2,4,1540,2773-1193
2773999,1194814,2023,31,2,4,1540,2773-1194
2604815,1112109,2024,31,4,5,1540,2604-1112
2749260,1222926,2023,37,1,3,1540,2749-1222
2748828,1222759,2023,37,2,2,1540,2748-1222
2741890,1224293,2023,37,1,2,1540,2741-1224
2661907,1203469,2021,37,2,1,1540,2661-1203
2736914,1192713,2022,37,1,1,1540,2736-1192
2632397,1132798,2024,37,2,4,1540,2632-1132
2723221,1170870,2022,37,2,1,1540,2723-1170
2722500,1182500,2022,25,5,4,1540,2722-1182
2627380.05556946,1174629.48395264,2024,43,5,2,1540,2627-1174
2812159,1169034,2023,31,2,4,1540,2812-1169
2792543,1176169,2024,50,1,0,1540,2792-1176
2634665,1181691,2024,50,2,0,1540,2634-1181
2720974,1190875,2021,37,1,3,1540,2720-1190
2637500,1176500,2021,19,2,2,1540,2637-1176
2578811,1136429,2023,37,1,3,1540,2578-1136
2682746,1157577,2022,37,1,2,1540,2682-1157
2720946,1190824,2022,43,1,2,1540,2720-1190
2741500,1224500,2022,62,16,0,1540,2741-1224
2608600,1115786,2023,43,2,13,1540,2608-1115
2608198,1155493,2025,43,1,2,1540,2608-1155
2592800,1103074,2025,43,1,3,1540,2592-1103
2599946,1172087,2023,25,1,4,1540,2599-1172
2599642,1172121,2023,25,1,3,1540,2599-1172
2748206,1207815,2024,25,1,3,1540,2748-1207
2634649,1181606,2024,50,16,0,1540,2634-1181
2627012,1174516,2025,37,4,2,1540,2627-1174
2803329,1172039,2023,31,3,6,1540,2803-1172
2826712,1169393,2022,43,13,2,1540,2826-1169
2799635,1163496,2022,31,2,4,1540,2799-1163
2799354,1163618,2022,31,1,3,1540,2799-1163
2741500,1224500,2024,62,3,0,1540,2741-1224
2660889,1202597,2023,31,5,5,1540,2660-1202
2614552,1115442,2025,31,1,3,1540,2614-1115
2744288,1225599,2022,50,1,0,1540,2744-1225
2741675,1224375,2024,50,6,0,1540,2741-1224
