x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2742550,1182635,2024,1,6,0,5290,2742-1182
2646309,1137287,2024,1,2,0,5290,2646-1137
2613500,1138500,2025,1,1,0,5290,2613-1138
2613720,1138564,2025,1,1,0,5290,2613-1138
2824243,1167854,2021,1,30,0,5290,2824-1167
2621994,1091110,2022,1,1,0,5290,2621-1091
2663303,1180721,2025,1,50,0,5290,2663-1180
2757938,1166883,2024,1,2,0,5290,2757-1166
2791714,1162960,2021,1,24,0,5290,2791-1162
2613653,1123319,2025,1,1,0,5290,2613-1123
2759229,1148933,2024,1,15,0,5290,2759-1148
2762083,1146698,2024,1,33,0,5290,2762-1146
2762573,1145846,2024,1,50,0,5290,2762-1145
2762827,1146357,2024,1,15,0,5290,2762-1146
2604781,1132123,2025,7,8,0,5290,2604-1132
2773760,1141170,2021,7,1,0,5290,2773-1141
2798521,1170420,2021,7,20,0,5290,2798-1170
2802940,1175541,2021,7,140,0,5290,2802-1175
2780906,1204840,2024,1,1,0,5290,2780-1204
2602479,1111084,2025,7,14,0,5290,2602-1111
2579443.70080995,1089832.15270123,2025,7,1,0,5290,2579-1089
2625429.79281712,1140450.45927962,2025,7,25,0,5290,2625-1140
2647820.89170481,1137707.34815003,2021,1,3,0,5290,2647-1137
2722178,1086793,2024,1,20,0,5290,2722-1086
2761110,1160322,2021,7,40,0,5290,2761-1160
2673500,1183500,2021,7,12,0,5290,2673-1183
2621500,1132500,2025,1,1,0,5290,2621-1132
2780321,1189734,2023,12,3,0,5290,2780-1189
2612135,1110749,2025,12,3,0,5290,2612-1110
2612728,1110283,2022,12,1,0,5290,2612-1110
2616874,1120253,2025,7,10,0,5290,2616-1120
2759109,1149047,2025,7,30,0,5290,2759-1149
2593485.21240721,1110226.83755219,2022,7,1,0,5290,2593-1110
2782722,1153499,2021,7,267,0,5290,2782-1153
2806987,1184183,2021,7,50,0,5290,2806-1184
2663471,1180740,2021,12,3,0,5290,2663-1180
2800718,1173333,2024,19,50,0,5290,2800-1173
2690547.51029,1152541.7224871,2025,7,12,0,5290,2690-1152
2606606,1112844,2025,12,1,0,5290,2606-1112
2638962,1159574,2024,12,1,0,5290,2638-1159
2551938.87489304,1115659.54400543,2022,12,6,0,5290,2551-1115
2660500,1179500,2022,12,1,0,5290,2660-1179
2671236,1182278,2021,12,1,0,5290,2671-1182
2689319,1162655,2023,12,1,0,5290,2689-1162
2607633,1118518,2025,12,1,0,5290,2607-1118
2673500,1183500,2022,19,25,0,5290,2673-1183
2658059,1177925,2024,12,3,0,5290,2658-1177
2690547.51029,1152541.7224871,2024,12,25,0,5290,2690-1152
2784124,1177849,2021,19,4,0,5290,2784-1177
2778500,1145500,2021,19,8,0,5290,2778-1145
2626641.5044197,1092468.60622527,2023,19,1,0,5290,2626-1092
2601547,1157152,2025,19,2,0,5290,2601-1157
2567697,1133053,2023,19,20,0,5290,2567-1133
2640435,1105551,2024,19,100,0,5290,2640-1105
2639161,1185222,2025,25,10,2,5290,2639-1185
2603126,1105389,2025,31,6,4,5290,2603-1105
2601006,1096053,2025,25,2,1,5290,2601-1096
2693117,1169418,2025,37,2,2,5290,2693-1169
2826216,1169199,2023,37,2,8,5290,2826-1169
2689933,1167054,2023,31,3,3,5290,2689-1167
2766717,1181904,2021,37,3,2,5290,2766-1181
2766673,1182014,2021,37,2,2,5290,2766-1182
2594674,1129381,2024,37,1,2,5290,2594-1129
2635662,1104523,2025,37,1,2,5290,2635-1104
2726707,1211789,2025,25,4,3,5290,2726-1211
2726525,1211800,2025,25,4,3,5290,2726-1211
2626506,1096178,2025,37,1,2,5290,2626-1096
2707979,1190776,2023,37,2,14,5290,2707-1190
2707794,1190819,2023,37,3,2,5290,2707-1190
2742107,1224127,2025,37,1,2,5290,2742-1224
2741636,1224252,2025,37,3,13,5290,2741-1224
2741885,1224268,2025,37,3,13,5290,2741-1224
2596015,1129127,2024,37,,5,5290,2596-1129
2663849,1180705,2023,37,3,16,5290,2663-1180
2663378,1180731,2023,37,1,3,5290,2663-1180
2772122,1180341,2025,37,2,15,5290,2772-1180
2792033,1154032,2022,37,2,16,5290,2792-1154
2716182,1163403,2024,43,1,2,5290,2716-1163
2598172,1135206,2025,43,2,2,5290,2598-1135
2798539,1143198,2021,31,2,2,5290,2798-1143
2674839,1158361,2022,43,3,16,5290,2674-1158
2635371,1103777,2024,43,3,13,5290,2635-1103
2829776,1158728,2022,43,4,16,5290,2829-1158
2629508,1089501,2022,43,1,2,5290,2629-1089
2675500,1158500,2022,43,3,16,5290,2675-1158
2602662,1136669,2025,43,2,2,5290,2602-1136
2669579,1182924,2024,43,80,2,5290,2669-1182
2648208,1170358,2021,49,20,0,5290,2648-1170
2683196,1156270,2023,49,40,0,5290,2683-1156
2721519,1166162,2022,37,2,2,5290,2721-1166
2825584,1170408,2023,37,1,2,5290,2825-1170
2825418,1170111,2023,37,10,2,5290,2825-1170
2745165,1152206,2022,31,1,10,5290,2745-1152
2595500,1129500,2024,37,1,2,5290,2595-1129
2707500,1191500,2022,37,2,2,5290,2707-1191
2701831,1154640,2022,37,2,2,5290,2701-1154
2798709,1143389,2025,37,2,1,5290,2798-1143
2798788,1143131,2023,37,2,1,5290,2798-1143
2828760,1159877,2025,37,1,1,5290,2828-1159
2719330,1191333,2025,31,6,16,5290,2719-1191
2706352,1157304,2023,43,4,13,5290,2706-1157
2626922,1092470,2023,55,15,0,5290,2626-1092
2828449,1159917,2025,37,1,1,5290,2828-1159
2828793,1159753,2025,37,1,1,5290,2828-1159
2643866,1106212,2024,61,30,0,5290,2643-1106
2790492,1154616,2022,37,5,16,5290,2790-1154
2672340,1181183,2023,37,7,16,5290,2672-1181
2595911,1129256,2024,37,6,2,5290,2595-1129
2596188,1129472,2024,37,5,13,5290,2596-1129
2693304,1169444,2025,37,2,4,5290,2693-1169
2595233,1129792,2024,37,1,2,5290,2595-1129
2595967,1129113,2024,37,3,2,5290,2595-1129
2596644,1131813,2024,37,5,1,5290,2596-1131
2646500,1172500,2023,61,28,0,5290,2646-1172
2591051,1106804,2025,37,1,2,5290,2591-1106
2742161.06163084,1224347.80636981,2024,61,20,0,5290,2742-1224
2686565,1156636,2023,37,1,2,5290,2686-1156
2626891.52637001,1096194.58089702,2025,43,1,1,5290,2626-1096
2675500,1159500,2023,43,10,13,5290,2675-1159
2673500,1183500,2022,67,1,0,5290,2673-1183
2831500,1157500,2024,43,1,1,5290,2831-1157
2714589,1212335,2022,43,4,13,5290,2714-1212
2790987,1154366,2023,43,50,1,5290,2790-1154
2712781,1166856,2024,43,15,13,5290,2712-1166
2667870,1156963,2023,55,1,0,5290,2667-1156
2632529,1133377,2021,55,2,0,5290,2632-1133
2663319,1180719,2025,1,50,0,5290,2663-1180
2693550,1169078,2025,37,1,2,5290,2693-1169
2614963,1121428,2025,1,1,0,5290,2614-1121
2612086,1111000,2023,1,2,0,5290,2612-1111
2612137,1110750,2025,1,4,0,5290,2612-1110
2558238.81048513,1109924.43442409,2021,37,1,16,5290,2558-1109
2591866,1131519,2023,37,1,16,5290,2591-1131
2824101,1169799,2023,37,1,2,5290,2824-1169
2627170,1096130,2025,37,2,4,5290,2627-1096
2627113,1096195,2021,37,2,16,5290,2627-1096
2620961,1093372,2025,37,2,16,5290,2620-1093
2648514,1181894,2025,37,5,2,5290,2648-1181
2690547.51029,1152541.7224871,2022,7,25,0,5290,2690-1152
2703378,1154449,2022,37,10,13,5290,2703-1154
2620017,1150115,2023,43,1,2,5290,2620-1150
2613692,1123526,2022,43,2,1,5290,2613-1123
2612133,1110755,2025,7,1,0,5290,2612-1110
2607500,1115846,2025,7,20,0,5290,2607-1115
2664268,1180265,2023,7,120,0,5290,2664-1180
2572315,1082318,2025,43,30,1,5290,2572-1082
2802520,1175488,2021,7,13,0,5290,2802-1175
2715695,1163168,2022,43,2,4,5290,2715-1163
2798500,1146500,2025,43,30,2,5290,2798-1146
2793374,1150405,2022,43,3,2,5290,2793-1150
2793369,1150422,2022,43,2,2,5290,2793-1150
2666316,1181885,2023,13,4,0,5290,2666-1181
2650792,1140968,2022,13,2,0,5290,2650-1140
2621500,1132500,2024,13,3,0,5290,2621-1132
2746141,1166279,2023,49,,0,5290,2746-1166
2613658,1138542,2022,1,10,0,5290,2613-1138
2779824,1189709,2024,13,3,0,5290,2779-1189
2768101,1192368,2021,13,5,0,5290,2768-1192
2612745,1110312,2025,13,1,0,5290,2612-1110
2612429,1109878,2022,13,1,0,5290,2612-1109
2606496,1112777,2025,13,1,0,5290,2606-1112
2626634,1092444,2024,13,1,0,5290,2626-1092
2648500,1173500,2023,61,4,0,5290,2648-1173
2662196.12069274,1203446.42408906,2022,61,1,0,5290,2662-1203
2747896,1159544,2023,67,3,0,5290,2747-1159
2781500,1153500,2021,7,1,0,5290,2781-1153
2785397,1199083,2024,19,3,0,5290,2785-1199
2758176,1151251,2021,19,4,0,5290,2758-1151
2725460,1171624,2025,7,6,0,5290,2725-1171
2579447,1152950,2024,67,1,0,5290,2579-1152
2762156,1146551,2024,1,30,0,5290,2762-1146
2764555,1146017,2024,1,2,0,5290,2764-1146
2742331,1224861,2024,61,20,0,5290,2742-1224
2620346,1138171,2025,13,1,0,5290,2620-1138
2777500,1184500,2021,13,1,0,5290,2777-1184
2575500,1113500,2023,61,20,0,5290,2575-1113
2596013,1114220,2024,13,16,0,5290,2596-1114
2587137,1104607,2021,1,5,0,5290,2587-1104
2797619,1144020,2022,19,1,0,5290,2797-1144
2796760,1145237,2022,19,1,0,5290,2796-1145
2620500,1133500,2025,7,2,0,5290,2620-1133
2765580,1144432,2024,7,3,0,5290,2765-1144
2762825,1146360,2024,7,20,0,5290,2762-1146
2630643,1129572,2025,7,3,0,5290,2630-1129
2648261,1138029,2023,7,2,0,5290,2648-1138
2611398,1110941,2025,7,2,0,5290,2611-1110
2740713,1210362,2023,31,1,2,5290,2740-1210
2747897,1159548,2022,7,2,0,5290,2747-1159
2669163,1182486,2023,31,1,3,5290,2669-1182
2579247,1125577,2024,31,2,2,5290,2579-1125
2630500,1129500,2025,7,3,0,5290,2630-1129
2644350,1163490,2022,7,8,0,5290,2644-1163
2625125,1093078,2024,1,2,0,5290,2625-1093
2627797,1096681,2024,1,1,0,5290,2627-1096
2816014,1189795,2024,1,1,0,5290,2816-1189
2829708,1158920,2025,31,2,2,5290,2829-1158
2660704,1181251,2023,13,6,0,5290,2660-1181
2641663,1158822,2023,31,1,2,5290,2641-1158
2694328,1168335,2023,13,1,0,5290,2694-1168
2561628.78934592,1107188.37817691,2021,37,1,2,5290,2561-1107
2613702,1138591,2024,13,,0,5290,2613-1138
2707500,1191500,2022,37,4,1,5290,2707-1191
2595912,1129167,2024,37,10,2,5290,2595-1129
2764952,1181892,2023,37,5,4,5290,2764-1181
2764738,1182316,2023,37,1,16,5290,2764-1182
2669012,1157172,2022,37,1,2,5290,2669-1157
2668739.00328646,1156944.31306646,2021,37,2,2,5290,2668-1156
2669290.00432841,1157155.31315714,2021,37,2,4,5290,2669-1157
2769372,1192839,2021,13,2,0,5290,2769-1192
