x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2567326,1118151,2023,1,12,0,3770,2567-1118
2620667,1128443,2023,1,3,0,3770,2620-1128
2625448,1129794,2022,1,1,0,3770,2625-1129
2567587,1119412,2021,1,21,0,3770,2567-1119
2615934,1132681,2022,1,2,0,3770,2615-1132
2567406,1119312,2023,1,12,0,3770,2567-1119
2616183,1130393,2021,1,54,0,3770,2616-1130
2622830,1128752,2024,7,11,0,3770,2622-1128
2621060,1128425,2024,7,8,0,3770,2621-1128
2625500,1129500,2022,1,1,0,3770,2625-1129
2625751,1128902,2024,7,2,0,3770,2625-1128
2576639,1134231,2023,1,2,0,3770,2576-1134
2617712,1130208,2025,7,11,0,3770,2617-1130
2616057,1131376,2022,1,3,0,3770,2616-1131
2617823,1129216,2021,1,70,0,3770,2617-1129
2771583,1184227,2024,1,5,0,3770,2771-1184
2566887,1119448,2021,7,2,0,3770,2566-1119
2615782,1145370,2025,12,4,0,3770,2615-1145
2578369,1132961,2025,7,1,0,3770,2578-1132
2622054,1128811,2025,12,4,0,3770,2622-1128
2618195.65716427,1129135.52472021,2023,7,15,0,3770,2618-1129
2618568.66121332,1129281.52141025,2023,7,2,0,3770,2618-1129
2622242,1128852,2024,12,27,0,3770,2622-1128
2701500,1210500,2025,12,1,0,3770,2701-1210
2622250,1128806,2024,7,7,0,3770,2622-1128
2631634,1128041,2025,7,8,0,3770,2631-1128
2626784,1128822,2025,12,2,0,3770,2626-1128
2577615,1112924,2021,19,2,1,3770,2577-1112
2622376.70086227,1130734.48927671,2025,12,26,0,3770,2622-1130
2621822.6965911,1130696.49354648,2022,12,6,0,3770,2621-1130
2621822.6965911,1130696.49354648,2021,12,13,0,3770,2621-1130
2577543,1114024,2021,19,1,2,3770,2577-1114
2626755.71944,1128898.46065726,2025,12,2,0,3770,2626-1128
2577332,1113509,2021,19,1,1,3770,2577-1113
2629948,1128031,2024,12,10,0,3770,2629-1128
2576052,1134292,2022,12,1,0,3770,2576-1134
2622236,1128756,2025,12,5,0,3770,2622-1128
2602207,1132604,2022,25,2,4,3770,2602-1132
2615500,1129500,2024,19,4,1,3770,2615-1129
2630252,1128349,2023,19,6,1,3770,2630-1128
2603068,1133496,2022,25,2,6,3770,2603-1133
2618469.64807727,1127791.52445119,2024,19,8,1,3770,2618-1127
2618693,1128072,2022,19,10,1,3770,2618-1128
2618055,1129290,2024,19,30,1,3770,2618-1129
2618537,1127797,2023,19,9,1,3770,2618-1127
2617500,1129500,2022,25,2,2,3770,2617-1129
2632551,1131548,2025,31,2,3,3770,2632-1131
2595073,1129801,2024,37,1,1,3770,2595-1129
2574812,1084903,2023,37,1,2,3770,2574-1084
2605261,1102310,2021,43,2,2,3770,2605-1102
2633052,1131522,2025,31,3,2,3770,2633-1131
2633052,1131522,2025,31,1,2,3770,2633-1131
2633052,1131522,2025,31,2,2,3770,2633-1131
2639978,1099786,2025,49,2,0,3770,2639-1099
2618500,1133500,2021,49,9,0,3770,2618-1133
2620609,1095572,2024,37,5,4,3770,2620-1095
2705500,1158500,2024,61,2,0,3770,2705-1158
2573340,1115535,2022,61,6,0,3770,2573-1115
2628598,1129836,2024,37,1,2,3770,2628-1129
2595072,1129800,2024,37,1,2,3770,2595-1129
2597881,1130409,2024,37,1,2,3770,2597-1130
2596520,1129349,2024,37,2,4,3770,2596-1129
2624500,1140500,2021,49,1,0,3770,2624-1140
2624882,1140184,2024,49,4,0,3770,2624-1140
2618538,1134153,2022,49,6,0,3770,2618-1134
2617620,1133600,2022,49,2,0,3770,2617-1133
2616791,1135046,2024,49,2,0,3770,2616-1135
2597518,1134673,2025,43,2,2,3770,2597-1134
2610897,1109802,2023,43,1,2,3770,2610-1109
2721427,1166267,2023,55,3,0,3770,2721-1166
2575500.0933311,1115447.09174663,2025,43,4,13,3770,2575-1115
2606686,1112571,2024,49,1,0,3770,2606-1112
2595500,1129500,2024,37,1,2,3770,2595-1129
2653500,1133500,2021,49,2,0,3770,2653-1133
2623626,1128573,2024,1,9,0,3770,2623-1128
2622470,1096476,2024,37,2,2,3770,2622-1096
2628103,1096067,2025,37,6,13,3770,2628-1096
2622031.70914383,1132127.49021914,2024,49,4,0,3770,2622-1132
2579315,1084829,2021,37,2,1,3770,2579-1084
2611291,1138711,2024,49,1,0,3770,2611-1138
2621719,1128695,2024,7,11,0,3770,2621-1128
2592366,1091302,2022,43,2,1,3770,2592-1091
2592969,1091315,2024,43,2,2,3770,2592-1091
2606834,1102825,2023,55,2,0,3770,2606-1102
2719807,1162816,2024,43,1,2,3770,2719-1162
2602173,1096729,2024,61,1,0,3770,2602-1096
2617820,1130580,2025,1,1,0,3770,2617-1130
2641854,1122911,2021,55,2,0,3770,2641-1122
2550354,1110411,2025,55,2,0,3770,2550-1110
2636381,1132814,2023,55,10,0,3770,2636-1132
2588886,1132951,2021,55,1,0,3770,2588-1132
2549784,1131442,2023,55,2,0,3770,2549-1131
2641895,1125082,2021,55,2,0,3770,2641-1125
2579299,1080592,2023,55,2,0,3770,2579-1080
2579386,1080504,2023,55,2,0,3770,2579-1080
2622096,1128882,2025,13,3,0,3770,2622-1128
2622328,1128818,2022,13,24,0,3770,2622-1128
2618500,1128500,2021,13,2,0,3770,2618-1128
2638321,1130027,2022,67,1,0,3770,2638-1130
2618469.64807727,1127791.5244512,2022,19,36,1,3770,2618-1127
2630345,1128313,2022,19,2,1,3770,2630-1128
2629066,1128371,2022,19,4,1,3770,2629-1128
2619530,1129992,2022,19,1,1,3770,2619-1129
2619151,1129686,2024,19,1,1,3770,2619-1129
2631718,1129297,2025,7,2,0,3770,2631-1129
2599845,1131537,2021,31,1,2,3770,2599-1131
2578373,1113560,2024,13,6,0,3770,2578-1113
2628917,1132637,2023,1,6,0,3770,2628-1132
2626826,1128797,2024,13,2,0,3770,2626-1128
2618943.67157002,1130192.51707932,2025,1,8,0,3770,2618-1130
2618195.65716427,1129135.52472021,2021,1,82,0,3770,2618-1129
2618670.65278626,1128170.52219959,2021,1,49,0,3770,2618-1128
2619435.65661044,1127909.5163496,2021,13,2,0,3770,2619-1127
2626755.71944,1128898.46065726,2024,13,2,0,3770,2626-1128
2640708,1107802,2023,43,3,1,3770,2640-1107
2631500,1129500,2025,7,2,0,3770,2631-1129
2618195.65716427,1129135.52472021,2024,7,12,0,3770,2618-1129
2644350.84556071,1130240.36948327,2023,13,6,0,3770,2644-1130
2622249,1129215,2022,19,10,2,3770,2622-1129
2622288,1129000,2022,19,3,1,3770,2622-1129
2622096,1129033,2022,19,14,1,3770,2622-1129
2622122,1128766,2025,13,3,0,3770,2622-1128
2584900.34344061,1125555.91767372,2021,55,2,0,3770,2584-1125
2621773,1128992,2024,13,8,0,3770,2621-1128
2612863,1138532,2021,19,1,2,3770,2612-1138
2621742.68380346,1129116.49633034,2024,13,8,0,3770,2621-1129
2625569,1128966,2021,62,2,0,3770,2625-1128
2599606,1133726,2024,62,4,0,3770,2599-1133
2618505,1134635,2021,37,4,1,3770,2618-1134
2612126,1132605,2022,68,2,0,3770,2612-1132
2574821,1085867,2022,68,2,0,3770,2574-1085
2627500,1096500,2023,31,2,2,3770,2627-1096
2658353,1135667,2023,19,5,1,3770,2658-1135
2579994,1080131,2021,19,1,2,3770,2579-1080
2617854.65410395,1129080.52765926,2021,19,6,1,3770,2617-1129
2617500,1133500,2023,49,10,0,3770,2617-1133
2617854.65410395,1129080.52765926,2022,19,26,2,3770,2617-1129
2617970,1133334,2022,49,5,0,3770,2617-1133
2618568.66121332,1129281.52141025,2023,25,,1,3770,2618-1129
2617720,1129257,2023,25,10,1,3770,2617-1129
2618080,1128905,2021,25,16,2,3770,2618-1128
2625594,1128965,2022,7,1,0,3770,2625-1128
2578300,1113574,2024,7,6,0,3770,2578-1113
2567538,1119480,2021,7,6,0,3770,2567-1119
2600500,1133500,2021,55,2,0,3770,2600-1133
2633152.77519395,1130628.41899329,2025,13,2,0,3770,2633-1130
2627428,1133151,2025,37,5,14,3770,2627-1133
2605952,1108058,2021,37,2,2,3770,2605-1108
2573774,1086962,2022,55,1,0,3770,2573-1086
2610500,1109500,2021,55,2,0,3770,2610-1109
2626891.52637001,1096194.58089702,2025,43,2,1,3770,2626-1096
2616562,1132645,2024,62,2,0,3770,2616-1132
2550351.74133704,1110293.59993234,2024,43,2,1,3770,2550-1110
2618106,1132517,2025,25,2,2,3770,2618-1132
2717194,1163504,2024,43,1,2,3770,2717-1163
2617500,1132500,2023,49,2,0,3770,2617-1132
2578677,1126338,2024,31,1,2,3770,2578-1126
2642239,1122030,2023,37,2,2,3770,2642-1122
2625500,1092500,2021,37,2,4,3770,2625-1092
2629500,1132500,2021,55,8,0,3770,2629-1132
2625437,1092162,2025,37,1,2,3770,2625-1092
2600500,1133500,2021,55,2,0,3770,2600-1133
2614500,1106500,2021,55,1,0,3770,2614-1106
2619176.66630101,1129341.51632396,2021,37,2,4,3770,2619-1129
2550351.74133704,1110293.59993234,2023,55,1,0,3770,2550-1110
2550351.74133704,1110293.59993234,2023,55,1,0,3770,2550-1110
2550351.74133704,1110293.59993234,2021,55,1,0,3770,2550-1110
2550351.74133704,1110293.59993234,2021,55,1,0,3770,2550-1110
2550351.74133704,1110293.59993234,2021,55,1,0,3770,2550-1110
2608500,1108500,2022,43,2,4,3770,2608-1108
2607076,1108579,2024,43,4,1,3770,2607-1108
2595698,1128816,2021,55,1,0,3770,2595-1128
2596798,1128894,2021,55,1,0,3770,2596-1128
2576500,1088500,2025,55,1,0,3770,2576-1088
2643238,1122178,2025,43,8,1,3770,2643-1122
2643245,1122179,2025,43,6,1,3770,2643-1122
2641824,1122993,2025,43,5,1,3770,2641-1122
2613630,1140800,2023,55,2,0,3770,2613-1140
2626742,1128926,2022,55,2,0,3770,2626-1128
2605743,1107600,2024,25,4,1,3770,2605-1107
2566832,1120371,2021,1,22,0,3770,2566-1120
2575580.11300247,1116545.087053,2022,43,2,13,3770,2575-1116
2578500,1125500,2022,62,1,0,3770,2578-1125
2616500,1132500,2024,62,2,0,3770,2616-1132
2615500,1129500,2021,62,7,0,3770,2615-1129
