x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2500995,1161149,2025,25,1,3,2230,2500-1161
2500995,1161149,2025,25,1,3,2230,2500-1161
2518309,1165345,2021,19,2,3,2230,2518-1165
2595852,1176772,2025,25,1,3,2230,2595-1176
2635282,1168524,2021,31,1,2,2230,2635-1168
2599718,1175378,2021,31,1,3,2230,2599-1175
2622598,1163542,2022,25,3,3,2230,2622-1163
2599284,1175804,2021,19,1,3,2230,2599-1175
2732747,1171907,2024,25,1,3,2230,2732-1171
2601502,1177077,2021,62,1,0,2230,2601-1177
2599500,1175500,2022,31,1,3,2230,2599-1175
2584690,1171605,2024,25,2,4,2230,2584-1171
2641681,1185609,2021,31,1,1,2230,2641-1185
2641667,1186010,2021,31,1,2,2230,2641-1186
2641663,1185624,2021,31,1,1,2230,2641-1185
2601670,1177659,2025,19,2,4,2230,2601-1177
2785532,1189636,2021,31,1,19,2230,2785-1189
2641678,1185604,2021,31,1,2,2230,2641-1185
2641883,1185970,2021,31,1,2,2230,2641-1185
2518110,1165108,2024,13,1,4,2230,2518-1165
2507430,1156450,2025,19,2,3,2230,2507-1156
2507608,1156213,2025,19,1,3,2230,2507-1156
2641500,1185500,2021,31,5,6,2230,2641-1185
2579683,1170190,2021,25,1,3,2230,2579-1170
2635282,1168628,2021,62,1,0,2230,2635-1168
2498610,1159040,2021,32,3,6,2230,2498-1159
2732151,1171237,2025,37,1,16,2230,2732-1171
2599500,1175500,2024,19,3,4,2230,2599-1175
2517944,1165119,2022,19,1,3,2230,2517-1165
2518471,1165060,2023,19,1,3,2230,2518-1165
2635389,1168533,2021,32,2,5,2230,2635-1168
2599678,1175320,2024,20,1,2,2230,2599-1175
2599836,1175270,2024,20,2,4,2230,2599-1175
2599666,1175257,2024,20,1,2,2230,2599-1175
2599835,1175271,2024,20,2,4,2230,2599-1175
2641500,1185500,2021,26,1,3,2230,2641-1185
2622645,1163744,2024,20,5,6,2230,2622-1163
2599500,1175500,2023,20,1,3,2230,2599-1175
2599500,1175500,2025,20,3,3,2230,2599-1175
2503847,1153881,2021,26,1,3,2230,2503-1153
2503423,1153765,2025,26,1,3,2230,2503-1153
2641500,1185500,2025,32,2,3,2230,2641-1185
2641514,1186191,2023,32,1,3,2230,2641-1186
2599840,1175277,2024,20,1,3,2230,2599-1175
2599854,1175272,2022,32,2,2,2230,2599-1175
2518591,1165182,2024,32,1,3,2230,2518-1165
2641339,1186316,2025,20,1,3,2230,2641-1186
2641749,1185508,2023,33,4,3,2230,2641-1185
2599500,1175500,2023,20,1,3,2230,2599-1175
2641500,1185500,2023,33,2,2,2230,2641-1185
2647500,1188500,2023,44,4,13,2230,2647-1188
2599800,1175208,2023,20,1,3,2230,2599-1175
2518549,1165198,2025,32,1,3,2230,2518-1165
2748035,1186842,2021,32,1,17,2230,2748-1186
2503466,1153683,2025,27,1,1,2230,2503-1153
2500319,1161035,2024,27,1,3,2230,2500-1161
2693847,1195892,2025,27,2,4,2230,2693-1195
2641167,1185785,2021,33,1,2,2230,2641-1185
2622729,1163521,2021,20,2,3,2230,2622-1163
2599500,1175500,2025,20,1,3,2230,2599-1175
2599500,1175500,2025,20,3,3,2230,2599-1175
2595687,1176519,2021,26,1,2,2230,2595-1176
2595831,1176398,2021,26,1,3,2230,2595-1176
2641267,1186021,2024,21,1,1,2230,2641-1186
2599646,1175484,2023,20,1,3,2230,2599-1175
2503394,1153281,2021,33,2,4,2230,2503-1153
2740387,1235660,2022,33,1,3,2230,2740-1235
2579772,1170372,2025,33,5,6,2230,2579-1170
2518556,1165098,2021,20,2,3,2230,2518-1165
2500967,1161116,2024,21,1,19,2230,2500-1161
2500986,1161081,2024,21,1,19,2230,2500-1161
2503768,1153536,2021,27,1,3,2230,2503-1153
2784911,1193338,2024,27,1,18,2230,2784-1193
2641500,1186500,2021,33,,2,2230,2641-1186
2641407,1186302,2025,20,1,3,2230,2641-1186
2641613,1185809,2023,33,3,1,2230,2641-1185
2641588,1185836,2023,33,1,1,2230,2641-1185
2595874,1176426,2025,21,1,3,2230,2595-1176
2641500,1185500,2024,27,3,3,2230,2641-1185
2503853,1153865,2022,27,2,3,2230,2503-1153
2720878,1211455,2022,33,3,3,2230,2720-1211
2599888,1175248,2021,57,1,0,2230,2599-1175
2599500,1175500,2022,27,1,3,2230,2599-1175
2657192,1201463,2022,27,2,6,2230,2657-1201
2635061,1159489,2024,27,2,5,2230,2635-1159
2740394,1235669,2022,33,1,3,2230,2740-1235
2595500,1176500,2022,33,2,1,2230,2595-1176
2517826,1165109,2025,15,1,2,2230,2517-1165
2526790,1162885,2025,15,2,4,2230,2526-1162
2503693,1153977,2023,52,1,0,2230,2503-1153
2599888,1175245,2023,27,5,1,2230,2599-1175
2650897,1197116,2022,27,4,19,2230,2650-1197
2641647,1185407,2023,45,4,1,2230,2641-1185
2622707,1163918,2021,28,2,3,2230,2622-1163
2641633,1185750,2025,28,2,3,2230,2641-1185
2595915,1176485,2022,27,3,3,2230,2595-1176
2757545,1201215,2025,33,2,13,2230,2757-1201
2720881,1211455,2023,33,1,3,2230,2720-1211
2720903,1211437,2023,33,1,3,2230,2720-1211
2641636,1185743,2025,28,3,3,2230,2641-1185
2641535,1185581,2025,28,3,3,2230,2641-1185
2641630,1185712,2025,28,3,3,2230,2641-1185
2609732,1159934,2024,28,1,3,2230,2609-1159
2609765,1159997,2024,28,1,3,2230,2609-1159
2599741,1175605,2022,39,1,3,2230,2599-1175
2641566,1186185,2024,34,3,3,2230,2641-1186
2757818,1201978,2025,21,1,3,2230,2757-1201
2500906,1161136,2024,28,2,3,2230,2500-1161
2720937,1211450,2024,33,2,6,2230,2720-1211
2720908,1211436,2024,33,1,3,2230,2720-1211
2720899,1211446,2024,33,1,3,2230,2720-1211
2720899,1211446,2024,33,1,3,2230,2720-1211
2503688,1153976,2023,52,1,0,2230,2503-1153
2507086,1156852,2021,22,2,4,2230,2507-1156
2507405,1156939,2021,22,2,3,2230,2507-1156
2622704,1163928,2021,28,2,3,2230,2622-1163
2599233,1175880,2024,15,1,0,2230,2599-1175
2622500,1163500,2021,28,,3,2230,2622-1163
2740403,1235652,2023,34,1,3,2230,2740-1235
2599995,1175122,2021,34,1,2,2230,2599-1175
2641506,1186213,2025,29,1,3,2230,2641-1186
2641580,1185790,2025,28,1,3,2230,2641-1185
2641541,1185864,2025,28,3,3,2230,2641-1185
2599887,1175240,2025,28,2,6,2230,2599-1175
2720764,1211570,2024,34,1,3,2230,2720-1211
2635500,1168500,2021,34,4,4,2230,2635-1168
2601500,1177500,2023,16,1,0,2230,2601-1177
2641564,1186136,2025,29,1,3,2230,2641-1186
2641141,1185831,2021,29,2,3,2230,2641-1185
2507117,1156625,2022,54,1,0,2230,2507-1156
2740500,1235500,2025,22,2,3,2230,2740-1235
2740393,1235653,2021,34,4,3,2230,2740-1235
2599500,1175500,2023,28,2,3,2230,2599-1175
2595500,1176500,2023,36,2,5,2230,2595-1176
2740500,1235500,2021,34,4,1,2230,2740-1235
2740500,1235500,2021,34,5,2,2230,2740-1235
2733234,1217355,2024,47,5,13,2230,2733-1217
2517846,1165024,2025,59,1,0,2230,2517-1165
2507488,1160102,2024,24,2,4,2230,2507-1160
2595876,1176504,2025,35,1,3,2230,2595-1176
2740500,1235500,2022,29,2,3,2230,2740-1235
2599894,1175238,2025,35,2,3,2230,2599-1175
2507448,1156726,2021,30,1,3,2230,2507-1156
2595981,1176583,2022,23,1,3,2230,2595-1176
2737073,1172613,2025,23,2,6,2230,2737-1172
2595506,1176650,2021,35,2,3,2230,2595-1176
2595788,1176516,2021,35,1,3,2230,2595-1176
2595500,1176500,2021,41,1,3,2230,2595-1176
2641500,1186500,2021,29,1,3,2230,2641-1186
2599813,1175278,2022,29,1,3,2230,2599-1175
2641333,1186340,2025,30,1,3,2230,2641-1186
2641308,1186010,2025,30,1,2,2230,2641-1186
2641142,1186236,2025,30,1,3,2230,2641-1186
2503766,1153542,2021,30,1,3,2230,2503-1153
2599500,1175500,2022,59,1,0,2230,2599-1175
2503865,1153435,2025,24,1,3,2230,2503-1153
2500995,1161149,2025,24,1,3,2230,2500-1161
2500995,1161149,2025,24,1,3,2230,2500-1161
2641490,1186226,2025,23,1,3,2230,2641-1186
2641490,1186226,2025,23,2,3,2230,2641-1186
2641500,1185500,2021,29,3,3,2230,2641-1185
2641738,1185417,2025,29,1,2,2230,2641-1185
2720500,1211500,2021,29,1,3,2230,2720-1211
2641619,1185795,2025,29,3,3,2230,2641-1185
2599698,1175370,2023,29,1,2,2230,2599-1175
2518551,1165049,2025,29,1,3,2230,2518-1165
2599477,1175914,2022,60,1,0,2230,2599-1175
2599921,1175285,2025,29,5,3,2230,2599-1175
2757141,1201452,2024,60,1,0,2230,2757-1201
2757141,1201452,2024,60,1,0,2230,2757-1201
2622398,1163888,2022,17,2,0,2230,2622-1163
2622579,1163671,2022,17,1,0,2230,2622-1163
2507758.64640599,1156167.5597007,2025,60,1,0,2230,2507-1156
2627585,1184523,2021,29,2,4,2230,2627-1184
2599859,1175248,2022,36,1,2,2230,2599-1175
2599500,1175500,2022,36,1,3,2230,2599-1175
2518553,1165076,2021,23,1,3,2230,2518-1165
2750362,1186793,2021,23,1,18,2230,2750-1186
2599846,1175245,2022,36,1,3,2230,2599-1175
2599942,1175370,2022,36,1,3,2230,2599-1175
2599863,1175246,2022,36,1,1,2230,2599-1175
2599885,1175249,2022,36,1,3,2230,2599-1175
2595816,1176599,2023,30,1,3,2230,2595-1176
2779850,1201081,2023,24,2,4,2230,2779-1201
2599181,1175733,2021,17,1,3,2230,2599-1175
2518447,1165216,2021,17,1,3,2230,2518-1165
2621351,1157369,2021,36,1,16,2230,2621-1157
2635382,1168543,2024,18,1,0,2230,2635-1168
2621500,1157500,2025,36,3,3,2230,2621-1157
2621604,1157564,2025,36,3,3,2230,2621-1157
2599500,1175500,2024,30,5,3,2230,2599-1175
2732735,1171934,2024,18,1,0,2230,2732-1171
2518535,1165221,2022,24,2,4,2230,2518-1165
2633180,1161149,2024,42,5,19,2230,2633-1161
2732086,1171448,2025,24,2,4,2230,2732-1171
2720916,1211453,2021,30,2,3,2230,2720-1211
2599685,1175250,2024,30,5,3,2230,2599-1175
2518538.85647478,1165062.28486082,2024,30,1,1,2230,2518-1165
2505500,1152500,2021,24,1,6,2230,2505-1152
2757426,1201804,2022,24,1,3,2230,2757-1201
2517846,1165047,2022,18,3,4,2230,2517-1165
2518424,1165232,2021,18,1,3,2230,2518-1165
2599799,1175079,2021,18,1,0,2230,2599-1175
2641500,1185500,2022,36,1,2,2230,2641-1185
2518588,1165269,2023,24,1,3,2230,2518-1165
2641096,1185852,2025,30,1,3,2230,2641-1185
2595745,1176780,2022,24,1,3,2230,2595-1176
2500995,1161149,2025,24,1,3,2230,2500-1161
2500995,1161149,2025,24,1,3,2230,2500-1161
2720831,1211319,2021,30,1,3,2230,2720-1211
2601285,1177167,2022,31,1,3,2230,2601-1177
2601270,1177184,2022,31,1,3,2230,2601-1177
2599500,1175500,2022,31,2,3,2230,2599-1175
2720881,1211454,2025,31,1,3,2230,2720-1211
2720881,1211454,2025,31,1,3,2230,2720-1211
2599711,1175362,2021,31,2,3,2230,2599-1175
2599594,1175620,2021,31,1,3,2230,2599-1175
2599879,1175241,2022,31,2,3,2230,2599-1175
2595810,1176669,2025,25,2,2,2230,2595-1176
2500988,1161120,2025,25,1,3,2230,2500-1161
2500998,1161103,2025,25,1,3,2230,2500-1161
2599500,1175500,2021,19,1,3,2230,2599-1175
2740044,1235499,2021,37,1,3,2230,2740-1235
2740042,1235529,2021,37,1,3,2230,2740-1235
2740500,1235499,2023,31,2,3,2230,2740-1235
2507500,1156500,2025,19,1,3,2230,2507-1156
2507298,1156533,2025,19,1,3,2230,2507-1156
2507515,1156321,2025,19,3,3,2230,2507-1156
2753675,1222310,2023,26,1,11,2230,2753-1222
2641687,1185555,2021,32,1,2,2230,2641-1185
2740346,1235221,2021,26,1,3,2230,2740-1235
2641500,1186500,2023,32,2,6,2230,2641-1186
2595773,1176571,2022,33,3,3,2230,2595-1176
2740231,1235518,2021,33,1,3,2230,2740-1235
