x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2671626,1227628,2024,1,1,0,3140,2671-1227
2615948,1270275,2021,1,1,0,3140,2615-1270
2710320,1271242,2022,1,1,0,3140,2710-1271
2679715,1251972,2022,1,1,0,3140,2679-1251
2684475,1291805,2025,1,1,0,3140,2684-1291
2598500,1202500,2024,1,1,0,3140,2598-1202
2614450.91388358,1269819.83646281,2022,1,1,0,3140,2614-1269
2607452,1229299,2024,1,1,0,3140,2607-1229
2647124,1250557,2025,1,1,0,3140,2647-1250
2610944,1267565,2024,1,1,0,3140,2610-1267
2595554,1125847,2021,1,1,0,3140,2595-1125
2723500,1208500,2021,1,2,0,3140,2723-1208
2710308,1271215,2023,1,1,0,3140,2710-1271
2581526,1192391,2025,1,2,0,3140,2581-1192
2646500,1250500,2024,1,1,0,3140,2646-1250
2666500,1210500,2021,1,1,0,3140,2666-1210
2559071,1138392,2024,1,1,0,3140,2559-1138
2618500,1195500,2021,1,1,0,3140,2618-1195
2721500,1201500,2021,1,1,0,3140,2721-1201
2578884.20655833,1183862.06327299,2024,1,1,0,3140,2578-1183
2710498.55781398,1270998.86415489,2023,1,1,0,3140,2710-1270
2762500,1254500,2023,1,1,0,3140,2762-1254
2575274,1179079,2024,1,1,3,3140,2575-1179
2609555,1263939,2024,1,1,0,3140,2609-1263
2664500,1249500,2021,7,1,3,3140,2664-1249
2552550,1199590,2021,7,1,3,3140,2552-1199
2717633,1105479,2024,7,1,3,3140,2717-1105
2687436,1272331,2025,7,1,2,3140,2687-1272
2643245,1226681,2024,1,1,0,3140,2643-1226
2717499.94701699,1231998.69347643,2021,1,1,0,3140,2717-1231
2717499.94701699,1231998.69347643,2023,1,1,3,3140,2717-1231
2762500,1254500,2021,1,1,0,3140,2762-1254
2611838,1255443,2021,7,1,3,3140,2611-1255
2710411,1271277,2024,7,1,2,3140,2710-1271
2710552,1271296,2025,7,1,2,3140,2710-1271
2710565,1271314,2023,7,1,1,3140,2710-1271
2710546,1271318,2025,7,1,2,3140,2710-1271
2679500,1252500,2024,7,3,3,3140,2679-1252
2710500,1270500,2024,7,1,2,3140,2710-1270
2610500,1266500,2023,7,1,3,3140,2610-1266
2717632,1105482,2024,1,1,0,3140,2717-1105
2687500,1272500,2021,7,1,2,3140,2687-1272
2725077,1217178,2021,1,1,3,3140,2725-1217
2710500,1271500,2023,7,1,1,3140,2710-1271
2575936,1181661,2021,7,1,2,3140,2575-1181
2571884,1133479,2021,1,1,0,3140,2571-1133
2648343,1251973,2025,7,1,1,3140,2648-1251
2575277,1178936,2024,7,1,3,3140,2575-1178
2609568,1263961,2024,7,1,3,3140,2609-1263
2717632,1105473,2022,12,1,3,3140,2717-1105
2650578,1230910,2021,12,2,5,3140,2650-1230
2751655,1189355,2021,12,1,3,3140,2751-1189
2615940,1270284,2021,12,1,3,3140,2615-1270
2570700,1202721,2021,12,1,18,3140,2570-1202
2726500,1238500,2024,7,2,6,3140,2726-1238
2606574,1255694,2021,7,2,7,3140,2606-1255
2570997,1247765,2021,7,3,6,3140,2570-1247
2578617,1246282,2024,7,1,3,3140,2578-1246
2641741,1219150,2021,7,2,4,3140,2641-1219
2581782,1192978,2021,7,1,3,3140,2581-1192
2614500,1259500,2022,12,1,5,3140,2614-1259
2573553,1218733,2021,12,1,3,3140,2573-1218
2598309,1202911,2024,12,1,3,3140,2598-1202
2753933,1254310,2022,12,1,3,3140,2753-1254
2735500,1234500,2021,12,1,3,3140,2735-1234
2606573,1255694,2021,12,2,18,3140,2606-1255
2687500,1272500,2025,12,1,2,3140,2687-1272
2706203,1280923,2025,7,1,3,3140,2706-1280
2705901,1281455,2025,7,2,4,3140,2705-1281
2706641,1280787,2025,7,1,3,3140,2706-1280
2644800.26230963,1221599.53086303,2024,12,1,19,3140,2644-1221
2683368,1219445,2024,12,2,5,3140,2683-1219
2552698.55679552,1199682.58930613,2021,19,1,3,3140,2552-1199
2504459,1118212,2023,19,1,2,3140,2504-1118
2622500,1255500,2021,12,3,3,3140,2622-1255
2506229,1119007,2024,7,2,2,3140,2506-1119
2536442,1190238,2021,12,1,3,3140,2536-1190
2665662,1212856,2021,12,1,3,3140,2665-1212
2669810,1211791,2022,12,3,4,3140,2669-1211
2711500,1237500,2021,19,2,5,3140,2711-1237
2575017,1179305,2024,7,1,3,3140,2575-1179
2569636,1220789,2021,12,1,3,3140,2569-1220
2569260,1220819,2021,12,1,3,3140,2569-1220
2569572,1220804,2021,12,1,3,3140,2569-1220
2569292,1220785,2021,12,1,3,3140,2569-1220
2641746,1185470,2021,19,1,3,3140,2641-1185
2687433,1272452,2025,7,1,2,3140,2687-1272
2669447,1210300,2025,12,2,4,3140,2669-1210
2606573,1255693,2022,12,1,7,3140,2606-1255
2749458,1211666,2023,12,1,3,3140,2749-1211
2488377,1112119,2024,12,1,1,3140,2488-1112
2684500,1289500,2023,12,3,3,3140,2684-1289
2613500,1192500,2025,12,1,1,3140,2613-1192
2726500,1238500,2021,12,1,3,3140,2726-1238
2609613,1263946,2025,12,1,3,3140,2609-1263
2683861,1220091,2024,12,2,4,3140,2683-1220
2610926,1267585,2025,19,1,1,3140,2610-1267
2685151,1248159,2022,12,1,3,3140,2685-1248
2686811,1285442,2021,19,1,14,3140,2686-1285
2601127,1192879,2021,12,1,3,3140,2601-1192
2504451,1119110,2022,12,1,3,3140,2504-1119
2528820,1175572,2024,12,2,4,3140,2528-1175
2541041,1181647,2021,19,1,3,3140,2541-1181
2609434,1266354,2021,19,1,1,3140,2609-1266
2577070,1181831,2025,19,1,3,3140,2577-1181
2574495,1192527,2021,19,2,2,3140,2574-1192
2502500,1144500,2024,12,3,3,3140,2502-1144
2613271,1187604,2024,19,1,2,3140,2613-1187
2595500,1194500,2024,12,2,4,3140,2595-1194
2630102,1269997,2021,19,1,3,3140,2630-1269
2622500,1131500,2024,12,1,3,3140,2622-1131
2565577,1182017,2022,12,1,3,3140,2565-1182
2710500,1271500,2022,19,1,2,3140,2710-1271
2618500,1262500,2023,19,1,3,3140,2618-1262
2688500,1206500,2023,12,1,3,3140,2688-1206
2708500,1118500,2023,19,2,3,3140,2708-1118
2726500,1238500,2023,19,2,6,3140,2726-1238
2683348,1249793,2022,25,1,3,3140,2683-1249
2603765,1187197,2021,19,3,5,3140,2603-1187
2615500,1270500,2021,19,2,13,3140,2615-1270
2655168,1258527,2024,19,1,3,3140,2655-1258
2599986,1233304,2024,25,1,3,3140,2599-1233
2777643,1199428,2021,19,1,12,3140,2777-1199
2616261,1130190,2025,19,1,3,3140,2616-1130
2710500,1271500,2022,19,1,2,3140,2710-1271
2563418,1206685,2023,19,1,3,3140,2563-1206
2710437,1270938,2022,19,2,2,3140,2710-1270
2614055,1264238,2025,19,1,1,3140,2614-1264
2648500,1251500,2024,25,1,1,3140,2648-1251
2648719,1251540,2024,25,1,1,3140,2648-1251
2550805,1171550,2024,25,5,19,3140,2550-1171
2657490,1233930,2025,19,1,3,3140,2657-1233
2570723.53976856,1202698.25735171,2021,19,3,19,3140,2570-1202
2594703,1201156,2024,19,1,3,3140,2594-1201
2581504,1192095,2021,25,5,19,3140,2581-1192
2710498.55781398,1270998.8641549,2022,19,1,2,3140,2710-1270
2641500,1185500,2021,19,2,3,3140,2641-1185
2686712,1285966,2024,25,3,13,3140,2686-1285
2740500,1274500,2025,25,2,1,3140,2740-1274
2561500,1142500,2023,19,1,2,3140,2561-1142
2617656,1258996,2023,25,2,4,3140,2617-1258
2698500,1260500,2025,19,1,3,3140,2698-1260
2617389,1258398,2023,25,1,2,3140,2617-1258
2665418,1197898,2021,25,1,13,3140,2665-1197
2561500,1142500,2023,25,4,13,3140,2561-1142
2665316,1197861,2021,25,1,13,3140,2665-1197
2524810,1183056,2024,25,1,3,3140,2524-1183
2613500,1261500,2022,25,1,5,3140,2613-1261
2617597,1259687,2023,25,1,3,3140,2617-1259
2710506,1271314,2022,25,1,1,3140,2710-1271
2753903,1254310,2022,25,2,5,3140,2753-1254
2624613,1240294,2024,25,1,3,3140,2624-1240
2566023,1184488,2024,25,1,19,3140,2566-1184
2668500,1225500,2022,25,2,6,3140,2668-1225
2487202,1111032,2021,25,4,19,3140,2487-1111
2688673,1245838,2024,25,1,3,3140,2688-1245
2607500,1254500,2022,25,1,3,3140,2607-1254
2635605,1234530,2025,25,2,4,3140,2635-1234
2576888,1232857,2025,31,1,2,3140,2576-1232
2504737,1119320,2024,25,3,13,3140,2504-1119
2594699,1201195,2024,25,1,3,3140,2594-1201
2558500,1138500,2022,31,1,3,3140,2558-1138
2740500,1274500,2024,25,1,1,3140,2740-1274
2726500,1238500,2021,31,1,3,3140,2726-1238
2524762,1183117,2024,25,1,19,3140,2524-1183
2524628,1183370,2024,25,1,3,3140,2524-1183
2612149,1264743,2021,37,1,0,3140,2612-1264
2492468,1113158,2024,31,1,2,3140,2492-1113
2492691,1113447,2024,31,1,2,3140,2492-1113
2492687,1119467,2023,31,2,13,3140,2492-1119
2595500,1194500,2024,43,2,0,3140,2595-1194
2645248,1253457,2023,43,1,3,3140,2645-1253
2492807.52431272,1113090.11267758,2024,31,1,2,3140,2492-1113
2579167,1182756,2023,49,1,0,3140,2579-1182
2579274,1182890,2023,49,1,0,3140,2579-1182
2614100,1269629,2022,49,1,0,3140,2614-1269
2492807.52431272,1113090.11267758,2024,31,1,2,3140,2492-1113
2610265,1192520,2023,31,1,3,3140,2610-1192
2613270,1187604,2023,49,1,0,3140,2613-1187
2561500,1142500,2021,49,1,0,3140,2561-1142
2700500,1243500,2023,49,2,0,3140,2700-1243
2614700,1269099,2021,31,1,3,3140,2614-1269
2541047,1181650,2021,37,1,0,3140,2541-1181
2667148,1207838,2024,37,1,0,3140,2667-1207
2526935,1151911,2023,49,1,0,3140,2526-1151
2765500,1256500,2021,37,4,13,3140,2765-1256
2570500,1203500,2023,49,1,0,3140,2570-1203
2683479,1249560,2022,49,1,0,3140,2683-1249
2686475,1241784,2021,49,1,0,3140,2686-1241
2686410,1241846,2023,49,1,0,3140,2686-1241
2495238.63148743,1116787.01570611,2021,37,3,0,3140,2495-1116
2666500,1207500,2022,37,1,0,3140,2666-1207
2698500,1260500,2024,55,1,0,3140,2698-1260
2608597,1210653,2024,31,3,13,3140,2608-1210
2678500,1247500,2024,55,1,0,3140,2678-1247
2615950,1270283,2025,55,1,0,3140,2615-1270
2542138,1152895,2023,43,1,0,3140,2542-1152
2570382,1176214,2024,43,1,0,3140,2570-1176
2680722,1251796,2021,55,1,0,3140,2680-1251
2609597,1263994,2022,43,1,0,3140,2609-1263
2609721,1263988,2025,43,1,0,3140,2609-1263
2615952,1270280,2025,61,1,0,3140,2615-1270
2538213,1189295,2023,49,1,0,3140,2538-1189
2665926,1212937,2022,49,1,0,3140,2665-1212
2610304,1192533,2022,49,1,0,3140,2610-1192
2655188,1258481,2025,37,1,0,3140,2655-1258
2614220,1269709,2022,37,1,3,3140,2614-1269
2740488,1274274,2025,49,1,0,3140,2740-1274
2740488,1274274,2025,49,1,0,3140,2740-1274
2740488,1274274,2025,49,1,0,3140,2740-1274
2717688,1105761,2021,67,1,0,3140,2717-1105
2687500,1117500,2022,43,4,0,3140,2687-1117
2710531,1271327,2024,55,1,0,3140,2710-1271
2597110,1201516,2024,31,3,13,3140,2597-1201
2563520,1183648,2023,43,1,0,3140,2563-1183
2667500,1207500,2021,1,1,0,3140,2667-1207
2751658,1189374,2025,1,1,0,3140,2751-1189
2647257,1250594,2025,1,1,0,3140,2647-1250
2614700,1269099,2022,49,1,0,3140,2614-1269
2614700,1269099,2024,49,1,0,3140,2614-1269
2621351,1257933,2023,31,2,4,3140,2621-1257
2570204,1176051,2023,61,1,0,3140,2570-1176
2608494,1261319,2024,49,1,0,3140,2608-1261
2664937,1257431,2021,1,1,0,3140,2664-1257
2717642,1105485,2023,37,1,0,3140,2717-1105
2710546,1271333,2023,61,1,0,3140,2710-1271
2614500,1259500,2021,1,1,0,3140,2614-1259
2762500,1254500,2021,37,4,13,3140,2762-1254
2666758,1259438,2025,37,1,0,3140,2666-1259
2617337,1258890,2024,7,1,3,3140,2617-1258
2506932,1138736,2025,7,1,3,3140,2506-1138
2570091,1175866,2024,49,1,0,3140,2570-1175
2665439,1210585,2023,61,2,0,3140,2665-1210
2562920,1209085,2023,49,1,0,3140,2562-1209
2686024,1253225,2025,7,1,3,3140,2686-1253
2497194,1115568,2025,7,1,3,3140,2497-1115
2577023,1234379,2025,7,1,3,3140,2577-1234
2622902,1255094,2025,37,1,0,3140,2622-1255
2506981,1118812,2021,61,1,0,3140,2506-1118
2717499.94701699,1231998.69347643,2021,49,1,0,3140,2717-1231
2717499.94701699,1231998.69347643,2022,49,2,0,3140,2717-1231
2615939,1270283,2021,7,2,3,3140,2615-1270
2613270,1187604,2025,7,2,4,3140,2613-1187
2740488,1274274,2025,61,2,0,3140,2740-1274
2611862,1172301,2021,7,1,3,3140,2611-1172
2611350,1172104,2021,7,2,6,3140,2611-1172
2647052,1250562,2025,7,1,2,3140,2647-1250
2771750,1171342,2023,7,1,1,3140,2771-1171
2570158,1176038,2025,67,1,0,3140,2570-1176
2665544,1200356,2025,7,1,3,3140,2665-1200
2610932,1267571,2025,7,1,2,3140,2610-1267
2608010,1264557,2021,7,1,2,3140,2608-1264
2681116,1244332,2023,7,1,1,3140,2681-1244
2691500,1233500,2025,43,1,0,3140,2691-1233
2577082,1181947,2021,55,1,0,3140,2577-1181
2672500,1242500,2025,67,6,0,3140,2672-1242
2570594,1203750,2024,43,2,0,3140,2570-1203
2706500,1232500,2024,7,2,2,3140,2706-1232
2647082,1250566,2024,67,1,0,3140,2647-1250
2546697,1191925,2025,67,1,0,3140,2546-1191
2609500,1266500,2023,55,1,0,3140,2609-1266
2679578.93494353,1254052.6237002,2025,13,1,2,3140,2679-1254
2569835,1175804,2025,55,1,0,3140,2569-1175
2717499.94701699,1231998.69347643,2021,55,1,0,3140,2717-1231
2710543,1271306,2023,1,1,0,3140,2710-1271
2503788,1159660,2025,13,2,4,3140,2503-1159
2751674,1189362,2021,13,1,2,3140,2751-1189
2710500,1270500,2025,1,1,0,3140,2710-1270
2575630,1218327,2025,13,1,3,3140,2575-1218
2612500,1266500,2022,49,1,0,3140,2612-1266
2621678,1256713,2023,49,1,0,3140,2621-1256
2620501,1257137,2023,49,1,0,3140,2620-1257
2578853,1181018,2024,49,1,0,3140,2578-1181
2711500,1237500,2021,13,2,2,3140,2711-1237
2612500,1264500,2025,13,1,2,3140,2612-1264
2507500,1154500,2025,61,1,0,3140,2507-1154
2506348,1119416,2023,49,1,0,3140,2506-1119
2575748,1179744,2024,1,1,0,3140,2575-1179
2610935,1267571,2025,13,1,2,3140,2610-1267
2610938,1267569,2021,13,1,1,3140,2610-1267
2680524,1251814,2021,19,1,3,3140,2680-1251
2726556,1238161,2024,19,1,2,3140,2726-1238
2581762,1192935,2023,49,2,0,3140,2581-1192
2646500,1250500,2025,1,1,0,3140,2646-1250
2622594,1254300,2021,49,1,0,3140,2622-1254
2702610,1235834,2022,49,1,0,3140,2702-1235
2570162,1176190,2022,49,1,0,3140,2570-1176
2669988,1210926,2024,19,1,3,3140,2669-1210
2717499.94701699,1231998.69347643,2021,61,1,0,3140,2717-1231
2570013,1175971,2023,61,2,0,3140,2570-1175
2696268,1246323,2021,55,1,0,3140,2696-1246
2491969,1119294,2025,55,1,0,3140,2491-1119
2504600.69066683,1118569.73151353,2023,1,2,0,3140,2504-1118
2599300,1195722,2025,7,1,3,3140,2599-1195
2706500,1281500,2021,19,1,2,3140,2706-1281
2725231,1241378,2024,7,1,3,3140,2725-1241
2725199,1241817,2024,7,2,4,3140,2725-1241
2519093,1166215,2025,7,2,4,3140,2519-1166
2725106,1241130,2024,7,1,3,3140,2725-1241
2725425,1241428,2024,7,1,3,3140,2725-1241
2604521,1197410,2023,55,1,0,3140,2604-1197
2604459,1197401,2023,55,1,0,3140,2604-1197
2617610,1259813,2024,7,1,3,3140,2617-1259
2710545,1271336,2023,7,1,2,3140,2710-1271
2656406,1224113,2025,7,2,4,3140,2656-1224
2726500,1238500,2021,55,1,0,3140,2726-1238
2681500,1252500,2023,67,1,0,3140,2681-1252
2519728,1164215,2023,19,1,19,3140,2519-1164
2520638,1164688,2023,19,1,19,3140,2520-1164
2506152,1120381,2021,19,1,2,3140,2506-1120
2647085,1250547,2025,7,1,1,3140,2647-1250
2610958,1267583,2024,19,1,2,3140,2610-1267
2721484,1103039,2023,7,1,1,3140,2721-1103
2659264,1261089,2025,19,2,4,3140,2659-1261
2689863,1264247,2022,67,1,0,3140,2689-1264
2710455,1270948,2021,67,3,0,3140,2710-1270
2678835,1247199,2021,7,2,1,3140,2678-1247
2574500,1192500,2021,7,2,3,3140,2574-1192
2603847,1187198,2021,1,3,0,3140,2603-1187
2710543,1271330,2023,61,1,0,3140,2710-1271
2531621,1151485,2024,7,2,4,3140,2531-1151
2531635,1151525,2024,7,2,4,3140,2531-1151
2655226,1258525,2024,19,1,3,3140,2655-1258
2609077,1249270,2023,19,1,7,3140,2609-1249
2611858,1255534,2021,7,2,3,3140,2611-1255
2612131,1264510,2025,13,1,1,3140,2612-1264
2600174,1173563,2024,13,1,4,3140,2600-1173
2646659,1250260,2021,1,1,0,3140,2646-1250
2717643,1105462,2022,25,1,3,3140,2717-1105
2536741,1190903,2023,13,1,3,3140,2536-1190
2536760,1190965,2023,13,1,3,3140,2536-1190
2536980,1191527,2023,13,1,3,3140,2536-1191
2536556,1191348,2023,13,1,3,3140,2536-1191
2536864,1191362,2023,13,1,3,3140,2536-1191
2665506,1210511,2024,13,1,1,3140,2665-1210
2536759,1191314,2023,13,1,4,3140,2536-1191
2686428,1241750,2025,25,1,3,3140,2686-1241
2575227,1178979,2024,13,1,3,3140,2575-1178
2723535,1084712,2022,13,2,3,3140,2723-1084
2609616,1263940,2025,13,1,3,3140,2609-1263
2619500,1196500,2024,13,1,3,3140,2619-1196
2605813,1237441,2022,25,1,3,3140,2605-1237
2709983,1271011,2024,13,1,4,3140,2709-1271
2570499,1177450,2022,61,1,0,3140,2570-1177
2622899,1255090,2025,61,1,0,3140,2622-1255
2612129,1264488,2025,13,1,2,3140,2612-1264
2561500,1142500,2024,1,1,0,3140,2561-1142
2675300,1248672,2021,13,1,3,3140,2675-1248
