x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2515053,1161689,2025,7,1,0,1500,2515-1161
2622500,1163500,2021,12,1,0,1500,2622-1163
2770002,1169901,2025,19,,2,1500,2770-1169
2770749,1169773,2025,19,1,2,1500,2770-1169
2740870,1186041,2024,25,3,3,1500,2740-1186
2512740,1161673,2022,25,2,4,1500,2512-1161
2728500,1231500,2022,19,1,3,1500,2728-1231
2706888,1168944,2025,25,1,1,1500,2706-1168
2631824,1178545,2021,31,,2,1500,2631-1178
2740441,1185888,2024,43,1,2,1500,2740-1185
2631595,1179037,2022,43,5,13,1500,2631-1179
2515661,1161537,2024,67,1,0,1500,2515-1161
2631682,1179343,2022,43,2,2,1500,2631-1179
2631777,1179609,2022,43,1,2,1500,2631-1179
2512513,1161893,2021,19,2,1,1500,2512-1161
2504055,1155526,2022,25,1,2,1500,2504-1155
2505652,1155532,2021,25,1,2,1500,2505-1155
2505652,1155532,2021,25,1,2,1500,2505-1155
2505652,1155532,2021,25,1,2,1500,2505-1155
2506500,1153500,2022,1,1,0,1500,2506-1153
2506928,1153607,2021,61,1,0,1500,2506-1153
2741179,1185899,2024,13,2,0,1500,2741-1185
2800618,1171277,2023,31,4,6,1500,2800-1171
2741248,1186018,2024,13,1,0,1500,2741-1186
2740500,1185500,2024,13,1,0,1500,2740-1185
2622617,1163689,2022,25,1,2,1500,2622-1163
2622841,1163585,2022,25,3,6,1500,2622-1163
2734482,1226492,2025,25,2,2,1500,2734-1226
2800513,1171482,2023,49,1,0,1500,2800-1171
2504232,1155320,2021,55,1,0,1500,2504-1155
2505141,1155394,2022,62,1,0,1500,2505-1155
2622657,1163539,2022,25,1,3,1500,2622-1163
2631913,1179288,2022,68,1,0,1500,2631-1179
2762727,1174730,2023,25,3,4,1500,2762-1174
2770500,1169500,2022,25,3,3,1500,2770-1169
2713500,1177500,2024,31,1,2,1500,2713-1177
2739904,1235464,2022,55,1,0,1500,2739-1235
2728500,1231500,2022,13,1,0,1500,2728-1231
2739909,1235593,2021,1,1,0,1500,2739-1235
2515726,1161823,2025,25,1,2,1500,2515-1161
2741461,1185433,2025,43,2,13,1500,2741-1185
2740757,1185747,2024,7,1,0,1500,2740-1185
2512495,1161652,2024,19,1,2,1500,2512-1161
2741066,1186118,2025,19,1,3,1500,2741-1186
2740870,1186055,2025,19,1,3,1500,2740-1186
2740891,1186049,2021,25,3,3,1500,2740-1186
2728500,1231500,2022,31,1,3,1500,2728-1231
2728500,1231500,2023,13,1,0,1500,2728-1231
2728500,1231500,2022,19,1,3,1500,2728-1231
2741128,1186116,2024,7,1,0,1500,2741-1186
2740803,1185669,2024,7,1,0,1500,2740-1185
2728500,1231500,2022,31,1,3,1500,2728-1231
2784732,1189815,2021,31,1,19,1500,2784-1189
2740483,1186017,2024,38,6,13,1500,2740-1186
2795311,1167551,2024,62,1,0,1500,2795-1167
2515480,1162036,2025,19,1,2,1500,2515-1162
2515211,1162350,2024,19,1,1,1500,2515-1162
2500109,1149817,2025,19,1,3,1500,2500-1149
2500123,1149824,2025,19,1,3,1500,2500-1149
2515740,1161918,2025,38,1,2,1500,2515-1161
2739481,1235408,2023,19,1,2,1500,2739-1235
2739589,1235634,2023,19,3,6,1500,2739-1235
2739508,1235542,2023,19,1,2,1500,2739-1235
2713498,1177835,2024,50,1,0,1500,2713-1177
2631934,1179423,2021,13,1,0,1500,2631-1179
2728582,1231072,2023,13,1,0,1500,2728-1231
2740903,1185973,2025,20,1,3,1500,2740-1185
2510216,1156994,2021,50,1,0,1500,2510-1156
2762930,1165564,2023,13,1,0,1500,2762-1165
2741204,1185677,2024,20,1,3,1500,2741-1185
2768500,1211500,2024,62,1,0,1500,2768-1211
2741364,1186153,2025,20,1,3,1500,2741-1186
2515471,1162037,2023,26,2,3,1500,2515-1162
2802007,1172677,2023,50,1,0,1500,2802-1172
2512800,1161849,2021,56,1,0,1500,2512-1161
2512740,1161642,2021,56,1,0,1500,2512-1161
2512444,1161160,2021,56,1,0,1500,2512-1161
2506597,1153926,2025,63,2,0,1500,2506-1153
2504960,1155536,2022,14,1,0,1500,2504-1155
2505283,1155979,2022,14,1,0,1500,2505-1155
2503326,1151746,2022,38,4,13,1500,2503-1151
2515846,1162620,2022,38,5,13,1500,2515-1162
2735586,1173572,2022,44,5,13,1500,2735-1173
2512397,1161290,2022,63,1,0,1500,2512-1161
2774885,1187460,2025,50,1,0,1500,2774-1187
2732016,1171108,2024,50,1,0,1500,2732-1171
2740934,1185807,2025,20,1,3,1500,2740-1185
2770726,1169772,2025,20,1,3,1500,2770-1169
2504676,1155624,2021,20,1,3,1500,2504-1155
2795287,1167563,2024,63,1,0,1500,2795-1167
2706821,1168965,2025,38,2,13,1500,2706-1168
2741030,1186120,2025,20,5,6,1500,2741-1186
2768872,1211173,2025,44,1,2,1500,2768-1211
2513653,1160193,2021,44,1,1,1500,2513-1160
2741086,1185996,2025,14,1,0,1500,2741-1185
2741086,1185996,2025,14,1,0,1500,2741-1185
2770500,1169500,2024,26,2,4,1500,2770-1169
2741398,1186185,2025,14,1,0,1500,2741-1186
2741398,1186185,2025,14,1,0,1500,2741-1186
2802146,1172541,2023,33,1,12,1500,2802-1172
2741171,1186110,2022,20,1,3,1500,2741-1186
2784973,1189746,2025,20,1,2,1500,2784-1189
2810700,1169614,2022,26,1,1,1500,2810-1169
2810249,1169525,2025,38,2,4,1500,2810-1169
2741692,1186205,2022,51,1,0,1500,2741-1186
2784500,1189500,2022,32,1,2,1500,2784-1189
2750939,1195146,2025,33,4,13,1500,2750-1195
2622648,1163565,2021,20,1,3,1500,2622-1163
2622876,1163360,2021,20,1,3,1500,2622-1163
2741113,1186059,2025,14,3,0,1500,2741-1186
2740434,1185607,2025,51,5,0,1500,2740-1185
2740969,1185923,2021,20,1,2,1500,2740-1185
2693976,1188785,2024,51,2,6,1500,2693-1188
2631430,1178045,2024,21,1,2,1500,2631-1178
2739516,1235471,2023,20,1,2,1500,2739-1235
2739519,1235495,2023,20,1,2,1500,2739-1235
2734251,1226364,2022,21,1,2,1500,2734-1226
2800868,1171278,2022,33,1,2,1500,2800-1171
2800481,1171353,2022,33,1,2,1500,2800-1171
2694047,1188924,2024,39,2,4,1500,2694-1188
2697396,1212501,2023,51,1,0,1500,2697-1212
2622790,1163306,2021,14,1,0,1500,2622-1163
2622573,1163819,2021,14,1,0,1500,2622-1163
2622701,1163933,2021,14,1,0,1500,2622-1163
2622728,1163458,2021,14,1,0,1500,2622-1163
2622500,1163500,2021,14,1,0,1500,2622-1163
2622710,1163925,2021,14,1,0,1500,2622-1163
2739435,1235379,2024,57,1,0,1500,2739-1235
2739548,1235486,2024,57,1,0,1500,2739-1235
2802432,1172754,2022,3,1,0,1500,2802-1172
2740664,1185869,2023,9,1,0,1500,2740-1185
2740664,1185869,2023,9,1,0,1500,2740-1185
2740830,1185866,2023,9,1,0,1500,2740-1185
2740830,1185866,2023,9,1,0,1500,2740-1185
2740988,1186320,2025,21,1,3,1500,2740-1186
2510640,1156663,2024,20,1,1,1500,2510-1156
2515512,1162887,2024,45,1,2,1500,2515-1162
2505100,1155711,2025,39,4,13,1500,2505-1155
2760739,1163263,2025,45,2,10,1500,2760-1163
2810439,1169797,2023,21,1,1,1500,2810-1169
2774271,1187272,2024,63,1,0,1500,2774-1187
2810851,1169726,2023,27,1,1,1500,2810-1169
2734124,1226120,2024,27,1,2,1500,2734-1226
2728500,1231500,2023,21,1,6,1500,2728-1231
2511808,1157644,2024,9,1,0,1500,2511-1157
2795106,1167230,2021,33,4,13,1500,2795-1167
2731944,1170951,2025,21,1,3,1500,2731-1170
2728500,1231500,2022,21,1,3,1500,2728-1231
2732010,1171735,2021,27,1,2,1500,2732-1171
2800457,1171170,2023,58,1,0,1500,2800-1171
2740686,1186568,2023,58,1,0,1500,2740-1186
2740609,1185788,2023,58,1,0,1500,2740-1185
2694352,1188874,2025,58,1,0,1500,2694-1188
2631694,1179817,2021,39,1,2,1500,2631-1179
2747282,1184071,2024,21,2,3,1500,2747-1184
2747311,1184051,2024,21,2,3,1500,2747-1184
2732480,1171861,2024,51,5,13,1500,2732-1171
2739905,1235375,2025,51,3,0,1500,2739-1235
2506557,1153480,2021,21,2,4,1500,2506-1153
2506865,1153831,2021,21,2,4,1500,2506-1153
2631783,1179804,2022,33,1,2,1500,2631-1179
2766201,1159960,2021,34,5,13,1500,2766-1159
2784904,1189810,2024,27,,2,1500,2784-1189
2784917,1189776,2024,27,1,2,1500,2784-1189
2741804,1185908,2025,45,1,1,1500,2741-1185
2740893,1186188,2024,52,1,0,1500,2740-1186
2506860,1153384,2024,21,1,2,1500,2506-1153
2631513,1178358,2021,70,1,0,1500,2631-1178
2515291,1161683,2025,57,1,0,1500,2515-1161
2774073,1187725,2023,45,3,13,1500,2774-1187
2741069,1186016,2023,9,1,0,1500,2741-1186
2741069,1186016,2023,9,1,0,1500,2741-1186
2697653,1212381,2023,51,1,0,1500,2697-1212
2697417,1212463,2023,51,1,0,1500,2697-1212
2697398,1212491,2023,51,4,13,1500,2697-1212
2622600,1163594,2021,15,1,0,1500,2622-1163
2622803,1163582,2021,15,1,0,1500,2622-1163
2622815,1163454,2021,15,1,0,1500,2622-1163
2622820,1163308,2021,15,1,0,1500,2622-1163
2770500,1169500,2023,22,2,2,1500,2770-1169
2770912,1169763,2024,22,2,3,1500,2770-1169
2800875,1171254,2022,22,1,2,1500,2800-1171
2695723,1218188,2024,27,1,6,1500,2695-1218
2515430,1162401,2024,27,1,1,1500,2515-1162
2511706,1158177,2024,21,1,2,1500,2511-1158
2511929,1158330,2023,27,1,2,1500,2511-1158
2511357,1157784,2025,27,1,1,1500,2511-1157
2511904,1157835,2023,27,1,2,1500,2511-1157
2504239,1155645,2022,28,1,2,1500,2504-1155
2807631,1174254,2022,46,3,13,1500,2807-1174
2512287,1161735,2022,71,1,0,1500,2512-1161
2740743,1185934,2023,10,1,3,1500,2740-1185
2631627,1178570,2025,15,1,3,1500,2631-1178
2631941,1179232,2024,21,1,3,1500,2631-1179
2631305,1178085,2025,15,1,3,1500,2631-1178
2631293,1178035,2024,21,1,3,1500,2631-1178
2771233,1187792,2025,27,1,2,1500,2771-1187
2720500,1180500,2022,64,2,0,1500,2720-1180
2734018,1226461,2025,64,1,0,1500,2734-1226
2736046,1217479,2021,33,1,12,1500,2736-1217
2706425,1173260,2023,52,1,0,1500,2706-1173
2739815,1235807,2022,58,1,0,1500,2739-1235
2622740,1163752,2021,27,1,2,1500,2622-1163
2622754,1163513,2021,27,1,2,1500,2622-1163
2622599,1163535,2021,27,1,2,1500,2622-1163
2622619,1163666,2021,27,2,4,1500,2622-1163
2622556,1163810,2021,27,1,2,1500,2622-1163
2622826,1163451,2021,27,1,2,1500,2622-1163
2622735,1163388,2021,27,1,2,1500,2622-1163
2735280,1173564,2025,21,1,2,1500,2735-1173
2750422,1192437,2023,40,4,13,1500,2750-1192
2780262,1178770,2023,53,1,0,1500,2780-1178
2740638,1185835,2024,53,1,0,1500,2740-1185
2741885,1185958,2024,58,1,0,1500,2741-1185
2720500,1180500,2023,27,1,18,1500,2720-1180
2622728,1163431,2021,27,1,2,1500,2622-1163
2731981,1170992,2023,27,1,3,1500,2731-1170
2622862,1163503,2021,27,1,2,1500,2622-1163
2622807,1163329,2021,27,1,2,1500,2622-1163
2766201,1159960,2021,34,1,13,1500,2766-1159
2504613.63595999,1155747.64481429,2021,16,2,0,1500,2504-1155
2631469,1178182,2021,70,1,0,1500,2631-1178
2761500,1167500,2021,28,3,2,1500,2761-1167
2728665,1231041,2022,22,1,3,1500,2728-1231
2510856,1156763,2024,41,5,13,1500,2510-1156
2511981,1157680,2024,4,1,0,1500,2511-1157
2622500,1163500,2021,28,,3,1500,2622-1163
2511929,1157652,2024,4,1,0,1500,2511-1157
2740658,1185877,2025,47,1,1,1500,2740-1185
2622614,1163809,2021,28,1,2,1500,2622-1163
2622776,1163488,2021,28,1,3,1500,2622-1163
2622612,1163783,2021,28,1,2,1500,2622-1163
2622773,1163484,2021,28,1,3,1500,2622-1163
2770235,1169721,2023,53,2,0,1500,2770-1169
2631497,1178351,2021,10,1,0,1500,2631-1178
2732552,1171126,2023,15,1,0,1500,2732-1171
2740475,1186164,2021,71,1,0,1500,2740-1186
2500037,1149825,2021,22,4,4,1500,2500-1149
2741938,1185987,2024,58,1,0,1500,2741-1185
2513786,1160072,2021,22,1,2,1500,2513-1160
2513714,1160234,2021,22,1,2,1500,2513-1160
2513840,1160158,2021,22,1,4,1500,2513-1160
2513839,1160169,2021,22,1,2,1500,2513-1160
2622598,1163773,2021,28,1,2,1500,2622-1163
2759163,1184318,2023,23,3,6,1500,2759-1184
2622500,1163500,2021,29,3,2,1500,2622-1163
2740507,1186161,2025,29,1,2,1500,2740-1186
2740173,1185833,2021,29,1,1,1500,2740-1185
2762702,1174800,2025,35,1,2,1500,2762-1174
2800942,1171209,2021,53,,0,1500,2800-1171
2631339,1178419,2021,58,1,0,1500,2631-1178
2810705,1169611,2023,64,1,0,1500,2810-1169
2741118,1185819,2022,22,1,2,1500,2741-1185
2740794,1186621,2023,11,1,0,1500,2740-1186
2510639,1156638,2024,10,1,0,1500,2510-1156
2741714,1186202,2025,16,2,0,1500,2741-1186
2512475,1161889,2025,23,4,3,1500,2512-1161
2512419,1161578,2025,23,1,2,1500,2512-1161
2734500,1226500,2022,23,3,4,1500,2734-1226
2800316,1171716,2021,29,1,3,1500,2800-1171
2780105,1178962,2025,41,7,13,1500,2780-1178
2741145,1185939,2022,22,1,4,1500,2741-1185
2512500,1161500,2023,4,1,0,1500,2512-1161
2739774,1235501,2024,10,1,0,1500,2739-1235
2739518,1235464,2024,10,1,0,1500,2739-1235
2741080,1186062,2022,22,1,4,1500,2741-1186
2741260,1186079,2022,22,1,4,1500,2741-1186
2740999,1186003,2022,22,3,2,1500,2740-1186
2740777,1185722,2022,22,1,3,1500,2740-1185
2740720,1185761,2023,11,1,3,1500,2740-1185
2740769,1185899,2025,23,1,2,1500,2740-1185
2770500,1169500,2023,23,5,6,1500,2770-1169
2504335,1155674,2021,29,1,2,1500,2504-1155
2739555,1235252,2024,59,1,0,1500,2739-1235
2728622,1231116,2022,22,1,1,1500,2728-1231
2505500,1155500,2021,60,1,0,1500,2505-1155
2511939,1157819,2024,28,1,2,1500,2511-1157
2738049,1170943,2023,28,2,4,1500,2738-1170
2740500,1235500,2021,34,1,1,1500,2740-1235
2631465,1178128,2024,16,1,0,1500,2631-1178
2641720,1183713,2024,17,2,0,1500,2641-1183
2511506,1158178,2021,22,1,2,1500,2511-1158
2511925,1157829,2021,22,1,2,1500,2511-1157
2511323,1157990,2021,22,1,2,1500,2511-1157
2500030,1149851,2025,22,1,3,1500,2500-1149
2500160,1149943,2025,22,1,2,1500,2500-1149
2740500,1235500,2021,34,1,1,1500,2740-1235
2641713,1183799,2025,48,1,2,1500,2641-1183
2739765,1235868,2025,47,5,2,1500,2739-1235
2731958,1170980,2025,53,3,13,1500,2731-1170
2731869,1170414,2023,53,1,0,1500,2731-1170
2631940,1179056,2025,72,1,0,1500,2631-1179
2515109,1161179,2025,59,2,0,1500,2515-1161
2810860,1169696,2023,71,1,0,1500,2810-1169
2641880,1183733,2024,12,2,0,1500,2641-1183
2810742,1169583,2025,16,1,0,1500,2810-1169
2706058,1173922,2024,30,1,18,1500,2706-1173
2757065.11103024,1201609.76302644,2022,22,1,1,1500,2757-1201
2770500,1169500,2022,22,3,2,1500,2770-1169
2511884,1158196,2024,22,5,6,1500,2511-1158
2631977,1179232,2024,53,1,0,1500,2631-1179
2800350,1171182,2025,42,1,1,1500,2800-1171
2800684,1171209,2025,42,1,1,1500,2800-1171
2505500,1155500,2025,53,1,0,1500,2505-1155
2741163,1186048,2023,28,1,2,1500,2741-1186
2633841,1163428,2023,28,1,2,1500,2633-1163
2633779,1163285,2023,28,1,2,1500,2633-1163
2633862,1163332,2023,28,1,2,1500,2633-1163
2736370,1217246,2022,35,4,13,1500,2736-1217
2633973,1163355,2024,41,1,2,1500,2633-1163
2731599,1171223,2023,47,1,13,1500,2731-1171
2740915,1186007,2023,24,3,6,1500,2740-1186
2740832,1185994,2021,24,2,3,1500,2740-1185
2740815,1185936,2023,24,1,3,1500,2740-1185
2740960,1185908,2021,71,2,0,1500,2740-1185
2739979,1235349,2025,5,1,0,1500,2739-1235
2740886,1185870,2023,23,1,2,1500,2740-1185
2511304,1158190,2023,23,1,2,1500,2511-1158
2511206,1157850,2023,23,2,2,1500,2511-1157
2740505,1186419,2025,54,1,0,1500,2740-1186
2631872,1179266,2025,71,1,0,1500,2631-1179
2631942,1179064,2025,71,1,0,1500,2631-1179
2770500,1169500,2021,29,1,2,1500,2770-1169
2762173,1165851,2025,47,1,1,1500,2762-1165
2741878,1186201,2021,47,1,1,1500,2741-1186
2739776,1235645,2025,47,7,2,1500,2739-1235
2713060,1177379,2024,53,1,0,1500,2713-1177
2734560,1226423,2021,11,,0,1500,2734-1226
2734279,1226371,2021,11,,0,1500,2734-1226
2734511,1226353,2021,11,,0,1500,2734-1226
2734425,1226258,2021,11,,0,1500,2734-1226
2734465,1226354,2021,11,,0,1500,2734-1226
2734117,1226464,2021,11,,0,1500,2734-1226
2734537,1226320,2021,11,,0,1500,2734-1226
2734474,1226586,2021,11,,0,1500,2734-1226
2734610,1226532,2021,11,,0,1500,2734-1226
2734543,1226652,2021,11,,0,1500,2734-1226
2514046,1159782,2025,53,2,0,1500,2514-1159
2740500,1186500,2024,53,1,0,1500,2740-1186
2506746,1153541,2024,24,1,2,1500,2506-1153
2740814,1185944,2022,24,4,4,1500,2740-1185
2802025,1172199,2023,36,1,1,1500,2802-1172
2504272,1155696,2022,42,3,13,1500,2504-1155
