x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2622500,1163500,2021,12,1,0,1550,2622-1163
2623500,1163500,2021,12,1,0,1550,2623-1163
2706045,1169916,2023,19,1,2,1550,2706-1169
2718500,1168500,2023,19,1,2,1550,2718-1168
2511259,1160626,2024,25,2,4,1550,2511-1160
2631846,1178450,2022,25,1,1,1550,2631-1178
2623018,1163376,2021,31,2,4,1550,2623-1163
2722500,1181500,2022,25,1,2,1550,2722-1181
2516646,1165785,2023,37,1,1,1550,2516-1165
2528635,1201297,2025,49,1,0,1550,2528-1201
2715433,1139759,2022,55,1,0,1550,2715-1139
2706340,1169358,2025,55,1,0,1550,2706-1169
2648502,1132704,2021,49,6,0,1550,2648-1132
2709167,1169644,2021,31,1,2,1550,2709-1169
2746941,1160120,2024,37,1,8,1550,2746-1160
2648484,1132544,2025,37,6,13,1550,2648-1132
2687227,1136976,2023,55,1,0,1550,2687-1136
2706528,1169368,2023,1,1,0,1550,2706-1169
2764625,1197894,2024,37,1,2,1550,2764-1197
2772080,1186746,2025,37,3,13,1550,2772-1186
2622445,1163888,2022,1,1,0,1550,2622-1163
2525335,1182704,2021,19,2,4,1550,2525-1182
2694048,1153762,2023,7,1,0,1550,2694-1153
2585967,1171644,2021,13,1,0,1550,2585-1171
2585955,1171528,2021,13,1,0,1550,2585-1171
2585905,1171310,2021,13,1,0,1550,2585-1171
2585889,1171439,2021,13,1,0,1550,2585-1171
2585961,1171804,2021,13,1,0,1550,2585-1171
2585777,1171716,2021,13,1,0,1550,2585-1171
2585851,1171519,2021,13,1,0,1550,2585-1171
2772714,1172876,2023,25,2,2,1550,2772-1172
2622976,1163420,2025,19,1,2,1550,2622-1163
2623258,1163216,2025,19,1,2,1550,2623-1163
2623128,1163372,2025,19,1,2,1550,2623-1163
2634740,1163828,2025,13,1,0,1550,2634-1163
2622655,1163902,2022,25,2,6,1550,2622-1163
2623127,1163261,2022,25,1,3,1550,2623-1163
2579500,1092500,2025,25,2,4,1550,2579-1092
2510520,1157225,2024,13,1,0,1550,2510-1157
2622637,1163502,2022,25,1,3,1550,2622-1163
2622877,1163569,2022,25,1,3,1550,2622-1163
2600087,1175889,2021,37,2,8,1550,2600-1175
2648000,1132576,2023,25,1,2,1550,2648-1132
2731978,1114306,2022,55,3,0,1550,2731-1114
2508712,1155729,2023,25,1,2,1550,2508-1155
2622760,1163306,2022,25,2,6,1550,2622-1163
2631730,1177740,2024,62,2,0,1550,2631-1177
2631930,1177883,2022,68,1,0,1550,2631-1177
2634618,1163027,2025,19,1,3,1550,2634-1163
2622559,1163732,2023,25,2,4,1550,2622-1163
2705585,1170087,2023,25,1,18,1550,2705-1170
2709207,1169837,2021,49,2,0,1550,2709-1169
2622500,1163500,2023,31,2,4,1550,2622-1163
2767500,1209500,2022,37,2,2,1550,2767-1209
2721500,1180500,2021,62,1,0,1550,2721-1180
2574756,1088290,2024,43,1,13,1550,2574-1088
2631786,1179203,2022,68,2,0,1550,2631-1179
2705797,1169904,2025,62,1,0,1550,2705-1169
2505661,1164751,2022,62,1,0,1550,2505-1164
2607946,1123320,2024,25,1,3,1550,2607-1123
2634672,1163038,2025,19,2,4,1550,2634-1163
2648331,1132891,2023,37,1,11,1550,2648-1132
2720824,1210774,2025,19,2,4,1550,2720-1210
2720841,1210576,2025,19,2,2,1550,2720-1210
2693053,1194193,2022,37,4,13,1550,2693-1194
2508586,1167199,2021,25,2,4,1550,2508-1167
2736208,1217213,2024,19,2,4,1550,2736-1217
2705481,1170168,2023,13,2,0,1550,2705-1170
2706633,1169130,2023,25,2,4,1550,2706-1169
2700302,1151153,2022,68,1,0,1550,2700-1151
2712500,1173500,2023,37,4,13,1550,2712-1173
2721500,1180500,2024,37,1,13,1550,2721-1180
2704860,1146412,2023,44,5,13,1550,2704-1146
2623110,1163381,2023,19,1,2,1550,2623-1163
2623055,1163307,2023,19,1,2,1550,2623-1163
2715557,1139931,2021,50,2,0,1550,2715-1139
2506500,1155500,2024,19,2,4,1550,2506-1155
2578996,1130726,2025,62,2,0,1550,2578-1130
2507930,1154161,2022,68,1,0,1550,2507-1154
2607971,1123329,2025,25,1,3,1550,2607-1123
2507220,1154352,2024,8,1,0,1550,2507-1154
2622499,1163855,2021,19,1,2,1550,2622-1163
2622567,1163808,2024,37,1,2,1550,2622-1163
2704492,1146873,2022,50,1,0,1550,2704-1146
2715876,1141584,2022,44,1,2,1550,2715-1141
2718500,1168500,2023,1,1,0,1550,2718-1168
2757349,1201969,2021,50,1,0,1550,2757-1201
2504810,1162860,2024,50,1,0,1550,2504-1162
2510880,1157231,2024,37,1,2,1550,2510-1157
2773864,1187851,2022,37,8,13,1550,2773-1187
2573171,1087457,2022,56,1,0,1550,2573-1087
2631742,1179118,2021,13,1,0,1550,2631-1179
2528265,1201112,2021,13,1,0,1550,2528-1201
2749495,1180113,2025,20,1,3,1550,2749-1180
2749608,1180057,2025,20,1,3,1550,2749-1180
2740547,1213053,2022,20,2,4,1550,2740-1213
2749506,1180015,2025,20,1,3,1550,2749-1180
2749461,1180765,2025,20,2,4,1550,2749-1180
2749465,1180806,2025,20,2,2,1550,2749-1180
2761639,1172533,2023,20,2,4,1550,2761-1172
2508151,1155242,2025,20,2,3,1550,2508-1155
2508182,1155229,2025,20,1,3,1550,2508-1155
2508152,1155266,2025,20,1,3,1550,2508-1155
2508181,1155247,2025,20,2,3,1550,2508-1155
2508245,1155295,2025,20,1,3,1550,2508-1155
2507500,1154500,2025,20,1,1,1550,2507-1154
2515799,1162170,2024,20,2,4,1550,2515-1162
2772500,1172500,2021,19,2,1,1550,2772-1172
2515500,1162500,2022,32,1,2,1550,2515-1162
2693572,1194841,2021,32,1,2,1550,2693-1194
2695775,1154290,2025,38,5,13,1550,2695-1154
2505113,1163681,2023,38,3,13,1550,2505-1163
2578500,1114500,2025,32,2,4,1550,2578-1114
2733266,1169250,2025,50,1,0,1550,2733-1169
2656166,1202747,2024,19,2,4,1550,2656-1202
2765639,1160131,2023,44,2,4,1550,2765-1160
2726534,1124381,2022,38,2,1,1550,2726-1124
2726481,1124779,2023,38,6,13,1550,2726-1124
2536208,1191468,2025,56,1,0,1550,2536-1191
2572946,1087123,2022,56,1,0,1550,2572-1087
2656020,1133322,2023,56,1,0,1550,2656-1133
2721667,1181638,2024,56,1,0,1550,2721-1181
2705826,1170119,2024,62,2,0,1550,2705-1170
2726527,1124469,2021,50,2,0,1550,2726-1124
2714152,1134625,2024,32,4,13,1550,2714-1134
2631873,1179104,2025,2,1,0,1550,2631-1179
2705226,1203939,2024,38,5,13,1550,2705-1203
2709181,1169846,2022,50,2,0,1550,2709-1169
2709206,1169146,2022,50,6,0,1550,2709-1169
2706824,1169903,2023,20,1,3,1550,2706-1169
2740198,1186023,2023,20,2,4,1550,2740-1186
2740625,1186581,2023,20,2,3,1550,2740-1186
2740286,1186254,2025,20,1,2,1550,2740-1186
2631308,1179390,2021,13,1,0,1550,2631-1179
2725962,1166586,2024,32,8,13,1550,2725-1166
2585218,1171320,2022,13,1,0,1550,2585-1171
2749378,1180986,2025,20,1,3,1550,2749-1180
2758133,1202158,2023,20,2,2,1550,2758-1202
2510615,1170371,2022,8,1,0,1550,2510-1170
2503223,1161928,2021,56,1,0,1550,2503-1161
2631028,1177448,2022,26,1,3,1550,2631-1177
2631114,1177494,2022,26,1,3,1550,2631-1177
2631395,1179135,2021,13,2,0,1550,2631-1179
2722115,1181706,2025,32,1,2,1550,2722-1181
2721494,1181747,2025,32,1,2,1550,2721-1181
2631469,1179293,2021,13,1,0,1550,2631-1179
2631586,1179473,2021,13,1,0,1550,2631-1179
2631673,1179215,2021,13,1,0,1550,2631-1179
2694507,1153701,2025,38,1,1,1550,2694-1153
2573142,1085948,2022,38,5,13,1550,2573-1085
2740947,1186302,2025,14,1,3,1550,2740-1186
2740947,1186302,2025,14,1,3,1550,2740-1186
2508499.63424515,1155644.53963264,2025,20,2,3,1550,2508-1155
2508246,1155498,2025,20,2,3,1550,2508-1155
2574631,1088009,2023,20,2,4,1550,2574-1088
2505996,1156143,2023,20,1,3,1550,2505-1156
2631500,1179500,2025,20,1,1,1550,2631-1179
2648397,1132561,2025,44,1,1,1550,2648-1132
2740323,1186489,2023,20,1,3,1550,2740-1186
2740401,1186207,2023,20,2,4,1550,2740-1186
2736258,1217452,2021,26,2,3,1550,2736-1217
2564440.7581882,1104084.33781224,2025,20,1,2,1550,2564-1104
2720500,1180500,2022,50,1,0,1550,2720-1180
2706118,1169923,2023,26,2,4,1550,2706-1169
2622500,1163500,2021,26,1,1,1550,2622-1163
2722437,1180476,2024,68,1,0,1550,2722-1180
2715914,1141697,2023,2,1,0,1550,2715-1141
2764726,1197628,2023,38,1,2,1550,2764-1197
2718500,1168500,2025,38,2,13,1550,2718-1168
2772107,1172558,2025,57,2,0,1550,2772-1172
2744178,1226442,2024,50,1,0,1550,2744-1226
2631941,1179096,2023,8,1,0,1550,2631-1179
2744258,1226444,2025,50,2,0,1550,2744-1226
2744243,1226386,2024,50,1,0,1550,2744-1226
2631824,1177562,2023,8,1,0,1550,2631-1177
2631873,1178442,2023,8,2,0,1550,2631-1178
2530500,1190500,2022,62,1,0,1550,2530-1190
2740922,1186394,2025,14,1,0,1550,2740-1186
2622746,1163347,2024,20,1,2,1550,2622-1163
2622779,1163564,2024,20,1,3,1550,2622-1163
2757751,1201964,2025,20,2,4,1550,2757-1201
2758180,1202506,2025,20,2,4,1550,2758-1202
2757943,1201259,2025,20,2,4,1550,2757-1201
2725978,1177512,2024,20,2,4,1550,2725-1177
2726013,1177503,2024,20,2,4,1550,2726-1177
2662500,1174500,2024,20,1,2,1550,2662-1174
2693735,1153867,2023,26,2,6,1550,2693-1153
2568305,1105387,2025,14,1,0,1550,2568-1105
2656266,1133610,2025,45,1,3,1550,2656-1133
2505228,1164074,2022,45,4,13,1550,2505-1164
2565900,1106785,2023,44,2,4,1550,2565-1106
2510478,1157172,2025,20,1,1,1550,2510-1157
2508341,1155550,2025,20,1,2,1550,2508-1155
2525483,1182992,2021,57,1,0,1550,2525-1182
2757115,1201769,2024,50,1,0,1550,2757-1201
2705353,1169803,2022,63,2,0,1550,2705-1169
2704466,1141700,2023,50,1,0,1550,2704-1141
2734305,1173046,2024,26,2,8,1550,2734-1173
2709075,1169743,2025,38,1,1,1550,2709-1169
2512705,1158407,2024,38,7,13,1550,2512-1158
2709826,1144436,2025,26,2,4,1550,2709-1144
2503302,1161780,2021,56,2,0,1550,2503-1161
2686213,1137209,2023,20,2,4,1550,2686-1137
2686033,1137100,2023,20,1,2,1550,2686-1137
2739319,1216180,2024,39,4,13,1550,2739-1216
2715500,1171500,2023,26,2,2,1550,2715-1171
