x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2496982,1112016,2022,1,2,0,3070,2496-1112
2568500,1197500,2023,1,1,0,3070,2568-1197
2593943,1215699,2023,1,1,0,3070,2593-1215
2610500,1259500,2025,1,1,0,3070,2610-1259
2610497,1189047,2024,1,1,0,3070,2610-1189
2572276,1203854,2023,1,1,0,3070,2572-1203
2572442,1192844,2025,7,1,0,3070,2572-1192
2563459,1191848,2025,7,1,0,3070,2563-1191
2584688,1192178,2024,1,1,0,3070,2584-1192
2603739,1195315,2025,7,1,0,3070,2603-1195
2616848,1227087,2023,7,1,0,3070,2616-1227
2604500,1221500,2021,7,1,0,3070,2604-1221
2488378,1112118,2024,7,1,0,3070,2488-1112
2593906,1201261,2025,7,1,0,3070,2593-1201
2598401,1202843,2024,12,1,0,3070,2598-1202
2643425,1224697,2021,19,1,3,3070,2643-1224
2506372,1122445,2023,12,1,0,3070,2506-1122
2691500,1233500,2025,19,1,2,3070,2691-1233
2537506,1182917,2022,7,1,0,3070,2537-1182
2497137,1112027,2022,12,1,0,3070,2497-1112
2645841,1225145,2021,12,1,0,3070,2645-1225
2762500,1203500,2022,12,1,0,3070,2762-1203
2623500,1236500,2021,12,1,0,3070,2623-1236
2488365,1112115,2023,12,1,0,3070,2488-1112
2696500,1236500,2021,19,1,2,3070,2696-1236
2609671,1263952,2024,19,1,1,3070,2609-1263
2491367,1112359,2021,19,1,3,3070,2491-1112
2570723,1202729,2021,19,1,3,3070,2570-1202
2496766,1112255,2021,19,1,2,3070,2496-1112
2498048,1111923,2021,19,2,4,3070,2498-1111
2498124,1111906,2021,19,2,4,3070,2498-1111
2616779,1270384,2023,25,1,3,3070,2616-1270
2537509.61018522,1180220.62191535,2024,25,1,1,3070,2537-1180
2598397,1202870,2025,25,1,3,3070,2598-1202
2656901,1269809,2024,25,6,19,3070,2656-1269
2639478,1248795,2023,25,6,19,3070,2639-1248
2570500,1203500,2024,25,1,7,3070,2570-1203
2491941,1114274,2021,25,1,2,3070,2491-1114
2700837.70196552,1263338.75807062,2025,25,1,3,3070,2700-1263
2570500,1202500,2024,25,1,7,3070,2570-1202
2572615.54203675,1203345.22684924,2021,19,1,2,3070,2572-1203
2650074,1226712,2025,31,7,19,3070,2650-1226
2677123,1252109,2024,25,1,14,3070,2677-1252
2677122,1252108,2024,25,1,14,3070,2677-1252
2740500,1274500,2025,25,1,1,3070,2740-1274
2570500,1203500,2022,25,1,1,3070,2570-1203
2572306,1203836,2022,31,1,2,3070,2572-1203
2678500,1252500,2022,25,1,2,3070,2678-1252
2581949,1206837,2023,37,5,19,3070,2581-1206
2576095,1259996,2024,31,4,19,3070,2576-1259
2562875,1195461,2021,37,1,2,3070,2562-1195
2572291,1203811,2023,37,1,2,3070,2572-1203
2657164,1244220,2023,43,10,19,3070,2657-1244
2616997.53316224,1227529.72548886,2025,43,1,2,3070,2616-1227
2493288.53347994,1113405.09595169,2024,31,6,19,3070,2493-1113
2493288.53347994,1113405.09595169,2024,31,6,19,3070,2493-1113
2496765,1112308,2024,31,2,19,3070,2496-1112
2513940,1147131,2025,49,1,0,3070,2513-1147
2700837.70196552,1263338.75807062,2025,37,1,2,3070,2700-1263
2670736,1266447,2022,31,4,19,3070,2670-1266
2576553,1203104,2023,49,1,0,3070,2576-1203
2678390,1262084,2023,49,1,0,3070,2678-1262
2598442,1202901,2025,37,1,2,3070,2598-1202
2677165,1271964,2024,37,9,19,3070,2677-1271
2646500,1242500,2021,37,1,13,3070,2646-1242
2642457,1223175,2022,37,5,19,3070,2642-1223
2737268,1274943,2025,37,1,1,3070,2737-1274
2642436,1223178,2022,37,5,19,3070,2642-1223
2688395,1268789,2025,55,1,0,3070,2688-1268
2572288,1203819,2022,55,2,0,3070,2572-1203
2572291,1203833,2022,55,1,0,3070,2572-1203
2572295,1203839,2022,55,1,0,3070,2572-1203
2572269,1203803,2022,55,1,0,3070,2572-1203
2572235,1203659,2022,55,2,0,3070,2572-1203
2644864,1223671,2025,31,1,2,3070,2644-1223
2503445,1132034,2024,31,3,19,3070,2503-1132
