x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2611980,1178078,2021,25,1,0,4950,2611-1178
2710712,1113582,2021,25,1,0,4950,2710-1113
2579096.50968031,1203263.11960987,2022,25,1,0,4950,2579-1203
2579096.50968031,1203263.11960987,2022,25,1,0,4950,2579-1203
2578667.51943261,1203746.12803837,2022,25,1,0,4950,2578-1203
2579096.50968031,1203263.11960987,2022,25,2,0,4950,2579-1203
2622085,1128782,2021,25,1,0,4950,2622-1128
2618469.64807727,1127791.5244512,2021,25,1,0,4950,2618-1127
2563594,1250887,2022,25,1,0,4950,2563-1250
2712425,1113835,2024,25,1,0,4950,2712-1113
2643500,1224500,2024,25,1,0,4950,2643-1224
2710500,1114500,2023,25,1,0,4950,2710-1114
2643500,1223500,2024,25,3,0,4950,2643-1223
2717500,1113500,2021,25,1,0,4950,2717-1113
2579096.50968031,1203263.11960987,2022,25,1,0,4950,2579-1203
2579096.50968031,1203263.11960987,2022,25,1,0,4950,2579-1203
2717500,1113500,2021,25,1,0,4950,2717-1113
2579605,1202138,2023,25,1,0,4950,2579-1202
2579231,1203427,2022,25,1,0,4950,2579-1203
2578906,1203502,2022,25,1,0,4950,2578-1203
2579296,1203308,2022,25,1,0,4950,2579-1203
2579221,1203448,2022,25,2,0,4950,2579-1203
2579237,1203374,2022,25,1,0,4950,2579-1203
2710723,1113479,2021,25,2,0,4950,2710-1113
2710745,1113558,2021,25,2,0,4950,2710-1113
2710730,1113519,2021,25,2,0,4950,2710-1113
2611183,1177324,2024,31,1,2,4950,2611-1177
2717500,1113500,2021,25,1,0,4950,2717-1113
2716787,1113415,2022,25,2,0,4950,2716-1113
2717500,1113500,2021,25,1,0,4950,2717-1113
2578332,1203127,2021,25,1,0,4950,2578-1203
2536139,1177522,2023,25,1,0,4950,2536-1177
2618083.64816464,1128164.52708708,2024,25,1,0,4950,2618-1128
2579186,1203431,2022,25,1,0,4950,2579-1203
2579202,1203462,2022,25,2,0,4950,2579-1203
2579190,1203449,2022,25,1,0,4950,2579-1203
2579173,1203477,2022,25,1,0,4950,2579-1203
2579500,1203500,2022,25,1,0,4950,2579-1203
2578582,1203228,2022,25,2,0,4950,2578-1203
2530330,1155088,2024,49,1,0,4950,2530-1155
2517360,1149306,2021,49,8,0,4950,2517-1149
2687355.33073131,1295313.77472164,2024,49,1,0,4950,2687-1295
2687355.33073131,1295313.77472164,2024,49,1,0,4950,2687-1295
2687355.33073131,1295313.77472164,2024,49,1,0,4950,2687-1295
2687355.33073131,1295313.77472164,2024,49,1,0,4950,2687-1295
2573505,1216745,2025,49,1,0,4950,2573-1216
2684611,1291833,2024,49,1,0,4950,2684-1291
2684629,1291827,2024,49,1,0,4950,2684-1291
2670500,1240500,2021,49,1,0,4950,2670-1240
2647637,1226465,2024,49,1,0,4950,2647-1226
2611289,1177058,2022,55,4,0,4950,2611-1177
2616913.64421446,1128767.53611861,2022,31,2,11,4950,2616-1128
2667104,1262456,2022,49,1,0,4950,2667-1262
2688048,1295180,2024,49,2,0,4950,2688-1295
2618102.65396299,1128838.52592423,2022,31,1,3,4950,2618-1128
2688048.32324439,1295151.77916392,2023,49,1,0,4950,2688-1295
2672730.08039885,1229727.51875434,2022,55,1,0,4950,2672-1229
2687355.33073131,1295313.77472164,2024,49,1,0,4950,2687-1295
2616913.64421446,1128767.53611861,2023,43,2,0,4950,2616-1128
2664500,1210500,2022,55,2,0,4950,2664-1210
2502500,1137500,2022,49,1,0,4950,2502-1137
2600215,1186189,2021,49,1,0,4950,2600-1186
2646500,1224500,2024,49,1,0,4950,2646-1224
2687355.33073131,1295313.77472164,2024,49,1,0,4950,2687-1295
2617805,1128141,2021,25,1,0,4950,2617-1128
2712570,1113861,2024,25,2,0,4950,2712-1113
2717500,1114500,2021,25,2,0,4950,2717-1114
2740500,1274500,2025,25,1,0,4950,2740-1274
2601500,1227500,2021,25,1,0,4950,2601-1227
2567500,1253500,2021,25,1,0,4950,2567-1253
2579096.50968031,1203263.11960987,2022,25,1,0,4950,2579-1203
2559337,1136735,2024,25,1,0,4950,2559-1136
2715500,1113500,2021,25,1,0,4950,2715-1113
2714500,1112500,2021,25,2,0,4950,2714-1112
2517376,1149324,2021,49,1,0,4950,2517-1149
2530342,1155117,2024,49,1,0,4950,2530-1155
2760318,1200349,2023,25,1,0,4950,2760-1200
2618112,1129858,2023,25,1,3,4950,2618-1129
2572273,1203919,2022,55,3,0,4950,2572-1203
2716500,1113500,2021,25,1,0,4950,2716-1113
2710744,1113526,2023,25,1,0,4950,2710-1113
2712500,1113500,2021,25,1,0,4950,2712-1113
2711960,1113819,2021,25,2,0,4950,2711-1113
2716660,1113409,2024,25,1,0,4950,2716-1113
2681970,1260582,2021,49,1,0,4950,2681-1260
2557506,1157419,2022,49,1,0,4950,2557-1157
2571500,1251500,2022,49,1,0,4950,2571-1251
2618469.64807727,1127791.52445119,2024,25,1,0,4950,2618-1127
2577328.44747032,1257589.30515838,2024,49,1,0,4950,2577-1257
2616913.64421446,1128767.53611861,2023,31,2,4,4950,2616-1128
2616913.64421446,1128767.53611861,2022,31,1,7,4950,2616-1128
2711462,1112716,2021,25,1,0,4950,2711-1112
2711500,1112500,2021,25,1,0,4950,2711-1112
2711500,1112500,2021,25,1,0,4950,2711-1112
2618806,1128080,2024,25,1,0,4950,2618-1128
2618813,1128092,2024,25,1,0,4950,2618-1128
2618670.65278626,1128170.52219958,2024,25,1,0,4950,2618-1128
2618083.64816464,1128164.52708708,2024,25,1,0,4950,2618-1128
2618670.65278626,1128170.52219958,2024,25,1,0,4950,2618-1128
2612299.60294623,1128199.57871624,2025,25,1,0,4950,2612-1128
2515196,1153277,2021,25,3,0,4950,2515-1153
2656635.17728175,1219065.48801528,2025,49,1,0,4950,2656-1219
2679578.93494353,1254052.6237002,2022,55,1,0,4950,2679-1254
2572135.55908827,1204214.23795533,2022,55,3,0,4950,2572-1204
2559391,1131012,2024,25,1,0,4950,2559-1131
2690733,1273615,2024,49,1,0,4950,2690-1273
2748266,1233682,2023,49,1,0,4950,2748-1233
2748279,1233686,2023,49,1,0,4950,2748-1233
2712491,1113847,2024,25,1,0,4950,2712-1113
2575801.44329011,1256035.32818737,2025,49,1,0,4950,2575-1256
2572500,1204500,2022,55,2,0,4950,2572-1204
2617481,1128828,2023,31,1,3,4950,2617-1128
2617505,1128842,2023,31,1,3,4950,2617-1128
2517359,1149334,2021,50,2,0,4950,2517-1149
2666598,1182197,2023,50,1,0,4950,2666-1182
2562893,1195079,2023,50,2,0,4950,2562-1195
2666593,1182204,2023,50,1,0,4950,2666-1182
2495500,1113500,2023,50,1,0,4950,2495-1113
2507624,1120129,2025,56,1,0,4950,2507-1120
2507581,1120169,2025,56,1,0,4950,2507-1120
2566694,1200152,2021,25,1,0,4950,2566-1200
2711101,1114542,2022,25,1,0,4950,2711-1114
2579500,1203500,2022,25,1,0,4950,2579-1203
2700319.71036794,1262849.75260688,2021,25,1,0,4950,2700-1262
2719269,1114268,2024,25,1,0,4950,2719-1114
2500907,1132899,2022,25,1,0,4950,2500-1132
2711976,1113536,2021,25,1,0,4950,2711-1113
2777282,1200223,2025,25,1,0,4950,2777-1200
2743500,1224500,2025,50,1,0,4950,2743-1224
2700831,1277986,2024,50,1,0,4950,2700-1277
2682195,1260507,2021,19,1,0,4950,2682-1260
2556368,1200787,2021,25,1,0,4950,2556-1200
2700545.69857349,1263739.75808329,2025,50,2,0,4950,2700-1263
2579096.50968031,1203263.11960987,2022,50,1,0,4950,2579-1203
2571762,1205206,2021,50,2,0,4950,2571-1205
2632420,1262576,2023,50,1,0,4950,2632-1262
2634500,1177500,2021,50,1,0,4950,2634-1177
2715374,1113372,2021,25,1,0,4950,2715-1113
2712372,1113654,2024,25,2,0,4950,2712-1113
2548236,1179001,2022,50,1,0,4950,2548-1179
2562500,1194500,2024,25,1,0,4950,2562-1194
2645600.30849919,1242299.59425395,2022,56,1,0,4950,2645-1242
2718530,1230183,2023,50,1,0,4950,2718-1230
2562500,1194500,2022,50,1,0,4950,2562-1194
2660500,1270500,2021,50,1,0,4950,2660-1270
2717500,1230500,2023,50,1,0,4950,2717-1230
2514976,1153622,2023,50,3,0,4950,2514-1153
2679578.93494353,1254052.6237002,2022,56,1,0,4950,2679-1254
2679578.93494353,1254052.6237002,2022,56,1,0,4950,2679-1254
2604167,1094484,2024,50,1,0,4950,2604-1094
2717500,1230500,2023,50,1,0,4950,2717-1230
2703602.52802445,1274761.82842139,2025,56,1,0,4950,2703-1274
2703644,1274842,2025,56,1,0,4950,2703-1274
2679642.23873904,1209910.74115454,2025,56,2,0,4950,2679-1209
2700545.69857349,1263739.75808329,2024,25,1,0,4950,2700-1263
2717500,1113500,2024,25,5,0,4950,2717-1113
2537500,1180500,2024,25,1,0,4950,2537-1180
2760500,1199500,2024,25,4,0,4950,2760-1199
2717702,1113194,2021,25,1,0,4950,2717-1113
2710500,1113500,2022,25,1,0,4950,2710-1113
2562400.42075199,1194235.38060828,2025,50,3,0,4950,2562-1194
2490505,1112576,2025,50,1,0,4950,2490-1112
2557506,1157419,2022,50,1,0,4950,2557-1157
2720833,1115248,2021,25,1,0,4950,2720-1115
2705628,1274176,2025,56,1,0,4950,2705-1274
2705628,1274176,2025,56,1,0,4950,2705-1274
2616913.64421446,1128767.53611861,2022,31,2,7,4950,2616-1128
2628652.73305422,1128861.44835397,2021,31,1,3,4950,2628-1128
2570500,1201500,2025,25,1,0,4950,2570-1201
