x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2526510,1168654,2021,25,1,0,3230,2526-1168
2575383.48559548,1257918.33890068,2024,25,1,0,3230,2575-1257
2700854,1116083,2023,25,1,0,3230,2700-1116
2615500,1129500,2022,25,1,0,3230,2615-1129
2599955,1254092,2025,31,1,3,3230,2599-1254
2599986,1254092,2025,31,1,2,3230,2599-1254
2615962,1129985,2024,31,1,3,3230,2615-1129
2615629,1129912,2024,31,6,1,3230,2615-1129
2616042,1131252,2025,25,1,3,3230,2616-1131
2755544,1190680,2021,31,1,3,3230,2755-1190
2616090,1130430,2024,31,2,3,3230,2616-1130
2616383,1129960,2024,31,1,3,3230,2616-1129
2619216,1129093,2023,31,1,3,3230,2619-1129
2615895,1130894,2023,37,1,3,3230,2615-1130
2615515,1130372,2023,37,1,3,3230,2615-1130
2717255.15287188,1104358.73039283,2022,43,1,0,3230,2717-1104
2722405,1086066,2022,37,1,3,3230,2722-1086
2802500,1131500,2024,49,1,0,3230,2802-1131
2616193,1131368,2025,31,2,3,3230,2616-1131
2501927,1118601,2024,55,1,0,3230,2501-1118
2619583,1128995,2023,31,1,3,3230,2619-1128
2615805,1130106,2025,31,1,3,3230,2615-1130
2616346,1131316,2025,31,3,3,3230,2616-1131
2615876,1130520,2024,31,4,3,3230,2615-1130
2615460,1130258,2023,37,1,3,3230,2615-1130
2733690,1183096,2022,49,1,0,3230,2733-1183
2610164,1130095,2025,25,1,0,3230,2610-1130
2708150,1117694,2022,37,1,2,3230,2708-1117
2616267,1130494,2025,25,1,3,3230,2616-1130
2616054,1131051,2023,31,1,3,3230,2616-1131
2642779,1131735,2021,25,1,0,3230,2642-1131
2715718,1113121,2022,49,1,0,3230,2715-1113
2616136,1131357,2023,31,1,3,3230,2616-1131
2752500,1177500,2025,55,1,0,3230,2752-1177
2615504,1130067,2025,31,1,3,3230,2615-1130
2755029,1190393,2021,31,1,3,3230,2755-1190
2755276,1190775,2025,31,1,4,3230,2755-1190
2716933,1105088,2021,43,1,0,3230,2716-1105
2615500,1130500,2022,31,2,3,3230,2615-1130
2678727,1247582,2021,31,1,1,3230,2678-1247
2678719,1247587,2021,31,3,1,3230,2678-1247
2615501,1130066,2025,31,2,3,3230,2615-1130
2616132,1131347,2023,31,1,3,3230,2616-1131
2615699,1130164,2025,31,1,3,3230,2615-1130
2615992,1130313,2021,31,2,3,3230,2615-1130
2615500,1129500,2025,25,1,0,3230,2615-1129
2615500,1129500,2023,31,2,3,3230,2615-1129
2614991,1210067,2025,56,1,0,3230,2614-1210
2616173,1131234,2025,31,5,3,3230,2616-1131
2615465,1130122,2021,31,1,3,3230,2615-1130
2615999,1130752,2023,31,1,3,3230,2615-1130
2635277,1125302,2025,37,3,3,3230,2635-1125
2665882,1211988,2024,56,1,0,3230,2665-1211
2635014,1125657,2025,37,2,3,3230,2635-1125
2608597,1129588,2024,31,1,3,3230,2608-1129
2610462,1130125,2022,31,1,3,3230,2610-1130
2610459,1130123,2022,31,5,4,3230,2610-1130
2610579,1130251,2022,31,3,4,3230,2610-1130
2610489,1130114,2022,31,2,3,3230,2610-1130
2610484,1130115,2022,31,6,4,3230,2610-1130
2609765,1267283,2024,50,1,0,3230,2609-1267
2615513,1130053,2024,25,1,0,3230,2615-1130
2615732,1130082,2024,25,1,0,3230,2615-1130
2615716,1130046,2024,25,1,0,3230,2615-1130
2615651,1129637,2024,25,1,0,3230,2615-1129
2615722,1129970,2022,31,3,3,3230,2615-1129
2615783,1129861,2022,31,1,3,3230,2615-1129
2615937,1130243,2021,31,1,3,3230,2615-1130
2615612,1130125,2021,31,1,3,3230,2615-1130
2722500,1085500,2021,37,1,3,3230,2722-1085
2754915,1190539,2021,31,1,3,3230,2754-1190
2754901,1190430,2024,31,1,3,3230,2754-1190
2615500,1129500,2024,37,2,3,3230,2615-1129
2615603,1130282,2024,25,1,3,3230,2615-1130
2615693,1130104,2025,25,1,0,3230,2615-1130
2615952,1130156,2025,25,1,0,3230,2615-1130
2610155,1129928,2024,32,1,3,3230,2610-1129
2716646,1105467,2024,32,2,6,3230,2716-1105
2610314,1130109,2024,32,1,3,3230,2610-1130
2610615,1130268,2021,32,1,3,3230,2610-1130
2618669,1128881,2024,31,1,3,3230,2618-1128
2627013,1129070,2023,50,1,0,3230,2627-1129
2615500,1129500,2024,44,1,0,3230,2615-1129
2615905,1130498,2025,25,1,0,3230,2615-1130
2616439,1130246,2021,32,1,3,3230,2616-1130
2615696,1130123,2021,32,1,3,3230,2615-1130
2615669,1130593,2021,32,1,3,3230,2615-1130
2616018,1130312,2021,32,2,4,3230,2616-1130
2615489,1130394,2021,32,1,3,3230,2615-1130
2615674,1129989,2025,32,2,2,3230,2615-1129
2615698,1129923,2022,32,1,2,3230,2615-1129
2615500,1129500,2025,32,2,3,3230,2615-1129
2722500,1085500,2021,38,1,3,3230,2722-1085
2615500,1129500,2024,32,2,3,3230,2615-1129
2615678,1130290,2025,32,3,3,3230,2615-1130
2615669,1130186,2021,32,1,3,3230,2615-1130
2616143,1130801,2022,32,2,3,3230,2616-1130
2615506,1130728,2021,32,1,3,3230,2615-1130
2616669,1130890,2021,32,2,4,3230,2616-1130
2615618,1130207,2022,32,1,3,3230,2615-1130
2717752,1107020,2023,38,1,3,3230,2717-1107
2615500,1129500,2024,44,1,0,3230,2615-1129
2590202,1125789,2025,44,1,0,3230,2590-1125
2615828,1130186,2025,32,4,3,3230,2615-1130
2610381,1130068,2023,32,1,3,3230,2610-1130
2610659,1130092,2023,32,1,3,3230,2610-1130
2716981,1105176,2022,38,2,4,3230,2716-1105
2716916,1105186,2022,38,2,7,3230,2716-1105
2615996,1130315,2025,26,1,0,3230,2615-1130
2616019,1130428,2022,26,1,0,3230,2616-1130
2616043,1130359,2024,26,1,0,3230,2616-1130
2615735,1130179,2025,26,1,0,3230,2615-1130
