x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2678743.88625199,1261738.64812515,2023,12,1,0,1920,2678-1261
2537448,1180239,2024,19,5,0,1920,2537-1180
2537611,1180206,2023,19,5,0,1920,2537-1180
2710176,1112600,2021,19,2,0,1920,2710-1112
2751386,1263302,2024,19,2,0,1920,2751-1263
2710539,1113308,2024,19,1,0,1920,2710-1113
2760195,1202189,2021,19,2,0,1920,2760-1202
2570500,1203500,2025,19,3,0,1920,2570-1203
2706500,1230500,2022,19,2,0,1920,2706-1230
2614643,1175125,2025,19,2,0,1920,2614-1175
2543183.2419048,1183062.73886238,2022,19,1,0,1920,2543-1183
2679513,1261988,2023,12,2,0,1920,2679-1261
2670350.07219683,1240899.55926051,2023,19,2,0,1920,2670-1240
2717861,1114376,2024,19,1,0,1920,2717-1114
2670387,1240917,2023,19,2,0,1920,2670-1240
2615454,1174323,2024,19,2,0,1920,2615-1174
2716818,1113493,2022,19,1,0,1920,2716-1113
2703078,1281706,2023,19,3,0,1920,2703-1281
2713678,1231148,2021,19,3,0,1920,2713-1231
2606727,1228480,2021,19,1,0,1920,2606-1228
2614500,1174500,2022,19,2,0,1920,2614-1174
2700545.69857349,1263739.75808329,2024,19,1,0,1920,2700-1263
2718139,1137995,2024,19,2,0,1920,2718-1137
2490416,1111566,2021,19,3,0,1920,2490-1111
2755604,1225492,2021,19,1,0,1920,2755-1225
2490481.51409212,1112705.18624407,2021,19,1,0,1920,2490-1112
2670213,1242379,2023,19,1,0,1920,2670-1242
2712160,1113625,2024,19,2,0,1920,2712-1113
2712934,1113945,2024,19,5,0,1920,2712-1113
2712017,1113458,2023,19,3,0,1920,2712-1113
2490238,1111584,2021,19,3,0,1920,2490-1111
2749500,1265500,2023,19,3,0,1920,2749-1265
2711500,1114500,2024,19,22,0,1920,2711-1114
2680500,1272500,2022,19,2,0,1920,2680-1272
2712529,1113440,2024,19,1,0,1920,2712-1113
2712986,1113935,2024,19,3,0,1920,2712-1113
2712309,1113969,2024,19,2,0,1920,2712-1113
2559964.39202934,1138353.33392529,2021,19,3,6,1920,2559-1138
2678743.88625199,1261738.64812515,2022,19,2,0,1920,2678-1261
2706500,1230500,2022,19,3,0,1920,2706-1230
2537509.61018522,1180220.62191535,2023,19,5,0,1920,2537-1180
2537509.61018522,1180220.62191535,2023,19,7,0,1920,2537-1180
2713500,1231500,2021,19,2,0,1920,2713-1231
2537509.61018522,1180220.62191535,2023,19,7,0,1920,2537-1180
2632882.7581055,1127923.4248733,2023,19,1,0,1920,2632-1127
2537635.70077399,1180360.26407288,2021,19,1,0,1920,2537-1180
2704255.10749324,1112543.54382637,2024,19,2,0,1920,2704-1112
2537509.61018522,1180220.62191535,2024,19,9,0,1920,2537-1180
2537509.61018522,1180220.62191535,2023,19,5,0,1920,2537-1180
2740500,1274500,2022,19,5,0,1920,2740-1274
2712500,1113500,2024,19,2,0,1920,2712-1113
2607184.51170395,1216551.78757314,2021,19,1,0,1920,2607-1216
2607184.51170395,1216551.78757314,2021,19,1,0,1920,2607-1216
2607184.51170395,1216551.78757314,2021,19,1,0,1920,2607-1216
2683500,1256500,2023,19,1,0,1920,2683-1256
2713500,1231500,2021,19,3,0,1920,2713-1231
2530714,1151149,2021,19,1,0,1920,2530-1151
2702624,1281812,2023,19,2,0,1920,2702-1281
2712500,1113500,2024,19,6,0,1920,2712-1113
2710500,1112500,2023,19,3,0,1920,2710-1112
2660500,1269500,2022,25,1,1,1920,2660-1269
2713500,1231500,2021,19,3,6,1920,2713-1231
2670500,1242500,2024,25,2,1,1920,2670-1242
2759500,1263500,2021,19,1,0,1920,2759-1263
2717500,1113500,2024,19,4,0,1920,2717-1113
2660500,1270500,2024,25,2,2,1920,2660-1270
2660500,1270500,2025,25,4,4,1920,2660-1270
2707619,1278971,2024,19,1,0,1920,2707-1278
2559500,1138500,2024,19,1,0,1920,2559-1138
2707701,1279053,2023,19,2,5,1920,2707-1279
2537509.61018522,1180220.62191535,2023,19,10,0,1920,2537-1180
2757814,1235341,2025,25,2,4,1920,2757-1235
2757914,1235625,2025,25,2,4,1920,2757-1235
2569500,1203500,2022,19,5,0,1920,2569-1203
2569147.44266037,1196706.26540992,2022,19,4,0,1920,2569-1196
2660434,1269943,2022,25,1,1,1920,2660-1269
2713500,1231500,2021,19,3,0,1920,2713-1231
2717500,1113500,2024,19,2,0,1920,2717-1113
2760500,1201500,2024,19,7,0,1920,2760-1201
2670552,1240857,2021,19,2,0,1920,2670-1240
2820500,1187500,2023,19,1,0,1920,2820-1187
2670335,1240964,2023,19,1,0,1920,2670-1240
2670216,1242547,2021,19,2,0,1920,2670-1242
2710258,1112630,2021,19,2,0,1920,2710-1112
2760127,1201906,2021,25,1,2,1920,2760-1201
2703154,1281658,2022,25,1,1,1920,2703-1281
2670318,1240828,2023,19,3,0,1920,2670-1240
2537494,1180268,2023,25,2,2,1920,2537-1180
2537608,1180172,2023,25,3,1,1920,2537-1180
2537542,1180109,2024,25,1,1,1920,2537-1180
2607162,1216588,2021,19,1,0,1920,2607-1216
2713711,1231116,2021,19,2,0,1920,2713-1231
2703114,1281702,2023,19,2,0,1920,2703-1281
2672636,1229928,2025,19,2,0,1920,2672-1229
2711003,1114514,2024,19,15,0,1920,2711-1114
2537621,1180410,2023,25,4,1,1920,2537-1180
2718426,1139699,2024,19,2,0,1920,2718-1139
2537374,1179879,2022,25,1,2,1920,2537-1179
2490426,1112701,2021,19,1,0,1920,2490-1112
2647806,1224780,2025,19,1,0,1920,2647-1224
2711159,1114597,2024,19,22,0,1920,2711-1114
2711034,1114683,2024,19,22,0,1920,2711-1114
2709599,1113324,2022,19,4,0,1920,2709-1113
2490351,1112741,2021,19,2,0,1920,2490-1112
2717251,1230498,2023,25,1,1,1920,2717-1230
2710150,1112573,2021,25,1,5,1920,2710-1112
2710500,1114500,2024,19,18,0,1920,2710-1114
2559500,1138500,2024,19,1,0,1920,2559-1138
2678743.88625199,1261738.64812515,2023,25,2,2,1920,2678-1261
2672684,1232060,2021,19,1,0,1920,2672-1232
2672704,1232070,2021,19,2,0,1920,2672-1232
2570500,1203500,2021,19,2,0,1920,2570-1203
2712500,1113500,2024,19,20,0,1920,2712-1113
2599446.42076127,1121642.72893809,2022,19,1,0,1920,2599-1121
2614500,1174500,2022,25,2,1,1920,2614-1174
2599446.42076127,1121642.72893809,2022,19,1,0,1920,2599-1121
2670260.07317489,1240804.5588421,2023,19,4,0,1920,2670-1240
2670350.07219683,1240899.55926051,2023,19,2,0,1920,2670-1240
2660500,1270500,2022,25,1,2,1920,2660-1270
2582929.35272159,1194085.03069127,2021,19,1,0,1920,2582-1194
2670260.07317489,1240804.5588421,2023,19,4,0,1920,2670-1240
2670350.07219683,1240899.55926051,2023,19,2,0,1920,2670-1240
2710172.10685414,1112044.58642646,2022,19,2,0,1920,2710-1112
2560102,1137910,2023,19,1,7,1920,2560-1137
2712500,1113500,2024,19,3,0,1920,2712-1113
2559775,1138558,2024,19,1,0,1920,2559-1138
2559959,1186938,2021,19,1,0,1920,2559-1186
2710500,1114500,2024,19,15,0,1920,2710-1114
2718727,1113967,2024,19,9,0,1920,2718-1113
2704255.10749324,1112543.54382637,2024,19,1,0,1920,2704-1112
2557491.38890435,1138847.38243464,2023,19,3,0,1920,2557-1138
2709628.1002368,1113293.57333526,2022,19,2,0,1920,2709-1113
2713778.24311036,1094672.78050673,2023,19,1,0,1920,2713-1094
2672800.075557,1232199.52841523,2022,19,1,0,1920,2672-1232
2717953,1113927,2024,19,1,0,1920,2717-1113
2717288,1113653,2024,19,2,0,1920,2717-1113
2530649.55307568,1151052.9731533,2024,25,1,1,1920,2530-1151
2530712.55498419,1151132.97165396,2025,25,2,1,1920,2530-1151
2711859,1113687,2023,19,5,0,1920,2711-1113
2711792,1113597,2023,19,4,0,1920,2711-1113
2620500,1265500,2023,19,2,0,1920,2620-1265
