x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2643502,1224462,2024,31,1,3,1610,2643-1224
2559352,1131271,2023,31,1,3,1610,2559-1131
2559330,1131008,2023,31,1,3,1610,2559-1131
2559487,1131100,2023,31,1,3,1610,2559-1131
2559513.25096004,1131165.34994543,2022,37,1,3,1610,2559-1131
2618670.65278626,1128170.52219959,2022,31,1,3,1610,2618-1128
2643374,1224349,2022,31,1,3,1610,2643-1224
2793500,1164500,2022,37,3,2,1610,2793-1164
2618670.65278626,1128170.52219958,2025,31,1,7,1610,2618-1128
2643500,1224500,2022,31,2,3,1610,2643-1224
2490311,1112811,2024,31,1,3,1610,2490-1112
2644206,1224318,2021,37,1,3,1610,2644-1224
2644232,1224431,2022,37,1,3,1610,2644-1224
2643661,1224004,2021,31,1,3,1610,2643-1224
2607168,1216275,2022,31,1,3,1610,2607-1216
2644022.27881142,1224716.54437008,2024,25,1,3,1610,2644-1224
2618670.65278626,1128170.52219958,2024,31,1,3,1610,2618-1128
2680630,1284115,2023,25,1,3,1610,2680-1284
2643220,1224143,2022,31,2,2,1610,2643-1224
2643705,1224331,2024,31,1,3,1610,2643-1224
2793496,1164787,2022,31,1,3,1610,2793-1164
2643321,1224155,2023,31,2,3,1610,2643-1224
2644022.27881142,1224716.54437008,2024,25,1,3,1610,2644-1224
2644022.27881142,1224716.54437008,2023,31,2,1,1610,2644-1224
2571908,1202687,2021,25,1,3,1610,2571-1202
2643512,1224446,2024,31,1,3,1610,2643-1224
2644081,1224098,2025,32,1,3,1610,2644-1224
2571006,1202930,2025,37,1,3,1610,2571-1202
2643823,1224326,2024,32,1,3,1610,2643-1224
2571884,1202716,2024,32,1,3,1610,2571-1202
2643703,1224077,2022,38,1,3,1610,2643-1224
2490674.50214671,1112307.18317356,2025,20,1,0,1610,2490-1112
2490178,1112626,2023,25,1,2,1610,2490-1112
2490412,1112725,2023,25,1,3,1610,2490-1112
2490426,1112904,2023,25,1,3,1610,2490-1112
2490240,1112691,2023,25,2,1,1610,2490-1112
2490301,1112810,2023,25,1,3,1610,2490-1112
2490228,1112650,2023,25,1,3,1610,2490-1112
2571852,1202668,2023,26,2,3,1610,2571-1202
2490140,1112542,2023,25,1,2,1610,2490-1112
2490481.51409212,1112705.18624407,2023,26,1,3,1610,2490-1112
2643501,1224072,2025,32,1,3,1610,2643-1224
2607184.51170395,1216551.78757314,2022,38,1,5,1610,2607-1216
2644022.27881142,1224716.54437008,2025,32,1,3,1610,2644-1224
2571997,1202683,2025,26,1,3,1610,2571-1202
