x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2507500,1120500,2021,19,1,0,3040,2507-1120
2720725,1089457,2021,19,1,0,3040,2720-1089
2507312,1120938,2021,19,1,0,3040,2507-1120
2711500,1112500,2023,25,1,3,3040,2711-1112
2569500,1203500,2025,25,3,3,3040,2569-1203
2714500,1113500,2023,25,1,2,3040,2714-1113
2570500,1203500,2021,25,3,6,3040,2570-1203
2695500,1275500,2025,25,1,3,3040,2695-1275
2558500,1138500,2025,25,2,3,3040,2558-1138
2717500,1230500,2023,25,1,1,3040,2717-1230
2557634,1192163,2025,25,2,3,3040,2557-1192
2660852,1269740,2023,25,1,3,3040,2660-1269
2655464,1257638,2022,25,1,3,3040,2655-1257
2715325,1113421,2023,25,2,2,3040,2715-1113
2717449,1106027,2025,25,1,3,3040,2717-1106
2557631,1192458,2025,25,1,3,3040,2557-1192
2660293,1270046,2023,25,1,3,3040,2660-1270
2660458,1269783,2025,25,1,2,3040,2660-1269
2660536,1269831,2025,25,1,2,3040,2660-1269
2717772,1106302,2025,25,1,3,3040,2717-1106
2566177,1199696,2024,25,1,3,3040,2566-1199
2557300,1191863,2024,25,1,1,3040,2557-1191
2715325,1113421,2023,25,2,2,3040,2715-1113
2649866,1251352,2024,25,1,1,3040,2649-1251
2586487,1203219,2023,25,1,3,3040,2586-1203
2735718,1234403,2024,25,1,3,3040,2735-1234
2687989,1279906,2022,25,1,1,3040,2687-1279
2596387,1215536,2022,25,1,3,3040,2596-1215
2591700.65242166,1218279.98204642,2022,25,1,3,3040,2591-1218
2707413,1279109,2023,25,1,1,3040,2707-1279
2592240.69450035,1221669.98545028,2025,25,2,3,3040,2592-1221
2683172,1259630,2025,25,1,1,3040,2683-1259
2683280,1259481,2024,25,1,1,3040,2683-1259
2670722,1241408,2023,25,1,3,3040,2670-1241
2643569,1224821,2022,25,1,3,3040,2643-1224
2670731,1241387,2022,25,1,1,3040,2670-1241
2709511,1113318,2021,25,1,3,3040,2709-1113
2580319,1212406,2025,25,1,3,3040,2580-1212
2717171,1230493,2022,25,1,2,3040,2717-1230
2580599,1212509,2022,25,1,3,3040,2580-1212
2580566,1212491,2025,25,1,3,3040,2580-1212
2507500,1120500,2021,19,1,0,3040,2507-1120
2709628.1002368,1113293.57333526,2021,25,1,3,3040,2709-1113
2709628.1002368,1113293.57333526,2021,25,1,3,3040,2709-1113
2687292,1272325,2024,19,1,0,3040,2687-1272
2680498.92729558,1254038.62624177,2022,25,1,3,3040,2680-1254
2679299.93832725,1253899.6223803,2022,25,1,3,3040,2679-1253
2559098.38997532,1138480.35081721,2023,25,1,3,3040,2559-1138
2670500,1242500,2025,25,1,3,3040,2670-1242
2569645,1203207,2021,19,1,0,3040,2569-1203
2660500,1270500,2021,25,1,3,3040,2660-1270
2596500,1223500,2023,25,1,3,3040,2596-1223
2693500,1246500,2024,25,1,1,3040,2693-1246
2539500,1182500,2024,25,1,3,3040,2539-1182
2557500,1138500,2023,25,1,3,3040,2557-1138
2559500,1138500,2022,25,1,3,3040,2559-1138
2660500,1270500,2022,25,1,3,3040,2660-1270
2569500,1203500,2022,25,1,3,3040,2569-1203
2660500,1270500,2021,25,1,3,3040,2660-1270
2644500,1224500,2023,25,1,2,3040,2644-1224
2679578.93493691,1254053.62370379,2021,25,1,2,3040,2679-1254
2679899.93090498,1254249.62531433,2022,25,1,3,3040,2679-1254
2670250.074915,1240199.55661492,2023,25,1,2,3040,2670-1240
2761001.1597149,1246488.12489186,2021,25,1,3,3040,2761-1246
2600500,1225500,2021,25,1,3,3040,2600-1225
2595500,1223500,2025,25,1,3,3040,2595-1223
2716410.0839195,1113823.61702929,2022,25,1,3,3040,2716-1113
2533461,1174610,2022,25,1,3,3040,2533-1174
2711080,1112096,2023,25,1,3,3040,2711-1112
2596096,1223846,2021,25,1,3,3040,2596-1223
2569181,1196447,2024,25,1,3,3040,2569-1196
2711060,1271845,2021,25,1,3,3040,2711-1271
2717798,1106505,2022,25,1,3,3040,2717-1106
2693944,1246344,2025,25,1,3,3040,2693-1246
2715500,1113500,2023,25,2,3,3040,2715-1113
2691500,1247500,2024,25,1,1,3040,2691-1247
2649286,1251606,2024,25,1,1,3040,2649-1251
2697663,1111434,2022,25,1,2,3040,2697-1111
2670137,1240731,2023,25,1,3,3040,2670-1240
2710500,1112500,2022,25,2,3,3040,2710-1112
2670266,1240722,2023,25,1,2,3040,2670-1240
2670095,1242234,2024,25,1,3,3040,2670-1242
2592349,1220202,2022,25,1,3,3040,2592-1220
2592184,1220874,2025,25,1,3,3040,2592-1220
2601500,1226500,2021,25,1,3,3040,2601-1226
2569500,1203500,2021,25,2,3,3040,2569-1203
2703308,1274551,2025,25,1,2,3040,2703-1274
2704542,1274620,2025,25,1,3,3040,2704-1274
2687662,1272191,2025,25,1,3,3040,2687-1272
2571596,1132609,2023,25,1,3,3040,2571-1132
2571118,1132604,2023,25,1,3,3040,2571-1132
2705987,1274155,2021,25,1,3,3040,2705-1274
2574321,1203077,2022,25,1,3,3040,2574-1203
2704542,1274620,2025,25,1,3,3040,2704-1274
2703824,1274556,2025,25,1,3,3040,2703-1274
2703338,1274546,2022,25,1,3,3040,2703-1274
2569881,1203114,2022,25,1,3,3040,2569-1203
2569645,1203207,2021,25,1,3,3040,2569-1203
2507082,1120955,2022,25,1,3,3040,2507-1120
2507134,1120560,2025,25,1,3,3040,2507-1120
2570129,1210772,2021,25,1,3,3040,2570-1210
2507500,1120500,2022,25,1,2,3040,2507-1120
2570171.55826185,1203620.27005927,2025,25,2,3,3040,2570-1203
2539046.23780685,1182645.82975201,2025,25,1,3,3040,2539-1182
2660500,1270500,2024,25,3,3,3040,2660-1270
2570171.55826185,1203620.27005927,2022,25,1,3,3040,2570-1203
2539271.2361141,1182576.82448572,2024,25,1,3,3040,2539-1182
2570171.55826185,1203620.27005927,2022,25,1,3,3040,2570-1203
2591788,1218972,2021,25,1,3,3040,2591-1218
2563840,1191117,2022,25,2,1,3040,2563-1191
2614500,1174500,2023,25,1,3,3040,2614-1174
2558500,1193500,2025,25,3,6,3040,2558-1193
2703690,1274611,2025,25,1,3,3040,2703-1274
2670516,1241973,2022,25,1,1,3040,2670-1241
2713500,1096500,2021,25,2,6,3040,2713-1096
2561517.34525983,1189985.38400502,2024,19,1,3,3040,2561-1189
2591620,1218281,2021,25,1,3,3040,2591-1218
2569857.55231118,1203193.27414935,2024,25,2,3,3040,2569-1203
2670750.06947644,1240749.55903759,2025,25,1,3,3040,2670-1240
2682925.8621381,1259885.6554611,2021,25,1,2,3040,2682-1259
2670000.07184199,1241999.56299556,2025,25,1,1,3040,2670-1241
2592240.69450035,1221669.98545028,2024,25,1,3,3040,2592-1221
2592240.69450035,1221669.98545028,2022,25,1,3,3040,2592-1221
2592240.69450035,1221669.98545028,2022,25,1,3,3040,2592-1221
2592000.68323234,1220699.98565308,2025,25,1,3,3040,2592-1220
2592000.68323234,1220699.98565308,2024,25,1,3,3040,2592-1220
2659000.07263716,1272199.64266147,2024,25,1,3,3040,2659-1272
2592240.69450035,1221669.98545028,2024,25,2,4,3040,2592-1221
2540869.22048315,1181909.78682461,2025,25,2,5,3040,2540-1181
2691468.89796345,1247582.63851963,2024,25,1,3,3040,2691-1247
2511380.83744282,1123442.51828278,2024,25,2,3,3040,2511-1123
2672500,1232500,2022,25,1,3,3040,2672-1232
2670500,1240500,2021,25,1,3,3040,2670-1240
2680886.9251101,1253887.62681046,2022,25,2,3,3040,2680-1253
2600500,1226500,2022,25,1,3,3040,2600-1226
2559997,1138322,2024,25,1,3,3040,2559-1138
2565348,1191059,2025,25,1,3,3040,2565-1191
2577863,1203381,2021,25,1,3,3040,2577-1203
2678335,1261796,2025,25,1,3,3040,2678-1261
2552491,1196657,2025,25,1,3,3040,2552-1196
2666500,1247500,2024,25,1,2,3040,2666-1247
2557500,1138500,2023,25,2,1,3040,2557-1138
2691503,1247515,2024,25,1,3,3040,2691-1247
2683093,1259738,2024,25,1,3,3040,2683-1259
2575601,1200529,2024,25,1,1,3040,2575-1200
2658617,1271929,2023,25,1,3,3040,2658-1271
2507418,1120495,2023,25,1,1,3040,2507-1120
2569728,1203252,2022,25,2,3,3040,2569-1203
2570820,1202837,2025,25,1,3,3040,2570-1202
2679335,1261478,2022,25,1,3,3040,2679-1261
2678768,1261439,2025,25,1,3,3040,2678-1261
2559319,1138176,2024,25,1,3,3040,2559-1138
2507388,1120729,2025,25,2,3,3040,2507-1120
2559409,1138102,2025,25,1,3,3040,2559-1138
2507500,1120500,2023,25,1,2,3040,2507-1120
2687499,1272499,2024,25,1,3,3040,2687-1272
2557724,1138211,2024,25,1,3,3040,2557-1138
2678432,1262063,2025,25,1,3,3040,2678-1262
2713500,1115500,2024,25,1,3,3040,2713-1115
2570500,1203500,2025,25,1,3,3040,2570-1203
2570439,1203701,2025,25,3,3,3040,2570-1203
2683500,1259500,2022,25,1,3,3040,2683-1259
2658689,1271698,2021,25,1,3,3040,2658-1271
2569018,1196537,2022,25,2,3,3040,2569-1196
2603443,1197066,2022,25,1,3,3040,2603-1197
2572603,1206236,2024,25,1,3,3040,2572-1206
2569500,1203500,2021,25,2,3,3040,2569-1203
2709216,1218167,2024,25,1,3,3040,2709-1218
2603171,1197014,2021,25,1,3,3040,2603-1197
2594500,1201500,2022,25,1,3,3040,2594-1201
2614451,1174714,2021,25,1,3,3040,2614-1174
2631776,1129998,2022,25,2,3,3040,2631-1129
2787104,1159094,2022,25,1,1,3040,2787-1159
2716500,1113500,2023,25,1,3,3040,2716-1113
2678359,1261579,2023,31,1,3,3040,2678-1261
2670317,1242298,2022,25,2,3,3040,2670-1242
2707349,1095076,2025,25,1,3,3040,2707-1095
