x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2710430,1113385,2024,19,1,0,4610,2710-1113
2710509,1113299,2024,19,1,0,4610,2710-1113
2508134,1123344,2021,19,1,0,4610,2508-1123
2710968.0960105,1113724.57925709,2024,19,1,0,4610,2710-1113
2557500,1138500,2023,25,1,0,4610,2557-1138
2507152,1120782,2025,25,1,0,4610,2507-1120
2562500,1250500,2023,25,1,0,4610,2562-1250
2662500,1214500,2021,25,1,0,4610,2662-1214
2553586,1201730,2024,25,1,3,4610,2553-1201
2715325,1113421,2023,25,2,0,4610,2715-1113
2715325,1113421,2023,25,2,0,4610,2715-1113
2714912,1113369,2021,25,2,0,4610,2714-1113
2715325,1113421,2023,25,3,0,4610,2715-1113
2715319,1113586,2023,25,1,0,4610,2715-1113
2803016,1175417,2023,25,1,0,4610,2803-1175
2715657,1113468,2024,19,1,0,4610,2715-1113
2596145,1224336,2021,25,2,0,4610,2596-1224
2612242,1269760,2021,25,1,0,4610,2612-1269
2710696,1113573,2024,19,1,0,4610,2710-1113
2683126,1259712,2025,25,1,0,4610,2683-1259
2596173,1215406,2022,25,1,3,4610,2596-1215
2681353,1284480,2025,25,2,0,4610,2681-1284
2681587,1284760,2025,25,1,0,4610,2681-1284
2570500,1203500,2025,25,1,0,4610,2570-1203
2683500,1259500,2021,25,2,0,4610,2683-1259
2564500,1252500,2024,25,2,0,4610,2564-1252
2704500,1112500,2021,25,1,0,4610,2704-1112
2583258,1210480,2021,19,1,0,4610,2583-1210
2761001.1597149,1246488.12489186,2021,25,1,0,4610,2761-1246
2578667.51943261,1203746.12803837,2021,25,2,0,4610,2578-1203
2691500,1127500,2022,25,1,0,4610,2691-1127
2701500,1243500,2021,25,1,0,4610,2701-1243
2569814,1203466,2021,25,1,0,4610,2569-1203
2503893.78736635,1122124.73443368,2021,25,1,1,4610,2503-1122
2581964,1210784,2023,25,1,0,4610,2581-1210
2616163,1170011,2023,25,2,0,4610,2616-1170
2503893.78736635,1122124.73443368,2021,25,1,0,4610,2503-1122
2596141,1223849,2021,25,2,0,4610,2596-1223
2710500,1113500,2024,19,1,0,4610,2710-1113
2718500,1114500,2024,19,1,0,4610,2718-1114
2632695,1266980,2024,25,1,3,4610,2632-1266
2604079,1196020,2021,25,1,3,4610,2604-1196
2503893.78736635,1122124.73443368,2021,25,1,1,4610,2503-1122
2668487,1255980,2024,25,1,0,4610,2668-1255
2506698,1121425,2025,25,1,0,4610,2506-1121
2570500,1203500,2023,25,1,0,4610,2570-1203
2712500,1113500,2022,25,1,0,4610,2712-1113
2507240,1120571,2024,25,1,0,4610,2507-1120
2578554,1203348,2024,25,1,0,4610,2578-1203
2507693,1121102,2025,25,2,0,4610,2507-1121
2595847,1202891,2023,25,1,0,4610,2595-1202
2490822,1112653,2022,25,1,0,4610,2490-1112
2691655,1247757,2021,25,1,0,4610,2691-1247
2572527,1204689,2023,25,1,0,4610,2572-1204
2490612,1112776,2022,25,1,0,4610,2490-1112
2712292,1113418,2023,25,1,0,4610,2712-1113
2507149,1120601,2025,25,1,0,4610,2507-1120
2712537,1113579,2023,25,1,0,4610,2712-1113
2491467,1111994,2022,25,1,0,4610,2491-1111
2712497,1113567,2022,25,1,0,4610,2712-1113
2712800,1113768,2021,25,1,0,4610,2712-1113
2712454,1113572,2022,25,2,0,4610,2712-1113
2576263.55745271,1205353.17232896,2023,25,2,0,4610,2576-1205
2491139.51119183,1112622.16671605,2023,25,2,0,4610,2491-1112
2490674.50214671,1112307.18317356,2023,25,1,0,4610,2490-1112
2608500,1268500,2023,25,15,0,4610,2608-1268
2711063,1112397,2023,25,1,0,4610,2711-1112
2710632,1112804,2021,25,1,0,4610,2710-1112
2576559,1205269,2025,25,1,3,4610,2576-1205
2715050.09211915,1113017.61341303,2023,25,1,0,4610,2715-1113
2576263.55745271,1205353.17232896,2025,25,2,0,4610,2576-1205
2536500,1154500,2021,25,1,0,4610,2536-1154
2710500,1113500,2021,25,3,0,4610,2710-1113
2728500,1179500,2021,25,1,0,4610,2728-1179
2506535,1121708,2022,25,1,0,4610,2506-1121
2632161,1268730,2024,25,1,3,4610,2632-1268
2632083,1268756,2025,25,1,3,4610,2632-1268
2565344,1191055,2025,25,1,0,4610,2565-1191
2507363,1121237,2022,25,1,5,4610,2507-1121
2506701,1121660,2022,25,1,0,4610,2506-1121
2506859,1121383,2022,25,1,0,4610,2506-1121
2507439,1121242,2022,25,1,0,4610,2507-1121
2682432,1258837,2021,25,2,0,4610,2682-1258
2608500,1268500,2024,25,4,0,4610,2608-1268
2681769,1260551,2023,31,1,3,4610,2681-1260
2572667,1206171,2024,25,1,0,4610,2572-1206
2494144,1115100,2023,25,1,0,4610,2494-1115
2493357,1114359,2024,25,1,0,4610,2493-1114
2722162,1123475,2021,25,1,0,4610,2722-1123
2493429,1114734,2022,25,1,0,4610,2493-1114
2711500,1114500,2021,25,3,0,4610,2711-1114
2490723,1111148,2022,25,1,0,4610,2490-1111
2614644,1174232,2021,25,1,0,4610,2614-1174
2714846,1114876,2024,25,1,0,4610,2714-1114
2493201,1112223,2022,25,1,3,4610,2493-1112
2716935,1113884,2021,25,1,0,4610,2716-1113
2580049,1204727,2021,25,1,0,4610,2580-1204
2491148,1111063,2024,25,1,0,4610,2491-1111
2559964.39202934,1138353.33392529,2021,25,1,0,4610,2559-1138
2713975,1114668,2021,25,1,1,4610,2713-1114
2579299,1205142,2021,25,1,0,4610,2579-1205
2680498.92728881,1254039.62624551,2021,25,1,0,4610,2680-1254
2508220.92777001,1127117.59193829,2021,25,1,3,4610,2508-1127
2559996.39143369,1138313.33332478,2021,25,1,0,4610,2559-1138
2572920,1202824,2022,31,1,3,4610,2572-1202
2670300.06850856,1242299.56432466,2021,25,1,0,4610,2670-1242
2679500,1271500,2021,25,1,0,4610,2679-1271
2562500,1250500,2024,25,2,0,4610,2562-1250
