x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2490055,1115167,2025,25,1,0,1080,2490-1115
2605798,1128061,2023,31,1,2,1080,2605-1128
2580210,1217316,2025,31,1,2,1080,2580-1217
2580219,1217431,2023,31,1,2,1080,2580-1217
2572306,1108172,2021,31,2,1,1080,2572-1108
2670300.06850856,1242299.56432465,2025,31,1,1,1080,2670-1242
2561500,1142500,2021,31,3,1,1080,2561-1142
2617369,1128945,2021,31,1,1,1080,2617-1128
2542378,1188416,2024,31,1,1,1080,2542-1188
2717629,1105477,2025,37,1,2,1080,2717-1105
2584601,1117171,2024,31,2,2,1080,2584-1117
2717634,1105479,2024,31,2,2,1080,2717-1105
2717623,1105476,2021,31,2,4,1080,2717-1105
2584638,1117366,2024,31,1,2,1080,2584-1117
2725678,1084059,2021,31,1,2,1080,2725-1084
2609269,1125315,2024,43,2,4,1080,2609-1125
2720436,1091735,2024,43,2,2,1080,2720-1091
2717633,1105479,2025,43,1,2,1080,2717-1105
2600921,1181058,2023,49,2,0,1080,2600-1181
2572023,1101565,2024,49,2,0,1080,2572-1101
2572027,1101560,2024,49,1,0,1080,2572-1101
2572037,1101567,2024,49,1,0,1080,2572-1101
2572025,1101563,2024,49,1,0,1080,2572-1101
2618190,1129145,2021,31,1,2,1080,2618-1129
2615481,1129888,2023,37,1,2,1080,2615-1129
2660075,1270413,2023,49,43,0,1080,2660-1270
2684598,1291849,2024,49,9,0,1080,2684-1291
2684599,1291821,2024,49,2,0,1080,2684-1291
2684599,1291821,2024,49,2,0,1080,2684-1291
2660500,1270500,2023,49,35,0,1080,2660-1270
2717632,1105479,2023,49,1,0,1080,2717-1105
2618167,1256693,2024,49,4,0,1080,2618-1256
2615500,1129500,2023,49,3,0,1080,2615-1129
2688629.50001845,1284791.76089009,2021,49,23,0,1080,2688-1284
2600500,1174500,2023,55,11,0,1080,2600-1174
2620500,1256500,2025,43,1,2,1080,2620-1256
2660500,1270500,2025,55,1,0,1080,2660-1270
2599089,1194230,2025,43,1,5,1080,2599-1194
2616913.64421446,1128767.53611861,2022,31,2,6,1080,2616-1128
2615535,1129914,2021,43,1,2,1080,2615-1129
2615482,1129755,2022,43,1,2,1080,2615-1129
2600500,1174500,2023,55,11,0,1080,2600-1174
2600500,1174500,2023,55,11,0,1080,2600-1174
2618524,1169350,2024,31,2,2,1080,2618-1169
2600500,1174500,2023,55,11,0,1080,2600-1174
2568038,1108010,2025,55,1,0,1080,2568-1108
2723746,1086783,2022,43,1,2,1080,2723-1086
2723981,1087328,2022,43,1,2,1080,2723-1087
2660500,1270500,2022,49,1,0,1080,2660-1270
2643500,1202500,2024,49,46,0,1080,2643-1202
2606500,1236500,2021,49,1,0,1080,2606-1236
2616164,1129902,2022,49,1,0,1080,2616-1129
2600500,1174500,2021,49,15,0,1080,2600-1174
2584553.21416007,1117209.94172944,2024,31,2,2,1080,2584-1117
2600500,1174500,2021,49,24,0,1080,2600-1174
2561962.27294206,1186076.36390918,2024,49,3,0,1080,2561-1186
2716355,1109888,2025,43,2,4,1080,2716-1109
2618300,1129242,2025,31,1,2,1080,2618-1129
2544617,1178800,2025,43,2,4,1080,2544-1178
2720200,1091913,2023,43,2,2,1080,2720-1091
2720500,1091500,2021,31,1,2,1080,2720-1091
2618355,1129113,2025,31,1,2,1080,2618-1129
2660500,1270500,2023,49,35,0,1080,2660-1270
2617724,1129276,2025,31,1,2,1080,2617-1129
