x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2558500,1138500,2023,12,1,0,1710,2558-1138
2559996.39143369,1138313.33332478,2022,12,1,0,1710,2559-1138
2709500,1112500,2024,19,1,0,1710,2709-1112
2717500,1230500,2022,19,1,0,1710,2717-1230
2569500,1203500,2021,19,1,0,1710,2569-1203
2501874,1118476,2022,19,1,0,1710,2501-1118
2660500,1270500,2022,19,1,0,1710,2660-1270
2709500,1113500,2021,25,3,1,1710,2709-1113
2709500,1112500,2024,19,1,0,1710,2709-1112
2717500,1230500,2022,19,1,0,1710,2717-1230
2488158,1114617,2022,19,1,0,1710,2488-1114
2709586,1113349,2021,25,2,2,1710,2709-1113
2680886.9251101,1253887.62681046,2022,19,1,0,1710,2680-1253
2709628.1002368,1113293.57333526,2021,25,1,2,1710,2709-1113
2599446.42076127,1121642.72893809,2022,19,1,0,1710,2599-1121
2599446.42076127,1121642.72893809,2022,19,1,0,1710,2599-1121
2494696.76179314,1121403.00587269,2022,19,1,0,1710,2494-1121
2740500,1274500,2025,25,1,1,1710,2740-1274
2660500,1270500,2024,25,1,2,1710,2660-1270
2660500,1270500,2024,25,1,2,1710,2660-1270
2660500,1270500,2024,25,1,2,1710,2660-1270
2709628.1002368,1113293.57333526,2021,25,2,1,1710,2709-1113
2709605,1113357,2021,25,1,1,1710,2709-1113
2709601,1113342,2021,25,1,1,1710,2709-1113
2717500,1230500,2022,19,1,0,1710,2717-1230
2709628.1002368,1113293.57333526,2021,25,1,2,1710,2709-1113
2678743.88625199,1261738.64812515,2024,25,1,1,1710,2678-1261
2678743.88625199,1261738.64812515,2021,25,5,1,1710,2678-1261
2678743.88625199,1261738.64812515,2021,25,2,3,1710,2678-1261
2678951,1261636,2024,25,1,3,1710,2678-1261
2709500,1113500,2021,25,2,2,1710,2709-1113
2709546,1113303,2021,25,3,1,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,2,2,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,3,1,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,3,1,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,2,1,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,2,1,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,2,2,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,3,1,1710,2709-1113
2709568,1113325,2021,25,3,1,1710,2709-1113
2709546,1113303,2021,25,3,1,1710,2709-1113
2709566,1113329,2021,25,3,1,1710,2709-1113
2560500,1194500,2025,43,1,0,1710,2560-1194
2717500,1230500,2025,43,1,0,1710,2717-1230
2570478,1210260,2021,49,1,0,1710,2570-1210
2538987,1182696,2024,49,2,0,1710,2538-1182
2709628.1002368,1113293.57333526,2024,49,1,0,1710,2709-1113
2678388,1261721,2023,55,1,0,1710,2678-1261
2678743.88625199,1261738.64812515,2023,55,1,0,1710,2678-1261
2678451.8885035,1261824.64753559,2023,55,1,0,1710,2678-1261
2678515.88908633,1261671.64722243,2023,55,1,0,1710,2678-1261
2539069,1182645,2024,43,1,0,1710,2539-1182
2539046.23780685,1182645.82975201,2024,43,1,0,1710,2539-1182
2706475,1230342,2022,49,1,0,1710,2706-1230
2707125,1268520,2025,49,1,0,1710,2707-1268
2713500,1231500,2021,49,1,0,1710,2713-1231
2725500,1280500,2022,49,1,0,1710,2725-1280
2539062,1182648,2024,49,1,0,1710,2539-1182
2539048,1182610,2024,49,1,0,1710,2539-1182
2539095,1182649,2024,49,1,0,1710,2539-1182
2539046.23780685,1182645.82975201,2024,49,1,0,1710,2539-1182
2539046.23780685,1182645.82975201,2024,49,1,0,1710,2539-1182
2539046.23780685,1182645.82975201,2024,49,1,0,1710,2539-1182
2539046.23780685,1182645.82975201,2024,49,1,0,1710,2539-1182
2713500,1231500,2024,49,1,0,1710,2713-1231
2656780,1219345,2021,55,1,0,1710,2656-1219
2539046.23780685,1182645.82975201,2024,55,1,0,1710,2539-1182
2709505,1113242,2022,55,1,0,1710,2709-1113
2663635.13985674,1225262.50132269,2021,49,1,0,1710,2663-1225
2663635.13985674,1225262.50132269,2021,49,1,0,1710,2663-1225
2704500,1274500,2025,49,1,0,1710,2704-1274
2592240.69450035,1221669.98545028,2022,49,1,0,1710,2592-1221
2717253,1230220,2022,49,1,0,1710,2717-1230
2717500,1230500,2023,49,2,0,1710,2717-1230
2704500,1274500,2025,49,1,0,1710,2704-1274
2678515.88908633,1261671.64722243,2023,55,1,0,1710,2678-1261
2660500,1270500,2022,43,1,0,1710,2660-1270
2691500,1233500,2025,55,1,0,1710,2691-1233
2539046.23780685,1182645.82975201,2024,43,1,0,1710,2539-1182
2660500,1270500,2024,43,1,0,1710,2660-1270
2579500,1212500,2024,49,1,0,1710,2579-1212
2560500,1194500,2023,49,1,0,1710,2560-1194
2691500,1233500,2025,49,2,0,1710,2691-1233
2538977,1182644,2024,49,2,0,1710,2538-1182
2717146,1230375,2022,19,1,0,1710,2717-1230
2663588,1225349,2021,49,1,0,1710,2663-1225
2663591,1225357,2021,49,1,0,1710,2663-1225
2539046.23780685,1182645.82975202,2022,49,1,0,1710,2539-1182
2539046.23780685,1182645.82975202,2022,49,1,0,1710,2539-1182
2709628.1002368,1113293.57333526,2024,49,1,0,1710,2709-1113
2539046.23780685,1182645.82975202,2022,49,1,0,1710,2539-1182
2660500,1270500,2025,19,1,0,1710,2660-1270
2709628.1002368,1113293.57333526,2022,55,1,0,1710,2709-1113
2501916,1118511,2022,19,1,0,1710,2501-1118
2717103,1230370,2022,19,1,0,1710,2717-1230
2599491,1121757,2022,19,1,0,1710,2599-1121
2717500,1230500,2022,19,1,0,1710,2717-1230
2717500,1230500,2022,19,1,0,1710,2717-1230
2660000,1270243,2021,19,1,0,1710,2660-1270
2678483,1261711,2022,25,1,3,1710,2678-1261
2691610,1247961,2022,61,1,0,1710,2691-1247
2569644.55120499,1203073.27749823,2021,25,1,3,1710,2569-1203
2678743.88625199,1261738.64812515,2025,25,1,1,1710,2678-1261
2501791.68484947,1118512.81291784,2022,19,1,0,1710,2501-1118
2533199,1174952,2025,19,1,0,1710,2533-1174
2717500,1230500,2022,19,1,0,1710,2717-1230
2660500,1270500,2021,19,1,0,1710,2660-1270
2620500,1265500,2022,19,1,0,1710,2620-1265
2494696.76179314,1121403.00587269,2022,19,1,0,1710,2494-1121
2586500,1203500,2022,19,1,0,1710,2586-1203
2660500,1270500,2022,19,1,0,1710,2660-1270
2717500,1230500,2022,19,1,0,1710,2717-1230
2709628.1002368,1113293.57333526,2021,25,1,3,1710,2709-1113
2660500,1270500,2021,19,2,0,1710,2660-1270
2678351,1261550,2022,43,1,0,1710,2678-1261
2660269,1270317,2024,43,1,0,1710,2660-1270
2717500,1230500,2022,19,1,0,1710,2717-1230
2695500,1242500,2022,19,1,0,1710,2695-1242
2717500,1230500,2022,19,1,0,1710,2717-1230
2660500,1270500,2023,49,1,0,1710,2660-1270
2620500,1265500,2022,19,1,0,1710,2620-1265
2569500,1203500,2023,49,1,0,1710,2569-1203
2678567,1261623,2024,49,2,0,1710,2678-1261
2660500,1270500,2024,49,1,0,1710,2660-1270
2709500,1113500,2021,25,1,2,1710,2709-1113
2670500,1242500,2021,49,1,0,1710,2670-1242
2536801.15009962,1178414.86948714,2021,49,2,0,1710,2536-1178
2536801.15009962,1178414.86948714,2021,49,2,0,1710,2536-1178
2575313.48974961,1258076.3403946,2024,49,1,0,1710,2575-1258
2569500,1203500,2021,19,1,0,1710,2569-1203
2539046.23780685,1182645.82975201,2024,55,1,0,1710,2539-1182
2620500,1265500,2022,19,1,0,1710,2620-1265
2660500,1270500,2021,19,3,0,1710,2660-1270
2717500,1230500,2022,19,1,0,1710,2717-1230
2569500,1203500,2023,19,1,0,1710,2569-1203
2488158,1114617,2022,19,1,0,1710,2488-1114
2670300.06850856,1242299.56432466,2021,19,1,0,1710,2670-1242
2678743.88625199,1261738.64812515,2021,25,1,3,1710,2678-1261
2660500,1270500,2021,19,3,0,1710,2660-1270
2594816,1201505,2021,19,1,0,1710,2594-1201
2680881,1253901,2022,19,1,0,1710,2680-1253
2594770,1201577,2021,19,1,0,1710,2594-1201
2644022.27881142,1224716.54437009,2021,43,1,0,1710,2644-1224
2539040,1182608,2024,43,1,0,1710,2539-1182
2717500,1230500,2022,19,1,0,1710,2717-1230
2601500,1226500,2022,49,2,0,1710,2601-1226
2660500,1270500,2022,19,1,0,1710,2660-1270
2660500,1270500,2023,49,2,0,1710,2660-1270
2569500,1203500,2021,49,1,0,1710,2569-1203
2570500,1203500,2023,49,1,0,1710,2570-1203
2717500,1230500,2023,49,2,0,1710,2717-1230
2545648,1181465,2022,49,1,0,1710,2545-1181
2539046.23780685,1182645.82975201,2024,49,1,0,1710,2539-1182
2539046.23780685,1182645.82975202,2022,49,1,0,1710,2539-1182
2709628.1002368,1113293.57333526,2021,25,3,2,1710,2709-1113
2660500,1270500,2023,49,2,0,1710,2660-1270
2689264.04414608,1194221.40930482,2021,25,1,2,1710,2689-1194
2660500,1270500,2024,49,1,0,1710,2660-1270
2645013,1218255,2024,49,1,0,1710,2645-1218
2581159,1213313,2023,49,1,0,1710,2581-1213
2539029,1182628,2024,55,1,0,1710,2539-1182
2643950,1224826,2021,43,1,0,1710,2643-1224
2709628.1002368,1113293.57333526,2021,25,3,2,1710,2709-1113
2717500,1230500,2022,19,1,0,1710,2717-1230
2717500,1230500,2022,19,1,0,1710,2717-1230
2717500,1230500,2022,19,1,0,1710,2717-1230
2678743.88625199,1261738.64812515,2024,49,2,0,1710,2678-1261
2616997.53316224,1227529.72548887,2022,19,1,0,1710,2616-1227
2717070,1230397,2022,19,1,0,1710,2717-1230
2539046.23780685,1182645.82975202,2022,49,1,0,1710,2539-1182
2660500,1270500,2023,49,2,0,1710,2660-1270
2660500,1270500,2023,49,2,0,1710,2660-1270
2717141,1230385,2022,19,1,0,1710,2717-1230
2717164,1230406,2022,19,1,0,1710,2717-1230
2717500,1230500,2022,19,1,0,1710,2717-1230
2660500,1270500,2023,49,1,0,1710,2660-1270
2761971,1203941,2024,49,1,0,1710,2761-1203
2717500,1230500,2022,19,1,0,1710,2717-1230
2557627,1138413,2022,19,1,0,1710,2557-1138
2557622,1138469,2022,19,1,0,1710,2557-1138
2620500,1265500,2022,43,1,0,1710,2620-1265
2539050,1182736,2024,55,1,0,1710,2539-1182
2678386,1261969,2021,25,4,3,1710,2678-1261
2678693,1261249,2022,25,1,2,1710,2678-1261
2539046.23780685,1182645.82975201,2024,43,1,0,1710,2539-1182
2709592,1113321,2021,25,2,1,1710,2709-1113
2570500,1203500,2023,49,1,0,1710,2570-1203
2614489,1174515,2024,49,1,0,1710,2614-1174
2580500,1212500,2022,49,1,0,1710,2580-1212
2660500,1270500,2023,49,2,0,1710,2660-1270
2706500,1230500,2022,49,1,0,1710,2706-1230
2539500,1182500,2024,49,1,0,1710,2539-1182
2717500,1230500,2025,49,1,0,1710,2717-1230
2620500,1265500,2022,49,3,0,1710,2620-1265
2569500,1203500,2021,25,1,3,1710,2569-1203
2539046.23780685,1182645.82975201,2025,49,1,0,1710,2539-1182
2539046.23780685,1182645.82975202,2022,49,1,0,1710,2539-1182
2663635.13985674,1225262.50132269,2021,49,1,0,1710,2663-1225
2539046.23780685,1182645.82975201,2025,49,1,0,1710,2539-1182
2539026,1182584,2022,49,2,0,1710,2539-1182
2559887.38949178,1138241.33549638,2022,13,1,0,1710,2559-1138
2731112.40876194,1279574.11087361,2022,55,1,0,1710,2731-1279
2717500,1230500,2022,19,1,0,1710,2717-1230
2717500,1230500,2022,19,1,0,1710,2717-1230
2717500,1230500,2022,19,1,0,1710,2717-1230
2501910,1118516,2022,19,1,0,1710,2501-1118
2557500,1138500,2022,19,1,0,1710,2557-1138
2660500,1269500,2024,50,1,0,1710,2660-1269
2717500,1230500,2022,19,1,0,1710,2717-1230
2570210,1210437,2021,50,1,0,1710,2570-1210
2759999.99367169,1263000.27822094,2022,50,1,0,1710,2759-1263
2538983,1182740,2022,50,1,0,1710,2538-1182
2537076,1178335,2021,50,1,0,1710,2537-1178
2678449,1261662,2024,50,2,0,1710,2678-1261
2727073,1280785,2022,50,1,0,1710,2727-1280
2707225,1268519,2024,50,1,0,1710,2707-1268
2678645,1261692,2022,50,1,0,1710,2678-1261
2717500,1230500,2022,19,1,0,1710,2717-1230
2539046.23780685,1182645.82975202,2021,50,1,0,1710,2539-1182
2539046.23780685,1182645.82975202,2021,50,1,0,1710,2539-1182
2536801.15009962,1178414.86948714,2021,50,1,0,1710,2536-1178
2536801.15009962,1178414.86948714,2021,50,1,0,1710,2536-1178
2539020,1182681,2022,50,1,0,1710,2539-1182
2494696.76179314,1121403.00587269,2022,19,1,0,1710,2494-1121
2494696.76179314,1121403.00587269,2022,19,1,0,1710,2494-1121
2717500,1230500,2022,56,1,0,1710,2717-1230
2569121,1196710,2024,56,1,0,1710,2569-1196
