x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2709500,1113500,2021,25,3,1,1710,2709-1113
2709586,1113349,2021,25,2,2,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,1,2,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,2,1,1710,2709-1113
2709605,1113357,2021,25,1,1,1710,2709-1113
2709601,1113342,2021,25,1,1,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,1,2,1710,2709-1113
2678743.88625199,1261738.64812515,2024,25,1,1,1710,2678-1261
2678743.88625199,1261738.64812515,2021,25,5,1,1710,2678-1261
2678743.88625199,1261738.64812515,2021,25,2,3,1710,2678-1261
2678951,1261636,2024,25,1,3,1710,2678-1261
2709500,1113500,2021,25,2,2,1710,2709-1113
2709546,1113303,2021,25,3,1,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,2,2,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,3,1,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,3,1,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,2,1,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,2,1,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,2,2,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,3,1,1710,2709-1113
2709568,1113325,2021,25,3,1,1710,2709-1113
2709546,1113303,2021,25,3,1,1710,2709-1113
2709566,1113329,2021,25,3,1,1710,2709-1113
2709628.1002368,1113293.57333526,2024,49,1,0,1710,2709-1113
2678388,1261721,2023,55,1,0,1710,2678-1261
2678743.88625199,1261738.64812515,2023,55,1,0,1710,2678-1261
2678451.8885035,1261824.64753559,2023,55,1,0,1710,2678-1261
2678515.88908633,1261671.64722243,2023,55,1,0,1710,2678-1261
2709505,1113242,2022,55,1,0,1710,2709-1113
2678515.88908633,1261671.64722243,2023,55,1,0,1710,2678-1261
2709628.1002368,1113293.57333526,2024,49,1,0,1710,2709-1113
2709628.1002368,1113293.57333526,2022,55,1,0,1710,2709-1113
2678483,1261711,2022,25,1,3,1710,2678-1261
2678743.88625199,1261738.64812515,2025,25,1,1,1710,2678-1261
2709628.1002368,1113293.57333526,2021,25,1,3,1710,2709-1113
2678351,1261550,2022,43,1,0,1710,2678-1261
2678567,1261623,2024,49,2,0,1710,2678-1261
2709500,1113500,2021,25,1,2,1710,2709-1113
2678743.88625199,1261738.64812515,2021,25,1,3,1710,2678-1261
2709628.1002368,1113293.57333526,2021,25,3,2,1710,2709-1113
2709628.1002368,1113293.57333526,2021,25,3,2,1710,2709-1113
2678743.88625199,1261738.64812515,2024,49,2,0,1710,2678-1261
