x,y,year,pentade,count,atlascode_id,species_id,KmSquares
2716410.0839195,1113823.61702929,2022,25,1,0,3000,2716-1113
2716322,1114101,2024,25,1,0,3000,2716-1114
2718889,1114485,2022,25,1,0,3000,2718-1114
2715721,1113679,2022,25,2,0,3000,2715-1113
2570500,1203500,2022,25,2,0,3000,2570-1203
2712500,1113500,2023,25,1,0,3000,2712-1113
2712716,1113668,2023,25,2,0,3000,2712-1113
2712292,1113435,2022,25,2,0,3000,2712-1113
2712460,1113588,2022,25,2,0,3000,2712-1113
2712688,1113777,2023,25,3,0,3000,2712-1113
2712581,1113936,2021,25,1,0,3000,2712-1113
2576263.55745271,1205353.17232896,2023,25,3,0,3000,2576-1205
2712500,1113500,2023,25,2,0,3000,2712-1113
2712500,1113500,2023,25,1,0,3000,2712-1113
2570171.55826185,1203620.27005927,2024,25,1,0,3000,2570-1203
2710500,1113500,2021,25,1,0,3000,2710-1113
2715500,1113500,2021,25,1,0,3000,2715-1113
2572500,1204500,2021,25,1,0,3000,2572-1204
2569807,1192499,2023,25,1,0,3000,2569-1192
2490148,1112207,2023,25,1,0,3000,2490-1112
2710500,1114500,2021,25,5,0,3000,2710-1114
2712500,1113500,2023,25,2,0,3000,2712-1113
2578772,1203800,2024,25,1,0,3000,2578-1203
2716231,1113888,2023,25,1,0,3000,2716-1113
2716231,1113888,2023,25,1,0,3000,2716-1113
2715500,1113500,2021,25,1,0,3000,2715-1113
2715780,1113908,2022,25,4,0,3000,2715-1113
2710532,1113288,2021,25,1,0,3000,2710-1113
2576263.55745271,1205353.17232896,2025,25,3,0,3000,2576-1205
2712500,1113500,2023,25,1,0,3000,2712-1113
2716301,1113754,2022,25,1,0,3000,2716-1113
2715906,1113624,2022,25,1,0,3000,2715-1113
2578893,1204718,2024,25,1,0,3000,2578-1204
2709981,1113133,2022,25,2,0,3000,2709-1113
2716276,1113709,2022,25,1,0,3000,2716-1113
2570171.55826185,1203620.27005927,2024,25,1,0,3000,2570-1203
2714962,1114653,2021,25,1,0,3000,2714-1114
2716553,1113079,2021,25,1,0,3000,2716-1113
2712500,1113500,2023,25,1,0,3000,2712-1113
2570560,1203031,2021,31,1,3,3000,2570-1203
2715500,1113500,2021,25,1,0,3000,2715-1113
2576263.55745271,1205353.17232896,2025,31,2,3,3000,2576-1205
2490674.50214671,1112307.18317356,2024,31,2,3,3000,2490-1112
2490674.50214671,1112307.18317356,2024,31,1,3,3000,2490-1112
2491153,1112570,2025,25,1,2,3000,2491-1112
2569783,1192469,2023,31,1,3,3000,2569-1192
2569817,1192494,2022,31,1,3,3000,2569-1192
2490224,1112251,2024,31,2,3,3000,2490-1112
2569811,1192423,2025,31,1,3,3000,2569-1192
2536394,1171798,2024,31,1,3,3000,2536-1171
2490462.60499855,1115806.16573781,2024,31,1,3,3000,2490-1115
2490481.51409212,1112705.18624407,2024,43,1,0,3000,2490-1112
2490481.51409212,1112705.18624407,2021,43,9,0,3000,2490-1112
2714343,1114114,2024,31,2,4,3000,2714-1114
2491210,1112506,2021,31,1,3,3000,2491-1112
2490947,1112621,2025,31,2,1,3000,2490-1112
2576599,1205280,2022,31,1,2,3000,2576-1205
2576580,1205277,2022,31,4,4,3000,2576-1205
2576513,1205316,2022,37,2,6,3000,2576-1205
2491022,1112827,2021,37,2,16,3000,2491-1112
2576592,1205284,2025,37,1,2,3000,2576-1205
2709699,1113723,2022,37,1,3,3000,2709-1113
2490471,1112871,2025,31,1,1,3000,2490-1112
2578550,1203800,2022,49,1,0,3000,2578-1203
2716377,1113822,2025,37,1,3,3000,2716-1113
2490267,1112204,2023,37,5,2,3000,2490-1112
2715438,1113930,2023,37,1,3,3000,2715-1113
2576511,1205417,2023,43,3,0,3000,2576-1205
2576533,1205262,2023,43,3,0,3000,2576-1205
2492839.4912478,1111972.11949428,2025,43,1,0,3000,2492-1111
2680500,1272500,2022,43,2,0,3000,2680-1272
2620500,1256500,2022,31,2,4,3000,2620-1256
2490109,1111286,2022,37,1,3,3000,2490-1111
2618670.65278626,1128170.52219958,2025,31,2,4,3000,2618-1128
2578710,1203687,2024,49,3,0,3000,2578-1203
2709500,1113500,2022,43,1,0,3000,2709-1113
2572792,1204807,2022,37,1,3,3000,2572-1204
2712495,1113604,2023,25,1,0,3000,2712-1113
2712495,1113604,2023,25,1,0,3000,2712-1113
2712515,1113611,2023,25,1,0,3000,2712-1113
2712274,1113852,2024,25,1,0,3000,2712-1113
2712496,1113626,2023,25,1,0,3000,2712-1113
2576263.55745271,1205353.17232896,2023,25,2,0,3000,2576-1205
2710500,1113500,2021,25,2,0,3000,2710-1113
2710500,1114500,2021,25,10,0,3000,2710-1114
2718791,1114449,2021,25,2,0,3000,2718-1114
2718286,1114026,2021,25,5,0,3000,2718-1114
2718196,1114959,2021,25,1,0,3000,2718-1114
2718104,1114001,2021,25,4,0,3000,2718-1114
2716225,1114274,2025,25,1,3,3000,2716-1114
2716299,1114188,2023,25,1,0,3000,2716-1114
2718182,1114017,2021,25,1,0,3000,2718-1114
2718250,1114032,2021,25,6,0,3000,2718-1114
2718715,1114419,2021,25,2,0,3000,2718-1114
2570126,1203225,2021,31,1,3,3000,2570-1203
2490674.50214671,1112307.18317357,2021,31,1,2,3000,2490-1112
2576263.55745271,1205353.17232896,2024,31,1,1,3000,2576-1205
2576263.55745271,1205353.17232896,2024,31,1,3,3000,2576-1205
2490481.51409212,1112705.18624407,2021,31,2,4,3000,2490-1112
2569665.36336221,1192199.24205318,2022,31,1,3,3000,2569-1192
2716168,1114170,2025,31,1,1,3000,2716-1114
2578651,1203676,2022,37,1,2,3000,2578-1203
2490367.49844419,1112175.19352428,2023,37,2,6,3000,2490-1112
2709500,1113500,2023,25,1,0,3000,2709-1113
2576604,1205300,2025,25,3,2,3000,2576-1205
2710500,1113500,2023,25,1,0,3000,2710-1113
2715720,1113856,2021,25,3,0,3000,2715-1113
2715626,1113713,2021,25,1,0,3000,2715-1113
