species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Amsel,2,2019,2019-03-31,2,0,?,?,T,T,?,?,?,?,?,?,?,?,90
Amsel,2,2019,2019-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Amsel,2,2019,2019-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Amsel,2,2019,2019-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Amsel,2,2020,2020-04-09,1,0,F,T,F,F,?,F,F,F,F,F,F,?,100
Amsel,2,2020,2020-05-06,1,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Amsel,2,2020,2020-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Amsel,2,2020,2020-06-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Amsel,2,2021,2021-03-29,1,0,F,F,T,F,?,F,F,F,F,F,F,?,88
Amsel,2,2021,2021-05-07,1,0,F,T,F,F,?,F,F,F,F,F,F,?,127
Amsel,2,2021,2021-06-07,1,0,F,F,T,F,?,F,F,F,F,F,F,?,158
Amsel,2,2021,2021-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Amsel,2,2022,2022-03-25,2,0,F,T,T,F,F,F,F,F,F,F,F,?,84
Amsel,2,2022,2022-05-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124
Amsel,2,2022,2022-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Amsel,2,2022,2022-04-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Amsel,2,2023,2023-04-03,1,0,F,T,F,F,?,F,F,F,F,F,F,?,93
Amsel,2,2023,2023-06-07,1,0,F,F,F,F,?,F,F,F,F,F,F,?,158
Amsel,2,2023,2023-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Amsel,2,2023,2023-05-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122
Amsel,3,2021,2021-03-28,2,0,F,T,F,F,?,F,F,F,F,F,F,?,87
Amsel,3,2021,2021-05-16,1,0,F,F,F,F,?,F,F,F,F,F,F,?,136
Amsel,3,2021,2021-06-13,2,0,F,T,T,F,?,F,F,F,F,F,F,?,164
Amsel,3,2021,2021-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
Amsel,4,2019,2019-03-22,3,0,F,T,T,F,?,F,F,F,F,F,F,?,81
Amsel,4,2019,2019-04-16,1,0,F,T,F,F,?,F,F,F,F,F,F,?,106
Amsel,4,2019,2019-05-09,6,0,F,T,T,F,?,F,F,F,F,F,F,?,129
Amsel,4,2019,2019-06-05,5,0,F,T,T,F,?,F,F,F,F,F,F,?,156
Amsel,4,2020,2020-03-18,4,0,F,T,T,F,?,F,F,F,F,F,F,?,78
Amsel,4,2020,2020-04-16,5,0,F,T,T,F,?,F,F,F,F,F,F,?,107
Amsel,4,2020,2020-05-07,7,0,F,T,T,F,?,F,F,F,F,F,F,?,128
Amsel,4,2020,2020-06-02,9,0,F,T,F,F,?,F,F,F,F,F,F,?,154
Amsel,4,2021,2021-03-24,2,0,?,T,F,F,?,F,F,?,F,F,F,?,83
Amsel,4,2021,2021-04-20,6,0,?,T,F,F,?,F,F,?,F,F,F,?,110
Amsel,4,2021,2021-05-15,5,0,?,T,T,F,?,F,F,?,F,F,F,?,135
Amsel,4,2021,2021-06-04,2,0,?,T,T,F,?,F,F,?,F,F,F,?,155
Amsel,4,2022,2022-03-21,5,0,F,T,T,F,?,F,F,F,F,F,F,?,80
Amsel,4,2022,2022-04-18,4,0,F,T,T,F,?,F,F,F,F,F,F,?,108
Amsel,4,2022,2022-05-12,3,0,F,T,F,F,?,F,F,F,F,F,F,?,132
Amsel,4,2022,2022-06-02,2,0,F,T,F,F,?,F,F,F,F,F,F,?,153
Amsel,4,2023,2023-03-18,2,0,F,T,T,F,F,F,F,F,F,F,F,?,77
Amsel,4,2023,2023-04-26,4,0,F,T,T,F,F,F,F,F,F,F,F,?,116
