species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Bachstelze,4,2019,2019-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
Bachstelze,4,2019,2019-04-16,1,0,F,F,T,F,?,F,F,F,F,F,F,?,106
Bachstelze,4,2019,2019-05-09,1,0,F,F,T,F,?,F,F,F,F,F,F,?,129
Bachstelze,4,2019,2019-06-05,1,0,F,T,F,F,?,F,F,F,F,F,F,?,156
Bachstelze,4,2020,2020-03-18,1,0,F,T,F,F,?,F,F,F,F,F,F,?,78
Bachstelze,4,2020,2020-04-16,2,0,F,T,F,F,?,T,F,F,F,F,F,?,107
Bachstelze,4,2020,2020-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Bachstelze,4,2020,2020-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Bachstelze,4,2021,2021-03-24,1,0,?,F,T,F,?,F,F,?,F,F,F,?,83
Bachstelze,4,2021,2021-04-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Bachstelze,4,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Bachstelze,4,2021,2021-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Bachstelze,4,2022,2022-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Bachstelze,4,2022,2022-04-18,1,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Bachstelze,4,2022,2022-05-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
Bachstelze,4,2022,2022-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Bachstelze,4,2023,2023-03-18,1,0,F,F,T,F,F,F,F,F,F,F,F,?,77
Bachstelze,4,2023,2023-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
Bachstelze,4,2023,2023-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Bachstelze,4,2023,2023-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Bachstelze,6,2018,2018-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
Bachstelze,6,2018,2018-04-15,2,0,F,F,F,F,?,F,F,F,F,F,F,?,105
Bachstelze,6,2018,2018-05-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,139
Bachstelze,6,2018,2018-06-09,2,0,F,F,F,F,?,F,F,F,F,F,T,?,160
Bachstelze,6,2020,2020-04-13,2,0,F,F,T,F,?,T,F,F,F,F,F,?,104
