species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Blaumeise,4,2019,2019-03-22,11,0,F,T,T,F,?,F,F,F,F,F,F,?,81
Blaumeise,4,2019,2019-04-16,9,0,F,T,F,T,?,F,F,F,F,F,F,?,106
Blaumeise,4,2019,2019-05-09,6,0,F,T,T,F,?,F,F,F,T,F,F,?,129
Blaumeise,4,2019,2019-06-05,2,0,F,F,T,F,?,F,F,F,F,F,F,?,156
Blaumeise,4,2020,2020-03-18,10,0,F,T,T,F,?,F,F,F,F,T,F,?,78
Blaumeise,4,2020,2020-04-16,5,0,F,T,T,F,?,F,F,F,F,F,F,?,107
Blaumeise,4,2020,2020-05-07,3,0,F,T,T,F,?,F,F,F,T,F,F,?,128
Blaumeise,4,2020,2020-06-02,5,0,F,T,T,T,?,F,F,F,F,F,F,?,154
Blaumeise,4,2021,2021-03-24,6,0,?,T,T,F,?,F,F,?,F,F,F,?,83
Blaumeise,4,2021,2021-04-20,9,0,?,T,F,T,?,F,F,?,F,F,F,?,110
Blaumeise,4,2021,2021-05-15,2,0,?,F,F,T,?,F,F,?,F,F,F,?,135
Blaumeise,4,2021,2021-06-04,2,0,?,T,F,F,?,F,F,?,F,F,T,?,155
Blaumeise,4,2022,2022-03-21,6,0,F,T,T,F,?,F,F,F,F,F,F,?,80
Blaumeise,4,2022,2022-04-18,6,0,F,T,F,F,?,F,F,F,F,T,F,?,108
Blaumeise,4,2022,2022-05-12,2,0,F,T,T,F,?,F,F,F,F,F,F,?,132
Blaumeise,4,2022,2022-06-02,1,0,F,T,F,F,?,F,F,F,F,F,T,?,153
Blaumeise,4,2023,2023-03-18,4,0,F,T,T,F,F,F,F,F,F,F,F,?,77
Blaumeise,4,2023,2023-04-26,7,0,F,T,T,F,F,F,F,F,F,F,F,?,116
Blaumeise,4,2023,2023-05-19,2,0,F,F,F,F,F,F,F,F,F,F,F,?,139
Blaumeise,4,2023,2023-06-07,1,0,F,T,F,F,F,F,F,F,F,F,F,?,158
Blaumeise,6,2018,2018-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
Blaumeise,6,2018,2018-04-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Blaumeise,6,2018,2018-05-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,139
Blaumeise,6,2018,2018-06-09,1,0,F,F,F,F,?,F,F,F,F,F,T,?,160
Blaumeise,6,2020,2020-04-13,1,0,F,T,F,F,?,F,F,F,F,F,F,?,104
Blaumeise,6,2020,2020-06-13,2,0,F,F,F,F,?,F,F,F,F,F,F,?,165
