species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Buntspecht,4,2019,2019-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
Buntspecht,4,2019,2019-04-16,2,0,F,T,T,F,?,F,F,F,F,F,F,?,106
Buntspecht,4,2019,2019-05-09,1,0,F,F,T,F,?,F,F,F,F,F,F,?,129
Buntspecht,4,2019,2019-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Buntspecht,4,2020,2020-03-18,1,0,F,T,F,F,?,F,F,F,F,F,F,?,78
Buntspecht,4,2020,2020-04-16,1,0,F,T,F,F,?,F,F,F,F,F,F,?,107
Buntspecht,4,2020,2020-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Buntspecht,4,2020,2020-06-02,2,0,F,F,T,F,?,F,F,F,F,F,F,?,154
Buntspecht,4,2021,2021-03-24,1,0,?,T,F,F,?,F,F,?,F,F,F,?,83
Buntspecht,4,2021,2021-04-20,1,0,?,F,T,F,?,F,F,?,F,F,F,?,110
Buntspecht,4,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Buntspecht,4,2021,2021-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Buntspecht,4,2022,2022-03-21,3,0,F,T,T,F,?,F,F,F,F,F,F,?,80
Buntspecht,4,2022,2022-04-18,2,0,F,F,T,F,?,F,F,F,F,F,F,?,108
Buntspecht,4,2022,2022-05-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
Buntspecht,4,2022,2022-06-02,1,0,F,F,T,F,?,F,F,F,F,F,F,?,153
Buntspecht,4,2023,2023-03-18,1,0,F,T,F,F,F,F,F,F,F,F,F,?,77
Buntspecht,4,2023,2023-04-26,2,0,F,F,T,F,F,F,F,F,F,F,F,?,116
Buntspecht,4,2023,2023-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Buntspecht,4,2023,2023-06-07,1,0,F,F,T,F,F,F,F,F,F,F,F,?,158
Buntspecht,10,2018,2018-03-26,1,0,F,F,F,F,?,F,F,F,F,F,F,?,85
Buntspecht,10,2018,2018-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Buntspecht,10,2018,2018-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
Buntspecht,10,2018,2018-05-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Buntspecht,10,2018,2018-05-23,1,0,F,F,F,F,?,F,F,F,F,F,F,?,143
Buntspecht,10,2020,2020-03-17,3,0,T,T,F,F,?,F,F,F,F,F,F,?,77
Buntspecht,10,2020,2020-04-10,2,2,T,F,F,F,?,F,F,F,F,F,F,?,101
Buntspecht,10,2020,2020-05-01,4,0,T,T,F,F,?,F,F,F,F,F,F,?,122
Buntspecht,10,2020,2020-05-31,2,0,F,F,F,F,?,F,F,F,F,F,F,?,152
Buntspecht,10,2021,2021-04-01,1,1,T,F,T,F,?,F,F,F,F,F,F,?,91
Buntspecht,10,2021,2021-04-24,1,0,F,F,T,F,?,F,F,F,F,F,F,?,114
Buntspecht,10,2021,2021-05-16,2,2,T,F,T,F,?,F,F,F,F,F,F,?,136
Buntspecht,10,2021,2021-06-01,1,0,F,F,T,F,?,F,F,F,F,F,F,?,152
Buntspecht,13,2018,2018-03-25,2,0,F,F,T,F,?,T,F,F,F,F,F,?,84
