species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Buntspecht,12,2020,2020-03-20,1,0,F,F,F,F,?,F,F,F,F,F,F,?,80
Buntspecht,12,2020,2020-04-09,1,0,F,F,F,F,?,F,F,F,F,F,F,?,100
Buntspecht,12,2020,2020-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Buntspecht,12,2020,2020-06-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173
Buntspecht,31,2021,2021-03-28,2,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Buntspecht,31,2021,2021-04-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119
Buntspecht,31,2021,2021-05-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
Buntspecht,31,2021,2021-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Buntspecht,32,2020,2020-03-15,1,0,F,F,F,F,?,F,F,F,F,F,F,?,75
Buntspecht,32,2020,2020-04-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,110
Buntspecht,32,2020,2020-05-17,1,0,F,F,F,F,?,F,F,F,F,F,F,?,138
Buntspecht,32,2020,2020-06-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Buntspecht,32,2021,2021-03-22,1,0,F,?,?,?,?,?,F,?,?,?,?,?,81
Buntspecht,32,2021,2021-04-28,1,0,F,?,?,?,?,?,F,?,?,?,?,?,118
Buntspecht,32,2021,2021-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Buntspecht,32,2021,2021-06-17,1,0,F,?,?,?,?,?,F,?,?,?,?,?,168
Buntspecht,35,2020,2020-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Buntspecht,35,2020,2020-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
Buntspecht,35,2020,2020-05-16,1,0,F,F,T,F,?,F,F,F,F,F,F,?,137
Buntspecht,35,2020,2020-06-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163
Buntspecht,37,2018,2018-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Buntspecht,37,2018,2018-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Buntspecht,37,2018,2018-05-12,1,0,F,F,F,F,?,F,F,F,F,F,F,?,132
Buntspecht,37,2018,2018-06-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,164
Buntspecht,37,2020,2020-03-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Buntspecht,37,2020,2020-04-25,2,0,F,F,F,F,?,F,F,F,F,F,F,?,116
Buntspecht,37,2020,2020-05-10,1,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Buntspecht,37,2020,2020-06-07,2,0,F,F,T,F,?,F,F,F,F,F,F,?,159
Buntspecht,37,2021,2021-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
Buntspecht,37,2021,2021-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Buntspecht,37,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Buntspecht,37,2021,2021-06-17,3,0,F,F,F,F,?,F,F,F,F,F,F,?,168
Buntspecht,64,2019,2019-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Buntspecht,64,2019,2019-04-30,1,0,F,F,T,F,?,F,F,F,F,F,F,?,120
Buntspecht,64,2019,2019-05-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,139
Buntspecht,64,2019,2019-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Buntspecht,72,2021,2021-03-24,1,0,F,F,F,F,?,F,F,F,F,F,F,?,83
Buntspecht,72,2021,2021-04-11,1,0,F,F,F,F,?,F,F,F,F,F,F,?,101
Buntspecht,72,2021,2021-05-09,2,0,F,F,F,F,?,F,F,F,F,F,F,?,129
Buntspecht,72,2021,2021-05-30,2,0,F,F,F,F,?,F,F,F,F,F,F,?,150
