species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Feldlerche,12,2018,2018-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Feldlerche,12,2018,2018-04-14,1,0,F,F,F,F,?,F,F,F,F,F,F,?,104
Feldlerche,12,2018,2018-06-16,1,0,F,F,F,F,?,F,F,F,F,F,F,?,167
Feldlerche,12,2020,2020-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Feldlerche,12,2020,2020-04-09,1,0,F,F,F,F,?,F,F,F,F,F,F,?,100
Feldlerche,12,2020,2020-05-08,1,0,F,F,F,F,?,F,F,F,F,F,F,?,129
Feldlerche,12,2020,2020-06-21,1,0,F,F,F,F,?,F,F,F,F,F,F,?,173
Feldlerche,35,2020,2020-03-29,2,0,F,F,T,F,?,F,F,F,F,F,F,?,89
Feldlerche,35,2020,2020-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
Feldlerche,35,2020,2020-05-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
Feldlerche,35,2020,2020-06-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163
Feldlerche,91,2018,2018-03-11,2,0,F,F,F,F,?,F,F,F,F,F,F,?,70
Feldlerche,91,2018,2018-04-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Feldlerche,91,2018,2018-05-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Feldlerche,91,2018,2018-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Feldlerche,99,2022,2022-03-16,2,0,F,F,T,F,F,F,F,F,F,F,F,?,75
Feldlerche,99,2022,2022-04-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Feldlerche,99,2022,2022-05-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
Feldlerche,99,2022,2022-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
Feldlerche,99,2023,2023-03-15,1,0,F,F,T,F,F,F,F,F,F,F,F,?,74
Feldlerche,99,2023,2023-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Feldlerche,99,2023,2023-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Feldlerche,99,2023,2023-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Feldlerche,115,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Feldlerche,115,2020,2020-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Feldlerche,115,2020,2020-05-10,1,0,F,F,T,F,?,F,F,F,F,F,F,?,131
Feldlerche,115,2020,2020-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Feldlerche,124,2018,2018-03-25,1,0,F,F,F,F,?,F,F,F,F,F,F,?,84
Feldlerche,124,2018,2018-04-22,1,0,F,F,F,F,?,F,F,F,F,F,F,?,112
Feldlerche,124,2018,2018-05-11,1,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Feldlerche,124,2018,2018-06-02,1,0,F,F,F,F,?,F,F,F,F,F,F,?,153
Feldlerche,124,2020,2020-03-22,4,0,F,F,F,F,?,F,F,F,F,F,F,?,82
Feldlerche,124,2020,2020-04-05,1,0,F,F,F,F,?,F,F,F,F,F,F,?,96
Feldlerche,124,2020,2020-05-09,1,0,F,F,F,F,?,F,F,F,F,F,F,?,130
Feldlerche,124,2020,2020-06-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,165
Feldlerche,124,2021,2021-05-29,3,0,F,F,F,F,?,F,?,F,F,F,F,?,149
Feldlerche,150,2018,2018-03-30,1,0,F,F,T,F,?,F,F,F,F,F,F,?,89
Feldlerche,150,2018,2018-04-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Feldlerche,150,2018,2018-05-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Feldlerche,150,2018,2018-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Feldlerche,150,2018,2019-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Feldlerche,168,2021,2021-03-27,1,0,?,?,T,?,?,?,?,?,?,?,?,?,86
Feldlerche,168,2021,2021-04-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
Feldlerche,168,2021,2021-05-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
Feldlerche,168,2021,2021-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Feldlerche,170,2020,2020-03-13,1,1,T,F,F,F,?,?,?,?,?,?,?,?,73
Feldlerche,170,2020,2020-04-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92
Feldlerche,170,2020,2020-05-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Feldlerche,170,2020,2020-05-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143
Feldlerche,184,2020,2020-03-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,79
Feldlerche,184,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Feldlerche,184,2020,2020-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Feldlerche,184,2020,2020-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Feldlerche,187,2020,2020-03-18,1,0,F,F,F,F,?,F,F,F,F,F,F,?,78
Feldlerche,187,2020,2020-04-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
Feldlerche,187,2020,2020-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Feldlerche,187,2020,2020-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Feldlerche,189,2021,2021-03-12,1,0,?,?,T,?,?,?,?,?,?,?,?,?,71
Feldlerche,189,2021,2021-04-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Feldlerche,189,2021,2021-04-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Feldlerche,189,2021,2021-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Feldlerche,200,2018,2018-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Feldlerche,200,2018,2018-04-08,1,0,?,F,F,F,?,F,F,F,F,F,F,?,98
Feldlerche,200,2018,2018-05-06,1,0,?,F,F,F,?,F,F,F,F,F,F,?,126
Feldlerche,200,2018,2018-06-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
Feldlerche,245,2021,2021-03-29,3,0,?,?,?,?,?,?,?,?,?,?,?,?,88
Feldlerche,245,2021,2021-04-24,4,0,?,?,?,?,?,?,?,?,?,?,?,?,114
Feldlerche,245,2021,2021-05-09,2,0,?,?,?,?,?,?,?,?,?,?,?,?,129
Feldlerche,245,2021,2021-06-03,3,0,?,?,?,?,?,?,?,?,?,?,?,?,154
Feldlerche,274,2019,2019-03-25,2,0,F,F,F,F,?,F,F,F,F,F,F,?,84
Feldlerche,274,2019,2019-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Feldlerche,274,2019,2019-05-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144
Feldlerche,274,2019,2019-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
