species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Fichtenkreuzschnabel,14,2018,2018-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
Fichtenkreuzschnabel,14,2018,2018-04-11,1,0,F,F,F,F,?,F,F,F,F,F,F,?,101
Fichtenkreuzschnabel,14,2018,2018-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Fichtenkreuzschnabel,14,2018,2018-06-11,1,0,F,F,F,F,?,F,F,F,F,F,F,?,162
Fichtenkreuzschnabel,14,2018,2018-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Fichtenkreuzschnabel,14,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Fichtenkreuzschnabel,14,2020,2020-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Fichtenkreuzschnabel,14,2020,2020-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Fichtenkreuzschnabel,14,2020,2020-06-17,1,0,F,T,F,F,?,F,F,F,F,F,F,?,169
Fichtenkreuzschnabel,41,2020,2020-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
Fichtenkreuzschnabel,41,2020,2020-04-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
Fichtenkreuzschnabel,41,2020,2020-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
Fichtenkreuzschnabel,41,2020,2020-06-19,2,0,F,F,T,F,?,F,F,F,F,F,F,?,171
Fichtenkreuzschnabel,41,2021,2021-03-30,4,0,F,T,F,F,?,F,F,F,F,F,F,?,89
Fichtenkreuzschnabel,41,2021,2021-04-30,2,0,F,T,F,F,?,F,F,F,F,F,F,?,120
Fichtenkreuzschnabel,41,2021,2021-05-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
Fichtenkreuzschnabel,41,2021,2021-05-25,4,0,F,T,F,F,?,F,?,F,F,F,F,?,145
Fichtenkreuzschnabel,41,2021,2021-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Fichtenkreuzschnabel,95,2018,2018-03-11,8,0,?,T,T,F,?,F,F,F,F,F,F,?,70
Fichtenkreuzschnabel,95,2018,2018-04-09,3,0,?,F,T,F,?,F,F,F,F,F,F,?,99
Fichtenkreuzschnabel,95,2018,2018-05-04,4,0,?,T,F,F,?,F,F,F,F,F,F,?,124
Fichtenkreuzschnabel,95,2018,2018-05-28,3,0,?,T,T,F,?,F,F,F,F,F,F,?,148
Fichtenkreuzschnabel,95,2020,2020-03-17,1,0,F,T,F,F,?,F,F,F,F,F,F,?,77
Fichtenkreuzschnabel,95,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Fichtenkreuzschnabel,95,2020,2020-05-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Fichtenkreuzschnabel,95,2020,2020-05-29,1,0,F,F,T,F,?,F,F,F,F,F,F,?,150
Fichtenkreuzschnabel,127,2018,2018-03-12,1,0,?,F,T,F,?,F,F,F,F,F,F,?,71
Fichtenkreuzschnabel,127,2018,2018-04-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
Fichtenkreuzschnabel,127,2018,2018-05-07,1,0,?,T,F,F,?,F,F,F,F,F,F,?,127
Fichtenkreuzschnabel,127,2018,2018-05-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151
Fichtenkreuzschnabel,127,2021,2021-05-03,2,0,F,T,T,F,?,F,F,F,F,F,F,?,123
Fichtenkreuzschnabel,127,2021,2021-05-27,2,0,?,T,T,?,?,?,?,?,?,?,?,?,147
Fichtenkreuzschnabel,133,2019,2019-03-23,1,0,?,T,?,?,?,?,?,?,?,?,?,?,82
Fichtenkreuzschnabel,133,2019,2019-04-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Fichtenkreuzschnabel,133,2019,2019-05-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136
Fichtenkreuzschnabel,133,2019,2019-06-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
Fichtenkreuzschnabel,133,2020,2020-03-15,1,0,F,F,T,F,?,F,F,F,F,F,F,?,75
Fichtenkreuzschnabel,133,2020,2020-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Fichtenkreuzschnabel,133,2020,2020-06-01,1,0,F,F,T,F,?,F,F,F,F,F,F,?,153
Fichtenkreuzschnabel,133,2020,2020-05-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125
Fichtenkreuzschnabel,150,2018,2018-03-30,3,0,F,F,T,F,?,F,F,F,F,F,F,?,89
Fichtenkreuzschnabel,150,2018,2018-04-15,3,0,F,F,T,F,?,F,F,F,F,F,F,?,105
Fichtenkreuzschnabel,150,2018,2018-05-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Fichtenkreuzschnabel,150,2018,2018-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Fichtenkreuzschnabel,150,2018,2019-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Fichtenkreuzschnabel,150,2020,2020-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Fichtenkreuzschnabel,150,2020,2020-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Fichtenkreuzschnabel,150,2020,2020-05-09,1,0,F,F,F,F,?,F,F,F,F,F,F,?,130
Fichtenkreuzschnabel,150,2020,2020-05-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
Fichtenkreuzschnabel,150,2021,2021-06-13,2,0,F,T,F,F,?,F,?,F,F,F,F,?,164
Fichtenkreuzschnabel,155,2023,2023-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Fichtenkreuzschnabel,155,2023,2023-05-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
Fichtenkreuzschnabel,155,2023,2023-06-16,1,0,F,T,F,F,?,F,F,F,F,F,F,?,167
