species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Gebirgsstelze,63,2019,2019-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
Gebirgsstelze,63,2019,2019-04-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
Gebirgsstelze,63,2019,2019-05-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Gebirgsstelze,63,2019,2019-06-16,1,0,F,F,T,F,?,F,F,F,F,F,F,?,167
Gebirgsstelze,70,2019,2019-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Gebirgsstelze,70,2019,2019-04-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119
Gebirgsstelze,70,2019,2019-05-20,2,0,F,F,T,F,?,F,F,F,F,F,F,?,140
Gebirgsstelze,70,2019,2019-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Gebirgsstelze,70,2020,2020-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Gebirgsstelze,70,2020,2020-04-22,2,0,F,F,T,F,?,F,F,F,F,F,F,?,113
Gebirgsstelze,70,2020,2020-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136
Gebirgsstelze,70,2020,2020-06-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Gebirgsstelze,70,2021,2021-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Gebirgsstelze,70,2021,2021-04-27,1,0,F,F,T,F,?,F,F,F,F,F,F,?,117
Gebirgsstelze,70,2021,2021-05-19,1,0,F,F,T,F,?,F,F,F,F,F,F,?,139
Gebirgsstelze,70,2021,2021-06-17,2,0,F,F,T,F,?,F,F,F,F,F,F,?,168
Gebirgsstelze,70,2022,2022-03-29,1,0,F,F,T,F,F,F,F,F,F,F,F,?,88
Gebirgsstelze,70,2022,2022-04-25,4,0,F,F,T,F,F,F,F,F,F,F,F,?,115
Gebirgsstelze,70,2022,2022-05-19,3,0,F,F,T,F,F,F,F,F,F,F,F,?,139
Gebirgsstelze,70,2022,2022-06-20,3,0,F,F,T,F,F,F,F,F,F,F,F,?,171
Gebirgsstelze,70,2023,2023-03-28,2,0,F,F,T,F,F,F,F,F,F,F,F,?,87
Gebirgsstelze,70,2023,2023-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
Gebirgsstelze,70,2023,2023-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Gebirgsstelze,70,2023,2023-06-14,2,0,F,F,T,F,F,F,F,F,F,F,F,?,165
Gebirgsstelze,89,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Gebirgsstelze,89,2021,2021-04-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
Gebirgsstelze,89,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Gebirgsstelze,89,2021,2021-06-20,1,0,?,?,?,?,?,?,?,?,?,?,?,?,171
Gebirgsstelze,98,2021,2021-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Gebirgsstelze,98,2021,2021-04-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
Gebirgsstelze,98,2021,2021-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Gebirgsstelze,98,2021,2021-06-13,1,0,?,?,T,?,?,?,?,?,?,?,?,?,164
Gebirgsstelze,122,2018,2018-03-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,78
Gebirgsstelze,122,2018,2018-04-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Gebirgsstelze,122,2018,2018-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Gebirgsstelze,122,2018,2018-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Gebirgsstelze,122,2020,2020-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
Gebirgsstelze,122,2020,2020-04-25,1,0,F,F,F,F,?,F,F,F,F,F,F,?,116
Gebirgsstelze,122,2020,2020-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
Gebirgsstelze,122,2020,2020-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172
Gebirgsstelze,122,2021,2021-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Gebirgsstelze,122,2021,2021-04-18,1,0,F,?,?,?,?,T,F,?,?,?,?,?,108
Gebirgsstelze,122,2021,2021-05-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133
Gebirgsstelze,122,2021,2021-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
Gebirgsstelze,127,2021,2021-05-03,1,0,F,F,F,F,?,F,F,F,F,F,F,?,123
Gebirgsstelze,127,2021,2021-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Gebirgsstelze,142,2019,2019-03-28,1,0,?,?,T,?,?,?,?,?,?,?,?,?,87
Gebirgsstelze,142,2019,2019-04-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Gebirgsstelze,142,2019,2019-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Gebirgsstelze,142,2019,2019-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Gebirgsstelze,148,2019,2019-03-29,1,0,?,?,T,?,?,?,?,?,?,?,?,?,88
Gebirgsstelze,148,2019,2019-04-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
Gebirgsstelze,148,2019,2019-05-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
Gebirgsstelze,148,2019,2019-06-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Gebirgsstelze,158,2019,2019-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Gebirgsstelze,158,2019,2019-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Gebirgsstelze,158,2019,2019-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Gebirgsstelze,158,2019,2019-06-03,1,0,?,?,T,?,?,?,?,?,?,?,?,?,154
Gebirgsstelze,158,2023,2023-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Gebirgsstelze,158,2023,2023-04-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
Gebirgsstelze,158,2023,2023-05-04,1,0,F,F,T,F,?,F,F,F,F,F,F,?,124
