species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Gimpel,13,2018,2018-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Gimpel,13,2018,2018-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Gimpel,13,2018,2018-05-12,1,0,F,F,T,F,?,F,F,F,F,F,F,?,132
Gimpel,13,2018,2018-06-03,3,0,F,F,T,F,?,F,F,F,F,F,F,?,154
Gimpel,13,2020,2020-03-28,1,0,F,F,F,F,?,F,T,F,F,F,F,?,88
Gimpel,13,2020,2020-04-19,1,0,F,F,T,F,?,F,F,F,F,F,F,?,110
Gimpel,13,2020,2020-05-10,1,0,F,F,T,F,?,F,F,F,F,F,F,?,131
Gimpel,13,2020,2020-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157
Gimpel,13,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Gimpel,13,2021,2021-04-18,2,0,F,F,T,F,?,F,F,F,F,F,F,?,108
Gimpel,13,2021,2021-05-10,3,0,F,F,T,F,?,F,F,F,F,F,F,?,130
Gimpel,13,2021,2021-06-05,1,0,F,F,T,F,?,F,F,F,F,F,F,?,156
Gimpel,42,2021,2021-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
Gimpel,42,2021,2021-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Gimpel,42,2021,2021-06-13,1,0,F,F,T,F,?,F,F,F,F,F,F,?,164
Gimpel,43,2019,2019-03-22,1,0,F,F,T,F,?,T,F,F,F,F,F,?,81
Gimpel,43,2019,2019-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
Gimpel,43,2019,2019-05-17,1,0,F,F,F,F,?,F,F,F,F,F,F,?,137
Gimpel,43,2019,2019-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Gimpel,59,2018,2018-03-21,3,0,F,F,T,F,?,T,F,F,F,F,F,?,80
Gimpel,59,2018,2018-04-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Gimpel,59,2018,2018-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Gimpel,59,2018,2018-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Gimpel,59,2020,2020-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Gimpel,59,2020,2020-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Gimpel,59,2020,2020-05-06,1,0,F,F,T,F,?,F,F,F,F,F,F,?,127
Gimpel,59,2020,2020-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Gimpel,67,2021,2021-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
Gimpel,67,2021,2021-04-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Gimpel,67,2021,2021-05-07,1,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Gimpel,67,2021,2021-05-27,2,0,F,F,T,F,?,F,F,F,F,F,F,?,147
Gimpel,70,2019,2019-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Gimpel,70,2019,2019-04-29,2,0,F,F,T,F,?,F,F,F,F,F,F,?,119
Gimpel,70,2019,2019-05-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
Gimpel,70,2019,2019-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Gimpel,71,2019,2019-03-28,2,0,F,F,T,F,?,F,F,F,F,F,F,?,87
Gimpel,71,2019,2019-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
Gimpel,71,2019,2019-05-17,1,0,F,F,T,F,?,F,F,F,F,F,F,?,137
Gimpel,71,2019,2019-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Gimpel,72,2021,2021-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Gimpel,72,2021,2021-04-11,2,0,F,F,F,F,?,T,F,F,F,F,F,?,101
Gimpel,72,2021,2021-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Gimpel,72,2021,2021-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
Gimpel,75,2022,2022-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Gimpel,75,2022,2022-04-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
Gimpel,75,2022,2022-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Gimpel,75,2022,2022-06-10,1,0,F,F,F,F,F,F,F,F,F,F,F,?,161
Gimpel,91,2020,2020-03-24,1,0,F,F,F,F,?,T,F,F,F,F,F,?,84
Gimpel,91,2020,2020-04-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
Gimpel,91,2020,2020-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Gimpel,91,2020,2020-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Gimpel,93,2021,2021-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Gimpel,93,2021,2021-04-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
Gimpel,93,2021,2021-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Gimpel,93,2021,2021-06-11,1,0,F,F,F,F,?,F,F,F,F,F,F,?,162
Gimpel,99,2019,2019-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
