species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Goldammer,34,2020,2020-03-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,79
Goldammer,34,2020,2020-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Goldammer,34,2020,2020-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Goldammer,34,2020,2020-06-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170
Goldammer,46,2020,2020-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Goldammer,46,2020,2020-04-25,1,0,F,F,F,F,?,F,F,F,F,F,F,?,116
Goldammer,46,2020,2020-05-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Goldammer,46,2020,2020-06-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Goldammer,49,2020,2020-03-28,1,0,F,F,F,F,?,F,F,F,F,F,F,?,88
Goldammer,49,2020,2020-04-11,2,0,F,F,F,F,?,F,T,F,F,F,F,?,102
Goldammer,49,2020,2020-05-10,2,0,F,F,F,F,?,F,T,F,F,F,F,?,131
Goldammer,49,2020,2020-06-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,171
Goldammer,49,2021,2021-03-28,2,0,?,?,?,?,?,?,T,?,?,?,?,?,87
Goldammer,49,2021,2021-04-27,1,0,?,?,?,?,?,?,?,?,?,?,?,?,117
Goldammer,49,2021,2021-05-29,3,0,?,?,?,?,?,?,?,?,?,?,?,?,149
Goldammer,49,2021,2021-06-16,5,0,?,?,?,?,?,?,T,?,?,?,?,?,167
Goldammer,50,2018,2018-03-24,6,0,F,F,T,F,?,F,F,F,F,F,F,?,83
Goldammer,50,2018,2018-04-08,1,0,F,F,F,F,?,F,F,F,F,F,F,?,98
Goldammer,50,2018,2018-05-05,1,0,F,F,T,F,?,F,F,F,F,F,F,?,125
