species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Kolkrabe,4,2020,2020-03-18,1,0,F,F,T,F,?,F,F,F,F,F,F,?,78
Kolkrabe,4,2020,2020-04-16,1,0,?,F,T,F,?,F,F,?,F,F,F,?,107
Kolkrabe,4,2020,2020-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Kolkrabe,4,2020,2020-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Kolkrabe,18,2021,2021-04-16,1,0,F,?,?,?,?,?,F,?,?,?,?,?,106
Kolkrabe,18,2021,2021-05-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134
Kolkrabe,18,2021,2021-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Kolkrabe,20,2019,2019-03-28,2,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Kolkrabe,20,2019,2019-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Kolkrabe,20,2019,2019-05-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133
Kolkrabe,20,2019,2019-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Kolkrabe,37,2021,2021-03-31,1,0,F,F,F,F,?,F,F,F,F,F,F,?,90
Kolkrabe,37,2021,2021-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Kolkrabe,37,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Kolkrabe,37,2021,2021-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
Kolkrabe,38,2019,2019-03-19,2,0,F,F,F,F,?,F,F,F,F,F,F,?,78
Kolkrabe,38,2019,2019-04-14,1,0,F,F,F,F,?,F,F,F,F,F,F,?,104
Kolkrabe,38,2019,2019-05-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
Kolkrabe,38,2019,2019-06-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157
Kolkrabe,39,2019,2019-03-19,2,0,F,F,F,F,?,F,F,F,F,F,F,?,78
Kolkrabe,39,2019,2019-04-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Kolkrabe,39,2019,2019-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
