species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Ringeltaube,3,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Ringeltaube,3,2021,2021-05-16,1,0,F,T,F,F,?,T,F,F,F,F,F,?,136
Ringeltaube,3,2021,2021-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Ringeltaube,3,2021,2021-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
Ringeltaube,4,2019,2019-03-22,1,0,F,T,F,F,?,F,F,F,F,F,F,?,81
Ringeltaube,4,2019,2019-04-16,1,0,F,T,F,F,?,F,F,F,F,F,F,?,106
Ringeltaube,4,2019,2019-05-09,2,0,F,T,F,F,?,F,F,F,F,F,F,?,129
Ringeltaube,4,2019,2019-06-05,3,0,F,T,F,F,?,F,F,F,F,T,F,?,156
Ringeltaube,4,2020,2020-03-18,1,0,F,T,F,F,?,F,F,F,F,F,F,?,78
Ringeltaube,4,2020,2020-04-16,1,0,F,F,F,F,?,T,F,F,F,F,F,?,107
Ringeltaube,4,2020,2020-05-07,2,0,F,T,F,F,?,F,F,F,F,F,F,?,128
Ringeltaube,4,2020,2020-06-02,2,0,F,T,F,F,?,F,F,F,F,F,F,?,154
Ringeltaube,4,2021,2021-03-24,3,0,?,T,F,F,?,F,F,?,F,F,F,?,83
Ringeltaube,4,2021,2021-04-20,5,0,?,T,F,F,?,F,F,?,F,F,F,?,110
Ringeltaube,4,2021,2021-05-15,3,0,?,T,F,F,?,F,F,?,F,F,F,?,135
Ringeltaube,4,2021,2021-06-04,4,0,?,T,F,F,?,F,F,?,F,F,F,?,155
Ringeltaube,4,2022,2022-03-21,1,0,F,T,F,F,?,F,F,F,F,F,F,?,80
Ringeltaube,4,2022,2022-04-18,2,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Ringeltaube,4,2022,2022-05-12,1,0,F,T,F,F,?,F,F,F,F,F,F,?,132
Ringeltaube,4,2022,2022-06-02,1,0,F,T,F,F,?,F,F,F,F,F,F,?,153
Ringeltaube,4,2023,2023-03-18,1,0,F,T,F,F,F,F,F,F,F,F,F,?,77
Ringeltaube,4,2023,2023-04-26,1,0,F,T,F,F,F,F,F,F,F,F,F,?,116
Ringeltaube,4,2023,2023-05-19,1,0,F,T,F,F,F,F,F,F,F,F,F,?,139
Ringeltaube,4,2023,2023-06-07,2,0,F,T,F,F,F,F,F,F,F,F,F,?,158
Ringeltaube,7,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Ringeltaube,7,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Ringeltaube,7,2020,2020-05-17,1,0,F,F,T,F,?,F,F,F,F,F,F,?,138
Ringeltaube,7,2020,2020-05-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152
Ringeltaube,7,2021,2021-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
Ringeltaube,7,2021,2021-05-09,1,0,F,T,F,F,?,F,?,F,F,F,F,?,129
Ringeltaube,7,2021,2021-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Ringeltaube,7,2021,2021-06-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159
Ringeltaube,13,2018,2018-03-25,12,0,F,T,F,F,?,T,F,F,F,F,F,?,84
Ringeltaube,13,2018,2018-04-19,8,0,F,T,F,F,?,F,F,F,F,F,F,?,109
Ringeltaube,13,2018,2018-05-12,3,0,F,T,F,F,?,F,F,F,F,F,F,?,132
Ringeltaube,13,2018,2018-06-03,6,0,F,T,F,F,?,F,F,F,F,F,F,?,154
Ringeltaube,13,2020,2020-03-28,5,0,F,T,F,F,?,F,F,F,F,F,F,?,88
Ringeltaube,13,2020,2020-04-19,3,0,F,T,F,F,?,F,F,F,F,F,F,?,110
Ringeltaube,13,2020,2020-05-10,5,0,F,T,F,F,?,F,F,F,F,F,F,?,131
Ringeltaube,13,2020,2020-06-05,3,0,F,T,F,F,?,F,F,F,F,F,F,?,157
Ringeltaube,13,2021,2021-03-28,5,0,F,T,F,F,?,F,F,F,F,F,F,?,87
Ringeltaube,13,2021,2021-04-18,1,0,F,F,F,F,?,F,F,F,F,F,F,?,108
Ringeltaube,13,2021,2021-05-10,4,0,F,T,F,F,?,F,F,F,F,F,F,?,130
Ringeltaube,13,2021,2021-06-05,4,0,F,T,F,F,?,F,F,F,F,F,F,?,156
Ringeltaube,14,2018,2018-03-14,1,0,F,F,F,F,?,F,F,F,F,F,F,?,73
Ringeltaube,14,2018,2018-04-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Ringeltaube,14,2018,2018-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Ringeltaube,14,2018,2018-06-11,2,0,F,F,F,F,?,F,F,F,F,F,F,?,162
Ringeltaube,14,2018,2018-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Ringeltaube,14,2020,2020-03-15,4,0,F,T,F,F,?,F,F,F,F,F,F,?,75
Ringeltaube,14,2020,2020-04-18,2,0,F,T,F,F,?,F,F,F,F,F,F,?,109
Ringeltaube,14,2020,2020-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Ringeltaube,14,2020,2020-06-17,5,0,F,T,T,F,?,F,F,F,F,F,F,?,169
Ringeltaube,14,2021,2021-06-13,8,0,F,T,F,F,?,T,?,F,F,F,F,?,164
Ringeltaube,15,2019,2019-03-29,7,0,?,T,F,?,?,?,?,?,?,?,?,?,88
Ringeltaube,15,2019,2019-04-18,2,0,?,F,?,?,?,?,?,?,?,?,?,?,108
Ringeltaube,15,2019,2019-05-01,7,0,?,T,?,?,?,?,?,?,?,?,?,?,121
Ringeltaube,15,2019,2019-06-03,5,0,?,T,F,?,?,T,?,?,?,?,?,?,154
Ringeltaube,15,2020,2020-03-16,6,0,?,T,F,?,?,T,?,?,?,?,?,?,76
Ringeltaube,15,2020,2020-04-13,6,0,?,T,?,?,?,?,F,?,?,?,?,?,104
Ringeltaube,15,2020,2020-05-09,3,0,?,T,?,?,?,F,?,?,?,?,?,?,130
Ringeltaube,15,2020,2020-05-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Ringeltaube,15,2021,2021-03-29,2,0,?,F,?,?,?,?,?,?,?,?,?,?,88
Ringeltaube,15,2021,2021-04-18,4,0,?,T,?,?,?,?,?,?,?,?,?,?,108
Ringeltaube,15,2021,2021-05-14,2,0,?,F,F,?,?,?,?,?,?,?,?,?,134
Ringeltaube,15,2021,2021-06-18,5,0,?,T,?,?,?,?,?,?,?,?,?,?,169
Ringeltaube,15,2021,2021-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Ringeltaube,15,2022,2022-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
Ringeltaube,15,2022,2022-04-21,3,0,F,T,F,F,F,F,F,F,F,F,F,?,111
Ringeltaube,15,2022,2022-05-08,6,0,F,F,T,F,F,T,F,F,F,F,F,?,128
Ringeltaube,15,2022,2022-05-29,5,0,F,T,T,F,F,F,F,F,F,T,F,?,149
Ringeltaube,15,2022,2022-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Ringeltaube,15,2023,2023-03-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Ringeltaube,15,2023,2023-04-19,4,0,F,T,F,F,?,F,F,F,F,F,F,?,109
Ringeltaube,15,2023,2023-05-11,8,0,F,T,F,F,?,F,F,F,F,F,F,?,131
Ringeltaube,15,2023,2023-06-13,7,0,F,T,F,F,?,F,F,F,F,F,F,?,164
Ringeltaube,18,2019,2019-03-30,5,0,F,T,F,F,?,T,F,F,F,F,F,?,89
Ringeltaube,18,2019,2019-04-19,5,0,F,T,F,F,?,F,F,F,F,F,F,?,109
Ringeltaube,18,2019,2019-05-02,2,0,F,T,F,F,?,F,F,F,F,F,F,?,122
Ringeltaube,18,2019,2019-05-23,3,0,F,T,F,F,?,F,F,F,F,F,F,?,143
Ringeltaube,18,2019,2019-06-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Ringeltaube,18,2019,2019-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
Ringeltaube,18,2021,2021-04-16,18,0,F,T,?,?,?,?,F,?,?,?,?,?,106
Ringeltaube,18,2021,2021-05-14,9,0,F,?,?,?,?,?,F,?,?,?,?,?,134
Ringeltaube,18,2021,2021-06-14,14,0,F,?,?,?,?,?,F,?,?,?,?,?,165
Ringeltaube,20,2019,2019-03-28,6,0,F,T,F,F,?,F,F,F,F,F,F,?,87
Ringeltaube,20,2019,2019-04-25,5,0,F,T,F,F,T,T,F,F,F,F,F,?,115
Ringeltaube,20,2019,2019-05-13,6,0,F,T,F,F,?,F,F,F,F,F,F,?,133
Ringeltaube,20,2019,2019-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Ringeltaube,21,2019,2019-03-29,8,0,F,T,F,F,?,F,F,F,F,F,F,?,88
Ringeltaube,21,2019,2019-04-24,6,0,F,T,F,F,?,F,F,F,F,F,F,?,114
Ringeltaube,21,2019,2019-05-03,7,0,F,T,F,F,?,F,F,F,F,F,F,?,123
Ringeltaube,21,2019,2019-05-24,4,0,F,T,F,F,?,F,F,F,F,F,F,?,144
Ringeltaube,22,2019,2019-03-27,3,0,F,T,F,F,?,F,F,F,F,F,F,?,86
Ringeltaube,22,2019,2019-04-23,1,0,F,T,F,F,?,F,F,F,F,F,F,?,113
Ringeltaube,22,2019,2019-05-10,1,0,F,T,F,F,?,F,F,F,F,F,F,?,130
Ringeltaube,22,2019,2019-06-17,2,0,F,F,F,F,?,F,F,F,F,F,F,?,168
Ringeltaube,23,2019,2019-03-26,2,0,F,T,F,F,?,F,F,F,F,F,F,?,85
Ringeltaube,23,2019,2019-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
Ringeltaube,23,2019,2019-05-14,1,0,F,F,F,F,?,F,F,F,F,F,F,?,134
Ringeltaube,23,2019,2019-06-18,4,0,F,T,F,F,?,F,F,F,F,F,F,?,169
Ringeltaube,25,2020,2020-03-19,5,0,F,F,F,F,?,F,F,F,F,F,F,?,79
Ringeltaube,25,2020,2020-04-17,4,0,F,F,T,F,?,F,F,F,F,F,F,?,108
