species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Rohrammer,6,2018,2018-03-26,1,0,F,F,F,F,?,F,F,F,F,F,F,?,85
Rohrammer,6,2018,2018-04-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Rohrammer,6,2018,2018-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Rohrammer,6,2018,2018-06-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Rohrammer,10,2018,2018-03-26,1,0,F,F,F,F,?,F,F,F,F,F,F,?,85
Rohrammer,10,2018,2018-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Rohrammer,10,2018,2018-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
Rohrammer,10,2018,2018-05-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Rohrammer,10,2018,2018-05-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143
Rohrammer,53,2018,2018-03-25,1,0,?,F,F,F,?,F,F,F,F,F,F,?,84
Rohrammer,53,2018,2018-04-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119
Rohrammer,53,2018,2018-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Rohrammer,53,2018,2018-06-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
Rohrammer,86,2020,2020-03-14,3,0,F,F,T,F,F,T,F,F,F,F,F,?,74
Rohrammer,86,2020,2020-04-13,1,0,F,F,T,F,F,F,F,F,F,F,F,?,104
Rohrammer,86,2020,2020-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Rohrammer,86,2020,2020-05-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144
Rohrammer,86,2021,2021-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Rohrammer,86,2021,2021-04-08,1,0,?,?,?,?,?,T,?,?,?,?,?,?,98
Rohrammer,86,2021,2021-05-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122
Rohrammer,86,2021,2021-05-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
Rohrammer,179,2020,2020-03-14,3,0,F,F,F,F,?,F,F,F,F,F,F,?,74
Rohrammer,179,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Rohrammer,179,2020,2020-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Rohrammer,179,2020,2020-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Rohrammer,189,2021,2021-03-12,1,0,?,?,T,?,?,?,?,?,?,?,?,?,71
Rohrammer,189,2021,2021-04-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Rohrammer,189,2021,2021-04-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Rohrammer,189,2021,2021-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Rohrammer,218,2021,2021-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Rohrammer,218,2021,2021-04-04,1,0,F,F,T,F,?,F,F,F,F,F,F,?,94
Rohrammer,218,2021,2021-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Rohrammer,218,2021,2021-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
Rohrammer,275,2019,2019-03-26,10,0,F,F,T,F,?,F,F,F,F,F,F,?,85
Rohrammer,275,2019,2019-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
Rohrammer,275,2019,2019-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Rohrammer,329,2021,2021-03-21,1,1,T,?,?,?,?,?,F,?,?,?,?,?,80
