species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Rotmilan,7,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Rotmilan,7,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Rotmilan,7,2020,2020-05-17,1,0,F,F,F,F,T,F,F,F,F,F,F,?,138
Rotmilan,7,2020,2020-05-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152
Rotmilan,7,2021,2021-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
Rotmilan,7,2021,2021-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Rotmilan,7,2021,2021-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Rotmilan,7,2021,2021-06-08,1,1,T,F,F,F,?,F,?,F,F,F,F,?,159
Rotmilan,10,2018,2018-03-26,3,0,F,F,F,F,?,F,F,F,F,F,F,?,85
Rotmilan,10,2018,2018-04-18,1,0,F,F,F,F,?,F,F,F,F,F,F,?,108
Rotmilan,10,2018,2018-05-07,3,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Rotmilan,10,2018,2018-05-18,2,0,F,F,F,F,?,F,F,F,F,F,F,?,138
Rotmilan,10,2018,2018-05-23,1,0,F,F,T,F,?,F,F,F,F,F,F,?,143
Rotmilan,10,2020,2020-03-17,1,1,T,F,T,F,?,F,F,F,F,F,F,?,77
Rotmilan,10,2020,2020-04-10,5,0,T,F,F,F,?,F,F,F,F,F,F,?,101
Rotmilan,10,2020,2020-05-01,2,0,F,F,F,F,T,F,F,F,F,F,F,?,122
Rotmilan,10,2020,2020-05-31,9,0,F,T,F,F,T,F,F,F,F,F,F,?,152
Rotmilan,10,2021,2021-04-01,1,0,F,F,F,F,?,F,F,F,F,F,F,?,91
Rotmilan,10,2021,2021-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Rotmilan,10,2021,2021-05-16,6,0,F,F,F,F,?,F,F,F,F,F,F,?,136
Rotmilan,10,2021,2021-06-01,8,0,F,F,F,F,?,F,F,F,F,F,F,?,152
Rotmilan,13,2018,2018-03-25,1,0,F,F,F,F,?,F,F,F,F,F,F,?,84
Rotmilan,13,2018,2018-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Rotmilan,13,2018,2018-05-12,1,0,F,F,F,F,?,F,F,F,F,F,F,?,132
Rotmilan,13,2018,2018-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Rotmilan,13,2020,2020-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Rotmilan,13,2020,2020-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Rotmilan,13,2020,2020-05-10,1,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Rotmilan,13,2020,2020-06-05,1,0,F,F,F,F,?,F,F,F,F,F,F,?,157
