species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Rotmilan,6,2018,2018-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
Rotmilan,6,2018,2018-04-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Rotmilan,6,2018,2018-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Rotmilan,6,2018,2018-06-09,23,0,F,F,F,F,?,F,F,F,F,F,F,?,160
Rotmilan,6,2020,2020-04-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,104
Rotmilan,6,2020,2020-06-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,165
Rotmilan,6,2020,2020-03-28,1,0,F,F,F,F,?,F,F,F,F,F,F,?,88
Rotmilan,6,2021,2021-03-28,4,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Rotmilan,6,2021,2021-05-08,13,0,F,F,F,F,?,F,F,F,F,F,F,?,128
Rotmilan,6,2021,2021-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Rotmilan,6,2021,2021-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Rotmilan,12,2020,2020-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Rotmilan,12,2020,2020-04-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Rotmilan,12,2020,2020-05-08,1,0,F,F,F,F,?,F,F,F,F,F,F,?,129
Rotmilan,12,2020,2020-06-21,2,0,F,F,F,F,?,F,F,F,F,F,F,?,173
Rotmilan,15,2019,2019-03-29,2,0,?,?,?,?,?,?,?,?,?,?,?,?,88
Rotmilan,15,2019,2019-04-18,1,0,?,F,?,?,?,?,?,?,?,?,?,?,108
Rotmilan,15,2019,2019-05-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
Rotmilan,15,2019,2019-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Rotmilan,15,2023,2023-03-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Rotmilan,15,2023,2023-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Rotmilan,15,2023,2023-05-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Rotmilan,15,2023,2023-06-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,164
Rotmilan,25,2020,2020-03-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Rotmilan,25,2020,2020-04-17,1,0,F,F,F,F,?,F,F,F,F,F,F,?,108
Rotmilan,25,2020,2020-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Rotmilan,25,2020,2020-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151
Rotmilan,25,2021,2021-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Rotmilan,25,2021,2021-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Rotmilan,25,2021,2021-05-24,1,0,F,F,F,F,?,F,?,F,F,F,F,?,144
Rotmilan,28,2019,2019-03-21,1,0,F,F,F,F,?,F,F,F,F,F,F,?,80
Rotmilan,28,2019,2019-04-16,1,0,F,F,F,F,?,F,F,F,F,F,F,?,106
Rotmilan,28,2019,2019-05-08,1,0,F,F,F,F,?,F,F,F,F,F,F,?,128
Rotmilan,28,2019,2019-06-09,1,0,F,F,F,F,?,F,F,F,F,F,F,?,160
Rotmilan,28,2019,2019-04-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Rotmilan,28,2019,2019-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Rotmilan,29,2019,2019-03-27,1,0,F,F,F,F,?,F,F,F,F,F,F,?,86
Rotmilan,29,2019,2019-04-26,1,0,F,F,F,F,?,F,F,F,F,F,F,?,116
Rotmilan,29,2019,2019-05-15,1,0,F,F,F,F,?,F,F,F,F,F,F,?,135
Rotmilan,29,2019,2019-06-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Rotmilan,29,2019,2019-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Rotmilan,31,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Rotmilan,31,2021,2021-04-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119
Rotmilan,31,2021,2021-05-20,1,0,F,F,F,F,?,F,F,F,F,F,F,?,140
Rotmilan,31,2021,2021-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Rotmilan,33,2021,2021-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Rotmilan,33,2021,2021-04-25,1,0,F,?,?,?,?,?,F,?,?,?,?,?,115
Rotmilan,33,2021,2021-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Rotmilan,33,2021,2021-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
Rotmilan,34,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Rotmilan,34,2021,2021-04-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
Rotmilan,34,2021,2021-05-07,1,1,T,?,?,?,?,?,F,?,?,?,?,?,127
Rotmilan,34,2021,2021-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Rotmilan,37,2020,2020-03-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Rotmilan,37,2020,2020-04-25,3,0,F,F,T,F,?,F,F,F,F,F,F,?,116
Rotmilan,37,2020,2020-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Rotmilan,37,2020,2020-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159
Rotmilan,38,2019,2019-03-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,78
Rotmilan,38,2019,2019-04-14,1,0,F,F,F,F,?,F,F,F,F,F,F,?,104
Rotmilan,38,2019,2019-05-06,1,0,F,F,F,F,?,F,F,F,F,F,F,?,126
Rotmilan,38,2019,2019-06-06,1,0,F,F,F,F,?,F,F,F,F,F,F,?,157
Rotmilan,39,2019,2019-03-19,3,0,F,F,F,F,?,F,F,F,F,F,F,?,78
Rotmilan,39,2019,2019-04-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Rotmilan,39,2019,2019-05-07,1,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Rotmilan,39,2019,2019-06-08,1,0,F,F,F,F,?,F,F,F,F,F,F,?,159
Rotmilan,41,2021,2021-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Rotmilan,41,2021,2021-04-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Rotmilan,41,2021,2021-05-20,1,0,F,F,F,F,?,F,F,F,F,F,F,?,140
Rotmilan,41,2021,2021-05-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
Rotmilan,41,2021,2021-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Rotmilan,42,2020,2020-03-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Rotmilan,42,2020,2020-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Rotmilan,42,2020,2020-05-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
Rotmilan,42,2020,2020-06-03,1,0,F,F,F,F,?,F,F,F,F,F,F,?,155
Rotmilan,42,2021,2021-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
Rotmilan,42,2021,2021-05-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,139
Rotmilan,42,2021,2021-06-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,164
Rotmilan,47,2020,2020-03-17,1,0,F,F,F,F,?,F,F,F,F,F,F,?,77
Rotmilan,47,2020,2020-04-17,1,0,F,F,F,F,?,F,F,F,F,F,F,?,108
Rotmilan,47,2020,2020-05-15,2,0,F,F,F,F,?,F,F,F,F,F,F,?,136
Rotmilan,47,2020,2020-06-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170
Rotmilan,47,2021,2021-03-25,1,0,F,F,F,F,?,F,F,F,F,F,F,?,84
Rotmilan,47,2021,2021-04-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
Rotmilan,47,2021,2021-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Rotmilan,47,2021,2021-06-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170
Rotmilan,48,2020,2020-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
Rotmilan,48,2020,2020-04-29,1,0,F,F,F,F,?,F,F,F,F,F,F,?,120
Rotmilan,48,2020,2020-05-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,140
Rotmilan,48,2020,2020-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172
Rotmilan,48,2021,2021-03-28,1,0,?,?,?,?,?,?,?,?,?,?,?,?,87
Rotmilan,48,2021,2021-04-28,2,0,?,?,?,?,?,?,?,?,?,?,?,?,118
Rotmilan,48,2021,2021-05-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
Rotmilan,48,2021,2021-06-21,2,0,?,?,?,?,?,?,?,?,?,?,?,?,172
Rotmilan,49,2020,2020-03-28,2,0,F,F,F,F,?,F,F,F,F,F,F,?,88
Rotmilan,49,2020,2020-04-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
Rotmilan,49,2020,2020-05-10,1,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Rotmilan,49,2020,2020-06-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Rotmilan,49,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Rotmilan,49,2021,2021-04-27,1,0,?,?,?,?,?,?,?,?,?,?,?,?,117
Rotmilan,49,2021,2021-05-29,1,0,?,?,?,?,?,?,?,?,?,?,?,?,149
Rotmilan,49,2021,2021-06-16,1,0,?,?,?,?,?,?,?,?,?,?,?,?,167
Rotmilan,50,2018,2018-03-24,1,0,F,F,F,F,?,F,F,F,F,F,F,?,83
Rotmilan,50,2018,2018-04-08,1,0,F,F,F,F,?,F,F,F,F,F,F,?,98
Rotmilan,50,2018,2018-05-05,1,0,F,F,F,F,?,F,F,F,F,F,F,?,125
Rotmilan,50,2018,2018-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Rotmilan,54,2018,2018-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Rotmilan,54,2018,2018-04-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Rotmilan,54,2018,2018-05-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133
Rotmilan,54,2018,2018-06-05,1,0,F,F,F,F,?,F,F,F,F,F,F,?,156
Rotmilan,54,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Rotmilan,54,2020,2020-04-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Rotmilan,54,2020,2020-05-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,140
Rotmilan,54,2020,2020-06-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,165
Rotmilan,56,2018,2018-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Rotmilan,56,2018,2018-04-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Rotmilan,56,2018,2018-05-08,1,0,F,F,F,F,?,F,F,F,F,F,F,?,128
Rotmilan,56,2018,2018-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Rotmilan,56,2020,2020-03-22,1,0,F,F,F,F,?,F,F,F,F,F,F,?,82
Rotmilan,56,2020,2020-04-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
Rotmilan,56,2020,2020-05-09,1,0,F,F,F,F,?,F,F,F,F,F,F,?,130
Rotmilan,56,2020,2020-06-07,1,0,F,F,F,F,?,F,F,F,F,F,F,?,159
Rotmilan,56,2021,2021-03-28,1,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Rotmilan,56,2021,2021-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Rotmilan,56,2021,2021-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Rotmilan,56,2021,2021-05-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148
Rotmilan,57,2019,2019-03-26,1,0,F,F,F,F,?,F,F,F,F,F,F,?,85
Rotmilan,57,2019,2019-05-14,1,0,F,F,F,F,?,F,F,F,F,F,F,?,134
Rotmilan,57,2019,2019-06-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170
Rotmilan,57,2019,2019-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Rotmilan,61,2018,2018-03-17,1,0,F,F,F,F,?,F,F,F,F,F,F,?,76
Rotmilan,61,2018,2018-04-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
Rotmilan,61,2018,2018-05-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125
Rotmilan,61,2018,2018-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
