species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Schwanzmeise,13,2018,2018-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Schwanzmeise,13,2018,2018-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Schwanzmeise,13,2018,2018-05-12,1,0,F,F,F,F,?,F,F,F,F,F,F,?,132
Schwanzmeise,13,2018,2018-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Schwanzmeise,13,2020,2020-03-28,1,0,F,F,F,F,?,F,F,F,F,F,F,?,88
Schwanzmeise,13,2020,2020-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Schwanzmeise,13,2020,2020-05-10,1,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Schwanzmeise,13,2020,2020-06-05,3,0,F,F,T,F,?,F,F,F,F,F,F,?,157
Schwanzmeise,13,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Schwanzmeise,13,2021,2021-04-18,1,0,F,F,F,F,?,F,F,F,F,F,F,?,108
Schwanzmeise,13,2021,2021-05-10,2,0,F,F,F,F,?,F,F,F,F,F,F,?,130
Schwanzmeise,13,2021,2021-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Schwanzmeise,20,2019,2019-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Schwanzmeise,20,2019,2019-04-25,1,0,F,F,T,F,?,F,F,F,F,F,F,?,115
Schwanzmeise,20,2019,2019-05-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133
Schwanzmeise,20,2019,2019-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Schwanzmeise,22,2019,2019-03-27,2,0,F,F,F,F,?,F,F,F,F,F,F,?,86
Schwanzmeise,22,2019,2019-04-23,1,0,F,F,T,F,?,F,F,F,F,F,F,?,113
Schwanzmeise,22,2019,2019-05-10,1,0,F,F,F,F,?,F,F,F,F,F,F,?,130
