species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Tannenmeise,4,2019,2019-03-22,2,0,F,T,F,F,?,F,F,F,F,F,F,?,81
Tannenmeise,4,2019,2019-04-16,6,0,F,T,F,F,?,F,F,F,F,F,F,?,106
Tannenmeise,4,2019,2019-05-09,3,0,F,T,F,F,?,F,F,F,F,F,F,?,129
Tannenmeise,4,2019,2019-06-05,3,0,F,T,F,F,?,F,F,F,F,F,F,?,156
Tannenmeise,4,2020,2020-03-18,8,0,F,T,T,F,?,F,F,F,F,F,F,?,78
Tannenmeise,4,2020,2020-04-16,2,0,F,T,F,F,?,F,F,F,F,F,F,?,107
Tannenmeise,4,2020,2020-05-07,3,0,F,T,F,F,?,F,F,F,F,F,F,?,128
Tannenmeise,4,2020,2020-06-02,2,0,F,T,F,F,?,F,F,F,F,F,F,?,154
Tannenmeise,4,2021,2021-03-24,2,0,?,T,F,F,?,F,F,?,F,F,F,?,83
Tannenmeise,4,2021,2021-04-20,4,0,?,T,F,F,?,F,F,?,F,F,F,?,110
Tannenmeise,4,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Tannenmeise,4,2021,2021-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Tannenmeise,4,2022,2022-03-21,2,0,F,T,F,F,?,F,F,F,F,F,F,?,80
Tannenmeise,4,2022,2022-04-18,5,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Tannenmeise,4,2022,2022-05-12,1,0,F,T,F,F,?,F,F,F,F,F,F,?,132
Tannenmeise,4,2022,2022-06-02,1,0,F,T,F,F,?,F,F,F,F,F,F,?,153
Tannenmeise,4,2023,2023-03-18,3,0,F,T,F,F,F,F,F,F,F,F,F,?,77
Tannenmeise,4,2023,2023-04-26,4,0,F,T,F,F,F,F,F,F,F,F,F,?,116
Tannenmeise,4,2023,2023-05-19,1,0,F,T,F,F,F,F,F,F,F,F,F,?,139
Tannenmeise,4,2023,2023-06-07,1,0,F,T,F,F,F,F,F,F,F,F,F,?,158
Tannenmeise,13,2018,2018-03-25,1,0,F,T,F,F,?,F,F,F,F,F,F,?,84
Tannenmeise,13,2018,2018-04-19,3,0,F,T,F,F,?,F,F,F,F,F,F,?,109
Tannenmeise,13,2018,2018-05-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
Tannenmeise,13,2018,2018-06-03,2,0,F,T,F,F,?,F,F,F,F,F,F,?,154
Tannenmeise,13,2020,2020-03-28,3,0,F,T,F,F,?,F,F,F,F,F,F,?,88
Tannenmeise,13,2020,2020-04-19,2,0,F,T,F,F,?,F,F,F,F,F,F,?,110
Tannenmeise,13,2020,2020-05-10,1,0,F,T,F,F,?,F,F,F,F,F,F,?,131
Tannenmeise,13,2020,2020-06-05,1,0,F,T,F,F,?,F,F,F,F,F,F,?,157
Tannenmeise,13,2021,2021-03-28,3,0,F,T,F,F,?,F,F,F,F,F,F,?,87
Tannenmeise,13,2021,2021-04-18,3,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Tannenmeise,13,2021,2021-05-10,2,0,F,T,F,F,?,F,F,F,F,F,F,?,130
Tannenmeise,13,2021,2021-06-05,1,0,F,T,F,F,?,F,F,F,F,F,F,?,156
Tannenmeise,14,2018,2018-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
Tannenmeise,14,2018,2018-04-11,2,0,F,F,F,F,?,F,F,F,F,F,F,?,101
Tannenmeise,14,2018,2018-05-08,3,0,F,T,F,F,?,F,F,F,F,F,F,?,128
Tannenmeise,14,2018,2018-06-11,1,0,F,F,F,F,?,F,F,F,F,F,F,?,162
Tannenmeise,14,2018,2018-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Tannenmeise,14,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Tannenmeise,14,2020,2020-04-18,3,0,F,T,F,F,?,F,F,F,F,F,F,?,109
Tannenmeise,14,2020,2020-05-09,1,0,F,T,F,F,?,F,F,F,F,F,F,?,130
Tannenmeise,14,2020,2020-06-17,2,0,F,F,F,F,?,F,F,F,F,F,F,?,169
Tannenmeise,14,2021,2021-06-13,8,0,F,T,F,F,?,F,?,F,F,F,F,?,164
Tannenmeise,15,2019,2019-03-29,1,0,?,F,?,?,?,?,?,?,?,?,?,?,88
Tannenmeise,15,2019,2019-04-18,2,0,?,T,?,?,?,?,?,?,?,?,?,?,108
Tannenmeise,15,2019,2019-05-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
Tannenmeise,15,2019,2019-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Tannenmeise,15,2020,2020-03-16,7,0,?,T,F,F,?,T,?,?,?,?,?,?,76
Tannenmeise,15,2020,2020-04-13,2,0,?,T,?,?,?,?,?,?,?,?,?,?,104
Tannenmeise,15,2020,2020-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Tannenmeise,15,2020,2020-05-26,1,0,?,T,?,?,?,?,?,?,?,?,?,?,147
Tannenmeise,15,2021,2021-03-29,4,0,?,T,?,?,?,T,?,?,?,?,?,?,88
Tannenmeise,15,2021,2021-04-18,4,0,?,T,?,?,?,?,?,?,?,?,?,?,108
Tannenmeise,15,2021,2021-05-14,3,0,?,T,?,?,?,?,?,?,?,?,?,?,134
Tannenmeise,15,2021,2021-06-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Tannenmeise,15,2021,2021-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Tannenmeise,15,2022,2022-03-17,3,0,F,T,F,F,F,F,F,F,F,F,F,?,76
Tannenmeise,15,2022,2022-04-21,6,0,F,T,F,F,F,F,F,F,F,F,F,?,111
Tannenmeise,15,2022,2022-05-08,2,0,F,T,F,F,F,F,F,F,F,F,F,?,128
Tannenmeise,15,2022,2022-05-29,2,0,F,T,F,F,F,F,F,F,F,F,F,?,149
Tannenmeise,15,2022,2022-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Tannenmeise,15,2023,2023-03-23,3,0,F,T,F,F,?,F,F,F,F,F,F,?,82
Tannenmeise,15,2023,2023-04-19,6,0,F,T,F,F,?,F,F,F,F,F,F,?,109
Tannenmeise,15,2023,2023-05-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Tannenmeise,15,2023,2023-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Tannenmeise,18,2019,2019-03-30,3,0,F,T,F,F,?,F,F,F,F,F,F,?,89
Tannenmeise,18,2019,2019-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Tannenmeise,18,2019,2019-05-02,1,0,F,T,F,F,?,F,F,F,F,F,F,?,122
Tannenmeise,18,2019,2019-05-23,1,0,F,T,F,F,?,F,F,F,F,F,F,?,143
Tannenmeise,18,2019,2019-06-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Tannenmeise,18,2019,2019-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
Tannenmeise,20,2019,2019-03-28,2,0,F,T,F,F,?,F,F,F,F,F,F,?,87
Tannenmeise,20,2019,2019-04-25,1,0,F,T,F,F,?,F,F,F,F,F,F,?,115
Tannenmeise,20,2019,2019-05-13,2,0,F,T,F,F,?,F,F,F,F,F,F,?,133
Tannenmeise,20,2019,2019-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Tannenmeise,21,2019,2019-03-29,2,0,F,T,F,F,?,F,F,F,F,F,F,?,88
Tannenmeise,21,2019,2019-04-24,1,0,F,T,F,F,?,F,F,F,F,F,F,?,114
Tannenmeise,21,2019,2019-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Tannenmeise,21,2019,2019-05-24,2,0,F,T,F,F,?,F,F,F,F,F,F,?,144
Tannenmeise,22,2019,2019-03-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
