species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Weidenmeise,4,2019,2019-03-22,2,0,F,T,T,F,?,F,F,F,F,F,F,?,81
Weidenmeise,4,2019,2019-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
Weidenmeise,4,2019,2019-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Weidenmeise,4,2019,2019-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Weidenmeise,4,2020,2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Weidenmeise,4,2020,2020-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Weidenmeise,4,2020,2020-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Weidenmeise,4,2020,2020-06-02,2,0,F,F,T,F,?,F,F,F,F,F,F,?,154
Weidenmeise,4,2023,2023-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Weidenmeise,4,2023,2023-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
Weidenmeise,4,2023,2023-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Weidenmeise,4,2023,2023-06-07,1,0,F,F,T,F,F,F,F,F,F,F,F,?,158
Weidenmeise,13,2018,2018-03-25,4,0,F,T,F,F,?,F,F,F,F,F,F,?,84
Weidenmeise,13,2018,2018-04-19,1,0,F,T,F,F,?,F,F,F,F,F,F,?,109
Weidenmeise,13,2018,2018-05-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
Weidenmeise,13,2018,2018-06-03,2,0,F,F,T,F,?,F,F,F,F,F,F,?,154
Weidenmeise,13,2020,2020-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Weidenmeise,13,2020,2020-04-19,1,0,F,T,F,F,?,F,F,F,F,F,F,?,110
Weidenmeise,13,2020,2020-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Weidenmeise,13,2020,2020-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157
Weidenmeise,13,2021,2021-03-28,2,0,F,T,F,F,?,F,F,F,F,F,F,?,87
Weidenmeise,13,2021,2021-04-18,2,0,F,F,F,T,?,F,F,F,F,F,F,?,108
Weidenmeise,13,2021,2021-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Weidenmeise,13,2021,2021-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Weidenmeise,14,2018,2018-03-14,1,0,F,F,F,F,?,F,F,F,F,F,F,?,73
