species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Feldschwirl,10,2020,2020-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Feldschwirl,10,2020,2020-04-10,1,0,F,F,F,F,?,F,F,F,F,F,F,?,101
Feldschwirl,10,2020,2020-05-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122
Feldschwirl,10,2020,2020-05-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152
Feldschwirl,58,2018,2018-03-25,1,0,F,F,F,F,?,F,F,F,F,F,F,?,84
Feldschwirl,58,2018,2018-04-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Feldschwirl,58,2018,2018-05-12,1,0,F,F,F,F,?,F,F,F,F,F,F,?,132
Feldschwirl,58,2018,2018-06-10,1,0,F,F,T,F,?,F,F,F,F,F,F,?,161
Feldschwirl,79,2022,2022-03-16,1,0,F,F,T,F,F,F,F,F,F,F,F,?,75
Feldschwirl,79,2022,2022-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
Feldschwirl,79,2022,2022-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
Feldschwirl,79,2022,2022-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Feldschwirl,89,2020,2020-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Feldschwirl,89,2020,2020-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Feldschwirl,89,2020,2020-05-06,1,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Feldschwirl,89,2020,2020-06-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Feldschwirl,91,2020,2020-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Feldschwirl,91,2020,2020-04-20,1,0,F,F,F,F,?,F,F,F,F,F,F,?,111
Feldschwirl,91,2020,2020-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Feldschwirl,91,2020,2020-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Feldschwirl,117,2018,2018-04-21,2,0,F,F,F,F,?,F,F,F,F,F,F,?,111
Feldschwirl,117,2018,2018-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Feldschwirl,117,2018,2018-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Feldschwirl,117,2018,2018-05-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141
Feldschwirl,143,2020,2020-03-22,2,0,F,F,T,F,?,F,F,F,F,F,F,?,82
Feldschwirl,143,2020,2020-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
Feldschwirl,143,2020,2020-05-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Feldschwirl,143,2020,2020-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172
Feldschwirl,397,2021,2021-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Feldschwirl,397,2021,2021-04-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95
Feldschwirl,397,2021,2021-05-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133
Feldschwirl,397,2021,2021-06-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,164
