species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Fitis,4,2019,2019-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
Fitis,4,2019,2019-04-16,2,0,F,T,F,F,?,F,F,F,F,F,F,?,106
Fitis,4,2019,2019-05-09,2,0,F,T,F,F,?,F,F,F,F,F,F,?,129
Fitis,4,2019,2019-06-05,2,0,F,T,F,F,?,F,F,F,F,F,F,?,156
Fitis,4,2020,2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Fitis,4,2020,2020-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Fitis,4,2020,2020-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Fitis,4,2020,2020-06-02,1,0,F,T,F,F,?,F,F,F,F,F,F,?,154
Fitis,10,2018,2018-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
Fitis,10,2018,2018-04-18,1,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Fitis,10,2018,2018-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
Fitis,10,2018,2018-05-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Fitis,10,2018,2018-05-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143
Fitis,10,2020,2020-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Fitis,10,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Fitis,10,2020,2020-05-01,2,0,F,T,F,F,?,F,F,F,F,F,F,?,122
Fitis,10,2020,2020-05-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152
Fitis,10,2021,2021-04-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
Fitis,10,2021,2021-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Fitis,10,2021,2021-05-16,1,0,F,F,T,F,?,F,F,F,F,F,F,?,136
Fitis,10,2021,2021-06-01,1,0,F,F,F,F,?,F,F,F,F,F,F,?,152
Fitis,15,2019,2019-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Fitis,15,2019,2019-04-18,1,0,?,T,?,?,?,F,?,?,?,?,?,?,108
Fitis,15,2019,2019-05-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
Fitis,15,2019,2019-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Fitis,15,2023,2023-03-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Fitis,15,2023,2023-04-19,1,0,F,T,F,F,?,F,F,F,F,F,F,?,109
Fitis,15,2023,2023-05-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Fitis,15,2023,2023-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Fitis,18,2019,2019-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Fitis,18,2019,2019-04-19,6,0,F,T,F,F,?,F,F,F,F,F,F,?,109
Fitis,18,2019,2019-05-02,9,0,F,T,F,F,?,F,F,F,F,F,F,?,122
Fitis,18,2019,2019-05-23,4,0,F,T,F,F,?,F,F,F,F,F,F,?,143
Fitis,18,2019,2019-06-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Fitis,18,2019,2019-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
Fitis,18,2021,2021-04-16,7,0,F,T,?,?,?,?,F,?,?,?,?,?,106
Fitis,18,2021,2021-05-14,8,0,F,T,?,?,?,?,F,?,?,?,?,?,134
Fitis,18,2021,2021-06-14,3,0,F,T,?,?,?,?,F,?,?,?,?,?,165
Fitis,20,2019,2019-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Fitis,20,2019,2019-04-25,1,0,F,T,F,F,?,F,F,F,F,F,F,?,115
Fitis,20,2019,2019-05-13,1,0,F,T,F,F,?,F,F,F,F,F,F,?,133
Fitis,20,2019,2019-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Fitis,22,2019,2019-03-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Fitis,22,2019,2019-04-23,1,0,F,T,F,F,?,F,F,F,F,F,F,?,113
Fitis,22,2019,2019-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Fitis,22,2019,2019-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
Fitis,25,2021,2021-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Fitis,25,2021,2021-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Fitis,25,2021,2021-05-24,1,0,F,T,F,F,?,F,?,F,F,F,F,?,144
Fitis,28,2019,2019-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Fitis,28,2019,2019-04-16,1,0,F,T,F,F,?,F,F,F,F,F,F,?,106
Fitis,28,2019,2019-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Fitis,28,2019,2019-06-09,2,0,F,T,T,F,?,F,F,F,F,F,F,?,160
Fitis,28,2019,2019-04-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Fitis,28,2019,2019-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Fitis,29,2019,2019-03-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Fitis,29,2019,2019-04-26,2,0,F,T,F,F,?,F,F,F,F,F,F,?,116
Fitis,29,2019,2019-05-15,5,0,F,T,F,F,?,F,F,F,F,F,F,?,135
Fitis,29,2019,2019-06-18,2,0,F,T,F,F,?,F,F,F,F,F,F,?,169
Fitis,29,2019,2019-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Fitis,33,2021,2021-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Fitis,33,2021,2021-04-25,1,0,F,T,?,?,?,?,F,?,?,?,?,?,115
Fitis,33,2021,2021-05-10,1,0,F,T,?,?,?,?,F,?,?,?,?,?,130
Fitis,33,2021,2021-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
Fitis,35,2020,2020-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Fitis,35,2020,2020-04-26,1,0,F,T,F,F,?,F,F,F,F,F,F,?,117
Fitis,35,2020,2020-05-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
Fitis,35,2020,2020-06-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163
Fitis,36,2018,2018-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Fitis,36,2018,2018-04-18,1,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Fitis,36,2018,2018-05-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Fitis,36,2018,2018-06-03,1,0,F,T,F,F,?,F,F,F,F,F,F,?,154
Fitis,36,2020,2020-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Fitis,36,2020,2020-04-17,2,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Fitis,36,2020,2020-05-08,1,0,F,T,F,F,?,F,F,F,F,F,F,?,129
Fitis,36,2020,2020-06-11,3,0,F,T,F,F,?,F,F,F,F,F,F,?,163
Fitis,36,2021,2021-03-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Fitis,36,2021,2021-04-24,5,0,?,T,?,?,?,?,?,?,?,?,?,?,114
Fitis,36,2021,2021-05-13,2,0,F,T,F,F,?,F,F,F,F,F,F,?,133
Fitis,36,2021,2021-06-06,2,0,F,T,F,F,?,F,F,F,F,F,F,?,157
Fitis,37,2020,2020-03-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Fitis,37,2020,2020-04-25,1,0,F,T,F,F,?,F,F,F,F,F,F,?,116
Fitis,37,2020,2020-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Fitis,37,2020,2020-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159
Fitis,37,2021,2021-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
Fitis,37,2021,2021-04-25,1,0,F,T,F,F,?,F,F,F,F,F,F,?,115
Fitis,37,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Fitis,37,2021,2021-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
Fitis,38,2019,2019-03-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Fitis,38,2019,2019-04-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Fitis,38,2019,2019-05-06,6,0,F,T,F,F,?,F,F,F,F,F,F,?,126
