species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Mauersegler,31,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Mauersegler,31,2021,2021-04-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119
Mauersegler,31,2021,2021-05-20,1,0,F,T,F,F,?,F,F,F,F,F,F,?,140
Mauersegler,31,2021,2021-06-20,3,0,F,F,F,F,?,F,F,F,F,F,F,?,171
Mauersegler,33,2020,2020-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Mauersegler,33,2020,2020-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
Mauersegler,33,2020,2020-05-16,2,0,F,F,T,F,?,F,F,F,F,F,F,?,137
Mauersegler,33,2020,2020-06-01,3,0,F,F,T,F,?,F,F,F,F,F,F,?,153
Mauersegler,33,2021,2021-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Mauersegler,33,2021,2021-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Mauersegler,33,2021,2021-05-10,2,2,T,?,?,?,?,?,F,?,?,?,?,?,130
Mauersegler,33,2021,2021-05-30,2,0,F,?,?,?,?,?,F,?,?,T,?,?,150
Mauersegler,37,2018,2018-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Mauersegler,37,2018,2018-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Mauersegler,37,2018,2018-05-12,3,0,F,F,F,F,?,F,F,F,F,F,F,?,132
Mauersegler,37,2018,2018-06-13,3,0,F,F,F,F,?,F,F,F,F,F,F,?,164
Mauersegler,37,2020,2020-03-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Mauersegler,37,2020,2020-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
Mauersegler,37,2020,2020-05-10,3,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Mauersegler,37,2020,2020-06-07,1,0,F,F,F,F,?,F,F,F,F,F,F,?,159
Mauersegler,37,2021,2021-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
Mauersegler,37,2021,2021-04-25,1,0,F,F,F,F,?,F,F,F,F,F,F,?,115
Mauersegler,37,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Mauersegler,37,2021,2021-06-17,13,0,F,F,F,F,?,F,F,F,F,T,F,?,168
Mauersegler,41,2021,2021-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Mauersegler,41,2021,2021-04-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Mauersegler,41,2021,2021-05-20,1,0,F,T,F,F,?,F,F,F,F,F,F,?,140
Mauersegler,41,2021,2021-05-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
Mauersegler,41,2021,2021-06-15,1,0,F,F,F,F,?,F,F,F,F,F,F,?,166
Mauersegler,53,2018,2018-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Mauersegler,53,2018,2018-04-29,2,0,?,T,F,F,?,F,F,F,F,F,F,?,119
Mauersegler,53,2018,2018-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Mauersegler,53,2018,2018-06-10,2,0,?,T,F,F,?,F,F,F,F,F,F,?,161
