species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Buchfink,32,2020,2020-03-15,23,0,F,F,F,F,?,T,F,F,F,F,F,?,75
Buchfink,32,2020,2020-04-19,5,0,F,F,F,F,?,F,F,F,F,F,F,?,110
Buchfink,32,2020,2020-05-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Buchfink,32,2020,2020-06-12,1,0,F,F,F,F,?,F,F,F,F,F,F,?,164
Buchfink,32,2021,2021-03-22,1,0,F,?,?,?,?,?,F,?,?,?,?,?,81
Buchfink,32,2021,2021-04-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
Buchfink,32,2021,2021-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Buchfink,32,2021,2021-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
Buchfink,96,2018,2018-03-24,15,0,F,F,F,F,?,F,F,F,F,F,F,?,83
Buchfink,96,2018,2018-04-11,6,0,F,F,F,F,?,F,F,F,F,F,F,?,101
Buchfink,96,2018,2018-05-09,7,0,F,F,F,F,?,F,F,F,F,F,F,?,129
Buchfink,96,2018,2018-06-06,2,0,F,F,F,F,?,F,F,F,F,F,F,?,157
Buchfink,96,2020,2020-03-20,5,0,F,F,F,F,?,F,F,F,F,F,F,?,80
Buchfink,96,2020,2020-04-06,8,0,F,F,F,F,?,T,F,F,F,F,F,?,97
Buchfink,96,2020,2020-05-08,8,0,F,F,F,F,?,F,F,F,F,F,F,?,129
Buchfink,96,2020,2020-05-22,4,0,F,F,F,F,?,F,F,F,F,F,F,?,143
Buchfink,96,2021,2021-03-24,5,0,F,F,F,F,?,F,?,F,F,F,F,?,83
Buchfink,96,2021,2021-04-21,9,0,F,F,F,F,?,F,?,F,F,F,F,?,111
Buchfink,96,2021,2021-05-08,10,0,F,F,F,F,?,F,?,F,F,F,F,?,128
Buchfink,96,2021,2021-05-29,5,0,F,F,F,F,?,F,?,F,F,F,F,?,149
Buchfink,124,2018,2018-03-25,6,0,F,F,F,F,?,F,T,F,F,F,F,?,84
Buchfink,124,2018,2018-04-22,6,0,F,F,F,F,?,F,F,F,F,F,F,?,112
Buchfink,124,2018,2018-05-11,5,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Buchfink,124,2018,2018-06-02,5,0,F,F,F,F,?,F,F,F,F,F,F,?,153
Buchfink,124,2020,2020-03-22,13,0,F,F,F,F,?,F,F,F,F,F,F,?,82
Buchfink,124,2020,2020-04-05,17,0,F,F,F,F,?,T,F,F,F,F,F,?,96
Buchfink,124,2020,2020-05-09,7,0,F,F,F,F,?,F,T,F,F,F,F,?,130
Buchfink,124,2020,2020-06-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,165
Buchfink,124,2021,2021-05-29,25,0,F,F,F,F,?,F,T,F,F,F,F,?,149
Buchfink,200,2018,2018-03-24,10,0,?,F,F,F,?,F,F,F,F,F,F,?,83
Buchfink,200,2018,2018-04-08,5,0,?,F,F,F,?,F,F,F,F,F,F,?,98
Buchfink,200,2018,2018-05-06,3,0,?,F,F,F,?,F,F,F,F,F,F,?,126
Buchfink,200,2018,2018-06-10,3,0,?,F,F,F,?,F,F,F,F,F,F,?,161
Buchfink,224,2018,2018-03-10,26,0,F,F,T,F,?,F,F,F,F,F,F,?,69
Buchfink,224,2018,2018-04-01,20,0,F,F,F,F,?,F,F,F,F,F,F,?,91
Buchfink,224,2018,2018-05-06,21,0,F,F,F,F,?,F,F,F,F,F,F,?,126
Buchfink,224,2018,2018-05-21,19,0,F,F,F,F,?,F,F,F,F,F,F,?,141
Buchfink,224,2020,2020-03-06,12,0,F,F,T,F,?,T,F,F,F,F,F,?,66
Buchfink,224,2020,2020-04-01,7,0,F,F,T,F,?,F,F,F,F,F,F,?,92
Buchfink,224,2020,2020-05-02,11,0,F,F,T,F,?,F,F,F,F,F,F,?,123
Buchfink,224,2020,2020-05-21,11,0,F,F,T,F,?,F,F,F,F,F,F,?,142
Buchfink,224,2021,2021-03-21,21,0,F,F,T,F,?,F,F,F,F,F,F,?,80
Buchfink,224,2021,2021-04-01,20,0,F,F,T,F,?,F,F,F,F,F,F,?,91
Buchfink,224,2021,2021-05-01,14,0,F,F,F,F,?,F,F,F,F,F,F,?,121
Buchfink,224,2021,2021-05-24,12,0,F,F,F,F,?,F,F,F,F,F,F,?,144
Buchfink,312,2018,2018-03-26,10,0,F,F,F,F,?,F,F,F,F,F,F,?,85
Buchfink,312,2018,2018-04-12,8,0,F,F,F,F,?,F,F,F,F,F,F,?,102
Buchfink,312,2018,2018-05-22,18,0,F,F,F,F,?,F,F,F,F,F,F,?,142
Buchfink,312,2018,2018-06-19,18,0,F,F,F,F,?,F,F,F,F,F,F,?,170
Buchfink,312,2020,2020-04-16,7,0,F,F,F,F,?,F,F,F,F,F,F,?,107
Buchfink,312,2020,2020-05-08,10,0,F,F,F,F,?,F,F,F,F,F,F,?,129
Buchfink,312,2020,2020-06-12,7,0,F,F,F,F,?,F,F,F,F,F,F,?,164
Buchfink,312,2021,2021-03-26,15,0,F,F,F,F,?,F,F,F,F,F,F,?,85
Buchfink,312,2021,2021-04-20,7,0,F,F,F,F,?,F,F,F,F,F,F,?,110
Buchfink,312,2021,2021-05-10,13,0,F,F,F,F,?,F,F,F,F,F,F,?,130
Buchfink,312,2021,2021-06-28,6,0,F,F,F,F,?,F,F,F,F,F,F,?,179
