species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Eisvogel,13,2020,2020-03-28,1,0,F,F,F,F,?,F,F,F,F,F,F,?,88
Eisvogel,13,2020,2020-04-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,110
Eisvogel,13,2020,2020-05-10,2,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Eisvogel,13,2020,2020-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157
Eisvogel,13,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Eisvogel,13,2021,2021-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Eisvogel,13,2021,2021-05-10,1,0,F,F,F,F,?,F,F,F,F,F,F,?,130
Eisvogel,13,2021,2021-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Eisvogel,22,2019,2019-03-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Eisvogel,22,2019,2019-04-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
Eisvogel,22,2019,2019-05-10,1,0,F,F,F,F,?,F,F,F,F,F,F,?,130
Eisvogel,22,2019,2019-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
Eisvogel,75,2019,2019-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
Eisvogel,75,2019,2019-04-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
Eisvogel,75,2019,2019-05-14,1,0,F,F,T,F,?,F,F,F,F,F,F,?,134
Eisvogel,75,2019,2019-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Eisvogel,75,2020,2020-03-19,1,0,F,F,T,F,?,F,F,F,F,F,F,?,79
Eisvogel,75,2020,2020-04-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
Eisvogel,75,2020,2020-05-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134
Eisvogel,75,2020,2020-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Eisvogel,75,2021,2021-03-25,1,0,F,F,T,F,?,F,F,F,F,F,F,?,84
Eisvogel,75,2021,2021-04-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Eisvogel,75,2021,2021-05-10,1,0,F,F,T,F,?,F,F,F,F,F,F,?,130
Eisvogel,75,2021,2021-06-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
Eisvogel,75,2022,2022-03-25,1,0,F,F,T,F,F,F,F,F,F,F,F,?,84
Eisvogel,75,2022,2022-04-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
Eisvogel,75,2022,2022-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Eisvogel,75,2022,2022-06-10,1,0,F,F,T,F,F,F,F,F,F,F,F,?,161
Eisvogel,75,2023,2023-03-21,1,0,F,F,T,F,F,F,F,F,F,F,F,?,80
Eisvogel,75,2023,2023-04-19,1,0,F,F,T,F,F,F,F,F,F,F,F,?,109
Eisvogel,75,2023,2023-05-09,1,0,F,F,T,F,F,F,F,F,F,F,F,?,129
Eisvogel,75,2023,2023-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Eisvogel,83,2020,2020-03-15,1,0,F,F,F,F,?,F,F,F,F,F,F,?,75
Eisvogel,83,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Eisvogel,83,2020,2020-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124
Eisvogel,83,2020,2020-06-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176
Eisvogel,102,2021,2021-03-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Eisvogel,102,2021,2021-04-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Eisvogel,102,2021,2021-05-14,1,0,F,F,F,F,F,F,F,F,F,F,F,?,134
Eisvogel,102,2021,2021-06-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162
Eisvogel,119,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Eisvogel,119,2021,2021-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Eisvogel,119,2021,2021-05-15,1,0,F,F,T,F,?,F,F,F,F,F,F,?,135
Eisvogel,119,2021,2021-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Eisvogel,168,2019,2019-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Eisvogel,168,2019,2019-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Eisvogel,168,2019,2019-05-15,1,0,?,?,?,?,?,?,?,?,?,?,?,?,135
Eisvogel,168,2019,2019-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Eisvogel,168,2020,2020-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
Eisvogel,168,2020,2020-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Eisvogel,168,2020,2020-05-17,1,1,T,F,T,F,?,F,F,F,F,F,F,?,138
Eisvogel,168,2020,2020-06-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Eisvogel,168,2021,2021-03-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Eisvogel,168,2021,2021-04-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
Eisvogel,168,2021,2021-05-20,1,0,?,?,T,?,?,?,?,?,?,?,?,?,140
Eisvogel,168,2021,2021-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Eisvogel,169,2021,2021-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
Eisvogel,169,2021,2021-04-07,1,0,?,?,?,?,?,?,?,?,?,?,?,?,97
Eisvogel,169,2021,2021-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Eisvogel,169,2021,2021-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Eisvogel,169,2022,2022-03-22,1,0,F,F,T,F,F,F,F,F,F,F,F,?,81
Eisvogel,169,2022,2022-04-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Eisvogel,169,2022,2022-05-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124
Eisvogel,169,2022,2022-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Eisvogel,186,2022,2022-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Eisvogel,186,2022,2022-04-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
Eisvogel,186,2022,2022-05-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136
Eisvogel,186,2022,2022-06-15,1,0,F,F,F,F,F,F,F,F,F,F,F,?,166
Eisvogel,211,2018,2018-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Eisvogel,211,2018,2018-04-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
Eisvogel,211,2018,2018-05-19,1,0,?,F,T,F,?,F,F,F,F,F,F,?,139
Eisvogel,211,2018,2018-06-19,1,0,?,F,T,F,?,F,F,F,F,F,F,?,170
Eisvogel,211,2020,2020-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Eisvogel,211,2020,2020-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Eisvogel,211,2020,2020-05-18,2,0,F,F,T,F,?,F,F,F,F,F,F,?,139
Eisvogel,211,2020,2020-06-20,1,0,F,F,T,F,?,F,F,F,F,F,F,?,172
Eisvogel,251,2021,2021-03-25,1,0,?,?,T,?,?,?,?,?,?,?,?,?,84
Eisvogel,251,2021,2021-04-24,1,0,?,?,T,?,?,?,?,?,?,?,?,?,114
