species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Ringeltaube,6,2018,2018-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
Ringeltaube,6,2018,2018-04-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Ringeltaube,6,2018,2018-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Ringeltaube,6,2018,2018-06-09,2,0,F,F,T,F,?,F,F,F,F,F,F,?,160
Ringeltaube,6,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Ringeltaube,6,2021,2021-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Ringeltaube,6,2021,2021-06-05,3,0,F,F,F,F,?,F,F,F,F,F,F,?,156
Ringeltaube,6,2021,2021-04-24,1,0,F,F,F,F,?,T,F,F,F,F,F,?,114
Ringeltaube,10,2018,2018-03-26,1,0,F,F,F,F,?,F,F,F,F,F,F,?,85
Ringeltaube,10,2018,2018-04-18,1,0,F,F,F,F,?,F,F,F,F,F,F,?,108
Ringeltaube,10,2018,2018-05-07,1,0,F,F,T,F,?,F,F,F,F,F,F,?,127
Ringeltaube,10,2018,2018-05-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Ringeltaube,10,2018,2018-05-23,4,0,T,F,F,F,?,F,F,F,F,F,F,?,143
Ringeltaube,10,2020,2020-03-17,11,0,F,F,F,F,?,F,F,F,F,F,F,?,77
Ringeltaube,10,2020,2020-04-10,1,0,F,F,F,F,?,F,F,F,F,F,F,?,101
Ringeltaube,10,2020,2020-05-01,17,0,T,F,T,F,?,F,F,F,F,F,F,?,122
Ringeltaube,10,2020,2020-05-31,2,0,F,F,F,F,?,F,F,F,F,F,F,?,152
Ringeltaube,10,2021,2021-04-01,9,0,F,F,F,F,?,F,F,F,F,F,F,?,91
Ringeltaube,10,2021,2021-04-24,1,0,F,F,F,F,?,F,F,F,F,F,F,?,114
Ringeltaube,10,2021,2021-05-16,4,0,F,F,F,F,?,F,F,F,F,F,F,?,136
Ringeltaube,10,2021,2021-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152
Ringeltaube,12,2020,2020-03-20,2,0,F,F,F,F,?,F,F,F,F,F,F,?,80
Ringeltaube,12,2020,2020-04-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Ringeltaube,12,2020,2020-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Ringeltaube,12,2020,2020-06-21,2,0,F,F,F,F,?,F,F,F,F,F,F,?,173
Ringeltaube,31,2021,2021-03-28,4,0,F,F,T,F,?,F,F,F,F,F,F,?,87
Ringeltaube,31,2021,2021-04-29,4,0,F,F,F,F,?,F,F,F,F,F,F,?,119
Ringeltaube,31,2021,2021-05-20,11,0,F,F,F,F,?,F,F,F,F,F,F,?,140
Ringeltaube,31,2021,2021-06-20,6,0,F,F,F,F,?,F,F,F,F,F,F,?,171
Ringeltaube,42,2020,2020-03-27,7,0,F,F,T,F,?,F,F,F,F,F,F,?,87
Ringeltaube,42,2020,2020-04-24,2,0,F,F,F,F,?,F,F,F,F,F,F,?,115
Ringeltaube,42,2020,2020-05-16,4,0,F,F,T,F,?,F,F,F,F,F,F,?,137
Ringeltaube,42,2020,2020-06-03,3,0,F,F,T,F,?,F,F,F,F,F,F,?,155
Ringeltaube,42,2021,2021-03-31,6,0,F,F,T,F,?,F,F,F,F,F,F,?,90
Ringeltaube,42,2021,2021-05-19,7,0,F,F,T,F,?,F,F,F,F,F,F,?,139
Ringeltaube,42,2021,2021-06-13,8,0,F,F,T,F,?,F,F,F,F,F,F,?,164
Ringeltaube,48,2020,2020-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
Ringeltaube,48,2020,2020-04-29,1,0,F,F,F,F,?,F,F,F,F,F,F,?,120
Ringeltaube,48,2020,2020-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
Ringeltaube,48,2020,2020-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172
Ringeltaube,50,2018,2018-03-24,3,0,F,F,T,F,?,F,F,F,F,F,F,?,83
Ringeltaube,50,2018,2018-04-08,6,0,F,F,T,F,?,F,F,F,F,F,F,?,98
Ringeltaube,50,2018,2018-05-05,13,0,F,F,T,F,?,F,F,F,F,F,F,?,125
Ringeltaube,50,2018,2018-06-04,1,0,F,F,F,F,?,F,F,F,F,F,F,?,155
Ringeltaube,53,2018,2018-03-25,1,0,?,F,F,F,?,F,F,F,F,F,F,?,84
Ringeltaube,53,2018,2018-04-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119
Ringeltaube,53,2018,2018-05-27,1,0,?,F,F,F,?,T,F,F,F,F,F,?,147
Ringeltaube,53,2018,2018-06-10,3,0,?,F,F,F,?,F,F,F,F,F,F,?,161
Ringeltaube,53,2020,2020-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Ringeltaube,53,2020,2020-04-25,1,0,F,F,F,F,?,F,F,F,F,F,F,?,116
Ringeltaube,53,2020,2020-05-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
Ringeltaube,53,2020,2020-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Ringeltaube,53,2021,2021-03-28,1,0,?,?,?,?,?,?,?,?,?,?,?,?,87
Ringeltaube,53,2021,2021-04-25,2,0,?,?,?,?,?,?,?,?,?,?,?,?,115
Ringeltaube,53,2021,2021-05-23,2,0,?,?,?,?,?,?,?,?,?,?,?,?,143
Ringeltaube,53,2021,2021-06-20,2,0,F,F,F,F,?,F,?,F,F,F,F,?,171
Ringeltaube,78,2021,2021-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Ringeltaube,78,2021,2021-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
Ringeltaube,78,2021,2021-04-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
Ringeltaube,78,2021,2021-06-01,2,0,F,F,F,F,?,F,?,F,F,F,F,?,152
Ringeltaube,84,2018,2018-03-30,15,0,F,F,F,F,?,T,F,F,F,F,F,?,89
Ringeltaube,84,2018,2018-04-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Ringeltaube,84,2018,2018-05-10,9,0,F,F,T,F,?,T,F,F,F,F,F,?,130
Ringeltaube,84,2018,2018-06-17,6,0,F,F,T,F,?,T,F,F,F,F,F,?,168
Ringeltaube,84,2018,2018-06-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157
Ringeltaube,84,2020,2020-03-16,3,0,F,F,T,F,?,T,F,F,F,F,F,?,76
Ringeltaube,84,2020,2020-04-14,4,0,F,F,T,F,?,T,F,F,F,F,F,?,105
Ringeltaube,84,2020,2020-05-20,2,0,F,F,F,F,?,F,F,F,F,F,F,?,141
Ringeltaube,84,2020,2020-06-12,2,0,F,F,F,F,?,T,F,F,F,F,F,?,164
Ringeltaube,84,2021,2021-03-24,2,0,F,F,F,F,?,F,F,F,F,F,F,?,83
Ringeltaube,84,2021,2021-04-21,4,0,F,F,T,F,?,F,F,F,F,F,F,?,111
Ringeltaube,84,2021,2021-05-09,4,0,F,F,T,F,?,F,F,F,F,F,F,?,129
Ringeltaube,84,2021,2021-06-10,2,0,F,F,F,F,?,F,F,F,F,F,F,?,161
Ringeltaube,88,2018,2018-03-30,2,0,F,F,F,F,?,F,F,F,F,F,F,?,89
Ringeltaube,88,2018,2018-04-12,1,0,F,F,F,F,?,T,F,F,F,F,F,?,102
Ringeltaube,88,2018,2018-05-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Ringeltaube,88,2018,2018-06-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,164
Ringeltaube,93,2021,2021-03-25,2,0,F,F,F,F,?,T,F,F,F,F,F,?,84
Ringeltaube,93,2021,2021-04-23,6,0,F,F,T,F,?,F,F,F,F,F,F,?,113
Ringeltaube,93,2021,2021-05-10,1,0,F,F,T,F,?,F,F,F,F,F,F,?,130
Ringeltaube,93,2021,2021-06-11,2,0,F,F,F,F,?,F,F,F,F,F,F,?,162
Ringeltaube,96,2018,2018-03-24,4,0,F,F,F,F,?,F,F,F,F,F,F,?,83
Ringeltaube,96,2018,2018-04-11,1,0,F,F,F,F,?,F,F,F,F,F,F,?,101
Ringeltaube,96,2018,2018-05-09,1,0,F,F,F,F,?,F,F,F,F,F,F,?,129
Ringeltaube,96,2018,2018-06-06,4,0,F,F,F,F,?,F,F,F,F,F,F,?,157
Ringeltaube,96,2020,2020-03-20,5,0,F,F,F,F,?,F,F,F,F,F,F,?,80
Ringeltaube,96,2020,2020-04-06,3,0,F,F,F,F,?,F,F,F,F,F,F,?,97
Ringeltaube,96,2020,2020-05-08,2,0,F,F,F,F,?,F,F,F,F,F,F,?,129
Ringeltaube,96,2020,2020-05-22,5,0,F,F,F,F,?,F,F,F,F,F,F,?,143
Ringeltaube,96,2021,2021-03-24,1,0,F,F,F,F,?,F,?,F,F,F,F,?,83
Ringeltaube,96,2021,2021-04-21,6,0,F,F,F,F,?,F,?,F,F,F,F,?,111
Ringeltaube,96,2021,2021-05-08,7,0,F,F,F,F,?,F,?,F,F,F,F,?,128
Ringeltaube,96,2021,2021-05-29,4,0,F,F,F,F,?,F,?,F,F,F,F,?,149
Ringeltaube,100,2018,2018-03-28,2,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Ringeltaube,100,2018,2018-04-24,4,0,F,F,F,F,?,F,F,F,F,F,F,?,114
Ringeltaube,100,2018,2018-05-14,6,0,F,F,F,F,?,F,F,F,F,F,F,?,134
Ringeltaube,100,2018,2018-06-05,1,0,F,F,F,F,?,F,F,F,F,F,F,?,156
Ringeltaube,100,2020,2020-03-19,2,0,F,F,F,F,?,F,F,F,F,F,F,?,79
Ringeltaube,100,2020,2020-04-15,1,0,F,F,F,F,?,F,F,F,F,F,F,?,106
Ringeltaube,100,2020,2020-05-15,2,0,F,F,F,F,?,F,F,F,F,F,F,?,136
Ringeltaube,100,2020,2020-06-12,3,0,F,F,F,F,?,F,F,F,F,F,F,?,164
Ringeltaube,100,2021,2021-03-29,8,0,F,F,F,F,?,F,F,F,F,F,F,?,88
Ringeltaube,100,2021,2021-04-28,4,0,F,F,F,F,?,F,F,F,F,F,F,?,118
Ringeltaube,100,2021,2021-05-16,5,0,F,F,F,F,?,F,F,F,F,F,F,?,136
Ringeltaube,100,2021,2021-06-16,4,0,F,F,F,F,?,F,F,F,F,F,F,?,167
Ringeltaube,114,2018,2018-03-22,1,0,F,F,F,F,?,F,F,F,F,F,F,?,81
Ringeltaube,114,2018,2018-04-18,2,0,F,F,T,F,?,F,F,F,F,F,F,?,108
Ringeltaube,114,2018,2018-05-18,2,0,F,F,T,F,?,F,F,F,F,F,F,?,138
Ringeltaube,114,2018,2018-06-16,2,0,F,F,T,F,?,F,F,F,F,F,F,?,167
Ringeltaube,114,2020,2020-03-19,3,0,F,F,T,F,?,F,F,F,F,F,F,?,79
Ringeltaube,114,2020,2020-04-13,3,0,F,F,T,F,?,F,F,F,F,F,F,?,104
Ringeltaube,114,2020,2020-05-06,2,0,F,F,T,F,?,F,F,F,F,F,F,?,127
Ringeltaube,114,2020,2020-05-26,1,0,F,F,T,F,?,F,F,F,F,F,F,?,147
Ringeltaube,124,2018,2018-03-25,2,0,F,F,F,F,?,T,F,F,F,F,F,?,84
Ringeltaube,124,2018,2018-04-22,5,0,F,F,T,F,?,F,F,F,F,F,F,?,112
Ringeltaube,124,2018,2018-05-11,1,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Ringeltaube,124,2018,2018-06-02,4,0,F,F,F,F,?,F,F,F,F,F,F,?,153
Ringeltaube,124,2020,2020-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Ringeltaube,124,2020,2020-04-05,3,0,F,F,F,F,?,F,F,F,F,F,F,?,96
Ringeltaube,124,2020,2020-05-09,1,0,F,F,F,F,?,F,F,F,F,F,F,?,130
Ringeltaube,124,2020,2020-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Ringeltaube,124,2021,2021-05-29,9,0,F,F,T,F,?,T,?,F,F,F,F,?,149
Ringeltaube,129,2021,2021-03-24,13,0,?,?,T,?,?,T,?,?,?,?,?,?,83
Ringeltaube,129,2021,2021-04-18,8,0,?,?,T,?,?,?,?,?,?,?,?,?,108
Ringeltaube,129,2021,2021-05-08,7,0,?,?,T,?,?,?,?,?,?,?,?,?,128
Ringeltaube,129,2021,2021-05-28,8,0,?,?,T,?,?,?,?,?,?,?,?,?,148
Ringeltaube,146,2021,2021-03-25,2,0,?,?,?,?,?,T,?,?,?,?,?,?,84
