species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Rotkehlchen,3,2021,2021-03-28,2,0,F,T,F,F,?,F,F,F,F,F,F,?,87
Rotkehlchen,3,2021,2021-05-16,1,0,F,F,F,F,?,F,F,F,F,F,F,?,136
Rotkehlchen,3,2021,2021-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Rotkehlchen,3,2021,2021-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
Rotkehlchen,4,2019,2019-03-22,5,0,F,T,T,F,?,F,F,F,F,F,F,?,81
Rotkehlchen,4,2019,2019-04-16,5,0,F,T,T,F,?,F,F,F,F,F,F,?,106
Rotkehlchen,4,2019,2019-05-09,2,0,F,T,T,F,?,F,F,F,F,F,F,?,129
Rotkehlchen,4,2019,2019-06-05,1,0,F,T,F,F,?,F,F,F,F,F,F,?,156
Rotkehlchen,4,2020,2020-03-18,6,0,F,T,F,F,?,F,F,F,F,F,F,?,78
Rotkehlchen,4,2020,2020-04-16,5,0,F,T,T,F,?,F,F,F,F,F,F,?,107
Rotkehlchen,4,2020,2020-05-07,2,0,F,T,T,F,?,F,F,F,F,F,F,?,128
Rotkehlchen,4,2020,2020-06-02,4,0,F,T,F,F,?,F,F,F,F,F,F,?,154
Rotkehlchen,4,2021,2021-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Rotkehlchen,4,2021,2021-04-20,6,0,?,T,T,F,?,F,F,?,F,F,F,?,110
Rotkehlchen,4,2021,2021-05-15,3,0,?,T,T,F,?,F,F,?,F,F,F,?,135
Rotkehlchen,4,2021,2021-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Rotkehlchen,4,2022,2022-03-21,10,0,F,T,T,F,?,F,F,F,F,F,F,?,80
Rotkehlchen,4,2022,2022-04-18,4,0,F,T,T,F,?,F,F,F,F,F,F,?,108
Rotkehlchen,4,2022,2022-05-12,2,0,F,T,F,F,?,F,F,F,F,F,F,?,132
Rotkehlchen,4,2022,2022-06-02,1,0,F,T,F,F,?,F,F,F,F,F,F,?,153
Rotkehlchen,4,2023,2023-03-18,3,0,F,T,T,F,F,F,F,F,F,F,F,?,77
Rotkehlchen,4,2023,2023-04-26,6,0,F,T,T,F,F,F,F,F,F,F,F,?,116
Rotkehlchen,4,2023,2023-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Rotkehlchen,4,2023,2023-06-07,2,0,F,T,F,T,F,F,F,F,F,F,F,?,158
Rotkehlchen,7,2020,2020-03-15,2,0,F,T,F,F,?,F,F,F,F,F,F,?,75
