species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Stieglitz,2,2019,2019-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
Stieglitz,2,2019,2019-04-18,1,0,?,?,?,?,?,?,?,?,?,?,?,?,108
Stieglitz,2,2019,2019-05-03,3,0,?,?,T,?,?,?,?,?,?,?,?,?,123
Stieglitz,2,2019,2019-06-14,2,0,?,?,?,?,?,?,?,?,?,?,?,?,165
Stieglitz,2,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Stieglitz,2,2021,2021-05-07,1,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Stieglitz,2,2021,2021-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Stieglitz,2,2021,2021-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Stieglitz,2,2022,2022-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Stieglitz,2,2022,2022-05-04,7,0,F,F,T,F,F,F,F,F,F,F,F,?,124
Stieglitz,2,2022,2022-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Stieglitz,2,2022,2022-04-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Stieglitz,6,2018,2018-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
Stieglitz,6,2018,2018-04-15,1,0,F,F,F,F,?,F,F,F,F,F,F,?,105
Stieglitz,6,2018,2018-05-19,1,0,F,F,T,F,?,F,F,F,F,F,F,?,139
Stieglitz,6,2018,2018-06-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Stieglitz,12,2020,2020-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Stieglitz,12,2020,2020-04-09,1,0,F,F,F,F,?,F,F,F,F,F,F,?,100
Stieglitz,12,2020,2020-05-08,5,0,F,F,F,F,?,F,F,F,F,F,F,?,129
Stieglitz,12,2020,2020-06-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173
Stieglitz,14,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Stieglitz,14,2020,2020-04-18,1,0,F,F,T,F,?,F,F,F,F,F,F,?,109
Stieglitz,14,2020,2020-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Stieglitz,14,2020,2020-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Stieglitz,20,2019,2019-03-28,1,0,F,F,F,F,?,T,F,F,F,F,F,?,87
Stieglitz,20,2019,2019-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Stieglitz,20,2019,2019-05-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,133
Stieglitz,20,2019,2019-05-27,1,0,F,F,F,F,?,F,F,F,F,F,F,?,147
Stieglitz,28,2019,2019-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Stieglitz,28,2019,2019-04-16,1,0,F,F,F,F,?,F,F,F,F,F,F,?,106
Stieglitz,28,2019,2019-05-08,2,0,F,F,F,F,?,T,F,F,F,F,F,?,128
Stieglitz,28,2019,2019-06-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Stieglitz,28,2019,2019-04-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Stieglitz,28,2019,2019-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Stieglitz,31,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Stieglitz,31,2021,2021-04-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119
Stieglitz,31,2021,2021-05-20,5,0,F,F,F,F,?,F,F,F,F,F,F,?,140
Stieglitz,31,2021,2021-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Stieglitz,38,2019,2019-03-19,1,0,F,F,F,F,?,F,F,F,F,F,F,?,78
Stieglitz,38,2019,2019-04-14,2,0,F,F,F,F,?,T,F,F,F,F,F,?,104
Stieglitz,38,2019,2019-05-06,1,0,F,F,F,F,?,T,F,F,F,F,F,?,126
Stieglitz,38,2019,2019-06-06,6,0,F,F,T,F,?,T,F,F,F,F,F,?,157
Stieglitz,49,2020,2020-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Stieglitz,49,2020,2020-04-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
Stieglitz,49,2020,2020-05-10,2,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Stieglitz,49,2020,2020-06-19,2,0,F,F,F,F,?,F,F,F,F,F,F,?,171
Stieglitz,49,2021,2021-03-28,2,0,?,?,?,?,?,?,?,?,?,?,?,?,87
Stieglitz,49,2021,2021-04-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
Stieglitz,49,2021,2021-05-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149
Stieglitz,49,2021,2021-06-16,1,0,?,?,?,?,?,?,?,?,?,?,?,?,167
Stieglitz,58,2018,2018-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Stieglitz,58,2018,2018-04-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Stieglitz,58,2018,2018-05-12,2,0,F,F,F,F,?,F,F,F,F,F,F,?,132
Stieglitz,58,2018,2018-06-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
Stieglitz,64,2019,2019-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Stieglitz,64,2019,2019-04-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Stieglitz,64,2019,2019-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Stieglitz,64,2019,2019-06-15,1,0,F,F,T,F,?,F,F,F,F,F,F,?,166
Stieglitz,96,2018,2018-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Stieglitz,96,2018,2018-04-11,15,0,F,F,F,F,?,F,F,F,F,F,F,?,101
Stieglitz,96,2018,2018-05-09,8,0,F,F,F,F,?,F,F,F,F,F,F,?,129
Stieglitz,96,2018,2018-06-06,9,0,F,F,F,F,?,F,F,F,F,F,F,?,157
Stieglitz,96,2020,2020-03-20,1,0,F,F,F,F,?,F,F,F,F,F,F,?,80
Stieglitz,96,2020,2020-04-06,7,0,F,F,F,F,?,F,F,F,F,F,F,?,97
Stieglitz,96,2020,2020-05-08,6,0,F,F,F,F,?,F,F,F,F,F,F,?,129
Stieglitz,96,2020,2020-05-22,11,0,F,F,F,F,?,F,F,F,F,F,F,?,143
Stieglitz,96,2021,2021-03-24,2,0,F,F,F,F,?,F,?,F,F,F,F,?,83
Stieglitz,96,2021,2021-04-21,7,0,F,F,F,F,?,F,?,F,F,F,F,?,111
Stieglitz,96,2021,2021-05-08,9,0,F,F,F,F,?,F,?,F,F,F,F,?,128
Stieglitz,96,2021,2021-05-29,8,0,F,F,F,F,?,F,?,F,F,F,F,?,149
Stieglitz,100,2018,2018-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Stieglitz,100,2018,2018-04-24,2,0,F,F,F,F,?,F,F,F,F,F,F,?,114
Stieglitz,100,2018,2018-05-14,1,0,F,F,F,F,?,F,F,F,F,F,F,?,134
Stieglitz,100,2018,2018-06-05,2,0,F,F,F,F,?,F,F,F,F,F,F,?,156
