species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Wacholderdrossel,3,2021,2021-03-28,10,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Wacholderdrossel,3,2021,2021-05-16,2,0,F,T,F,F,?,T,F,F,F,F,F,?,136
Wacholderdrossel,3,2021,2021-06-13,4,0,F,F,F,F,?,F,F,F,F,F,T,?,164
Wacholderdrossel,3,2021,2021-04-16,4,4,T,F,F,F,?,F,F,F,F,F,F,?,106
Wacholderdrossel,4,2019,2019-03-22,3,0,F,T,T,F,?,F,F,F,F,F,F,?,81
Wacholderdrossel,4,2019,2019-04-16,4,0,F,T,T,F,?,F,F,F,F,F,F,?,106
Wacholderdrossel,4,2019,2019-05-09,1,0,F,T,F,F,?,F,F,F,F,F,F,?,129
Wacholderdrossel,4,2019,2019-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Wacholderdrossel,4,2020,2020-03-18,2,0,F,T,T,F,?,F,F,F,F,F,F,?,78
Wacholderdrossel,4,2020,2020-04-16,1,0,F,T,F,F,?,F,F,F,F,F,F,?,107
Wacholderdrossel,4,2020,2020-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Wacholderdrossel,4,2020,2020-06-02,3,0,F,T,F,F,?,F,F,F,F,F,F,?,154
Wacholderdrossel,4,2021,2021-03-24,1,0,?,F,T,F,?,F,F,?,F,F,F,?,83
Wacholderdrossel,4,2021,2021-04-20,2,0,?,T,F,F,?,F,F,?,F,F,F,?,110
Wacholderdrossel,4,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Wacholderdrossel,4,2021,2021-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Wacholderdrossel,4,2022,2022-03-21,1,0,F,T,F,F,?,F,F,F,F,F,F,?,80
Wacholderdrossel,4,2022,2022-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Wacholderdrossel,4,2022,2022-05-12,2,0,F,F,T,F,?,F,F,F,T,F,F,?,132
Wacholderdrossel,4,2022,2022-06-02,1,0,F,T,F,F,?,F,F,F,F,F,F,?,153
Wacholderdrossel,4,2023,2023-03-18,1,0,F,T,F,F,F,F,F,F,F,F,F,?,77
Wacholderdrossel,4,2023,2023-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
Wacholderdrossel,4,2023,2023-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Wacholderdrossel,4,2023,2023-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Wacholderdrossel,6,2018,2018-03-26,20,0,F,F,F,F,?,F,F,F,F,F,F,?,85
Wacholderdrossel,6,2018,2018-04-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Wacholderdrossel,6,2018,2018-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Wacholderdrossel,6,2018,2018-06-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Wacholderdrossel,6,2021,2021-03-28,9,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Wacholderdrossel,6,2021,2021-05-08,2,0,F,F,T,F,?,F,F,F,F,F,F,?,128
Wacholderdrossel,6,2021,2021-06-05,3,0,F,T,F,F,?,F,F,F,F,F,F,?,156
Wacholderdrossel,6,2021,2021-04-24,2,0,F,F,F,F,?,F,F,F,F,F,F,?,114
Wacholderdrossel,7,2020,2020-03-15,2,0,F,F,T,F,?,F,F,F,F,F,F,?,75
Wacholderdrossel,7,2020,2020-04-10,5,0,F,F,T,F,?,F,F,F,F,F,F,?,101
Wacholderdrossel,7,2020,2020-05-17,4,0,F,F,T,F,?,F,F,F,F,F,F,?,138
Wacholderdrossel,7,2020,2020-05-31,2,0,F,T,F,F,?,F,F,F,F,F,F,?,152
Wacholderdrossel,7,2021,2021-03-17,5,0,F,F,F,F,?,F,?,F,F,F,F,?,76
Wacholderdrossel,7,2021,2021-05-09,1,0,F,F,F,F,?,F,?,F,T,F,F,?,129
Wacholderdrossel,7,2021,2021-05-27,2,0,F,F,F,T,?,F,?,F,F,F,F,?,147
Wacholderdrossel,7,2021,2021-06-08,6,0,F,F,T,F,?,F,?,F,T,F,T,?,159
Wacholderdrossel,10,2018,2018-03-26,21,0,F,T,F,F,T,F,F,F,F,F,F,?,85
Wacholderdrossel,10,2018,2018-04-18,10,0,F,F,F,F,?,F,F,F,F,F,F,?,108
Wacholderdrossel,10,2018,2018-05-07,5,0,F,F,T,F,?,F,F,F,F,F,F,?,127
Wacholderdrossel,10,2018,2018-05-18,10,0,F,T,F,F,?,F,F,F,T,F,F,?,138
Wacholderdrossel,10,2018,2018-05-23,19,0,T,T,F,F,?,F,F,F,F,F,F,?,143
