species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Wiesenpieper,28,2019,2019-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Wiesenpieper,28,2019,2019-04-16,6,0,F,T,T,F,?,F,F,F,F,F,F,?,106
Wiesenpieper,28,2019,2019-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Wiesenpieper,28,2019,2019-06-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Wiesenpieper,28,2019,2019-04-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Wiesenpieper,28,2019,2019-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Wiesenpieper,95,2020,2020-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Wiesenpieper,95,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Wiesenpieper,95,2020,2020-05-17,1,0,F,T,F,F,?,F,F,F,F,F,F,?,138
Wiesenpieper,95,2020,2020-05-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
Wiesenpieper,179,2018,2018-03-21,2,0,?,F,F,F,?,F,F,F,F,F,F,?,80
Wiesenpieper,179,2018,2018-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
Wiesenpieper,179,2018,2018-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Wiesenpieper,179,2018,2018-06-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159
Wiesenpieper,179,2018,2019-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Wiesenpieper,179,2020,2020-03-14,4,0,F,F,F,F,?,F,F,F,F,F,F,?,74
Wiesenpieper,179,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Wiesenpieper,179,2020,2020-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Wiesenpieper,179,2020,2020-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Wiesenpieper,179,2021,2021-03-20,8,0,F,F,F,F,?,F,F,F,F,F,F,?,79
Wiesenpieper,179,2021,2021-04-13,36,0,F,F,T,F,?,F,F,F,F,F,F,?,103
Wiesenpieper,179,2021,2021-05-21,1,0,F,T,F,F,?,F,F,F,F,F,F,?,141
Wiesenpieper,179,2021,2021-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Wiesenpieper,208,2020,2020-03-29,1,1,T,F,T,T,?,F,F,F,F,F,F,?,89
Wiesenpieper,208,2020,2020-04-13,3,0,F,F,T,F,?,F,F,F,F,F,F,?,104
Wiesenpieper,208,2020,2020-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124
Wiesenpieper,208,2020,2020-06-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163
Wiesenpieper,208,2021,2021-03-28,17,17,T,F,F,F,?,F,?,F,F,F,F,?,87
Wiesenpieper,208,2021,2021-04-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Wiesenpieper,208,2021,2021-05-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
Wiesenpieper,218,2018,2018-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Wiesenpieper,218,2018,2018-04-08,1,0,?,F,T,F,?,F,F,F,F,F,F,?,98
Wiesenpieper,218,2018,2018-05-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
Wiesenpieper,218,2018,2018-06-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172
Wiesenpieper,218,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Wiesenpieper,218,2020,2020-04-05,5,0,F,F,T,F,?,F,F,F,F,F,F,?,96
Wiesenpieper,218,2020,2020-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124
Wiesenpieper,218,2020,2020-05-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
Wiesenpieper,218,2021,2021-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Wiesenpieper,218,2021,2021-04-04,1,0,F,F,F,F,?,F,F,F,F,F,F,?,94
Wiesenpieper,218,2021,2021-05-08,1,0,F,T,F,F,?,F,F,F,F,F,F,?,128
Wiesenpieper,218,2021,2021-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
Wiesenpieper,290,2019,2019-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
Wiesenpieper,290,2019,2019-04-18,2,0,F,T,T,F,?,F,F,F,F,F,F,?,108
Wiesenpieper,290,2019,2019-05-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133
Wiesenpieper,290,2019,2019-06-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159
Wiesenpieper,290,2022,2022-03-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Wiesenpieper,290,2022,2022-04-20,1,0,F,F,T,F,F,F,F,F,F,F,F,?,110
Wiesenpieper,290,2022,2022-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Wiesenpieper,290,2022,2022-06-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159
Wiesenpieper,326,2018,2018-03-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
Wiesenpieper,326,2018,2018-04-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92
Wiesenpieper,326,2018,2018-05-05,1,0,F,F,F,F,?,F,F,F,F,T,F,?,125
Wiesenpieper,326,2018,2018-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Wiesenpieper,340,2021,2021-03-27,3,0,F,T,F,F,?,F,F,F,F,F,F,?,86
Wiesenpieper,340,2021,2021-04-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Wiesenpieper,340,2021,2021-05-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142
Wiesenpieper,340,2021,2021-06-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170
Wiesenpieper,363,2019,2019-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Wiesenpieper,363,2019,2019-04-16,2,0,F,T,F,F,?,F,F,F,F,F,F,?,106
Wiesenpieper,363,2019,2019-05-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133
Wiesenpieper,363,2019,2019-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
Wiesenpieper,363,2020,2020-03-20,1,1,T,F,F,F,?,F,F,F,F,F,F,?,80
Wiesenpieper,363,2020,2020-04-12,2,2,T,F,F,F,?,F,F,F,F,F,F,?,103
