species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Braunkehlchen,4,2020,2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Braunkehlchen,4,2020,2020-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Braunkehlchen,4,2020,2020-05-07,1,0,F,F,T,F,?,F,F,F,F,F,F,?,128
Braunkehlchen,4,2020,2020-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Braunkehlchen,4,2022,2022-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Braunkehlchen,4,2022,2022-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Braunkehlchen,4,2022,2022-05-12,1,0,F,F,F,F,?,F,T,F,F,F,F,?,132
Braunkehlchen,4,2022,2022-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Braunkehlchen,6,2020,2020-04-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Braunkehlchen,6,2020,2020-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Braunkehlchen,6,2020,2020-03-28,1,0,F,F,F,F,?,F,F,F,F,F,F,?,88
Braunkehlchen,10,2021,2021-04-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
Braunkehlchen,10,2021,2021-04-24,1,1,T,F,F,F,?,F,F,F,F,F,F,?,114
Braunkehlchen,10,2021,2021-05-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136
Braunkehlchen,10,2021,2021-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152
Braunkehlchen,15,2019,2019-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Braunkehlchen,15,2019,2019-04-18,1,1,T,?,?,?,?,?,?,?,?,?,?,?,108
Braunkehlchen,15,2019,2019-05-01,1,1,T,F,?,?,?,?,?,?,?,?,?,?,121
Braunkehlchen,15,2019,2019-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Braunkehlchen,34,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Braunkehlchen,34,2021,2021-04-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
Braunkehlchen,34,2021,2021-05-07,8,8,T,?,?,?,?,?,T,?,?,?,?,?,127
Braunkehlchen,34,2021,2021-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Braunkehlchen,36,2018,2018-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Braunkehlchen,36,2018,2018-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Braunkehlchen,36,2018,2018-05-11,1,0,F,F,F,F,?,T,F,F,F,F,F,?,131
Braunkehlchen,36,2018,2018-06-03,1,0,F,F,F,F,?,F,F,F,F,F,F,?,154
Braunkehlchen,53,2018,2018-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Braunkehlchen,53,2018,2018-04-29,1,0,?,F,F,F,?,F,F,F,F,F,F,?,119
Braunkehlchen,53,2018,2018-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Braunkehlchen,53,2018,2018-06-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
Braunkehlchen,57,2019,2019-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
