species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Kuckuck,10,2020,2020-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Kuckuck,10,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Kuckuck,10,2020,2020-05-01,4,0,F,F,T,F,?,F,F,F,F,F,F,?,122
Kuckuck,10,2020,2020-05-31,5,0,F,F,T,F,?,F,F,F,F,F,F,?,152
Kuckuck,10,2021,2021-04-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
Kuckuck,10,2021,2021-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Kuckuck,10,2021,2021-05-16,3,0,F,F,T,F,?,F,F,F,F,F,F,?,136
Kuckuck,10,2021,2021-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152
Kuckuck,15,2019,2019-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Kuckuck,15,2019,2019-04-18,1,0,?,?,F,?,?,?,?,?,?,?,?,?,108
Kuckuck,15,2019,2019-05-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
Kuckuck,15,2019,2019-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Kuckuck,25,2020,2020-03-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Kuckuck,25,2020,2020-04-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Kuckuck,25,2020,2020-05-08,1,0,F,F,T,F,?,F,F,F,F,F,F,?,129
Kuckuck,25,2020,2020-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151
Kuckuck,35,2020,2020-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Kuckuck,35,2020,2020-04-26,1,0,F,F,F,F,?,F,F,F,F,F,F,?,117
